#{"t_start": 1595968305.85184, "env_id": null}
r,l,t
-10383.606644,7142,38.129795
-6427.186876,7142,73.487335
-5951.417468,7142,111.684951
-4349.316172,7142,150.267832
-5097.003112,7142,189.387532
-5902.089614,7142,228.093733
-1060.957654,7142,266.951789
-749.164524,7142,305.551401
-4417.196503,7142,345.1599
-1904.968655,7142,386.113295
-2147.488051,7142,425.965934
-1194.345036,7142,465.517081
-689.574991,7142,505.288116
-2841.271815,7142,544.811305
73.516056,7142,585.067312
-2824.189113,7142,628.784648
-2223.709728,7142,679.916363
-1478.370731,7142,731.490485
-1873.302418,7142,782.822117
-1164.117797,7142,834.532556
-539.749375,7142,885.886415
-3123.509813,7142,940.103378
-1713.107441,7142,992.29085
-548.273491,7142,1044.49045
-732.996154,7142,1098.011511
-597.303438,7142,1151.141086
-28.666009,7142,1203.666722
85.981913,7142,1255.516131
-563.965805,7142,1308.223286
-153.766956,7142,1361.063076
-1440.932818,7142,1416.199411
-360.175537,7142,1468.145198
-239.602511,7142,1522.387527
-343.05384,7142,1575.868648
-672.43336,7142,1629.996448
-404.25412,7142,1683.020619
141.862581,7142,1736.096481
-1091.612988,7142,1790.81717
914.482386,7142,1843.745612
97.920326,7142,1897.974974
-974.101295,7142,1953.013116
-142.397449,7142,2006.4664
-609.314142,7142,2061.600385
-747.00542,7142,2115.424154
-82.48783,7142,2169.843272
-814.251302,7142,2223.266675
228.860124,7142,2277.586727
-35.282791,7142,2332.264724
-260.250525,7142,2385.788588
159.101541,7142,2439.914071
-147.056137,7142,2495.746944
-246.982824,7142,2550.015171
693.41055,7142,2603.519659
-1400.264971,7142,2660.822745
327.374374,7142,2715.296355
326.231421,7142,2770.018682
382.647888,7142,2824.227798
720.02397,7142,2879.614996
76.742661,7142,2934.416576
-0.059142,7142,2987.990534
542.722432,7142,3042.964499
-328.36672,7142,3099.21185
-582.599698,7142,3153.835274
-2186.141975,7142,3210.126641
1185.388667,7142,3265.31162
711.23295,7142,3319.98887
-2432.754324,7142,3374.820066
839.049305,7142,3429.933943
300.802266,7142,3485.141053
-251.326832,7142,3539.873711
1265.124533,7142,3594.065237
-275.349125,7142,3650.348377
378.025449,7142,3704.605853
-810.340784,7142,3759.241055
819.271713,7142,3813.9647
370.17877,7142,3869.856909
756.966345,7142,3924.204265
1955.420015,7142,3978.996457
2123.545835,7142,4034.80769
2434.184793,7142,4091.019172
2755.246834,7142,4143.972355
-872.980412,7142,4201.089155
-349.296412,7142,4256.591264
220.318699,7142,4310.393171
226.629483,7142,4366.066795
2896.634921,7142,4421.740024
1661.74045,7142,4477.127979
1827.720588,7142,4530.955863
1421.623985,7142,4587.117465
2072.486026,7142,4643.415278
1462.064529,7142,4698.828582
438.625998,7142,4756.111323
2555.646128,7142,4812.450712
-4622.869689,7142,4870.380752
1719.793176,7142,4924.481729
3024.698254,7142,4979.841089
882.454814,7142,5037.696041
2342.33591,7142,5092.322019
3756.714354,7142,5148.949946
2036.852911,7142,5205.205981
27.210944,7142,5262.668759
2341.149225,7142,5316.553037
3598.174675,7142,5373.573441
718.880594,7142,5431.32955
1828.296684,7142,5486.449287
3354.62618,7142,5543.469042
6246.754865,7142,5599.785544
4325.124018,7142,5656.896704
611.735676,7142,5712.090239
4308.202634,7142,5768.943405
790.683279,7142,5826.871653
5907.859277,7142,5880.948484
3197.487852,7142,5937.916591
2096.430424,7142,5994.047574
2577.08104,7142,6051.672433
104.933277,7142,6105.525927
1659.402396,7142,6164.276301
-183.384838,7142,6224.740704
521.776744,7142,6282.343326
1616.683672,7142,6341.766959
4991.972721,7142,6399.481121
67.251695,7142,6458.229921
7272.257102,7142,6513.188091
9713.603798,7142,6570.936573
1414.667652,7142,6629.256281
6718.857974,7142,6683.299156
8734.273368,7142,6740.519123
7582.91345,7142,6797.307338
2879.88234,7142,6855.3302
1209.498136,7142,6910.775834
7728.010023,7142,6968.083522
2915.01033,7142,7026.576021
5372.02716,7142,7080.598541
4629.822182,7142,7138.570398
4640.057401,7142,7195.02345
6184.040758,7142,7252.350848
3215.605216,7142,7308.052428
5295.889065,7142,7365.506037
4049.404265,7142,7424.566895
4677.182013,7142,7477.642352
9046.78112,7142,7534.848345
8878.878132,7142,7591.769636
5412.806562,7142,7649.247075
