#{"t_start": 1593977703.1282985, "env_id": null}
r,l,t
-4807.886726,7142,25.611152
-2479.712765,7142,46.811488
-2566.794352,7142,68.374042
-1505.294824,7142,90.972777
-2091.464948,7142,112.945511
-4247.024556,7142,135.563376
-2661.698249,7142,157.866525
-1268.145819,7142,180.364854
-3048.560861,7142,203.065135
-4934.370235,7142,224.880662
-3186.408135,7142,247.213898
-3360.634628,7142,268.705883
-3894.266962,7142,290.150291
-5286.359742,7142,313.959972
-5961.664618,7142,336.319821
-1927.068991,7142,357.975217
-2730.046899,7142,379.815943
-3211.519765,7142,401.040113
-6135.1919,7142,423.311603
-5282.086171,7142,445.949927
-1827.966471,7142,467.682401
-3784.102986,7142,489.707571
-3499.362675,7142,510.795749
-2861.292133,7142,532.793378
-3484.422865,7142,555.659071
-3670.433809,7142,577.517038
-1137.78507,7142,600.151454
-994.687254,7142,622.58008
-3889.560894,7142,644.725737
-4421.846932,7142,666.642206
-2543.754121,7142,687.634502
-2399.240386,7142,709.021887
-1762.600697,7142,730.52011
-3970.291769,7142,751.671794
-1843.007367,7142,773.31734
-4863.046091,7142,795.084404
-3103.703773,7142,817.080279
-1948.866386,7142,838.561725
-3332.526219,7142,860.862445
-3486.4714,7142,881.660308
-1735.863844,7142,902.93399
-3152.435307,7142,924.795864
-4064.734314,7142,946.488475
-2606.797255,7142,968.101397
-5272.485933,7142,990.967903
-3292.678549,7142,1012.558504
-4028.291748,7142,1034.855933
-2437.301037,7142,1056.369453
-2619.612533,7142,1077.518698
-2050.515786,7142,1100.307673
-3323.551373,7142,1121.737039
-4041.004442,7142,1143.017185
-5386.774792,7142,1165.36313
-1258.068741,7142,1188.082062
-2983.068875,7142,1209.82087
-1618.028403,7142,1231.633301
-6712.315192,7142,1254.933032
-2981.360578,7142,1277.062005
-2056.091852,7142,1298.82428
-7789.361711,7142,1321.536884
-5694.64731,7142,1343.470655
-4052.104196,7142,1365.182174
-3762.298957,7142,1387.712209
-8414.469407,7142,1410.509397
-7641.006726,7142,1431.334806
-6543.748015,7142,1453.171314
-4846.666574,7142,1474.948377
-5530.828254,7142,1497.455387
-6638.359781,7142,1519.454868
-7814.803106,7142,1542.110564
-6272.426244,7142,1563.04619
-5832.607471,7142,1584.668175
-7910.871278,7142,1606.820747
-7019.989624,7142,1628.300401
-9382.004284,7142,1650.509003
-7369.519003,7142,1672.738841
-7095.813632,7142,1694.219209
-6557.600166,7142,1715.293319
-6100.840886,7142,1736.149414
-8663.987985,7142,1758.120394
-8301.399769,7142,1781.079119
-6795.832826,7142,1802.349594
-10105.018888,7142,1824.67986
-7211.320869,7142,1846.157168
-6982.257577,7142,1867.485979
-6002.161491,7142,1889.146246
-8285.864905,7142,1911.977821
-5698.056397,7142,1933.473429
-8135.978551,7142,1955.463172
-6015.849853,7142,1976.831688
-5849.848892,7142,1998.129082
-5455.31603,7142,2019.708563
-6086.415386,7142,2041.361566
-8535.285627,7142,2063.738563
-6238.276125,7142,2084.928711
-6266.723645,7142,2106.509027
-6587.380014,7142,2128.19512
-6759.455708,7142,2149.414779
-8023.552649,7142,2172.517137
-6878.345869,7142,2194.316171
-5325.479476,7142,2216.491036
-8981.387045,7142,2239.263518
-6488.407125,7142,2260.558128
-8401.163679,7142,2283.772453
-6028.592195,7142,2305.086328
-6634.558045,7142,2326.261312
-6195.241058,7142,2347.520844
-6528.441517,7142,2369.061079
-6534.437906,7142,2390.781146
-6185.100202,7142,2411.795321
-6490.911372,7142,2432.724995
-7380.81591,7142,2455.242762
-8353.914738,7142,2478.371283
-6732.980371,7142,2500.125259
-5932.355463,7142,2521.023347
-6911.398207,7142,2541.989477
-5815.450731,7142,2563.325279
-5921.751186,7142,2584.265586
-5756.690369,7142,2605.496855
-5996.065426,7142,2626.979191
-5103.91678,7142,2649.330922
-6438.849629,7142,2670.823229
-6424.742005,7142,2692.569084
-6832.150921,7142,2713.988033
-6542.277467,7142,2735.758375
-5330.875657,7142,2758.213467
-5365.878912,7142,2780.321502
-7525.43355,7142,2803.024742
-5410.220222,7142,2824.870915
-7429.484016,7142,2847.896872
-6495.007139,7142,2869.084142
-5761.654196,7142,2890.805984
-8207.287509,7142,2912.954274
-6119.569574,7142,2935.217818
-4575.602341,7142,2958.084848
-7257.007939,7142,2981.124028
-6119.479821,7142,3002.694408
-8604.896803,7142,3025.353606
-5499.403083,7142,3046.942155
-5733.531311,7142,3068.625967
-5512.74753,7142,3090.99062
-6171.095849,7142,3112.087883
-5709.87616,7142,3133.380196
-8017.87154,7142,3156.993439
-5266.768906,7142,3178.746963
-5742.505158,7142,3200.516535
-4819.831892,7142,3223.111497
-7895.558782,7142,3246.356977
-5198.698078,7142,3268.549747
-4793.942608,7142,3290.552484
-7220.43491,7142,3312.379829
-6506.038832,7142,3333.523343
-6243.157978,7142,3356.006771
-6422.380061,7142,3377.356973
-6620.155956,7142,3399.327173
-5652.580334,7142,3421.350078
-7281.687898,7142,3443.047463
-8822.255728,7142,3465.228588
-5028.458324,7142,3487.246559
-5216.477603,7142,3509.943559
-8071.288689,7142,3533.190904
-6459.799933,7142,3554.917652
-6075.224792,7142,3577.605716
-6528.91336,7142,3599.815609
-5402.284844,7142,3621.750044
-5177.085447,7142,3643.966573
-5876.082893,7142,3666.024664
-6613.083401,7142,3687.261541
-7711.984376,7142,3709.616188
-5643.942927,7142,3731.098872
-7559.695049,7142,3754.183301
-6242.960752,7142,3775.16282
-6585.380929,7142,3797.274617
-5202.509429,7142,3819.225392
-5465.414408,7142,3840.674772
-8531.986219,7142,3863.360982
-5689.172986,7142,3885.146119
-5731.87074,7142,3907.593745
-5002.435151,7142,3930.07224
-5487.04193,7142,3951.760121
-6126.798462,7142,3973.475947
-7651.026056,7142,3996.010799
-7559.692472,7142,4018.754369
-8341.521444,7142,4041.890145
-6645.575478,7142,4063.377269
-6179.047058,7142,4085.231233
-5228.100076,7142,4106.787984
-6179.716269,7142,4128.213664
-6715.28187,7142,4149.805216
-7692.968372,7142,4172.382939
-6575.792737,7142,4194.242257
-6240.576811,7142,4215.951288
-6256.91957,7142,4237.360014
-6762.275968,7142,4259.172318
-6216.247729,7142,4280.633344
-6071.85917,7142,4302.240362
-6247.339052,7142,4324.303796
-6684.708991,7142,4345.671103
-5144.57763,7142,4367.837385
-5590.131232,7142,4389.786568
-5438.900993,7142,4410.967049
-9200.854561,7142,4434.494389
-8723.758669,7142,4456.315302
