#{"t_start": 1593948609.1814547, "env_id": null}
r,l,t
-2101.657422,7142,23.092002
-2620.914878,7142,44.566664
-4757.42059,7142,66.04465
-2027.05465,7142,87.644288
-3810.381329,7142,109.07937
-2062.016022,7142,131.069401
-2490.327184,7142,153.885074
-4937.80428,7142,176.085251
-3190.421915,7142,197.976544
-3638.661617,7142,221.002541
-3050.081123,7142,241.951612
-2640.768252,7142,262.552727
-2821.776746,7142,283.566555
-2451.794441,7142,304.484738
-3526.391907,7142,326.370294
-1643.775326,7142,347.592621
-2832.6115,7142,369.012331
-2342.423571,7142,411.696444
-4800.100205,7142,434.254874
-2417.101359,7142,455.722196
-1964.052666,7142,476.334898
-3789.450617,7142,498.977784
-3455.362947,7142,520.040301
-3557.76548,7142,541.578057
-3702.522691,7142,563.497563
-3095.875487,7142,584.029854
-2357.14241,7142,605.131305
-2974.766215,7142,627.294035
-1919.294063,7142,648.859097
-2941.819572,7142,670.192951
-3846.132665,7142,692.364101
-2786.125335,7142,712.708366
-2259.758065,7142,734.045882
-3588.038253,7142,756.968191
-2848.620712,7142,779.998646
-6599.466968,7142,826.120115
-3938.970536,7142,849.004933
-4350.515707,7142,871.59323
-4682.270985,7142,894.169166
-2335.821607,7142,915.308004
-3765.473169,7142,937.691931
-966.196005,7142,960.936195
-1473.441145,7142,983.105963
-2766.761235,7142,1004.828279
-4489.561897,7142,1028.080209
-2019.201994,7142,1050.231616
-3136.612448,7142,1073.027033
-3462.395975,7142,1094.576549
-4433.235514,7142,1117.035082
-4012.157535,7142,1138.604293
-1384.379076,7142,1160.250596
-4635.772955,7142,1182.717151
-2895.814452,7142,1204.789321
-2591.465476,7142,1247.498754
-2142.063104,7142,1269.314116
-1757.158395,7142,1291.49819
-2607.068559,7142,1314.831531
-1189.305702,7142,1336.821937
-1989.740841,7142,1358.182667
-3127.838179,7142,1379.821614
-1574.563053,7142,1400.346778
-1011.12218,7142,1420.596875
-1622.247072,7142,1441.065092
-1078.110981,7142,1463.432924
-2167.283507,7142,1484.704556
-2217.84655,7142,1507.629639
-1208.886156,7142,1529.939563
-2540.416653,7142,1551.930604
-2297.792353,7142,1573.485806
-2127.150183,7142,1594.042031
-2209.140911,7142,1615.550048
-1559.825962,7142,1659.727903
-1567.631872,7142,1681.333901
-760.935102,7142,1702.037384
-548.1736,7142,1722.804165
-1489.807308,7142,1743.333127
-2085.953089,7142,1764.40981
-1093.095957,7142,1785.724918
-510.172224,7142,1807.017041
-1870.390712,7142,1828.453375
-1638.480987,7142,1851.106655
-1187.628834,7142,1873.128305
-954.819579,7142,1895.078323
-894.188861,7142,1916.490683
-1555.051855,7142,1937.554315
-1843.065765,7142,1961.340475
-278.606931,7142,1982.97394
-1128.06842,7142,2006.574394
-1997.579676,7142,2028.37666
-343.249716,7142,2073.652449
-363.634397,7142,2095.006032
-909.783114,7142,2115.510864
-168.479282,7142,2136.883253
-344.140115,7142,2158.043759
549.247964,7142,2180.000008
-776.790046,7142,2201.475906
-1104.155769,7142,2224.143014
929.628914,7142,2246.078673
-281.558199,7142,2267.905628
1298.277807,7142,2289.897773
-166.163856,7142,2311.475959
-1448.6836,7142,2334.207602
-970.097836,7142,2355.612406
-135.360386,7142,2376.796929
-902.279706,7142,2398.360322
-115.159794,7142,2420.09433
-258.766464,7142,2442.226409
-762.844527,7142,2485.190119
309.272973,7142,2507.006631
699.740435,7142,2529.100782
-446.88487,7142,2550.592535
-705.455735,7142,2572.358093
247.054057,7142,2594.672343
-19.661545,7142,2615.853024
-431.156919,7142,2637.894667
-962.82822,7142,2659.449797
-552.237396,7142,2680.446343
-8.844224,7142,2702.182002
-495.311621,7142,2723.433348
-329.809819,7142,2745.091196
-894.111824,7142,2766.505926
-312.968052,7142,2787.922958
-469.860235,7142,2809.690555
30.203755,7142,2831.839865
-314.061481,7142,2853.905954
307.738338,7142,2897.593557
57.646255,7142,2920.460074
576.972943,7142,2943.611338
-398.01369,7142,2965.336264
-376.439661,7142,2986.530173
-242.447475,7142,3007.767117
-389.949092,7142,3029.067958
-1615.397114,7142,3051.17018
-1331.957475,7142,3073.193895
-133.312098,7142,3094.325963
423.863625,7142,3115.97356
-357.29506,7142,3137.288527
-154.964805,7142,3158.777987
-543.849965,7142,3180.39507
-227.904722,7142,3202.593125
-141.033338,7142,3224.775301
-777.340549,7142,3246.737992
419.051214,7142,3268.952167
-1202.558998,7142,3311.108211
-356.797167,7142,3332.289042
-235.928189,7142,3354.348084
-397.548203,7142,3374.803002
335.081966,7142,3397.314936
-12.158017,7142,3418.416759
99.317975,7142,3439.579249
-2438.37274,7142,3460.77099
-260.568925,7142,3481.650102
-122.889556,7142,3501.926202
-529.989243,7142,3524.364632
177.314304,7142,3545.917141
644.867205,7142,3568.966903
282.256075,7142,3591.300672
-868.263674,7142,3612.760696
-953.078192,7142,3633.427084
464.773693,7142,3654.926599
763.169745,7142,3676.669811
-895.264599,7142,3720.601691
-1473.379755,7142,3743.194035
-9.48319,7142,3764.356599
907.671508,7142,3787.310493
269.062794,7142,3808.308358
1155.722111,7142,3830.288252
144.697603,7142,3851.818839
-93.027007,7142,3874.034106
170.251108,7142,3896.11066
-843.912707,7142,3917.755724
