#{"t_start": 1594861771.5669022, "env_id": null}
r,l,t
-1956.6958,7142,73.709993
-3532.982786,7142,143.023747
-2777.80734,7142,212.903393
-1594.498769,7142,282.076025
351.332306,7142,352.036654
-1584.846896,7142,421.334075
-1945.979715,7142,491.690437
-1601.588161,7142,560.56213
-969.436841,7142,629.4942
-285.273261,7142,698.65974
-1035.510422,7142,767.197124
-1107.343205,7142,835.186315
1254.110673,7142,904.549346
170.244631,7142,972.172683
-971.576446,7142,1038.537818
-236.083719,7142,1104.504228
-1011.324169,7142,1169.45167
-220.174743,7142,1234.654864
45.916663,7142,1299.931594
-182.687513,7142,1366.314748
-59.124167,7142,1432.228472
-617.20705,7142,1498.64996
539.149652,7142,1564.975827
-1134.136797,7142,1631.645606
-250.114985,7142,1697.820593
-1559.710402,7142,1764.862127
247.582961,7142,1830.765998
-1246.295746,7142,1897.499643
-1398.848043,7142,1963.892693
-1504.888422,7142,2031.855809
-653.40331,7142,2097.105431
-497.051671,7142,2162.263128
649.492448,7142,2227.339459
-825.703921,7142,2292.452629
813.3441,7142,2358.67101
1717.751303,7142,2423.771408
210.764531,7142,2489.617543
-2103.513966,7142,2556.232693
1103.07946,7142,2622.345921
811.471875,7142,2689.004163
-52.45034,7142,2755.087926
175.66247,7142,2822.669614
820.545596,7142,2888.945659
323.720685,7142,2954.955379
1856.708087,7142,3020.330249
996.877425,7142,3086.241404
1055.602916,7142,3151.71054
134.736326,7142,3217.440141
-848.345732,7142,3284.381723
-225.18717,7142,3349.758762
100.549735,7142,3415.245118
-254.883041,7142,3480.912136
1556.618166,7142,3546.430095
1739.882797,7142,3612.400159
2874.179126,7142,3678.106684
1975.879489,7142,3743.463623
2267.719471,7142,3810.396674
-619.516059,7142,3877.468426
1025.441751,7142,3942.629133
1444.298559,7142,4009.813762
2101.207058,7142,4076.250825
1491.995973,7142,4142.360986
-601.366198,7142,4209.190066
2945.838062,7142,4275.618421
4297.073776,7142,4340.910918
2488.251537,7142,4406.466204
