#{"t_start": 1594152285.0297692, "env_id": null}
r,l,t
-11269.534381,7142,29.58296
-4800.416469,7142,56.1486
-9174.627223,7142,88.211142
-5329.307811,7142,130.954933
-7483.818112,7142,174.424113
-5106.352296,7142,216.666953
-4056.469234,7142,264.444593
-5399.511545,7142,311.433499
-5231.816011,7142,354.897916
-2474.780492,7142,400.066369
-2748.962244,7142,444.558657
-3581.967199,7142,488.172856
-826.16582,7142,533.550222
-3516.567009,7142,577.655446
-2808.021705,7142,624.893084
-2442.292809,7142,668.106699
-2729.835372,7142,711.311774
-2274.997619,7142,756.138806
-2489.402923,7142,801.738064
-3577.609998,7142,848.231085
-2399.615595,7142,893.757494
-2952.731499,7142,940.378018
-2148.926998,7142,984.878652
-2358.768519,7142,1029.225743
-2297.767708,7142,1074.194749
-2298.984782,7142,1119.843743
-2445.019721,7142,1163.958801
-2990.545564,7142,1209.220342
-2954.024042,7142,1255.890745
-4618.542429,7142,1302.70783
-3060.865087,7142,1346.615772
-2742.344938,7142,1390.952772
-1400.059766,7142,1435.670177
-2708.698987,7142,1479.225783
-1557.954403,7142,1525.221961
-1747.898165,7142,1571.210695
-1877.443723,7142,1617.247787
-5120.867454,7142,1663.052281
-2789.154589,7142,1706.795638
-2027.963269,7142,1750.918056
-2826.154052,7142,1795.299611
-4226.446798,7142,1839.651443
-2398.895555,7142,1885.83776
-2940.452349,7142,1928.792633
-2695.172857,7142,1972.71952
-2089.296348,7142,2016.816227
-2867.030814,7142,2060.361642
-2571.724557,7142,2103.328387
-3798.164724,7142,2148.21172
-3003.315745,7142,2194.538514
-2760.796159,7142,2239.164361
-2925.382348,7142,2283.365052
-2220.740191,7142,2327.589081
-2656.363655,7142,2372.125137
-2358.71205,7142,2416.269481
-2965.533405,7142,2459.884658
-4123.177298,7142,2507.312816
-2942.567163,7142,2554.114286
-2833.863606,7142,2598.400969
-3633.622919,7142,2643.785438
-1293.27436,7142,2688.718874
-1494.12919,7142,2732.373825
-4037.941461,7142,2777.772116
-1133.783339,7142,2825.52972
-2888.69385,7142,2869.583636
-2263.812225,7142,2913.54145
-1910.941224,7142,2957.49153
-1911.048694,7142,3001.425498
-4466.56217,7142,3047.187383
-2389.981737,7142,3091.165175
-3182.050938,7142,3137.060711
-4206.582666,7142,3183.138658
-2766.001092,7142,3227.469515
-901.849403,7142,3273.668792
-3042.119579,7142,3318.004512
-2008.023382,7142,3362.615422
-1999.394095,7142,3406.802447
-5299.67356,7142,3453.769181
-2227.293034,7142,3498.9381
-2960.700596,7142,3544.938147
-2603.321415,7142,3589.209368
-4215.826604,7142,3635.568733
-2259.718111,7142,3680.35043
-2581.662587,7142,3725.721849
-1797.899679,7142,3772.563317
-2523.176222,7142,3816.894821
-3569.588694,7142,3861.762711
-1957.51615,7142,3907.741284
-2618.870438,7142,3952.408309
-3716.302817,7142,3996.329151
-3290.289575,7142,4041.191153
-2740.809946,7142,4087.321251
-2964.089643,7142,4130.784818
-3607.021402,7142,4176.251664
-3306.322896,7142,4221.910357
-3902.405535,7142,4267.880389
-3331.273718,7142,4311.546077
-2390.180348,7142,4356.489145
-3296.492967,7142,4402.293884
-1348.518471,7142,4446.266212
-2353.727951,7142,4490.207822
-2471.416988,7142,4534.215415
-4114.278864,7142,4579.206973
-2159.055703,7142,4623.397523
-2533.447599,7142,4667.747418
-3692.009922,7142,4715.104874
-3125.677537,7142,4759.266087
-2372.037274,7142,4804.004377
-4338.350766,7142,4848.19691
-2373.744122,7142,4891.371867
-2927.497522,7142,4935.429422
-3706.911271,7142,4980.045745
-2600.35492,7142,5026.672081
-2492.953036,7142,5071.155487
-6636.446782,7142,5117.100914
-3479.550042,7142,5160.97665
-2741.424536,7142,5205.671861
-2359.087628,7142,5250.22399
-3500.60916,7142,5294.550937
-1805.798906,7142,5340.656584
-2488.575512,7142,5384.373902
-3807.522472,7142,5429.443998
-3614.665659,7142,5473.613081
-2170.602155,7142,5517.415162
-2843.004075,7142,5560.499657
-3184.503969,7142,5604.448303
-2160.157229,7142,5649.754822
-2774.192915,7142,5694.022226
-2881.140278,7142,5738.542161
-2555.101746,7142,5782.57949
-3574.267281,7142,5827.020292
-1480.51202,7142,5872.849559
-805.329568,7142,5917.81044
-6368.204168,7142,5965.734161
-3092.401843,7142,6009.157195
-2610.656859,7142,6052.719475
-3729.911457,7142,6096.98354
-5274.540869,7142,6142.905943
-3569.800325,7142,6186.464505
-2915.760365,7142,6229.808706
-2424.051414,7142,6274.878671
-5260.859574,7142,6319.578833
-4263.882648,7142,6366.059502
-4417.211871,7142,6410.348554
-1216.347536,7142,6455.582364
-2760.684802,7142,6498.362529
-1449.604984,7142,6543.429362
-3330.467908,7142,6589.188282
-2902.810192,7142,6632.661383
-4000.420257,7142,6676.673877
-1289.742641,7142,6721.72323
-2367.339578,7142,6765.808176
-4026.045688,7142,6812.836363
-3243.2541,7142,6855.873376
-4810.599624,7142,6902.057909
-3571.023455,7142,6948.68809
-2224.67881,7142,6993.037165
-1796.120695,7142,7036.508574
-2451.700565,7142,7079.744463
-2544.734931,7142,7123.741426
-2861.089183,7142,7167.165919
-1789.291032,7142,7214.753151
-3992.76043,7142,7259.451435
-3725.581131,7142,7303.830673
-2954.857907,7142,7348.570208
-2843.891396,7142,7393.110659
-2621.980715,7142,7437.308367
-3912.001795,7142,7481.496441
-2396.702212,7142,7525.518111
-4198.822359,7142,7572.684252
-1818.746148,7142,7617.910861
-2951.925742,7142,7661.547215
-3212.156019,7142,7705.352409
-2190.339144,7142,7748.619981
-5813.05676,7142,7794.790392
-2794.853777,7142,7838.626693
-2541.221324,7142,7884.40955
-3286.069825,7142,7930.095421
-2817.454882,7142,7975.987934
-4671.590093,7142,8020.15571
-1665.677049,7142,8063.913799
-2794.978271,7142,8108.041854
-1809.219156,7142,8151.057398
-3388.94012,7142,8196.937582
-2767.465617,7142,8240.724902
-2577.104351,7142,8284.412512
-3399.900102,7142,8328.286398
-1842.161099,7142,8372.454634
