#{"t_start": 1595309443.2032268, "env_id": null}
r,l,t
-5410.628114,7142,23.870409
-4486.784863,7142,41.694353
-4036.462428,7142,59.192525
-3428.232257,7142,75.715619
-3391.472991,7142,92.427954
-2730.391938,7142,109.423571
-3549.207871,7142,125.787843
-6047.061945,7142,191.800253
-5446.278501,7142,259.799699
-3681.374494,7142,331.966042
-3785.100894,7142,397.779006
-1244.291055,7142,465.712859
-2901.209893,7142,532.458177
-1480.603831,7142,599.194154
-2101.086812,7142,666.454949
-2012.522544,7142,734.421492
-835.567454,7142,801.654122
-830.834827,7142,867.63261
-759.956319,7142,935.358814
-1988.203279,7142,1002.732895
-492.51115,7142,1068.740847
-1502.357449,7142,1139.997228
-619.014605,7142,1206.847137
-696.828404,7142,1276.590904
-1362.385774,7142,1345.484431
-1064.972231,7142,1411.579478
-2540.15953,7142,1480.164818
-2862.12092,7142,1549.40535
-924.999492,7142,1619.017984
-1733.245379,7142,1688.266043
-303.691264,7142,1756.491624
-775.548357,7142,1823.77326
-1036.196459,7142,1890.887067
-802.566346,7142,1960.256128
-1448.547143,7142,2027.610248
-582.107605,7142,2097.754221
-2896.404807,7142,2166.59001
-76.219322,7142,2234.731033
51.115527,7142,2305.856402
1714.295882,7142,2376.582707
-403.219995,7142,2445.751818
-655.267594,7142,2514.633143
-724.06236,7142,2584.350081
-108.635307,7142,2654.930882
-1241.859019,7142,2724.483793
-72.556639,7142,2789.679056
-520.758009,7142,2858.552312
-2299.482405,7142,2925.240572
795.085075,7142,2990.288911
-335.155913,7142,3059.646527
872.14641,7142,3127.48039
-290.733108,7142,3194.235659
-752.008144,7142,3264.597394
-303.445857,7142,3333.473085
-38.601491,7142,3402.089308
9.92161,7142,3465.765884
90.067521,7142,3536.905479
-2369.822909,7142,3607.152532
-3982.599645,7142,3674.624362
-393.00998,7142,3742.0347
183.157802,7142,3811.413567
-394.10167,7142,3882.43289
-1383.688039,7142,3948.224731
644.909549,7142,4017.234361
1406.267486,7142,4083.869112
