#{"t_start": 1594944335.9953089, "env_id": null}
r,l,t
-4521.121714,7142,33.174905
-3953.393646,7142,59.667639
-1893.372773,7142,84.911214
-7815.798006,7142,113.334229
-2680.488935,7142,138.202483
-3808.193064,7142,163.341681
-2527.599059,7142,189.12385
-4472.152721,7142,250.684315
-5843.682623,7142,315.583139
-1277.589598,7142,377.95473
-380.531943,7142,439.089629
-1969.408637,7142,502.246503
-747.089062,7142,565.069784
-999.773221,7142,627.383107
-840.027386,7142,688.132585
-777.492538,7142,746.993952
-463.38968,7142,807.481918
-1196.723176,7142,868.333891
-477.330072,7142,929.309682
-865.446303,7142,989.686078
-0.3797,7142,1049.306642
-2878.510835,7142,1111.166494
-612.289052,7142,1172.009784
253.711288,7142,1233.671397
-668.652884,7142,1295.396001
-1131.238321,7142,1355.318099
-1447.316382,7142,1415.431077
-1132.08495,7142,1476.791443
-530.741219,7142,1539.028541
-919.980197,7142,1600.035805
-1367.483131,7142,1662.194144
-887.147759,7142,1723.103807
-3063.273305,7142,1783.633886
-851.460808,7142,1845.878842
-149.012833,7142,1906.171666
-1545.895625,7142,1968.648661
-2296.411647,7142,2030.812527
-472.798262,7142,2091.563429
-417.329257,7142,2153.249423
-582.020243,7142,2213.670762
714.58736,7142,2274.698114
-41.031151,7142,2335.061744
573.787192,7142,2396.552188
-192.72771,7142,2456.685182
-207.188249,7142,2518.10814
500.703635,7142,2579.51946
834.44273,7142,2640.809242
-599.114198,7142,2701.668873
1661.901253,7142,2762.699933
307.279352,7142,2821.845736
373.477641,7142,2882.591755
324.727351,7142,2941.87339
-32.330974,7142,3003.088366
-252.152984,7142,3063.47893
-50.306652,7142,3124.70807
-596.830759,7142,3185.654466
-178.433275,7142,3247.181913
532.768343,7142,3309.155253
-521.666157,7142,3368.585286
711.558997,7142,3427.988398
-284.103774,7142,3488.962631
992.332276,7142,3549.898385
-1201.360113,7142,3611.242224
-893.085828,7142,3671.792083
-450.449393,7142,3733.497246
845.331442,7142,3794.750395
523.610074,7142,3854.553028
860.099985,7142,3914.805422
773.397936,7142,3976.906691
876.237087,7142,4038.247225
-1224.364972,7142,4098.496749
-476.909927,7142,4158.808168
-95.836295,7142,4217.500865
-2222.883478,7142,4279.39342
88.562839,7142,4340.341593
-220.729249,7142,4403.071823
255.300213,7142,4464.801676
-369.853723,7142,4525.874793
168.552766,7142,4586.670316
666.261333,7142,4646.965518
46.357351,7142,4707.352772
535.424253,7142,4767.370179
1843.006956,7142,4828.101585
-380.661909,7142,4888.613946
117.662139,7142,4949.863407
236.62788,7142,5010.484235
-45.757458,7142,5070.845326
-273.081985,7142,5130.608617
275.987923,7142,5191.324001
-2233.72402,7142,5252.655205
201.59663,7142,5312.658587
-515.724117,7142,5372.907205
-3863.414633,7142,5433.225199
-879.874947,7142,5493.528363
-184.407668,7142,5554.174722
-1972.908533,7142,5614.568707
-722.777439,7142,5673.621511
-874.089012,7142,5733.391899
-1217.436927,7142,5794.516114
-1086.625386,7142,5855.387543
-499.142873,7142,5916.218641
-342.973449,7142,5977.467392
-482.751319,7142,6038.451409
-899.638344,7142,6099.201456
-1159.771142,7142,6159.692485
-1117.133182,7142,6220.666635
43.61133,7142,6280.608853
-192.325013,7142,6340.553582
-1030.286897,7142,6401.53835
-2716.890958,7142,6463.833175
-1018.145853,7142,6526.71467
-806.971519,7142,6587.103115
-1145.162692,7142,6648.009188
-25.126786,7142,6708.098952
-1240.850703,7142,6769.403408
-817.730739,7142,6828.28172
-968.141351,7142,6889.267752
38.529397,7142,6951.334507
-1210.121237,7142,7012.488561
-198.325031,7142,7072.649156
-276.379095,7142,7131.701867
-4596.209785,7142,7192.328766
-720.553992,7142,7253.019636
-136.875306,7142,7313.490458
-1000.145574,7142,7374.690477
-705.516796,7142,7435.254193
-246.761575,7142,7496.378931
-298.503071,7142,7555.80169
-626.594802,7142,7615.318996
-963.416051,7142,7674.714544
-838.039393,7142,7734.143652
-596.228264,7142,7794.140998
-1244.993795,7142,7857.209454
-960.46095,7142,7919.020489
-909.94693,7142,7980.479633
-527.589566,7142,8040.577517
-156.897013,7142,8099.665451
-906.055117,7142,8159.405291
-1442.004659,7142,8221.201437
-621.101982,7142,8282.222122
-286.234502,7142,8342.985616
-553.465278,7142,8402.182711
-983.487399,7142,8461.816461
-2176.161775,7142,8521.941045
-362.772596,7142,8580.527213
-1767.844365,7142,8640.301322
-1601.419007,7142,8698.796275
-1959.945266,7142,8759.45545
-2.993132,7142,8817.577312
-512.789049,7142,8875.614962
-602.2715,7142,8934.057093
683.47112,7142,8991.766467
-560.386818,7142,9051.910012
-1869.839913,7142,9109.75764
-160.781725,7142,9166.214321
-1513.168306,7142,9222.207591
-1119.251626,7142,9278.950934
-1146.843976,7142,9334.928529
-775.994837,7142,9390.109728
-675.826422,7142,9448.291845
-1165.795597,7142,9506.649553
-715.897328,7142,9564.261748
-619.66828,7142,9621.978339
-4188.955662,7142,9677.786277
-339.578679,7142,9736.048805
-996.641441,7142,9794.592737
-885.147742,7142,9851.983421
-1287.496788,7142,9908.60828
-1196.840569,7142,9965.000564
-470.418107,7142,10021.621684
-1008.360494,7142,10077.560402
-544.061523,7142,10136.61986
-280.670297,7142,10193.190843
-2377.357644,7142,10251.024099
-985.519823,7142,10307.525007
-560.607097,7142,10364.003427
-1086.250712,7142,10421.589412
-1128.822731,7142,10479.429804
-1049.687253,7142,10537.205845
334.100438,7142,10595.328251
-759.387045,7142,10652.872769
405.667439,7142,10709.874611
79.439744,7142,10765.828561
-35.789483,7142,10822.771808
-875.575961,7142,10880.479637
-1096.238688,7142,10940.845416
-201.35493,7142,10998.407675
-1208.23724,7142,11057.372763
597.257049,7142,11115.412729
-567.6041,7142,11173.534123
-415.501005,7142,11230.894812
-1094.462164,7142,11287.983247
-220.758394,7142,11345.727339
-20.37658,7142,11403.352802
-736.73172,7142,11462.643455
-1044.56972,7142,11519.736571
-1666.520877,7142,11576.385524
-900.575691,7142,11633.044892
-860.596034,7142,11689.490599
-873.595491,7142,11747.293213
-1141.835887,7142,11806.034268
-4159.536036,7142,11864.349714
-222.291348,7142,11922.114971
-1050.493262,7142,11978.440508
-2147.652022,7142,12035.243981
-240.900008,7142,12091.092308
-181.843493,7142,12147.738234
-680.143858,7142,12204.299431
-1882.527863,7142,12263.661381
-636.85727,7142,12321.272079
-237.356581,7142,12378.676077
606.132852,7142,12436.441536
-49.280064,7142,12493.597392
101.638466,7142,12552.265103
-1838.090118,7142,12609.056113
-1912.554806,7142,12666.390898
490.576249,7142,12724.848292
-3772.663808,7142,12783.548913
-888.990141,7142,12845.651785
-534.204454,7142,12908.671762
-1095.449322,7142,12969.489295
-220.031864,7142,13030.705322
-554.667843,7142,13091.425814
-2912.023556,7142,13146.7588
-418.622896,7142,13204.302289
-538.381759,7142,13268.540973
-916.648783,7142,13331.536157
-1875.29417,7142,13391.638549
-1372.05846,7142,13451.831225
-3230.177682,7142,13512.342825
-2021.016399,7142,13576.328057
-2834.846418,7142,13639.813799
-2758.938637,7142,13715.023368
-3553.629603,7142,13771.789884
-2326.192312,7142,13827.493704
-1023.613275,7142,13884.084062
-1479.576572,7142,13939.544519
-388.83806,7142,13996.218015
-957.038319,7142,14052.457887
-547.714328,7142,14109.790636
-1056.023978,7142,14168.296214
-1387.379207,7142,14226.344989
-3250.460642,7142,14283.379331
-445.435998,7142,14338.576396
-1575.431858,7142,14394.766525
-1663.691606,7142,14451.667286
-1785.187973,7142,14508.21871
