#{"t_start": 1594309136.4043303, "env_id": null}
r,l,t
-7246.668256,7142,59.14766
-6327.192713,7142,111.467682
-3107.513176,7142,163.080134
-7059.504153,7142,213.931036
-3995.201608,7142,265.484246
-4766.127356,7142,314.711406
-6549.603298,7142,364.710108
-2697.918751,7142,413.151943
-3384.242027,7142,461.379781
-6502.824332,7142,511.634719
-4617.904332,7142,561.626786
-4319.721664,7142,611.511056
-3656.771839,7142,662.954473
-3096.242685,7142,713.316296
-2534.063363,7142,765.742228
-2033.465885,7142,815.846244
-1905.933133,7142,864.559111
-1799.484243,7142,915.208708
-1084.65719,7142,965.358995
-1236.783922,7142,1015.155048
-2480.64202,7142,1064.191245
-2058.148842,7142,1113.970818
-1732.82722,7142,1163.830872
-1422.409905,7142,1214.78571
-2929.903018,7142,1267.22474
-2341.045524,7142,1319.416309
-1366.502223,7142,1369.536147
-2122.249825,7142,1417.665188
-1174.617412,7142,1466.210399
-2736.198501,7142,1515.728269
-2913.055071,7142,1564.289245
-1806.8518,7142,1612.972257
-1523.848813,7142,1660.303849
-1604.148079,7142,1708.874714
-1472.817361,7142,1758.769696
-1256.214325,7142,1808.772169
-1349.280118,7142,1858.463469
-2716.56908,7142,1909.849211
-1850.834495,7142,1961.061244
-604.864895,7142,2010.21251
-1267.196265,7142,2060.082804
-2246.558358,7142,2109.553071
-832.768302,7142,2158.162928
-1491.336668,7142,2207.631125
-811.482918,7142,2255.266906
-448.807198,7142,2302.931991
-564.989374,7142,2351.05273
-545.464402,7142,2400.6033
-865.785874,7142,2451.19872
-562.41859,7142,2501.348553
-979.168072,7142,2550.871063
-359.744509,7142,2599.405435
-2261.154205,7142,2648.351088
-1162.114731,7142,2697.150862
270.912176,7142,2746.688979
-59.4436,7142,2794.683856
-1528.078745,7142,2843.670007
-2482.842477,7142,2895.012433
-907.692441,7142,2943.299566
-1500.800695,7142,2994.184664
-1055.982615,7142,3043.65001
9.55636,7142,3091.991431
-2428.726108,7142,3141.201687
-97.993262,7142,3190.306499
-425.054537,7142,3239.360224
-710.624381,7142,3288.444389
197.138587,7142,3338.306538
97.114279,7142,3387.010276
-553.961379,7142,3436.019715
-1073.377658,7142,3484.918651
-740.316654,7142,3533.347429
-798.54681,7142,3584.65036
-726.385753,7142,3631.498813
-299.349303,7142,3678.93942
-100.393832,7142,3724.124126
-104.80171,7142,3770.439671
56.799045,7142,3816.042121
-443.25042,7142,3862.447893
200.444293,7142,3908.488315
-388.095727,7142,3955.308259
-390.096017,7142,4001.388602
-1641.413366,7142,4048.847046
-51.231824,7142,4094.021698
1324.96324,7142,4140.189979
-332.105919,7142,4184.104072
885.427665,7142,4229.565798
79.714294,7142,4274.330871
197.439192,7142,4319.817605
1010.866249,7142,4365.069809
937.158945,7142,4409.83269
378.439998,7142,4454.49977
3101.005792,7142,4499.332639
2243.652468,7142,4544.877867
1198.441715,7142,4590.403468
1465.747419,7142,4636.089474
1396.750135,7142,4682.101549
2129.228497,7142,4727.286303
1402.962187,7142,4772.284915
1160.285979,7142,4817.223946
2382.105664,7142,4862.164368
638.183871,7142,4907.206338
1103.182553,7142,4951.642111
2086.250709,7142,4997.663191
2059.894695,7142,5042.385164
2823.818722,7142,5087.748975
3084.888754,7142,5132.530318
4337.006051,7142,5177.320077
2830.331294,7142,5222.532414
1455.897823,7142,5267.365158
5093.906259,7142,5312.294325
2474.134795,7142,5357.290151
899.04359,7142,5402.161726
2796.889362,7142,5446.192766
4002.122736,7142,5490.379509
446.077929,7142,5536.473622
5956.167876,7142,5580.245989
4563.646374,7142,5624.644204
5313.378819,7142,5668.531079
5897.482628,7142,5712.882733
4445.89004,7142,5757.151851
4606.23945,7142,5800.376335
303.99458,7142,5845.406865
4725.091065,7142,5888.973097
7571.958648,7142,5933.205185
4891.220415,7142,5976.914063
6076.47862,7142,6020.44558
5344.492065,7142,6063.693172
4855.046358,7142,6106.891628
3323.278,7142,6150.716515
6970.780157,7142,6194.29027
5328.216344,7142,6238.419904
3255.575832,7142,6282.70012
6535.500901,7142,6326.718529
-1658.100683,7142,6371.62929
7064.573509,7142,6414.608566
6064.518728,7142,6457.862883
4052.594244,7142,6501.039337
-109.729445,7142,6544.849562
