#{"t_start": 1594152284.628839, "env_id": null}
r,l,t
-6791.270793,7142,34.222785
-4900.646906,7142,66.210211
-5543.570182,7142,103.120315
-5734.88757,7142,143.273304
-8579.320852,7142,183.003896
-5774.826425,7142,221.185026
-7463.817597,7142,264.681226
-3031.728045,7142,307.575039
-4250.200961,7142,348.497501
-7459.375832,7142,389.178317
-4719.561846,7142,431.106022
-5663.47672,7142,471.097188
-7057.621127,7142,514.387835
-4884.758449,7142,555.54278
-3508.817794,7142,597.088301
-4532.233329,7142,637.573401
-4015.096566,7142,678.991107
-4528.048327,7142,719.252393
-3625.333698,7142,760.950169
-7034.168125,7142,803.462495
-3711.880556,7142,845.271148
-3487.6697,7142,886.933971
-2805.274036,7142,928.41214
-2713.14699,7142,969.488471
-2677.515095,7142,1010.14697
-6920.459297,7142,1053.242007
-4325.742757,7142,1093.415226
-4459.695658,7142,1134.978308
-2782.369083,7142,1176.317353
-3599.255906,7142,1219.250193
-3482.275588,7142,1259.414347
-3049.391343,7142,1299.9766
-4370.599926,7142,1340.489287
-3588.264448,7142,1380.410513
-4831.345348,7142,1422.249901
-3976.609817,7142,1464.386575
-2598.713965,7142,1505.459115
-2590.125958,7142,1547.828225
-2073.533689,7142,1588.092808
-1937.517699,7142,1629.154085
-1875.346376,7142,1669.245893
-3400.945742,7142,1711.687684
-1354.238246,7142,1754.417328
-3143.176279,7142,1795.181061
-1575.725299,7142,1836.10078
-2333.926144,7142,1876.153446
-2678.457273,7142,1917.197227
-1714.347928,7142,1959.208993
-1399.734757,7142,1999.974243
-436.163844,7142,2042.125256
-1513.939606,7142,2082.999581
-687.795779,7142,2122.340529
-1960.297119,7142,2164.171996
-623.214797,7142,2204.447583
-1011.564088,7142,2245.881613
-1210.691683,7142,2285.957116
-2425.646191,7142,2329.089948
-2595.213628,7142,2373.413873
-923.425998,7142,2414.76964
-1640.751844,7142,2457.680179
-1502.811812,7142,2498.423433
-966.658669,7142,2539.363188
-1736.625089,7142,2580.431417
-472.217106,7142,2624.667323
54.217058,7142,2665.251098
-786.540825,7142,2706.309348
-1066.271296,7142,2747.18473
-597.918854,7142,2788.412832
-5256.392096,7142,2829.87065
-879.670682,7142,2871.467122
-1160.488911,7142,2913.407468
-1918.750119,7142,2955.635159
-916.507362,7142,2996.052683
-279.646352,7142,3039.402321
-1147.456195,7142,3081.214837
-999.932253,7142,3121.979314
-1037.019003,7142,3163.330801
-1880.474903,7142,3207.281019
-1176.510405,7142,3248.576907
-2731.52595,7142,3292.011364
-717.64187,7142,3333.168766
-2316.212864,7142,3376.11862
-556.07099,7142,3418.427838
1069.726194,7142,3459.983619
-470.404675,7142,3501.341855
-1234.877691,7142,3541.363078
-742.737946,7142,3583.301506
-1510.094641,7142,3626.357626
-637.164709,7142,3667.508458
-293.891791,7142,3710.055378
-1089.898921,7142,3750.323605
-246.773831,7142,3793.051865
-563.967232,7142,3834.486598
-469.052525,7142,3883.010055
-773.529929,7142,3926.072406
-255.589594,7142,3968.493723
-1114.917918,7142,4009.356688
-1062.597518,7142,4051.411847
-131.602902,7142,4093.571431
-174.22891,7142,4134.279683
-715.310943,7142,4175.799376
-457.558282,7142,4216.872211
-139.437634,7142,4259.656281
-447.637917,7142,4299.947507
-317.575766,7142,4341.5697
-307.282754,7142,4384.141334
-283.311049,7142,4423.955927
-281.757166,7142,4465.388566
-4236.730878,7142,4507.119827
125.716889,7142,4548.849295
-628.660971,7142,4590.225153
-1018.900466,7142,4630.866829
-830.559865,7142,4673.428416
-96.667041,7142,4714.509063
-150.432398,7142,4758.693119
890.341414,7142,4799.503175
325.644541,7142,4840.685662
-292.598332,7142,4880.866885
-322.936196,7142,4922.593369
399.8954,7142,4964.437283
495.708917,7142,5005.088609
-1486.550277,7142,5048.263299
-387.317605,7142,5088.364117
552.218662,7142,5129.750411
359.965505,7142,5170.096983
1712.139358,7142,5211.805007
462.889672,7142,5253.816275
121.177366,7142,5293.822128
-1358.789797,7142,5335.533597
-124.368944,7142,5378.155713
1.522258,7142,5420.7901
1652.837186,7142,5463.426099
2006.920416,7142,5506.495229
-1375.978578,7142,5551.300919
-284.365714,7142,5592.083646
-177.473587,7142,5632.801376
-856.648414,7142,5675.057156
-2200.847123,7142,5718.956927
1711.941983,7142,5759.584724
-506.990075,7142,5801.272402
258.173988,7142,5841.999913
-759.929645,7142,5884.607293
910.073212,7142,5927.576791
82.667287,7142,5968.372183
1069.644367,7142,6010.810337
1388.260189,7142,6052.414551
653.330284,7142,6093.826732
125.182096,7142,6136.92642
273.926072,7142,6178.819755
1158.384288,7142,6220.46347
532.244177,7142,6262.778813
1204.608768,7142,6303.667346
329.257725,7142,6345.810117
1078.368936,7142,6386.013275
-266.563817,7142,6429.991281
-1504.48038,7142,6474.411466
1941.936425,7142,6515.649001
1388.612105,7142,6556.561361
1436.675143,7142,6597.952182
2225.460383,7142,6640.701793
2035.081182,7142,6681.948003
2177.33386,7142,6725.818089
2092.630365,7142,6769.598598
1288.109175,7142,6810.599233
1611.799672,7142,6850.806139
1990.523903,7142,6891.587348
3562.717849,7142,6932.973325
2280.786413,7142,6973.615077
3207.999363,7142,7014.734169
-107.241554,7142,7058.398115
1040.335301,7142,7101.510104
1236.493669,7142,7142.723831
1328.230534,7142,7183.869606
3744.460055,7142,7225.007754
-170.26571,7142,7268.643867
2883.721163,7142,7310.667524
2339.238886,7142,7352.681583
1164.451072,7142,7394.684057
-239.861986,7142,7437.663757
-703.646547,7142,7480.076939
6625.332956,7142,7522.263447
2792.131433,7142,7562.973736
9111.132552,7142,7604.49903
3385.258319,7142,7646.369281
3123.394178,7142,7687.986711
2934.903277,7142,7728.979193
3134.703263,7142,7771.150468
6106.031075,7142,7812.575606
257.588098,7142,7853.754831
5196.125333,7142,7894.445627
8164.579665,7142,7936.982326
9514.082385,7142,7977.591849
3807.131865,7142,8019.075602
2657.756753,7142,8062.208507
3232.466889,7142,8101.902403
8878.983715,7142,8144.892184
3120.411989,7142,8187.056756
4295.811836,7142,8230.025503
4384.529966,7142,8272.385433
5066.813399,7142,8313.918922
3833.631963,7142,8356.509363
6631.851753,7142,8397.359399
1754.537213,7142,8438.037546
-137.181876,7142,8479.82001
5004.744927,7142,8521.883247
2888.082281,7142,8563.406497
