#{"t_start": 1593886551.9224308, "env_id": null}
r,l,t
-2727.371408,7142,21.846399
-2823.132431,7142,41.736981
-2673.200217,7142,61.348199
-2665.589075,7142,87.724662
-4572.541662,7142,108.747225
-3114.977559,7142,127.780186
-4509.496227,7142,147.661329
-3846.040207,7142,176.06513
-2499.573282,7142,200.574893
-1571.659033,7142,221.768954
-3186.024114,7142,243.369112
-1659.163695,7142,263.228192
-2538.259653,7142,282.239576
-2213.479778,7142,301.839331
-1598.278091,7142,321.990719
-2490.516144,7142,349.747295
-2412.625935,7142,368.772606
-2840.856914,7142,393.545982
-1846.203716,7142,419.478919
-844.831429,7142,439.34982
-1448.908807,7142,469.013637
-2321.813967,7142,489.448908
-2164.490602,7142,512.266211
-1081.894374,7142,531.474864
-1940.179554,7142,550.545952
-1583.992028,7142,569.620311
-913.898885,7142,602.422206
-1435.626677,7142,624.103573
-545.88141,7142,652.856675
-1321.602003,7142,675.893537
-986.894483,7142,697.12133
-1266.343982,7142,728.081657
-847.364292,7142,751.064846
-1327.80811,7142,778.043487
-1109.164147,7142,799.745491
-1289.043476,7142,826.662968
-963.636098,7142,849.172105
-1616.538347,7142,872.230301
-2613.45605,7142,899.387254
-2336.475087,7142,928.506649
-1371.596772,7142,952.855461
-437.169204,7142,975.81726
-764.036967,7142,1001.112159
-543.601539,7142,1025.188639
-611.926713,7142,1055.686655
-666.351857,7142,1076.597866
-1456.799105,7142,1100.54489
-900.729076,7142,1127.81403
-970.280476,7142,1150.441656
-2005.993784,7142,1180.770696
-1071.699043,7142,1202.429409
-1891.389239,7142,1225.876782
-967.637728,7142,1254.851394
-857.234275,7142,1285.882036
-1749.252334,7142,1310.263075
-964.55382,7142,1331.884771
-999.281172,7142,1353.61469
-1203.385643,7142,1375.400164
-1066.374559,7142,1406.092173
-1408.024098,7142,1429.297603
-1409.837646,7142,1455.058642
-1194.000559,7142,1478.312356
-709.008085,7142,1505.369203
-321.333198,7142,1539.81983
-572.883915,7142,1563.13784
-348.824392,7142,1586.981252
-478.565166,7142,1610.036185
-401.043802,7142,1632.348581
261.470901,7142,1663.766855
-1004.278605,7142,1686.710462
-247.077734,7142,1711.901549
-769.148334,7142,1738.630992
-570.929957,7142,1763.289814
663.338838,7142,1790.744549
-347.451177,7142,1815.330829
621.239618,7142,1843.523405
-2428.794699,7142,1865.376982
-140.131196,7142,1885.612616
-1604.0473,7142,1908.885591
-49.695488,7142,1935.119367
-288.092866,7142,1963.338565
-127.062683,7142,1990.431953
-1323.868817,7142,2016.952346
-1081.627704,7142,2038.48488
326.24751,7142,2062.597759
198.741012,7142,2086.354525
-774.47174,7142,2112.800952
-347.945872,7142,2135.288028
-1856.118476,7142,2156.701715
-258.857609,7142,2183.543902
249.01745,7142,2216.719016
-510.37674,7142,2241.459737
357.171482,7142,2264.848068
-531.715208,7142,2291.181624
-509.874776,7142,2314.038242
-508.605594,7142,2340.969001
-413.445012,7142,2362.243998
-469.102906,7142,2384.81173
-1086.31109,7142,2410.168965
720.278627,7142,2433.071524
224.916357,7142,2463.414274
-1563.109015,7142,2486.443482
-546.529035,7142,2510.082103
-493.005339,7142,2533.074505
707.169372,7142,2562.128383
-267.575306,7142,2585.148162
555.993829,7142,2611.481186
156.397161,7142,2641.06484
-798.246829,7142,2662.755151
-287.838816,7142,2684.433511
-281.715925,7142,2706.917228
230.14655,7142,2733.030388
858.424238,7142,2757.397098
-207.995777,7142,2782.77405
-799.582092,7142,2805.857378
-567.970049,7142,2835.199051
-621.580692,7142,2865.858858
-171.212383,7142,2890.032687
282.860441,7142,2919.621317
-550.395468,7142,2940.09729
-361.317553,7142,2962.17866
-301.511015,7142,2984.605419
-756.476645,7142,3008.410591
-715.919239,7142,3038.323182
-88.854813,7142,3060.348678
372.907891,7142,3092.836238
139.571092,7142,3116.360186
48.001586,7142,3141.190412
53.840315,7142,3175.145454
-217.149162,7142,3196.673298
-548.84483,7142,3217.939703
-138.373653,7142,3239.876321
-448.336166,7142,3263.405383
-348.941967,7142,3285.864679
387.382047,7142,3317.562283
-669.152053,7142,3339.427163
323.382214,7142,3364.849384
-78.312366,7142,3388.438195
-433.954118,7142,3412.981205
-365.811039,7142,3436.190188
-666.777119,7142,3457.484761
137.975381,7142,3479.854009
-786.064942,7142,3501.86857
580.112509,7142,3534.434837
-198.711795,7142,3555.6781
506.735054,7142,3580.878212
479.896283,7142,3604.059238
611.148151,7142,3629.716152
545.442972,7142,3651.922997
429.264377,7142,3679.470664
-1066.776428,7142,3705.380169
513.935382,7142,3728.151291
271.880894,7142,3754.107195
523.137301,7142,3777.036929
67.746705,7142,3802.645631
-1043.378675,7142,3824.930924
1499.773362,7142,3854.626043
-538.344419,7142,3877.920699
-2343.445282,7142,3908.202067
673.438667,7142,3937.941846
-927.34976,7142,3960.693985
-156.734017,7142,3988.772416
-192.521843,7142,4011.016835
821.740057,7142,4033.354156
-131.990148,7142,4060.11595
706.807477,7142,4084.223226
739.154735,7142,4113.500149
-691.649682,7142,4135.964645
-320.024543,7142,4162.20558
-189.490715,7142,4185.395894
-437.236849,7142,4219.399124
1209.871853,7142,4246.662646
-373.342448,7142,4268.250699
-362.305849,7142,4290.322061
-803.505364,7142,4315.093593
1053.458329,7142,4344.804362
-573.505116,7142,4367.245922
-1686.596711,7142,4393.988381
169.84596,7142,4420.185777
-51.000165,7142,4448.254231
-129.079731,7142,4478.083181
454.155879,7142,4502.873104
