#{"t_start": 1594703524.667645, "env_id": null}
r,l,t
-1175.630837,1428,15.281965
-1574.359388,1428,26.417156
-1333.071152,1428,37.750732
-1295.826271,1428,49.342972
-1249.9535,1428,60.381188
-2036.304056,1428,71.678215
-1808.455474,1428,82.717674
-1342.838464,1428,94.656508
-1013.25828,1428,105.773909
-1967.395391,1428,116.995833
-1741.863617,1428,128.641147
-1345.344173,1428,139.940035
-1378.508286,1428,151.294648
-536.671634,1428,162.536062
-1263.926456,1428,173.997476
-552.559041,1428,185.151696
-861.66875,1428,196.748046
-944.101248,1428,209.233341
-836.123665,1428,221.689009
-697.574914,1428,234.125944
-950.774269,1428,246.350288
-939.112835,1428,259.091743
-579.607773,1428,271.351615
-1195.974199,1428,283.829038
-1599.925975,1428,296.174619
-388.008624,1428,308.803901
-1110.504014,1428,321.244834
-333.205045,1428,333.485521
-294.273969,1428,346.406199
-267.982218,1428,358.727782
-906.041813,1428,370.952549
11.774711,1428,383.135669
-1721.796223,1428,395.838798
-562.595182,1428,408.217944
-1751.437875,1428,420.758341
-836.745117,1428,433.743505
-403.479407,1428,445.979985
-1206.12555,1428,458.424249
-1187.705807,1428,470.631026
-700.809235,1428,483.57942
-239.107865,1428,496.378094
-1627.471197,1428,509.012237
-1147.195333,1428,522.510541
-753.409286,1428,535.020178
-831.046924,1428,547.354409
-399.260648,1428,559.581381
-50.327941,1428,572.475435
-362.382028,1428,584.970754
-1340.68309,1428,597.490195
-249.429537,1428,610.187961
-459.164595,1428,623.328385
-833.222984,1428,635.804727
-596.480296,1428,648.327779
-993.351122,1428,661.08381
-742.605627,1428,673.598679
-547.110334,1428,686.06026
-726.718967,1428,699.035436
-547.170179,1428,711.787535
-472.828155,1428,724.250286
-480.117664,1428,736.665904
-741.745961,1428,749.689214
-385.000336,1428,762.009973
-434.470282,1428,774.453766
-572.198671,1428,787.311211
-2856.822332,1428,800.401112
-582.492831,1428,812.522317
-926.723345,1428,825.016989
-801.589368,1428,837.811805
-854.713003,1428,850.233074
-457.769982,1428,862.781129
-640.93084,1428,875.56311
-145.315428,1428,888.224915
-556.651466,1428,900.792934
