#{"t_start": 1594310121.7805119, "env_id": null}
r,l,t
-6503.395694,7142,28.701816
-3503.309932,7142,53.797616
-4792.594465,7142,79.200383
-6660.108124,7142,104.461024
-7279.01139,7142,130.677167
-7967.875606,7142,156.177378
-10456.480507,7142,182.033512
-5893.413315,7142,208.419798
-6606.795236,7142,234.714754
-9094.110387,7142,262.134322
-3492.056418,7142,288.992882
-12307.89428,7142,314.996479
-4858.362486,7142,342.360998
-14929.108482,7142,368.992074
-7155.093726,7142,395.211215
-6388.303984,7142,420.607917
-6770.438283,7142,445.59007
-5727.370489,7142,469.940198
-5665.432251,7142,494.691267
-7102.162327,7142,520.762878
-7024.74976,7142,545.881718
-9628.289763,7142,571.668837
-6992.469742,7142,597.221961
-5364.782186,7142,622.43844
-4997.575114,7142,647.07134
-10460.634145,7142,672.036832
-5981.489567,7142,696.242327
-8161.344874,7142,721.830772
-10002.592776,7142,748.338233
-5438.835234,7142,774.489061
-3921.765213,7142,799.466305
-7023.201745,7142,825.898571
-7266.847683,7142,852.069041
-11128.370986,7142,878.167255
-10912.560226,7142,904.391512
-8312.64542,7142,931.282212
-5951.650258,7142,957.72523
-7079.111627,7142,983.976095
-7719.996915,7142,1010.405233
-5653.016171,7142,1035.704024
-5627.183081,7142,1060.277311
-6771.909171,7142,1085.929553
-7490.887069,7142,1114.06257
-7742.328815,7142,1139.644172
-6939.882883,7142,1164.514967
-9751.827128,7142,1190.022294
-9152.717638,7142,1215.35911
-7840.644562,7142,1240.486838
-6029.401772,7142,1265.182323
-7461.995053,7142,1289.801695
-5107.615724,7142,1315.044571
-6012.826737,7142,1341.087449
-12984.343186,7142,1367.14222
-3517.047742,7142,1393.023936
-6429.392443,7142,1419.178929
-6890.275124,7142,1445.064769
-3701.783641,7142,1472.829848
-6489.984664,7142,1499.740942
-2345.791729,7142,1524.882692
-7817.400928,7142,1550.932185
-6347.199695,7142,1577.489875
-6804.617576,7142,1602.225208
-6428.64249,7142,1627.657338
-7808.511358,7142,1653.44021
-5454.999294,7142,1678.711456
-6201.302163,7142,1703.497013
-4991.324028,7142,1728.958851
-5768.801464,7142,1754.408599
-5713.481628,7142,1779.853687
-9820.64233,7142,1805.863396
-5836.774697,7142,1832.728174
-7283.994398,7142,1857.823511
-6263.833797,7142,1882.762918
-2147.693028,7142,1908.129576
-5671.189832,7142,1932.94733
-5594.602791,7142,1958.891103
-5205.528207,7142,1985.199667
-5233.963662,7142,2011.813877
-7201.26175,7142,2037.365534
-6559.671578,7142,2062.12352
-3520.830506,7142,2086.103122
-5204.427671,7142,2110.760308
-1274.031077,7142,2136.136556
-3299.615994,7142,2161.850978
-5737.854804,7142,2189.275247
-3405.020932,7142,2214.004007
-6982.586918,7142,2238.999643
-5435.530948,7142,2264.771665
-6654.16318,7142,2289.15841
-5518.871645,7142,2313.130675
-4720.291561,7142,2337.542711
-1686.925188,7142,2363.339692
-3580.573638,7142,2388.848023
-2537.830466,7142,2413.985226
-3675.215228,7142,2439.600558
-2567.476967,7142,2465.024457
-8657.186538,7142,2489.688547
-2462.684235,7142,2515.222009
-2267.761419,7142,2541.423059
-2845.591605,7142,2566.21566
-5018.395449,7142,2592.726452
-2144.138909,7142,2617.097497
-4169.411813,7142,2640.594126
-1283.030913,7142,2663.238854
-3131.650506,7142,2686.904685
-4229.350438,7142,2710.115515
-726.322185,7142,2733.393822
-4904.795896,7142,2756.065497
-1067.254425,7142,2779.371627
-2351.483851,7142,2802.501542
-2312.569147,7142,2825.547873
-7172.459591,7142,2849.03171
-3534.930419,7142,2874.476802
-8485.243795,7142,2897.284935
-1973.410487,7142,2920.533119
-4437.745083,7142,2943.407733
-4657.736108,7142,2966.38611
-877.891293,7142,2989.083167
-8919.551361,7142,3012.755926
-4653.90049,7142,3036.363184
-1780.913891,7142,3060.005033
-4368.847953,7142,3083.75107
-4994.160897,7142,3107.405947
-789.244451,7142,3130.433522
-3976.630069,7142,3153.79611
-3202.243733,7142,3176.244487
-5877.504398,7142,3201.856473
-2017.978884,7142,3224.413328
-4527.37525,7142,3247.366731
-3103.078558,7142,3269.833812
-3948.752798,7142,3292.588502
-4093.949926,7142,3315.334779
-4242.254895,7142,3338.212797
-5359.411183,7142,3361.114007
-6236.953904,7142,3383.532717
-3056.253375,7142,3406.392477
-3319.671755,7142,3429.501279
