#{"t_start": 1594411588.5141447, "env_id": null}
r,l,t
-475.896642,1428,9.712387
-1061.355523,1428,16.245166
-466.06482,1428,22.757931
-766.201751,1428,28.916549
-448.195798,1428,35.335058
-893.033619,1428,41.685538
-498.268839,1428,47.449635
-984.93991,1428,53.81778
-457.399277,1428,59.969573
-1508.433614,1428,66.460836
-266.965828,1428,72.658834
-864.676612,1428,79.079442
-584.422596,1428,85.098084
-760.725797,1428,91.339579
-136.407674,1428,97.699321
-327.717706,1428,103.879706
-365.11013,1428,110.101891
-523.104056,1428,116.275885
-271.89982,1428,122.663342
-615.462166,1428,128.677461
153.086737,1428,134.96623
-887.162438,1428,141.223278
-584.654593,1428,147.207784
-1047.772511,1428,153.40326
-834.967739,1428,159.342536
-515.369794,1428,165.615495
-942.019886,1428,171.649903
-631.636387,1428,177.353652
-625.746555,1428,183.624386
-1934.834931,1428,189.613325
-789.789881,1428,195.914715
-1865.986382,1428,201.892554
-465.493782,1428,207.700939
-375.705758,1428,213.684647
-828.724984,1428,219.550447
-1964.528755,1428,225.695972
-1164.891011,1428,231.346934
-819.451581,1428,237.471296
-1115.421151,1428,243.175322
-495.269665,1428,249.594436
-399.337027,1428,255.427386
-1053.072837,1428,261.418864
-1046.517013,1428,267.767453
-1787.669388,1428,273.673591
-572.174803,1428,279.981245
-356.288556,1428,286.140916
-579.462177,1428,292.188051
-465.703911,1428,298.167678
-1676.002668,1428,304.186255
-667.903236,1428,310.31947
-1538.748556,1428,316.281242
-654.047343,1428,322.595148
-849.932279,1428,328.575842
-782.277164,1428,335.077682
-2905.559551,1428,340.837795
-1168.755812,1428,346.635261
-588.871035,1428,352.953782
-427.119069,1428,358.897555
-304.566526,1428,365.096995
-575.917228,1428,370.923564
-420.78997,1428,377.252444
-2094.858355,1428,383.37354
-766.650672,1428,389.389705
-357.261503,1428,395.825507
-2235.633968,1428,401.739258
-907.728191,1428,408.341935
-385.712905,1428,414.489654
-620.977021,1428,420.675146
-1565.974314,1428,426.87982
-518.158822,1428,433.182422
