#{"t_start": 1594084458.5042834, "env_id": null}
r,l,t
-2134.228641,7142,28.018001
-3416.636001,7142,52.413719
-2566.061183,7142,76.918756
-1793.535137,7142,103.317227
-2225.731302,7142,127.640565
-2231.363245,7142,153.086688
-3637.412312,7142,178.163975
-2807.713775,7142,203.681114
-3709.01633,7142,228.9984
-2956.201209,7142,254.410181
-2219.648883,7142,280.286038
-2162.11259,7142,305.561818
-1254.544947,7142,330.254742
-3553.767689,7142,355.349525
-8929.806724,7142,380.941829
-1033.107684,7142,406.308254
-3105.54698,7142,451.085367
-3782.966929,7142,501.686659
-3565.300232,7142,544.666829
-5607.539251,7142,588.69446
-2068.19204,7142,631.339582
-1705.809093,7142,675.431295
-2735.835069,7142,719.279874
439.059378,7142,762.294959
-1674.398955,7142,806.021721
-247.90295,7142,849.983164
-2103.656519,7142,893.796892
-3186.288579,7142,937.418308
-6442.372569,7142,981.28192
-7376.400213,7142,1023.968739
-1020.927564,7142,1067.420721
-3087.069434,7142,1111.354619
-4655.634065,7142,1154.413387
-1862.608723,7142,1197.881878
-1800.506539,7142,1240.267979
-1241.109967,7142,1283.641673
-1712.290418,7142,1326.769773
-2746.458996,7142,1369.423749
-5583.178435,7142,1414.107778
-3653.447175,7142,1457.305695
-4675.210261,7142,1501.327648
-5155.484424,7142,1544.04865
-2094.093027,7142,1588.228604
-2333.961322,7142,1632.259089
-4169.379605,7142,1675.312021
-629.248674,7142,1719.117194
-1176.053127,7142,1761.701691
-2680.903243,7142,1805.510091
-3307.153374,7142,1847.897728
-3569.366022,7142,1890.584078
-3254.968965,7142,1933.332242
-3485.13748,7142,1976.14854
-4833.753369,7142,2019.574715
-3923.36469,7142,2061.944877
-1307.635323,7142,2105.147216
-925.045155,7142,2147.65638
-1325.710368,7142,2190.934514
-2534.948443,7142,2234.369635
4899.715216,7142,2277.726294
-3280.82228,7142,2321.118276
-2274.185764,7142,2364.18597
-4734.832987,7142,2407.391833
-2865.329113,7142,2450.226414
-1622.455119,7142,2493.758057
-2442.444914,7142,2537.521406
-5011.670151,7142,2580.245587
-2051.486214,7142,2623.305817
-4507.666724,7142,2666.400886
-865.753994,7142,2709.650194
-3910.927665,7142,2752.270996
-2065.625609,7142,2795.235335
-3175.776059,7142,2839.233892
-4896.376345,7142,2885.851664
-1288.988256,7142,2929.515521
-3274.338736,7142,2971.934259
-1755.60493,7142,3015.699032
-2746.355234,7142,3058.195493
-1129.249766,7142,3101.847198
-1609.697433,7142,3145.130195
-857.677543,7142,3188.912471
-3361.251012,7142,3235.196015
-2293.273125,7142,3288.80325
-431.447548,7142,3340.37773
