#{"t_start": 1594576314.7837832, "env_id": null}
r,l,t
-154.708766,1428,15.813936
-837.029523,1428,28.054398
-524.038274,1428,40.338646
-768.532192,1428,52.595539
-926.09932,1428,64.931895
-945.243067,1428,77.24097
-2219.4835,1428,89.562974
-1134.305747,1428,102.076177
-1213.497054,1428,114.603427
-1401.936735,1428,127.232859
-1829.040837,1428,139.704189
-1595.540142,1428,152.307311
-838.950936,1428,164.922004
-1170.069176,1428,177.429606
-1169.898146,1428,189.940469
-1755.756018,1428,202.501031
-1315.122239,1428,215.111534
-1056.51936,1428,227.699141
-666.177356,1428,240.303921
172.902666,1428,252.937342
-423.671145,1428,265.651014
-731.591874,1428,278.297961
-771.312286,1428,291.156624
-294.456441,1428,303.933619
-960.609938,1428,316.540864
-462.41578,1428,329.29054
-142.721852,1428,342.02136
-146.846431,1428,354.73335
-327.474436,1428,367.341566
-643.582783,1428,380.084006
-301.82815,1428,392.764052
-459.306561,1428,405.530957
-513.990294,1428,418.302431
-701.587906,1428,431.059449
-921.387989,1428,443.662829
-386.242941,1428,456.358391
-938.559199,1428,469.048779
-1126.594967,1428,481.686469
-647.136225,1428,494.615354
-250.433041,1428,507.521433
-1063.961034,1428,520.252232
-1432.075814,1428,532.969644
-620.995852,1428,545.657538
-458.922711,1428,558.362906
-1219.03293,1428,571.142681
-818.767954,1428,583.973286
-836.957209,1428,596.76315
-1135.465599,1428,609.593156
-571.193193,1428,622.223979
-740.137402,1428,634.944032
-444.29511,1428,647.763587
-632.266242,1428,660.668347
-812.695033,1428,673.455161
-796.638765,1428,686.210518
-913.435344,1428,698.943405
-924.002663,1428,711.701528
-1251.296428,1428,724.510249
-353.979431,1428,737.264277
-210.182798,1428,750.119725
-554.753252,1428,762.83126
-642.514879,1428,775.569839
-543.10847,1428,788.18665
-1248.48056,1428,801.000964
-636.317701,1428,813.767278
-555.53532,1428,826.392812
-1664.797743,1428,839.222271
-400.080654,1428,851.902772
-367.423865,1428,864.674248
-527.975125,1428,877.164376
-452.663289,1428,889.825058
61.069969,1428,902.568686
-190.940969,1428,915.303783
-953.140656,1428,928.149905
-536.556764,1428,940.926552
-1304.954018,1428,953.560211
-1073.8276,1428,966.40678
-1911.777454,1428,979.047686
-415.081391,1428,991.869672
-541.945663,1428,1004.623692
-1725.544651,1428,1017.333851
-1805.726863,1428,1030.097969
-834.41249,1428,1042.741194
-879.653644,1428,1055.432867
-930.935623,1428,1068.199253
-1035.119334,1428,1080.808416
-142.682661,1428,1093.522759
-661.719757,1428,1106.484988
-297.020574,1428,1119.113958
-713.815874,1428,1131.769378
-1109.652507,1428,1144.436077
-185.46696,1428,1157.276517
-301.353802,1428,1170.005489
-1495.275668,1428,1182.84689
-832.057354,1428,1195.627101
-1083.500933,1428,1208.375563
-435.696289,1428,1221.209484
-1459.293242,1428,1234.024112
-364.135744,1428,1246.719982
-962.299648,1428,1259.400548
-494.795059,1428,1272.130357
-1020.353568,1428,1284.871106
-480.36244,1428,1297.429554
-336.124405,1428,1310.231351
-358.108451,1428,1323.095553
-811.147466,1428,1335.74711
-476.336099,1428,1348.49546
-480.322898,1428,1361.391237
-925.912237,1428,1374.102683
-704.426336,1428,1386.819799
-125.311352,1428,1399.589608
-620.235742,1428,1412.511726
-650.338361,1428,1425.263994
-1114.64387,1428,1437.988477
-893.728932,1428,1450.736687
-397.343074,1428,1463.536027
-160.48427,1428,1476.374264
-145.925279,1428,1489.233346
-821.749659,1428,1502.012686
-1121.799227,1428,1514.776148
-308.824031,1428,1527.480851
-1841.743808,1428,1540.282714
-338.842162,1428,1553.013242
-829.148897,1428,1565.866101
-1207.311951,1428,1578.63644
-201.603311,1428,1591.368213
-294.368729,1428,1604.047093
-117.490939,1428,1616.846311
-264.855774,1428,1629.756968
-500.116711,1428,1642.436421
-490.13358,1428,1655.071783
-476.096203,1428,1668.009638
-169.521663,1428,1680.878387
-631.009956,1428,1693.7497
-249.831165,1428,1706.468075
-826.624094,1428,1719.275323
-1388.120397,1428,1731.941129
-310.291024,1428,1744.797024
-379.325321,1428,1757.711597
-231.25491,1428,1770.561059
-464.389268,1428,1783.239177
-331.50149,1428,1796.071113
-709.180427,1428,1808.869032
-903.132101,1428,1821.618937
55.962279,1428,1834.294662
-109.373359,1428,1846.962094
-614.123726,1428,1859.696832
-816.478031,1428,1872.399257
