#{"t_start": 1594222151.1247969, "env_id": null}
r,l,t
-743.308435,7142,54.787102
-2714.559198,7142,106.343412
-7850.700516,7142,157.697572
-8393.774228,7142,209.210793
-5055.601081,7142,260.596352
-6129.269004,7142,312.012638
-4135.855614,7142,363.913383
-5556.23445,7142,415.455056
-3903.423636,7142,467.343369
-7830.28593,7142,518.685252
-4821.406716,7142,570.261383
-2304.97895,7142,621.633177
-8011.699131,7142,673.10199
-3689.391614,7142,724.867576
-4108.218162,7142,776.286456
-2844.595524,7142,827.840266
-4801.849381,7142,879.274524
-5689.050296,7142,930.745607
-3156.405226,7142,982.280742
-1366.902823,7142,1033.883847
-7360.348573,7142,1085.646455
-3282.338523,7142,1137.279582
-5159.147164,7142,1188.892517
-2650.01684,7142,1240.501685
-2177.775562,7142,1291.891764
-2317.977595,7142,1343.57584
-4481.285147,7142,1395.123198
-3159.355685,7142,1446.457082
-4752.82868,7142,1497.998382
-5609.586906,7142,1549.512628
-1060.693635,7142,1601.129621
-3589.669837,7142,1653.186197
-3435.021382,7142,1704.957174
-1661.58661,7142,1756.588896
-4127.584477,7142,1808.399451
-4441.469015,7142,1859.846145
-3269.166074,7142,1911.504164
-3484.952427,7142,1963.609159
-2971.688686,7142,2015.612396
-2267.419767,7142,2067.19916
-2975.990202,7142,2118.873506
-6953.287428,7142,2170.852645
-7196.518253,7142,2222.650415
-3212.415816,7142,2274.644548
-3661.818814,7142,2326.760366
-2722.633155,7142,2379.256951
-5411.846305,7142,2431.629019
-963.541045,7142,2483.749049
-3537.005313,7142,2535.920246
-3640.173704,7142,2587.980408
-1140.67334,7142,2640.124891
-1548.731939,7142,2691.965985
-1634.004341,7142,2743.868972
-5510.023938,7142,2795.736571
-1605.777269,7142,2847.586143
-3098.790117,7142,2899.478346
-2226.702261,7142,2951.180541
-2121.291021,7142,3002.782192
-3132.070808,7142,3054.495669
-1619.041184,7142,3106.300559
-3497.139214,7142,3158.072506
-4882.659616,7142,3209.74457
-2909.768096,7142,3261.474699
-3238.890028,7142,3313.237507
-5275.580667,7142,3364.817238
-2118.837835,7142,3416.548584
-3195.249777,7142,3468.116975
-2554.921629,7142,3519.833068
-4583.078342,7142,3571.782489
-1893.133901,7142,3623.784828
-6040.699577,7142,3675.685134
-2427.803998,7142,3727.608951
-1483.757353,7142,3779.422463
-1353.139026,7142,3831.164069
-2626.059911,7142,3883.376516
-2648.664114,7142,3935.415344
-4289.311472,7142,3987.102627
-2296.360557,7142,4038.747817
-1187.709544,7142,4090.528728
-1472.237548,7142,4142.274458
-1220.754573,7142,4194.28914
-3429.445797,7142,4246.307528
1220.0114,7142,4297.96327
-2860.89041,7142,4349.73382
-752.177475,7142,4401.22207
-3258.525433,7142,4452.894378
-2217.581058,7142,4504.664279
-2218.836479,7142,4556.640242
-403.728819,7142,4608.070442
-1280.065311,7142,4659.802103
-1753.61204,7142,4711.401856
-976.674685,7142,4763.170615
-2779.025876,7142,4815.13169
-5780.244037,7142,4866.912964
-1762.029072,7142,4918.676904
-1210.023234,7142,4970.287632
-3853.825283,7142,5022.419284
-2738.138466,7142,5074.219244
-4215.924962,7142,5125.634469
-1759.884034,7142,5177.536504
-1262.211287,7142,5229.423056
-2627.007218,7142,5281.384975
-2302.10284,7142,5333.260266
-697.831045,7142,5385.028589
-4390.630841,7142,5436.471973
-1867.657463,7142,5488.1392
-5347.155242,7142,5539.626806
-3911.490341,7142,5591.585645
-3920.155074,7142,5643.232382
-3342.401393,7142,5695.163057
-1350.636474,7142,5746.534095
-1913.93653,7142,5798.032134
-3954.491912,7142,5849.679015
-1818.659577,7142,5901.672596
-1978.637186,7142,5953.48803
-1220.12357,7142,6004.722518
-717.597936,7142,6056.443837
-4964.873208,7142,6107.938132
-3391.876377,7142,6159.822272
-4468.421263,7142,6211.70244
-3172.134767,7142,6263.334022
-1695.642899,7142,6315.212624
-1358.007083,7142,6366.98253
-630.205279,7142,6418.783364
-5693.287603,7142,6470.91508
-5358.844824,7142,6522.576371
-2483.358698,7142,6574.626157
-2995.010803,7142,6626.397787
-2901.991179,7142,6678.233094
-3071.48411,7142,6730.113574
-2410.992726,7142,6781.58591
-1959.122741,7142,6833.228859
-1185.54755,7142,6884.822042
-3157.440937,7142,6936.285695
-3020.756642,7142,6988.074994
-4770.358784,7142,7039.600373
-960.134774,7142,7091.243935
-2396.380261,7142,7142.896099
-1502.60289,7142,7194.318374
-7614.335485,7142,7246.263424
-7963.983758,7142,7297.856077
-7158.286407,7142,7349.322699
-2123.086654,7142,7401.094421
-4559.889292,7142,7452.859432
-4267.166045,7142,7504.789182
-1831.206125,7142,7556.316976
-4801.663283,7142,7608.330069
-3016.010216,7142,7660.512734
-4038.524078,7142,7712.45884
-1027.960581,7142,7764.076834
-4114.074346,7142,7815.781586
-4940.603217,7142,7867.497274
-5196.837753,7142,7919.438704
-2728.212141,7142,7971.4148
-1782.051366,7142,8023.185502
-4779.459898,7142,8075.325298
-2009.551582,7142,8127.159125
-2179.649508,7142,8178.892749
-3714.818233,7142,8230.31072
-6410.464135,7142,8282.561685
-3787.44303,7142,8334.591103
-4334.194462,7142,8386.380066
-2760.883212,7142,8438.039679
-3114.169103,7142,8490.040286
-2276.733979,7142,8541.873554
-6045.41563,7142,8593.725294
-3824.1166,7142,8645.560447
-5955.154799,7142,8697.602669
-2681.401829,7142,8749.278616
-4325.096587,7142,8801.097985
-1512.38825,7142,8853.151203
-5433.104224,7142,8904.813403
-3645.958331,7142,8956.768439
-5051.549816,7142,9008.608859
-6668.368261,7142,9060.875529
-2966.070638,7142,9112.671069
-4445.249265,7142,9164.558805
-4932.275261,7142,9216.179685
-854.031183,7142,9268.049088
151.761949,7142,9320.013029
-3261.124176,7142,9371.786224
-6035.965897,7142,9423.372729
-10312.225687,627,9427.911463
-4732.042913,7142,9479.972236
-6900.751253,7142,9532.017833
-8476.821609,7142,9583.989282
-10306.450038,7142,9635.731083
-6328.018776,7142,9687.833841
-6496.78511,7142,9739.420985
-10890.498636,7142,9790.942071
-10510.120232,7142,9843.068559
-8057.571027,7142,9895.157097
-11083.335784,7142,9947.333542
-7775.20358,7142,9999.432103
-9388.356382,7142,10051.300459
-11513.693325,7142,10103.006772
-8132.24637,7142,10155.047994
-4819.912328,7142,10206.624018
-5797.922555,7142,10258.388374
-7210.68973,7142,10310.159854
-6064.184798,7142,10362.278722
-5712.826815,7142,10413.915143
-7565.654737,7142,10465.487589
-10156.094477,7142,10517.233098
-10123.249279,7142,10568.981754
-7268.57662,7142,10620.70919
-7926.629919,7142,10672.440559
-6639.220297,7142,10724.397197
-5444.399642,7142,10776.225107
-8218.070364,7142,10828.086753
-4470.276101,7142,10879.927916
-7564.18698,7142,10931.418221
-8221.85111,7142,10983.251874
-6949.563177,7142,11035.083557
-7291.108226,7142,11086.890498
-6710.495894,7142,11138.680924
-5766.179746,7142,11190.661544
-6153.534533,7142,11242.632213
-4722.987158,7142,11294.457369
-5866.568216,7142,11346.467214
-8393.642845,7142,11398.383777
-8156.479632,7142,11450.054681
-5280.826667,7142,11502.133112
-3744.003681,7142,11554.157078
-3240.429502,7142,11605.975808
-8139.050798,7142,11658.091853
-8981.238102,7142,11710.199107
-7167.554817,7142,11762.161223
-6989.706841,7142,11814.456376
-5999.697875,7142,11866.400224
-2749.070418,7142,11918.427551
-6446.568946,7142,11970.305302
-3851.785924,7142,12022.357637
-6627.81981,7142,12074.252364
-4835.715314,7142,12126.249563
-3560.531558,7142,12177.809459
-2669.054211,7142,12229.473557
-4478.114309,7142,12281.274729
-4440.885851,7142,12333.273928
-1908.777941,7142,12385.156505
-924.756127,7142,12436.954418
-7535.540735,7142,12489.027832
-6120.058603,7142,12540.815691
-5205.82771,7142,12592.751081
-5225.362785,7142,12644.564731
-5334.24303,7142,12696.48894
-4054.490429,7142,12748.058112
-5484.279789,7142,12799.809737
-8083.886266,7142,12851.970133
-4135.725901,7142,12903.9148
-3185.572695,7142,12955.748591
-5267.939299,7142,13007.725977
-3621.937194,7142,13059.655382
-5092.030531,7142,13111.714206
-3485.481841,7142,13163.44919
-4847.844452,7142,13215.175533
-5201.545569,7142,13266.877207
-6772.440509,7142,13318.82944
-3868.424593,7142,13370.74669
-8327.03199,7142,13422.349427
-2269.05672,7142,13474.215548
-8086.711115,7142,13526.085064
-3661.220054,7142,13577.852099
-5151.654273,7142,13629.878448
-10263.158384,7142,13681.842096
-5754.506219,7142,13733.536669
-6523.110525,7142,13785.381697
-7226.796777,7142,13837.255803
-7337.585227,7142,13889.358691
-6723.713082,7142,13941.489899
-5467.468305,7142,13993.532264
-7948.484221,7142,14045.323011
-6400.84772,7142,14097.551088
-5521.258047,7142,14149.420463
-5741.621021,7142,14201.307493
-5175.181177,7142,14253.421557
-8022.64683,7142,14305.410669
-6609.227139,7142,14357.447196
-7550.855497,7142,14409.248798
-6877.02391,7142,14461.295659
-5720.760756,7142,14513.500392
-6160.755506,7142,14565.614256
-7179.809739,7142,14617.621927
-6317.729627,7142,14669.613328
-5058.238437,7142,14721.825059
-8969.046715,7142,14773.779477
-7136.271511,7142,14825.541619
