#{"t_start": 1594329679.8607283, "env_id": null}
r,l,t
-1413.487561,1428,12.478721
-3115.966065,1428,18.956406
-1521.994898,1428,26.362945
-1296.881823,1428,33.070099
-2371.766356,1428,40.603123
-1696.790822,1428,47.170651
-1464.291444,1428,53.939955
-1993.394113,1428,61.376678
-1666.627056,1428,68.266289
-1707.056114,1428,75.451412
-1662.582798,1428,82.229497
-1865.792722,1428,89.535336
-1550.603515,1428,96.317496
-1025.917615,1428,103.21789
-1209.792883,1428,110.507468
-1670.112697,1428,116.979689
-1846.93663,1428,124.219146
-2686.384064,1428,130.924496
-1159.136891,1428,138.024683
-1790.611659,1428,144.792794
-1852.300758,1428,151.577468
-1633.281285,1428,158.811096
-1638.658881,1428,165.611212
-1583.195093,1428,172.994301
-1502.987265,1428,179.521107
-934.453008,1428,186.760514
-1282.279551,1428,193.504401
-1157.061983,1428,200.156316
-1320.391834,1428,207.53738
-1677.246654,1428,214.258734
-1063.630889,1428,222.482278
-1310.062189,1428,229.240307
-1731.959687,1428,236.746774
-1129.382984,1428,244.419571
-934.225809,1428,251.289643
-1290.315906,1428,259.208274
-1192.759264,1428,266.59674
-912.441407,1428,274.192856
-989.910728,1428,281.072931
-1563.954941,1428,288.26934
-1852.640759,1428,294.890711
-1255.139125,1428,301.553606
-1140.90968,1428,308.763172
-2514.680851,1428,315.382366
-1290.833085,1428,323.272625
-2428.688192,1428,330.867282
-1260.896318,1428,338.411756
-1558.650318,1428,345.159723
-1002.214144,1428,352.033429
-1569.06432,1428,359.112283
-908.400901,1428,365.835198
-935.466705,1428,373.491921
-1019.220227,1428,380.274883
-1057.544256,1428,387.482691
-1208.115752,1428,394.158532
-1086.598714,1428,400.999694
-1426.682397,1428,408.455474
-1457.950392,1428,415.492959
-1601.593089,1428,422.715008
-1277.230864,1428,429.575384
-1505.984116,1428,437.054142
-1551.022444,1428,443.78581
-1952.78317,1428,450.6306
-1095.957135,1428,458.192142
-854.288494,1428,465.049278
-1546.734307,1428,472.529685
-2032.031934,1428,479.455696
-1292.724003,1428,486.872576
-1015.357909,1428,493.805287
-2016.08459,1428,500.522675
-2170.429753,1428,507.836678
-662.536393,1428,514.793896
-1130.427303,1428,522.256942
-1092.330941,1428,529.336473
-1288.561261,1428,536.674918
-812.381361,1428,543.426635
-1562.421841,1428,550.279759
-1770.452527,1428,557.896766
-1214.917862,1428,564.820542
-1130.67256,1428,572.313819
-1006.415367,1428,578.995021
-1044.573447,1428,586.519075
-1135.760253,1428,593.371377
-1320.669938,1428,600.306312
-1973.074924,1428,607.731406
-2024.845824,1428,614.368918
-1217.556021,1428,621.876008
-1676.13645,1428,628.630011
-1492.612171,1428,636.016247
-2714.131288,1428,642.993872
-1496.721745,1428,649.912494
-1184.362977,1428,657.250396
-1206.97186,1428,664.172663
-1850.858446,1428,671.607194
-2168.796751,1428,678.360831
-1077.822032,1428,685.856507
-1765.885749,1428,692.563004
-1313.728296,1428,699.428748
-1965.158806,1428,706.852915
-2084.697895,1428,713.621021
-1181.569282,1428,721.013192
-1140.207769,1428,727.886007
-1146.552419,1428,735.288045
-1783.387786,1428,742.198814
-1003.915659,1428,749.122756
-1452.416709,1428,756.514354
-1081.591159,1428,763.505122
-1015.537276,1428,771.050388
-1086.074299,1428,777.901417
-1431.028735,1428,785.398
-1217.932912,1428,792.242282
-2209.79442,1428,799.246887
-1008.623437,1428,806.577999
-3569.727992,1428,813.546717
-1691.442041,1428,820.97594
-1293.138636,1428,827.833714
-1769.515033,1428,835.708595
-1813.251188,1428,842.388458
-943.652906,1428,849.326149
-1507.204037,1428,856.662151
-1439.859085,1428,863.709331
-1219.13921,1428,871.32172
-1686.52089,1428,878.252436
-2054.396906,1428,885.662591
-2144.507255,1428,892.532882
-1420.3041,1428,899.456119
-1975.068012,1428,906.865653
-1142.152874,1428,913.669946
-1333.612276,1428,921.029698
-1191.918784,1428,927.63787
-722.465955,1428,935.045181
-1089.229243,1428,941.825167
-1396.779987,1428,948.519806
-1629.289084,1428,956.084492
-1068.938551,1428,963.341676
-2126.558044,1428,971.098537
-1082.592383,1428,977.969953
-1216.065987,1428,985.46979
-928.12095,1428,992.152451
-957.247873,1428,998.50008
-1446.194563,1428,1005.659956
-1287.303019,1428,1012.508176
-1180.641907,1428,1019.722529
-926.685888,1428,1026.280393
-1494.943128,1428,1034.057774
-1155.230631,1428,1040.817663
-900.125706,1428,1047.674248
-1052.050009,1428,1055.089523
-717.015386,1428,1061.651114
-924.484078,1428,1068.731149
-824.915665,1428,1075.132955
-983.127459,1428,1082.336468
-846.934631,1428,1088.959047
-1014.975028,1428,1095.868681
-719.475434,1428,1103.362045
-649.701657,1428,1110.368255
-1630.761525,1428,1117.692183
-1196.386579,1428,1124.63145
-1092.92731,1428,1132.370928
-767.172294,1428,1139.188613
-1299.700443,1428,1146.046212
-1013.059492,1428,1153.560072
-1309.829479,1428,1160.3053
-998.610248,1428,1167.818289
-1813.477267,1428,1174.615724
-827.030138,1428,1181.910629
-1073.105881,1428,1188.715864
-1315.84075,1428,1195.607996
-1571.132627,1428,1202.895792
-797.738909,1428,1209.74786
-1005.090675,1428,1217.081389
-1879.262058,1428,1223.947542
-2252.912582,1428,1231.5175
-709.396696,1428,1238.329718
-992.713148,1428,1245.025901
-504.925735,1428,1252.571435
-841.73194,1428,1259.510543
-1367.146658,1428,1267.026948
-787.664561,1428,1273.705263
-985.925207,1428,1281.380477
-992.465181,1428,1288.109141
-749.614941,1428,1294.645313
-1229.178704,1428,1301.924206
-1125.85643,1428,1308.567719
-1460.96089,1428,1316.128393
-1392.178893,1428,1322.827137
-1378.522764,1428,1330.174145
-1109.00828,1428,1336.869385
-1017.013292,1428,1343.51157
-607.512513,1428,1350.617731
-828.102283,1428,1357.258986
-495.851185,1428,1364.498686
-1137.303435,1428,1371.142232
-1291.044306,1428,1378.291642
-1928.502745,1428,1385.25032
-686.908023,1428,1391.854526
-1118.115077,1428,1399.224026
-1562.187862,1428,1405.96036
-888.217251,1428,1412.895643
-556.524611,1428,1419.628082
-718.661013,1428,1426.896352
-1163.836953,1428,1433.862297
-1174.592912,1428,1440.658814
-767.154957,1428,1447.950716
-1043.006756,1428,1454.73512
-1183.952917,1428,1462.245258
-829.49689,1428,1468.876743
-981.852218,1428,1476.153771
-1285.890717,1428,1483.031806
-1473.369763,1428,1489.871213
-2277.643185,1428,1497.383149
-1063.826065,1428,1504.09375
-1892.518029,1428,1511.319292
-810.605319,1428,1517.943939
-860.705322,1428,1525.340877
-1012.065409,1428,1532.010826
-607.081574,1428,1538.621569
-363.312969,1428,1546.130712
-443.239619,1428,1552.949728
-1072.659911,1428,1560.185738
-2359.888829,1428,1566.910693
-658.355738,1428,1574.42748
-1118.358645,1428,1581.054364
-834.687941,1428,1587.7378
-568.133348,1428,1595.010087
-591.487559,1428,1601.711538
-746.848556,1428,1608.919962
-677.938246,1428,1615.250302
-760.737425,1428,1622.374753
-911.672489,1428,1629.033547
-687.418843,1428,1635.813734
-575.975121,1428,1643.096034
-810.184305,1428,1649.787008
-839.128475,1428,1656.914428
-589.490202,1428,1663.893126
-879.40056,1428,1671.369299
-1531.103615,1428,1678.220953
-675.188714,1428,1684.984306
-1134.019506,1428,1692.279785
-1245.071531,1428,1698.852773
-368.663335,1428,1706.08664
-1048.940707,1428,1712.584919
-839.599307,1428,1719.966016
-786.644034,1428,1726.782772
-656.462249,1428,1733.406135
-519.432995,1428,1741.154626
-642.275582,1428,1747.869092
-1035.963478,1428,1755.206391
-861.725499,1428,1761.782871
-1549.268149,1428,1768.297991
-1408.669794,1428,1775.568929
-599.769732,1428,1782.224338
-500.61973,1428,1789.486895
-1261.615779,1428,1796.252891
-536.648576,1428,1803.763006
-1058.63169,1428,1810.281954
-882.751485,1428,1816.807224
-625.205355,1428,1824.117991
-1304.026665,1428,1830.760708
-541.352641,1428,1837.855592
-445.396347,1428,1844.43578
-266.96021,1428,1851.700023
-942.16185,1428,1858.418455
-676.434567,1428,1865.282146
-715.760999,1428,1872.798842
-1258.856046,1428,1879.714097
-212.458808,1428,1887.007581
-2356.910704,1428,1893.615681
-764.378279,1428,1900.714624
-596.740681,1428,1907.284945
-1208.869203,1428,1914.013368
-948.178349,1428,1921.304622
-727.778206,1428,1927.803085
-990.777832,1428,1935.108424
-812.406092,1428,1941.998355
-963.558427,1428,1949.347908
-744.900846,1428,1956.282164
-839.866277,1428,1962.859591
-859.07685,1428,1970.21879
-1914.69464,1428,1976.815308
-1179.631975,1428,1984.255492
-1306.485655,1428,1991.12505
-1531.347199,1428,1998.210057
-1184.038663,1428,2004.730226
-637.518603,1428,2011.70404
-581.819153,1428,2019.149923
-449.137744,1428,2025.74661
-838.868285,1428,2033.144124
-1356.64418,1428,2039.755718
-1258.870081,1428,2047.076693
-920.568692,1428,2053.713702
-1127.702674,1428,2060.251966
-564.125412,1428,2067.662553
-1115.596982,1428,2074.437292
-1178.039526,1428,2081.872915
-989.498572,1428,2088.563969
-785.381889,1428,2095.960281
-1497.806326,1428,2102.635214
-949.590554,1428,2109.431709
-1409.009083,1428,2116.72527
-863.552141,1428,2123.32006
-1476.383673,1428,2130.779234
-1165.815123,1428,2137.714341
-1735.04546,1428,2144.722893
-1019.520688,1428,2151.392393
-1068.091372,1428,2158.248842
-703.178532,1428,2165.540554
-1181.542444,1428,2172.254601
-1097.391465,1428,2179.618675
-501.899799,1428,2186.339026
-587.668007,1428,2193.670511
-602.279488,1428,2200.360598
-847.53406,1428,2207.184509
-747.844078,1428,2214.470824
-1165.536404,1428,2221.371212
-623.324206,1428,2228.659054
-664.101158,1428,2235.390697
-338.125842,1428,2242.643142
-805.332167,1428,2249.388347
-831.087437,1428,2256.179319
-910.401615,1428,2263.63964
-719.607051,1428,2270.157076
-830.245261,1428,2277.284254
139.470339,1428,2284.054524
-1079.974347,1428,2291.434922
-1373.967951,1428,2298.268991
-816.375728,1428,2305.139415
-1079.327809,1428,2312.599107
-890.035408,1428,2319.333264
-872.814361,1428,2326.850683
-1352.13974,1428,2333.402057
-1550.745508,1428,2340.588219
-557.766804,1428,2347.257594
-664.83169,1428,2353.840309
-2018.756627,1428,2361.040898
-941.66159,1428,2367.461061
-900.003995,1428,2374.783474
-1000.334466,1428,2381.289965
-1153.128884,1428,2388.582782
-1170.967099,1428,2395.120537
-1061.108665,1428,2401.673955
-946.794884,1428,2408.872647
-1685.414536,1428,2415.437493
-753.60699,1428,2422.853124
-1034.16971,1428,2429.732368
-1115.720889,1428,2436.915868
-904.348764,1428,2443.615183
-1005.040529,1428,2450.465908
-806.647884,1428,2457.649843
-1037.850625,1428,2464.449861
-333.496356,1428,2471.790582
-1404.35094,1428,2478.509044
-915.532489,1428,2485.650903
-798.981596,1428,2492.406609
-842.29642,1428,2498.989454
-1340.419191,1428,2506.484458
-840.644304,1428,2513.346939
-867.040038,1428,2520.72726
-463.11371,1428,2527.301136
-1059.330975,1428,2534.5257
-562.441056,1428,2541.365206
-192.263014,1428,2548.100902
-884.735293,1428,2555.515169
-587.268622,1428,2562.123103
-532.997479,1428,2569.439579
-1177.060075,1428,2576.218285
-893.998487,1428,2583.289323
-842.245816,1428,2590.059008
-677.227039,1428,2596.581423
-772.804116,1428,2603.559738
-775.177203,1428,2610.407449
-730.251945,1428,2617.682938
-1078.206384,1428,2624.644875
-245.242705,1428,2631.886038
236.625829,1428,2638.465206
-623.071792,1428,2645.015952
-1314.971737,1428,2652.170236
-714.675213,1428,2659.069564
-794.388421,1428,2666.460469
-437.154693,1428,2672.948336
-596.66034,1428,2680.064771
