#{"t_start": 1594831039.0272877, "env_id": null}
r,l,t
-404.310127,1428,8.809125
-784.323263,1428,14.238872
-151.472006,1428,20.736706
-309.029258,1428,26.472222
-774.977059,1428,31.917011
-187.540371,1428,37.838363
-793.066128,1428,43.206578
-132.116142,1428,48.938312
-436.252777,1428,55.030965
-858.196454,1428,60.542946
-273.260781,1428,65.904636
-355.978469,1428,71.977593
-652.764456,1428,77.293606
-372.269169,1428,82.647106
-822.685057,1428,88.561714
-515.374406,1428,94.104192
-547.614487,1428,100.09155
-228.39777,1428,105.733765
-1584.478816,1428,111.358203
-616.134257,1428,117.274262
-258.329298,1428,122.700059
-301.787371,1428,127.994184
-857.534741,1428,133.834946
-640.756044,1428,139.270196
-336.925179,1428,144.707952
-477.686567,1428,150.432106
-479.33509,1428,155.863849
-1113.584242,1428,161.318806
-872.065902,1428,167.198058
-891.798829,1428,172.371796
-654.850345,1428,178.045653
-167.704624,1428,183.476336
-621.636655,1428,188.937616
-613.455629,1428,194.620835
-1110.049153,1428,200.007359
-547.810727,1428,205.346626
-574.880325,1428,210.944483
-1107.899333,1428,216.130005
-146.481751,1428,221.553201
-325.676726,1428,227.225753
-565.451914,1428,232.703899
-1068.469044,1428,238.240607
-225.878879,1428,243.942047
-300.826277,1428,249.429773
-218.726293,1428,255.341468
-188.212312,1428,260.845266
-1267.907676,1428,266.319318
-699.988153,1428,271.939461
-283.099645,1428,277.394797
-571.69489,1428,282.645392
-338.505372,1428,288.482016
-361.298456,1428,294.006731
-355.600753,1428,299.642532
-517.229592,1428,305.478816
-362.496074,1428,310.790996
-546.303796,1428,316.170653
-587.357223,1428,321.954346
-172.672328,1428,327.198212
-227.557084,1428,332.974939
-406.676249,1428,338.484014
-679.591475,1428,344.109136
-222.369033,1428,349.902806
-461.058615,1428,355.304411
-666.266471,1428,360.956354
-782.021661,1428,366.533877
-509.208319,1428,372.053821
-478.820092,1428,377.121212
-940.455513,1428,382.895256
-650.918857,1428,388.373891
-187.801115,1428,393.723268
-1029.859052,1428,399.534743
-681.51442,1428,404.931819
-481.559421,1428,410.753097
-319.845056,1428,416.157244
-420.154236,1428,421.657306
-563.457318,1428,427.569715
-581.327198,1428,433.029214
-371.119566,1428,438.407817
-528.28553,1428,444.201226
-314.196043,1428,449.52156
-288.706003,1428,454.79758
-581.552178,1428,460.489268
-218.298131,1428,466.075848
-620.447048,1428,471.817882
-410.842738,1428,477.409923
-608.267961,1428,482.704873
-52.665161,1428,488.562119
236.254963,1428,493.967561
-460.256135,1428,499.40462
-500.96736,1428,505.164392
-1012.569589,1428,510.49065
-257.521684,1428,515.661218
-680.243709,1428,521.500175
-464.909869,1428,526.937981
-242.758506,1428,532.54021
-290.116656,1428,538.18347
-715.074115,1428,543.545007
-535.919168,1428,548.969673
-583.829718,1428,554.662498
-636.715437,1428,560.024259
-342.178217,1428,565.949765
-452.077071,1428,571.3295
-418.588884,1428,576.708515
-270.152134,1428,582.346851
-470.06735,1428,587.671045
-212.749977,1428,593.721728
-419.070732,1428,599.539736
-396.647597,1428,605.009574
-189.924334,1428,610.256923
-147.477855,1428,615.909148
-572.646615,1428,621.343733
-330.996254,1428,626.584997
-347.655205,1428,632.613232
-607.00258,1428,637.98689
-303.936516,1428,643.850246
-155.275346,1428,649.278644
-257.245316,1428,654.630857
-563.016786,1428,660.426382
-121.732505,1428,666.001057
-344.33508,1428,671.690259
-145.221514,1428,677.462038
-286.704493,1428,682.88686
-363.200638,1428,688.263102
-182.022424,1428,693.672781
-903.869525,1428,699.289228
-325.356959,1428,704.644546
-533.387119,1428,710.228267
-254.508454,1428,715.514693
-124.448395,1428,721.492084
-225.213582,1428,726.944408
-476.304971,1428,732.351439
-497.060278,1428,738.161866
-150.756385,1428,743.511818
-348.723555,1428,748.944304
-650.976151,1428,754.54733
-541.398466,1428,759.983529
-285.832582,1428,765.498933
-407.876401,1428,771.199466
-749.357999,1428,776.477053
-265.547092,1428,781.990467
-200.399262,1428,787.960476
-261.722036,1428,793.31086
-351.118134,1428,799.21119
-178.893508,1428,804.48368
-325.954051,1428,809.812788
-241.467955,1428,815.616257
-233.952662,1428,821.027297
-507.001665,1428,826.51536
-474.253769,1428,832.130215
-323.586513,1428,837.370547
-554.77353,1428,842.730858
-301.859716,1428,848.445349
-169.907024,1428,853.993405
-870.999583,1428,859.62981
-326.821389,1428,865.481277
-208.953948,1428,871.133999
-257.618755,1428,877.225966
-281.484325,1428,882.777773
-421.582981,1428,888.282665
-436.645643,1428,893.743429
-371.498757,1428,899.198447
-959.736805,1428,904.675973
-570.17201,1428,910.21929
-307.138089,1428,915.461999
-307.347313,1428,920.83627
-462.185146,1428,926.562256
-459.605658,1428,931.82492
38.693238,1428,937.377841
-625.618533,1428,942.779111
-189.973054,1428,948.087917
-598.514381,1428,953.653377
-422.447251,1428,959.138631
-469.077979,1428,964.608582
-527.638074,1428,970.570925
-67.324159,1428,975.823704
-344.929,1428,981.047919
-463.704495,1428,986.59612
-161.516679,1428,991.975717
-394.437838,1428,997.424302
-408.354291,1428,1003.059214
-692.26252,1428,1008.517153
-346.759648,1428,1013.827132
-445.379929,1428,1019.48179
-355.875286,1428,1024.959492
-195.57426,1428,1030.604071
-641.928812,1428,1036.06777
-236.789263,1428,1041.558411
-469.183989,1428,1047.078182
-346.649607,1428,1052.554493
-34.519678,1428,1058.033611
-386.904889,1428,1063.715439
-314.135744,1428,1068.93113
-355.217743,1428,1074.36503
-410.042883,1428,1080.27934
-374.062979,1428,1085.632088
-666.001355,1428,1091.683207
-256.911715,1428,1097.422483
-220.415003,1428,1102.874536
-342.182733,1428,1108.367826
-279.266248,1428,1113.755748
-156.459989,1428,1119.020897
-397.551004,1428,1124.601257
-286.093347,1428,1130.154042
-245.130547,1428,1135.197907
-302.952709,1428,1140.919948
-436.10796,1428,1146.111681
-111.508991,1428,1151.318571
-277.922491,1428,1157.27741
-374.750746,1428,1162.800525
-29.124705,1428,1167.958136
-506.372799,1428,1174.094847
-281.15826,1428,1179.464294
-173.16198,1428,1184.961917
-580.949054,1428,1190.476037
-747.6633,1428,1195.965118
118.71248,1428,1201.638691
