#{"t_start": 1594048291.9383185, "env_id": null}
r,l,t
-2677.514623,7142,26.217805
-3367.745216,7142,49.691761
-2263.393489,7142,72.523593
-442.926186,7142,95.979351
-2441.917127,7142,119.990836
-1125.164029,7142,143.425336
-1211.755263,7142,167.008647
-4294.883742,7142,190.082779
-2333.330071,7142,213.916468
-4074.831234,7142,237.052066
-4287.664241,7142,261.59138
-1456.220603,7142,285.722759
-3109.189499,7142,310.630833
-595.627533,7142,335.393971
-1795.698821,7142,359.253572
-1744.640314,7142,383.155339
-1600.298604,7142,406.481256
-1233.616347,7142,430.733696
-1971.047272,7142,454.716853
-2225.967693,7142,479.053902
-1938.63744,7142,503.533725
-3107.642738,7142,527.743343
-2891.444399,7142,552.957475
-1557.336647,7142,576.779849
-1384.349844,7142,600.966222
-2502.379792,7142,625.691161
-2943.287214,7142,650.27114
-1483.8502,7142,673.318213
-1625.742772,7142,697.844867
-2562.813996,7142,721.366081
-4142.245621,7142,745.87358
-2326.206187,7142,770.529136
-2164.812004,7142,795.351043
-3139.450482,7142,819.77779
-1103.233514,7142,843.989015
-3355.280262,7142,869.068843
47.594534,7142,893.422259
-2871.985786,7142,917.346746
-3074.463634,7142,941.202736
-2168.947207,7142,965.50532
-1802.984939,7142,989.331531
-1515.374725,7142,1013.159513
-3530.131536,7142,1037.33664
-515.410951,7142,1061.42329
-1671.859049,7142,1085.682306
-3760.062971,7142,1109.491824
-3318.988836,7142,1133.876409
-3556.913609,7142,1158.200388
-1075.279358,7142,1182.788031
-1890.269285,7142,1206.48247
-3063.664905,7142,1230.350267
-1381.119142,7142,1254.449471
-527.487559,7142,1278.545242
-2701.968634,7142,1303.281566
-2578.882622,7142,1327.881526
-395.766364,7142,1351.95939
-6648.83049,7142,1376.317663
-2375.832615,7142,1401.142091
-910.62095,7142,1426.119336
-699.353684,7142,1450.097186
-2823.221131,7142,1474.530467
-5663.265289,7142,1499.011517
-1657.689237,7142,1523.551245
-1312.687557,7142,1547.500404
-3474.899691,7142,1572.465594
-1734.647426,7142,1595.953998
-2659.634567,7142,1619.889769
-3012.732765,7142,1643.75074
-5057.704245,7142,1667.847648
-3420.160168,7142,1692.287088
-1839.62404,7142,1716.785815
-1871.368147,7142,1740.736989
-1810.20082,7142,1764.377618
-4991.894388,7142,1788.479717
-1746.137796,7142,1812.430422
-3586.42389,7142,1836.532723
-2295.400637,7142,1860.510561
-4686.597349,7142,1885.114669
-2017.043042,7142,1909.554011
-1348.547263,7142,1933.617863
-3812.055275,7142,1958.212935
-946.165231,7142,1982.320431
-908.46073,7142,2006.186141
-1306.117132,7142,2029.269682
-4131.126059,7142,2054.801846
-1424.201803,7142,2079.558312
