#{"t_start": 1595870549.2380338, "env_id": null}
r,l,t
-4913.101267,3571,45.358607
-5218.284441,3571,89.50615
-6322.511053,3571,132.701443
-6180.354851,3571,175.483933
-5654.600781,3571,221.489171
-4833.800367,3571,263.549295
-4544.343236,3571,306.862822
-5065.85696,3571,350.157873
-4879.943833,3571,397.02756
-4665.220877,3571,439.749815
-4821.625834,3571,482.610665
-4290.206191,3571,526.067371
-4382.827591,3571,569.878325
-3779.554457,3571,617.79405
-3770.933286,3571,661.352706
-3723.157165,3571,706.279022
-3188.760248,3571,750.355302
-3746.89839,3571,797.288462
-3134.93636,3571,841.817804
-3034.513646,3571,886.761412
-2934.787973,3571,931.481329
-3340.629123,3571,976.253106
-2651.962925,3571,1024.06194
-1713.497844,3571,1070.833402
-815.242932,3571,1118.844543
-2024.597969,3571,1165.237904
-865.591875,3571,1215.415449
-1481.205153,3571,1261.582373
-1071.09852,3571,1308.512831
-763.771021,3571,1356.072499
-926.992256,3571,1403.554922
-826.640584,3571,1454.11655
-1163.460822,3571,1500.850781
-620.329447,3571,1549.06059
-657.970137,3571,1596.936339
-823.406234,3571,1647.489836
-462.88614,3571,1696.502686
11.508963,3571,1745.167969
-573.106525,1007,1758.259407
-429.252954,3571,1806.193521
-245.485079,3571,1855.24567
-403.494237,3571,1906.800608
-474.844204,3571,1955.281071
-462.847885,3571,2003.098478
-412.244357,3571,2051.148961
-412.783482,3571,2103.003646
-324.407388,3571,2151.613379
-338.940435,3571,2200.131531
-381.104745,3571,2248.853365
-343.441521,3571,2298.397448
662.723561,3571,2350.781613
-127.11713,3571,2400.576532
-923.193994,887,2411.371634
672.079303,3571,2460.677813
-103.088539,3571,2509.338105
376.785588,3571,2561.757859
736.280213,3571,2610.712316
1396.007351,3571,2659.997497
1352.34971,3571,2709.705498
405.131688,3571,2762.110943
1658.03649,3571,2811.682199
2040.908641,3571,2861.819432
1153.467382,3571,2911.429943
2197.401608,3571,2960.812435
1554.693144,3571,3014.239707
-340.132247,3571,3063.691072
-332.20133,3571,3112.165274
1783.593102,3571,3161.490151
-491.846916,408,3166.324385
3164.901733,3571,3219.124008
1196.990975,3571,3268.477784
163.794811,3571,3317.799252
1436.496222,3571,3366.452956
3393.850576,3571,3415.634712
1902.208228,3571,3468.426713
-320.610975,3571,3516.861127
2726.982967,3571,3565.761579
3728.974829,3571,3615.171222
1466.877572,3571,3668.289715
4409.485799,3571,3717.527936
1934.07857,3571,3766.366199
-368.866454,3571,3815.443096
761.175761,3571,3864.7157
-331.654056,3571,3916.589565
4286.826227,3571,3966.086709
2750.286618,3571,4015.537692
3117.796486,3571,4064.9578
-330.306975,3571,4117.15442
-331.784455,3571,4165.88191
-328.253471,3571,4215.017318
2066.016897,3571,4264.042922
-333.179135,3571,4315.399978
-365.474045,3571,4363.74768
4766.347675,3571,4413.076792
2164.38127,3571,4462.421953
4464.2742,3571,4511.07881
3652.191926,3571,4562.929153
4860.497629,3571,4612.062973
2820.599619,3571,4660.661249
4626.859032,3571,4710.090094
4761.400095,3571,4762.43261
3896.386188,3571,4811.927874
4893.68348,3571,4861.371303
4049.665741,3571,4910.503716
-336.371379,3571,4959.220989
4774.964593,3571,5012.472955
1506.586733,3571,5061.370989
-598.48147,409,5066.287123
2344.103461,3571,5114.969565
2745.992545,3571,5163.927683
-346.88277,3571,5215.410864
2162.101626,3571,5263.765927
1947.139956,3571,5313.107975
1854.732656,3571,5361.771094
3345.731564,3571,5410.805013
2095.575877,3571,5462.957137
2917.917628,3571,5512.433891
4924.663825,3571,5561.651154
5377.602477,3571,5611.004518
4892.620548,3571,5664.071812
4918.102667,3571,5713.117523
2146.044565,3571,5761.710206
4736.967699,3571,5811.23596
5243.746504,3571,5860.600502
-324.417233,3571,5912.744813
3025.508189,3571,5961.746617
4584.518101,3571,6011.144759
5374.935977,3571,6059.745133
4435.08195,3571,6113.103043
3779.990366,3571,6162.393007
1664.978131,3571,6211.105076
4872.667627,3571,6260.107161
4532.819194,3571,6309.410452
4891.992194,3571,6361.411226
3728.174705,3571,6411.164764
5856.335934,3571,6460.765862
3576.844856,3571,6510.127639
5680.674123,3571,6563.681704
4831.752914,3571,6612.800378
5675.95371,3571,6660.663779
5682.76369,3571,6708.724983
5423.804556,3571,6756.111452
5226.347187,3571,6805.268511
4737.967188,3571,6849.914138
5238.244516,3571,6894.777145
4034.613692,3571,6936.036808
