#{"t_start": 1595870607.2994251, "env_id": null}
r,l,t
-6337.009686,3571,46.564482
-6531.571028,3571,88.74429
-5339.956283,3571,131.586883
-6316.721712,3571,174.655596
-5450.790465,3571,218.507223
-4686.28129,3571,261.551254
-4956.094443,3571,304.486695
-4171.729502,3571,348.027071
-4799.871209,3571,392.323945
-4043.764789,3571,436.135122
-4024.355357,3571,479.604855
-3561.819795,3571,523.471376
-3687.347474,3571,567.482722
-3861.565405,3571,613.058053
-3356.701757,3571,657.754867
-3517.210624,3571,702.108727
-3245.500157,3571,746.400423
-3166.520211,3571,792.222391
-2565.023244,3571,837.812639
-2665.019091,3571,883.083522
-2779.248007,3571,928.517196
-2765.817602,3571,973.103622
-1949.591642,3571,1020.839661
-1896.795055,3571,1066.81838
-957.062713,3571,1115.158255
-612.384647,3571,1163.557046
-1299.916825,3571,1212.34785
-1031.908022,3571,1260.397807
-1206.351585,3571,1308.156894
-1023.008904,3571,1354.930133
-1880.96049,3571,1400.180999
-1231.455728,3571,1448.552525
-705.112235,3571,1496.341856
-828.773923,3571,1544.548385
-938.645482,3571,1592.984768
-1152.257391,3571,1641.469213
-537.836774,3571,1690.539269
-682.667313,3571,1738.350883
-681.489747,3571,1787.896738
-472.587465,3571,1837.060547
-472.885787,3571,1888.303915
-506.43108,3571,1937.562094
-544.983336,3571,1986.312829
-543.573358,3571,2034.885294
-692.779296,3571,2084.602288
-423.972101,3571,2134.026382
-442.037665,3571,2183.180463
-335.126338,3571,2233.297124
-417.83133,3571,2282.10133
-335.356431,3571,2333.354348
-359.761897,3571,2382.320501
-353.458011,3571,2431.046439
-258.666966,3571,2481.143309
-387.249706,3571,2531.915894
-363.93741,3571,2580.887515
-334.836679,3571,2630.596216
-273.970284,3571,2680.715159
-329.061041,3571,2729.555251
150.470053,3571,2780.238423
-146.129023,3571,2829.161803
206.171476,3571,2878.177705
-64.87217,3571,2927.664803
-148.837756,3571,2977.703013
654.031816,3571,3026.858521
9.226504,3571,3075.747983
731.030581,3571,3125.342428
857.932141,3571,3175.682945
1069.904255,3571,3226.933884
-23.494774,3571,3276.633714
-268.176248,3571,3325.446609
1410.864456,3571,3375.810635
1691.658696,3571,3426.087405
1105.938329,3571,3474.480695
641.609713,3571,3522.950995
1560.361305,3571,3571.695721
2612.476589,3571,3621.466782
3556.045633,3571,3672.470596
3833.443041,3571,3721.566939
2581.667096,3571,3771.01376
1807.377076,3571,3820.45707
2391.163169,3571,3871.21997
-355.782174,3571,3920.527987
-354.112735,3571,3969.42322
2553.468058,3571,4018.441624
898.036188,3571,4067.01175
4292.410532,3571,4118.182258
3775.843575,3571,4167.566956
3048.583882,3571,4217.208735
5088.303736,3571,4266.654028
4342.20637,3571,4317.517464
-341.369261,3571,4366.254183
3807.622561,3571,4416.085081
1922.165694,3571,4465.964271
2992.90118,3571,4515.618117
3227.924736,3571,4567.504536
-342.427713,3571,4617.079723
5416.29782,3571,4667.373943
2702.914107,3571,4717.088343
-858.040033,1506,4735.508223
-1342.590584,3571,4781.450674
4593.471216,3571,4831.232471
-1279.383971,3571,4875.645029
2150.406884,3571,4924.456226
-353.975171,3571,4974.094304
-1339.622278,3571,5017.818398
573.28003,3571,5066.453293
-1298.095165,3571,5110.82958
354.132557,3571,5160.040924
4825.184183,3571,5210.163051
2074.630187,3571,5258.872658
3168.251972,3571,5308.140176
2580.636332,3571,5357.469955
-348.033447,3571,5407.297948
1399.554692,3571,5456.022045
4444.303977,3571,5505.711587
751.239894,3571,5554.282643
5178.325096,3571,5603.620213
3997.060387,3571,5653.837224
1566.046808,3571,5702.173627
4333.063203,3571,5751.332633
1625.42254,3571,5800.725379
5527.453981,3571,5851.72511
5350.008578,3571,5900.633461
-342.245147,3571,5949.706959
3285.98552,3571,5998.908692
4301.501886,3571,6048.772921
4545.913239,3571,6099.812623
5679.707608,3571,6149.35521
4487.120564,3571,6199.448705
5890.789885,3571,6248.933944
5945.4553,3571,6299.72474
4639.420341,3571,6349.272815
5568.748701,3571,6399.071999
5104.27792,3571,6447.933337
4801.269244,3571,6498.137118
5477.917222,3571,6547.018358
5601.918692,3571,6595.97896
5851.109241,3571,6644.88263
5156.390283,3571,6693.558434
5647.621237,3571,6741.696669
5057.52792,3571,6786.739199
5315.63753,3571,6831.325416
5839.782126,3571,6873.538094
