#{"t_start": 1595734569.400796, "env_id": null}
r,l,t
-2184.241614,3571,50.961274
-1843.790771,3571,99.514026
-1843.74942,3571,148.537515
-1841.662155,3571,196.422677
-1841.915075,3571,244.268144
-1843.573196,3571,292.460438
-1840.626526,3571,339.788594
-1840.833852,3571,387.183925
-1840.673036,3571,434.086213
-1840.673036,3571,481.944761
-1840.673036,3571,529.697833
-1840.673036,3571,577.340117
-1840.673036,3571,624.16354
-1810.26533,3571,673.799115
-1810.26533,3571,731.268947
-1810.26533,3571,789.490885
-1810.26533,3571,848.974264
-1810.26533,3571,905.393002
-1810.26533,3571,962.60743
-1810.26533,3571,1019.475284
-1810.26533,3571,1076.758137
-1810.26533,3571,1133.383911
-1810.26533,3571,1191.199752
-1810.26533,3571,1248.642589
-1810.26533,3571,1305.260914
-1810.26533,3571,1363.05799
-1810.26533,3571,1419.453852
-1810.26533,3571,1476.181991
-1810.26533,3571,1534.24509
-1810.26533,3571,1591.400506
-1810.26533,3571,1648.501076
-1810.26533,3571,1705.127019
-1810.26533,3571,1761.146537
-1810.26533,3571,1817.474771
-1810.26533,3571,1873.862213
-1810.26533,3571,1931.273851
-1810.26533,3571,1988.20576
-1810.26533,3571,2044.207281
-1810.26533,3571,2101.355518
-1810.26533,3571,2158.558853
-1810.26533,3571,2215.275036
-1810.26533,3571,2272.630387
-1810.26533,3571,2329.696977
-1810.26533,3571,2386.337004
-1810.26533,3571,2443.833671
-1810.26533,3571,2500.512486
-1810.26533,3571,2557.272737
-1810.26533,3571,2614.170877
-1810.26533,3571,2671.884274
-1810.26533,3571,2728.225211
-1810.26533,3571,2784.437505
-1810.26533,3571,2844.076854
-1810.26533,3571,2903.433755
-1810.26533,3571,2960.940393
-1810.26533,3571,3016.137326
-1810.26533,3571,3074.421633
-1810.26533,3571,3134.378179
-1810.26533,3571,3193.544598
-1810.26533,3571,3251.326325
-1810.26533,3571,3311.006076
-1810.26533,3571,3368.669617
-1810.26533,3571,3427.744126
-1810.26533,3571,3487.158235
-1810.26533,3571,3546.653654
-1810.26533,3571,3606.492306
-1810.26533,3571,3665.782396
-1810.26533,3571,3724.416473
-1810.26533,3571,3784.414069
-1810.26533,3571,3842.667875
-1810.26533,3571,3902.033235
-1810.26533,3571,3961.842281
-1810.26533,3571,4020.25592
-1810.26533,3571,4078.832254
-1810.26533,3571,4136.838835
-1810.26533,3571,4196.608805
-1810.26533,3571,4257.345483
-1810.26533,3571,4317.126728
-1810.26533,3571,4377.09093
-1810.26533,3571,4437.217961
-1810.26533,3571,4496.229571
-1810.26533,3571,4555.823816
-1810.26533,3571,4616.896451
-1810.26533,3571,4675.528326
-1810.26533,3571,4734.60468
-1810.26533,3571,4794.765853
-1810.26533,3571,4854.957842
-1810.26533,3571,4914.078497
-1810.26533,3571,4974.608254
-1810.26533,3571,5034.225465
-1810.26533,3571,5098.770546
-1810.26533,3571,5158.026412
-1810.26533,3571,5217.006991
-1810.26533,3571,5276.175544
-1810.26533,3571,5335.095038
-1810.26533,3571,5394.924038
-1810.26533,3571,5456.934313
-1810.26533,3571,5516.100062
-1810.26533,3571,5575.608407
-1810.26533,3571,5636.908799
-1810.26533,3571,5695.963825
-1810.26533,3571,5757.319816
-1810.26533,3571,5817.363771
-1810.26533,3571,5876.974232
-1810.26533,3571,5937.188344
-1810.26533,3571,5995.45687
-1810.26533,3571,6054.113636
-1810.26533,3571,6114.527083
-1810.26533,3571,6173.010795
-1810.26533,3571,6232.568334
-1810.26533,3571,6293.456966
-1810.26533,3571,6352.794963
-1810.26533,3571,6412.587052
-1810.26533,3571,6472.2466
-1810.26533,3571,6533.145709
-1810.26533,3571,6594.196599
-1810.26533,3571,6653.843322
-1810.26533,3571,6713.752165
-1810.26533,3571,6774.280964
-1810.26533,3571,6834.57099
-1810.26533,3571,6894.550721
-1810.26533,3571,6955.672447
-1810.26533,3571,7015.222586
-1810.26533,3571,7073.941525
-1810.26533,3571,7134.126286
-1810.26533,3571,7193.999597
-1810.26533,3571,7254.157503
-1810.26533,3571,7314.669976
-1810.26533,3571,7373.431416
-1810.26533,3571,7436.064554
-1810.26533,3571,7496.636353
-1810.26533,3571,7558.224292
-1810.26533,3571,7618.782227
-1810.26533,3571,7679.354767
-1810.26533,3571,7740.037182
-1810.26533,3571,7801.959915
-1810.26533,3571,7862.962923
-1810.26533,3571,7922.490626
-1810.26533,3571,7983.248674
-1810.26533,3571,8044.249862
-1810.26533,3571,8104.409234
