#{"t_start": 1595620962.2431328, "env_id": null}
r,l,t
-6121.003509,3571,49.026164
-6071.928351,3571,94.737017
-5423.651796,3571,142.490922
-6114.70026,3571,188.895689
-3640.905938,3571,244.558719
-2199.564286,3571,296.135239
-1237.736902,3571,348.505663
-1725.950709,3571,399.790046
-1441.644865,3571,457.355631
-881.588336,3571,511.174243
-654.510304,3571,565.512495
-832.202842,3571,619.704049
-1984.620714,3571,671.531084
-623.524394,3571,730.16965
-429.513099,3571,786.122058
-613.550309,3571,841.304298
-393.976243,3571,896.386971
-187.050065,3571,955.276742
-61.991368,3571,1012.213257
-236.365016,3571,1068.944807
28.228095,3571,1125.648627
-469.533768,3571,1181.577348
-702.242606,3571,1242.115371
114.22308,3571,1297.189736
-438.182304,3571,1351.987563
-387.259596,3571,1406.216323
-360.862457,3571,1466.657376
-362.729635,3571,1522.611141
-326.727339,3571,1577.187111
-328.921566,3571,1633.260161
-361.05365,3571,1688.540357
-93.007878,3571,1747.484122
-341.292709,3571,1801.699649
-377.421857,3571,1856.335667
-347.679413,3571,1910.801751
-376.034988,3571,1970.442647
-363.88957,3571,2025.941743
-358.347859,3571,2081.550374
-182.424205,3571,2136.680899
-244.694999,188,2139.274088
-338.94382,3571,2192.908221
-335.914888,3571,2253.35193
-345.15876,3571,2307.959397
-348.907132,3571,2362.407485
-342.985278,3571,2418.621578
-338.914526,3571,2477.583189
-319.161243,3571,2533.631951
-322.151002,3571,2588.94049
-328.572401,3571,2644.398419
-324.044761,3571,2699.783285
-316.398311,3571,2758.273498
-328.785403,3571,2814.908708
-329.312428,3571,2870.342245
-326.585029,3571,2924.415722
-314.46578,3571,2983.507085
-322.336743,3571,3038.857345
-320.156123,3571,3094.187192
-321.149107,3571,3149.374558
-322.027605,3571,3205.123894
-319.831465,3571,3264.711879
-329.598885,3571,3320.228875
169.894878,3571,3375.617535
-324.743065,3571,3430.556396
-313.715846,3571,3491.344603
-322.467607,3571,3547.13103
-317.691199,3571,3604.616167
-316.486129,3571,3659.743256
-321.106055,3571,3714.927515
-351.612874,3571,3773.145994
-313.445069,3571,3826.653718
-315.266139,3571,3879.90437
-315.18744,3571,3933.086156
-317.434043,3571,4038.357252
-323.291528,3571,4091.808135
309.941783,3571,4147.300169
-214.480979,133,4149.215191
-317.35683,3571,4204.342186
-316.400368,3571,4261.008746
-316.51706,3571,4320.603466
-322.223045,3571,4377.627181
-317.744724,3571,4434.858756
-320.369061,3571,4490.201819
-318.756952,3571,4551.152353
-318.443879,3571,4607.055744
-320.703962,3571,4663.105708
-112.2499,3571,4719.659401
-324.701609,3571,4777.207806
-313.937645,3571,4837.064725
-291.915542,230,4840.334394
-337.760209,3571,4896.070361
-91.721211,3571,4952.271957
-241.50614,3571,5007.573735
25.509314,3571,5068.02422
-211.668562,191,5070.555515
-316.656068,3571,5126.034638
-104.161988,3571,5180.420751
246.824621,3571,5235.004771
-317.549402,3571,5337.356599
-312.07297,3571,5394.308493
937.293826,3571,5451.885512
-317.977552,3571,5507.269603
-316.271799,3571,5562.278002
-315.217773,3571,5622.520865
-316.782998,3571,5678.315047
-321.374322,3571,5736.348361
577.916544,3571,5795.880446
-311.012035,3571,5858.46016
-320.531178,3571,5920.635026
-323.548223,3571,5980.073134
-331.564197,3571,6039.482636
-315.413169,3571,6096.704215
-321.256874,3571,6157.440205
-319.198311,3571,6213.462531
268.480097,3571,6270.586479
-319.694383,3571,6327.194864
-315.060357,3571,6388.082931
-320.350019,3571,6444.983258
-269.610743,356,6450.034674
73.954729,3571,6506.424389
-327.295108,3571,6561.204365
-175.675714,3571,6615.575614
-107.793769,3571,6678.268529
-313.825876,3571,6734.151374
-326.88879,3571,6790.644371
-315.734953,3571,6846.898073
-320.97922,3571,6906.844358
-313.194424,3571,6963.801609
263.960427,3571,7019.902114
2412.167274,3571,7076.346085
-318.061151,3571,7131.564057
-321.566055,3571,7191.812647
-310.60823,3571,7246.796171
-319.194516,3571,7302.577401
1418.325795,3571,7358.601168
128.221157,3571,7417.419171
-314.490114,3571,7473.80374
-320.468327,3571,7529.495323
301.155487,3571,7585.570524
-44.238679,3571,7640.922154
-316.636425,3571,7704.245594
-81.246078,3571,7759.447325
847.238524,3571,7813.802282
-312.00149,3571,7867.356073
-316.456971,3571,7926.360377
2150.766319,3571,7980.537065
-320.316115,3571,8033.125939
-321.216423,3571,8087.099695
845.807336,3571,8139.130684
