#{"t_start": 1595479395.496851, "env_id": null}
r,l,t
-5112.527065,3571,32.548823
-5344.828428,3571,61.498822
-5665.394881,3571,90.707598
-5080.712499,3571,119.992831
-4763.474337,3571,154.164103
-3839.83685,3571,184.412644
-4698.992655,3571,214.456867
-4079.97678,3571,244.109746
-3600.627999,3571,278.176337
-3042.24017,3571,310.200382
-2967.657576,3571,342.120455
-3013.100562,3571,373.47615
-3194.755033,3571,404.750482
-2974.949625,3571,439.902047
-2995.667645,3571,470.899088
-3071.701499,3571,502.403965
-2965.352048,3571,534.509586
-3014.940706,3571,570.402505
-2776.133861,3571,601.850397
-2515.103035,3571,633.056556
-2863.452492,3571,664.394531
-2669.363282,3571,695.417485
-2726.270344,3571,731.226285
-2385.508599,3571,762.584545
-2140.379733,3571,793.720262
-2459.068736,3571,825.34448
-2401.558227,3571,861.074606
-2604.623487,3571,892.712702
-2477.861679,3571,924.142746
-2697.318481,3571,955.477967
-2344.471628,3571,987.10407
-2428.623518,3571,1023.341635
-1186.556661,3571,1057.555583
-822.696668,3571,1089.276634
-1519.471341,3571,1120.669111
-2144.663755,3571,1155.58356
-1187.854412,3571,1187.247895
-1124.201501,3571,1219.309551
-845.934035,3571,1251.148005
-845.878645,3571,1282.41352
-1060.385792,3571,1317.272094
-919.218499,3571,1349.338447
-891.930365,3571,1381.268768
-1301.23943,3571,1412.990012
-880.184699,3571,1448.301193
-779.025674,3571,1479.774787
-776.790425,3571,1512.471011
-768.153013,3571,1545.315382
-769.826839,3571,1577.163013
-824.293098,3571,1613.705929
-784.35344,3571,1646.369112
-777.16584,3571,1677.826458
-750.643175,3571,1710.223389
-750.485709,3571,1746.520166
-772.25494,3571,1777.606391
-785.628371,3571,1809.570085
-832.866605,3571,1841.85237
-769.914661,3571,1873.624008
-770.104664,3571,1909.394818
-741.733508,3571,1942.115339
-704.358616,3571,1974.353324
-746.635423,3571,2007.27177
-744.068735,3571,2043.155014
-745.225108,3571,2074.995147
-748.431075,3571,2107.334477
-751.479261,3571,2138.158045
-743.210965,3571,2170.903
-739.243741,3571,2206.722707
-751.306576,3571,2238.767016
-742.708902,3571,2271.559068
-741.547045,3571,2303.619674
-760.965598,3571,2340.158571
-737.688359,3571,2372.934294
-732.257836,3571,2404.901862
-744.254187,3571,2435.70462
-746.222109,3571,2468.396254
-742.722598,3571,2504.560979
-742.299771,3571,2536.805627
-731.546048,3571,2568.539097
-743.146856,3571,2600.601998
-742.764202,3571,2636.27604
-743.507876,3571,2668.469803
-754.828778,3571,2699.938514
-738.779219,3571,2732.505729
-735.245925,3571,2764.699144
-732.560994,3571,2799.880546
-740.308692,3571,2831.523667
-749.217039,3571,2863.532026
-747.208867,3571,2894.698964
-738.40084,3571,2930.105269
-752.377129,3571,2961.709198
-751.67141,3571,2992.735558
-745.768842,3571,3024.489725
