#{"t_start": 1595699659.403386, "env_id": null}
r,l,t
-4946.000943,3571,54.498378
-4259.669409,3571,106.166402
-2729.316733,3571,158.96066
-939.514802,3571,212.291436
-939.725597,3571,265.153409
-934.222977,3571,317.451648
-797.394436,3571,370.883976
-790.722778,3571,423.928599
-1279.182708,3571,475.172164
-651.822314,3571,528.171427
-670.572355,3571,581.324342
-678.563895,3571,634.651226
-485.179553,3571,687.645671
-729.59168,3571,740.828882
-1099.470915,3571,793.894945
-837.821018,3571,847.230899
-1331.648431,3571,899.765972
-537.989149,3571,952.946776
-425.390903,3571,1006.172717
-424.559854,3571,1059.431722
-420.954053,3571,1112.126036
-500.58517,3571,1165.35793
-633.884993,3571,1218.460979
-574.824213,3571,1271.356123
-582.970268,3571,1324.477254
-613.222398,3571,1377.422099
-884.266071,3571,1429.955095
-486.635439,3571,1482.5398
-561.093649,3571,1535.498379
-713.404589,3571,1588.653196
-512.19076,3571,1641.566177
-553.258009,3571,1694.060874
-449.797677,3571,1746.868263
-560.249634,3571,1799.851372
-404.146541,3571,1852.752874
-458.445095,3571,1905.245934
-1881.585897,3571,1954.745297
-461.965564,3571,2007.73212
-803.739491,3571,2060.719234
-553.174842,3571,2113.335685
-682.499332,3571,2166.143076
-1882.510275,3571,2217.722381
-1417.084094,3571,2269.990938
-772.281239,3571,2323.329163
-1051.621923,3571,2376.102122
-1347.938654,3571,2428.770653
-814.356585,3571,2481.700305
-1062.217243,3571,2534.627932
-854.126277,3571,2587.733301
-768.672342,3571,2641.00226
-788.005798,3571,2693.835218
-686.512422,3571,2746.795309
-748.625269,3571,2799.488722
-800.732513,3571,2852.500163
-2456.688926,3571,2903.581432
-1956.06738,3571,2954.884143
-789.815956,3571,3007.948761
-1214.637614,3571,3060.612468
-1780.396008,3571,3112.675555
-2772.316538,3571,3163.223856
-897.038509,3571,3216.13479
-761.503517,3571,3269.641361
-2136.041271,3571,3321.757128
-1100.497593,3571,3374.811957
-990.741821,3571,3427.502112
-684.753501,2025,3457.535827
-1046.568243,3571,3511.082081
-939.895001,3571,3564.367318
-1743.826292,3571,3615.212585
-612.098922,3571,3668.440382
-739.434192,2322,3702.180861
-715.051861,3571,3755.158111
-619.14323,3571,3807.383458
-585.669179,2507,3844.246023
-620.872794,1313,3863.227314
-1172.050044,2867,3903.976048
-1598.733377,3571,3955.19306
-1911.199306,2548,3991.415574
-241.333661,332,3996.17577
-837.443076,3571,4049.881299
-2738.798218,3571,4102.143449
-843.991023,1598,4125.803343
-179.542025,187,4128.530793
-2787.43447,3571,4179.836701
-312.24139,710,4190.321473
-420.714805,1142,4207.183259
-274.057912,759,4218.470241
-72.785675,3571,4272.083303
-186.206501,264,4276.033641
-210.403792,578,4284.668107
-572.635794,2066,4315.387182
-654.49069,3571,4368.023899
-575.379391,3571,4420.874834
-690.995504,3571,4474.152869
-358.276338,662,4483.916921
-725.882887,3571,4536.817612
-742.360147,3571,4589.826787
-612.319509,3571,4642.791739
-628.331377,3571,4696.249241
-530.13238,3571,4749.64819
-974.904504,3571,4801.279291
-527.999236,3571,4854.182438
-552.700659,3571,4907.646563
-459.102623,3571,4960.465895
-542.420602,3571,5013.206343
-177.136394,3571,5066.679113
-555.904447,3571,5119.543185
-333.748105,3571,5172.93245
-669.705882,3571,5226.103228
-314.396845,3571,5279.877878
-639.786744,3571,5332.91425
-425.835064,3571,5385.743278
-269.009432,3571,5439.063888
-278.460304,3571,5492.888382
-306.002912,3571,5546.742327
-229.790284,3571,5600.484345
-168.802642,3571,5654.447774
-160.645495,3571,5708.168561
-261.980527,3571,5761.766459
-28.282257,3571,5815.5077
-198.200655,3571,5869.170273
119.521939,3571,5922.445315
-323.746477,3571,5975.274458
-72.793024,3571,6028.254467
-172.730183,3571,6081.509017
-203.719553,3571,6134.889316
-304.304026,3571,6187.82634
-199.382292,3571,6240.598828
-486.289916,3571,6293.51358
-504.2989,3571,6346.280856
-539.297262,3571,6399.076756
-520.389679,3571,6452.473905
-512.417634,3571,6505.164841
-580.381348,3571,6558.032084
-477.068686,3571,6611.299255
-514.584803,3571,6664.378786
-508.195152,3571,6717.410757
-497.240743,3571,6770.977483
-500.662084,3571,6824.181615
-537.591888,3571,6877.251186
-548.556665,3571,6930.353114
-484.78703,3571,6983.162891
-561.191891,3571,7036.251279
-560.498982,3571,7089.259619
-509.919773,3571,7142.064506
-499.781503,3571,7195.421025
-460.566017,3571,7248.435678
-506.193443,3571,7301.410762
-476.741972,3571,7354.671211
