#{"t_start": 1595699659.6001027, "env_id": null}
r,l,t
-5465.666212,3571,128.752594
-2291.466207,3571,260.519965
-1003.697784,2195,342.0149
-696.753223,1420,393.825835
-384.381418,272,403.015223
-388.095518,277,412.31875
-409.997772,300,422.396361
-609.89661,463,437.535885
-366.36942,256,445.95236
-554.333173,491,463.272258
-384.718537,280,473.058384
-318.134151,211,479.940115
-356.752242,249,488.214915
-364.09177,256,496.603053
-408.308017,362,509.165591
-359.305844,257,517.697297
-331.552012,218,524.710619
-446.530713,347,536.59271
-324.448841,234,544.303752
-358.782405,264,552.963674
-414.763207,306,563.120484
-642.901826,543,582.200464
-1031.242184,1350,632.054634
-320.6355,213,639.001874
-1006.236776,2177,717.66263
-282.300583,188,723.839822
-296.532337,240,731.789292
-434.539266,581,751.990968
-509.628745,711,776.909308
-265.8279,169,782.320302
-393.388518,551,801.576826
-336.26511,376,814.84557
-687.963961,1619,873.874773
-249.641474,157,879.121093
-1387.821594,3571,1008.390742
-1339.566309,3571,1135.885012
-1309.393716,3571,1265.33191
-1272.760611,3433,1388.227509
-1243.943009,3571,1515.645104
-825.668567,2132,1593.366798
-1022.740304,2657,1689.895792
-1189.227263,3571,1820.836186
-354.367759,417,1835.772525
-374.356445,709,1861.761641
-663.042724,1888,1932.46979
-538.613713,3571,2071.176184
-398.467397,386,2084.804643
-268.840862,285,2095.320981
-564.146219,629,2117.695802
-738.497641,2508,2210.976987
-343.972304,939,2246.455592
-341.632488,792,2275.848513
-392.600534,1119,2317.800128
-219.216092,262,2327.239745
-359.965813,546,2346.911372
-462.847967,1457,2401.778392
-680.55309,3571,2539.402747
-590.879359,3571,2674.488416
-628.906676,3571,2813.344891
-467.093383,3571,2948.338757
-409.497951,3571,3083.41394
-398.838239,3571,3219.677735
-396.681109,3571,3354.662012
-432.93737,3571,3490.317806
-371.324513,3571,3625.857468
-412.970142,3571,3760.749505
-402.054511,3571,3895.200039
-336.175929,3571,4030.451992
-459.546023,3571,4165.540888
-379.736609,3571,4301.249781
-387.527036,3571,4438.012049
-366.313653,3571,4575.875834
-384.38353,3571,4712.393688
-413.390844,3571,4849.214785
-406.668498,3571,4986.526705
-405.766519,3571,5124.615458
-447.533644,3571,5263.651469
-407.765178,1981,5337.202842
-544.041859,3571,5471.640967
-374.298425,3571,5609.887805
-383.198685,3571,5749.288822
-389.049319,3571,5889.169417
-204.078601,217,5896.617132
-341.851216,3571,6037.577516
-429.528053,3571,6177.063704
-353.01903,3571,6316.105309
-364.324485,3571,6456.974913
-337.349105,3571,6599.280667
-345.714318,3571,6740.337517
-331.606424,3571,6881.969363
-265.800949,789,6911.400095
-338.160846,3571,7052.349972
-309.395929,3571,7194.615604
-315.491071,3571,7336.229714
-308.326117,3571,7479.364473
-319.826683,3571,7620.310962
-325.147603,3571,7757.304234
-315.372035,3571,7895.590387
-291.185336,3571,8034.253712
-296.826263,3571,8172.619705
-271.294414,3571,8311.427702
-269.754127,3571,8449.78078
-294.404376,3571,8589.44825
-265.867385,3571,8728.505727
-286.340932,3571,8868.337468
-271.963624,3571,9007.770533
-299.009006,3571,9145.928711
-250.327349,3571,9284.649069
-292.86075,3571,9424.392128
-262.294496,3571,9563.652372
-278.989648,3571,9703.389422
-305.75179,3571,9842.800026
-250.90716,3571,9984.774109
-705.799908,3571,10115.811998
-475.594695,2246,10197.771583
-230.475667,265,10206.9604
-210.195113,276,10216.62957
-205.550971,191,10223.118809
-245.298685,420,10238.041942
-204.805697,245,10246.458812
-199.644137,143,10251.029165
-308.318255,1088,10291.119376
-409.076878,1475,10345.317239
693.154753,3571,10486.301718
-652.094142,3571,10620.339277
-228.202232,251,10629.010033
1200.267952,3571,10771.002236
-249.386987,424,10785.918074
1036.006981,3571,10926.308659
719.239201,3571,11065.945723
-374.543752,889,11098.538698
-199.633949,164,11104.164742
-703.689244,3571,11237.401793
-418.045651,1738,11301.934098
-264.15382,643,11326.00539
-508.529257,2198,11407.339051
506.308077,3571,11546.586832
-269.239194,762,11575.426698
-376.507438,1487,11631.109496
-246.579233,368,11643.926996
-274.210486,674,11669.213834
280.239077,3571,11806.875582
-241.864882,578,11828.471063
-457.415157,1693,11890.872137
202.537042,3571,12027.979965
647.181879,3571,12164.904539
2925.708791,3571,12292.307887
4288.582977,3571,12414.777632
4292.243471,3571,12536.162506
4686.276446,3571,12653.941118
-183.512138,165,12659.623696
4194.98217,3571,12778.216258
3573.670958,3571,12899.479242
4137.06344,3571,13018.554091
4610.601736,3571,13139.455444
-185.393465,204,13146.450289
-182.354411,176,13152.740305
3738.005851,3571,13276.530545
3570.77865,3571,13403.649225
3886.166952,3571,13535.689422
-203.204045,351,13548.550531
3914.861564,3571,13680.57956
-303.755739,1005,13718.288977
-291.982881,785,13747.268848
-170.183153,113,13751.077421
-190.360952,217,13758.636333
4106.575103,3571,13888.02912
4169.889029,3571,14017.537498
4615.211358,3571,14143.924727
4863.360838,3571,14267.32807
4711.65311,3571,14392.181281
-179.008684,129,14396.680766
5706.115833,3571,14523.522379
5428.179909,3571,14663.658159
4876.998271,3571,14810.701242
3446.692551,3571,14957.763978
3394.443881,3571,15104.555819
3001.371852,3571,15254.467685
2542.125655,3571,15404.878086
2739.346698,3571,15554.622416
1993.490332,3571,15705.524565
2103.332794,3571,15856.790113
1364.328629,3571,16008.455289
2456.787547,3571,16160.383139
3011.190916,3571,16312.429812
3637.25581,3571,16463.080583
4216.867355,3571,16610.861703
4626.648341,3571,16759.212945
4688.388559,3571,16906.666397
4649.236728,3571,17052.83424
3496.854847,3571,17201.333018
-404.165587,3571,17352.402235
-493.603645,3571,17503.279223
-488.890739,3571,17655.07105
-445.372911,3571,17806.115689
-416.734157,3571,17957.729996
-422.993155,3571,18110.871884
-422.118051,3571,18261.759075
-430.279859,3571,18411.727147
-362.441994,3571,18562.537285
-361.744713,3571,18712.891609
-361.87893,3571,18864.649067
1831.223076,3571,19012.646146
2995.235654,3571,19159.372237
