#{"t_start": 1595699659.610916, "env_id": null}
r,l,t
-316.444587,141,13.352478
-4903.037412,3571,247.031349
-2814.728671,2192,389.681385
-1001.009411,983,455.077123
-577.829278,1659,578.651082
-313.541463,170,589.056799
-186.576757,92,594.993453
-217.578922,103,601.707118
-184.826178,73,606.240341
-166.848669,90,611.940236
-232.695036,107,618.880527
-245.943525,131,627.106329
-194.422814,86,632.548301
-186.978876,100,638.888005
-315.24939,198,651.674512
-206.312239,87,657.318424
-223.863708,256,675.956301
-165.256471,57,679.795063
-189.442194,147,689.644133
-143.140639,53,692.866601
-210.857764,111,699.974275
-164.913463,58,703.569448
-376.74506,453,735.86254
-176.514006,66,740.227966
-269.57499,248,757.106723
-209.104056,110,764.208323
-120.083717,28,766.216279
-174.434236,72,770.848342
-429.088659,1980,926.355587
-247.256081,293,945.952914
-157.65293,54,949.327555
-253.228042,678,1000.892178
-325.237754,252,1017.975671
-252.314552,140,1026.995705
-395.407184,228,1040.915405
-241.774802,725,1098.577227
-136.408755,92,1106.069259
-180.979933,225,1122.988276
-193.29405,119,1130.840858
-261.18931,283,1151.080024
-147.8242,209,1167.271894
-205.777648,102,1173.749109
-141.372763,81,1179.185328
-289.425106,195,1191.595719
-166.962615,165,1203.181664
-411.033374,465,1235.627297
-242.538241,199,1248.360765
-165.440072,65,1252.991109
-187.594658,241,1270.56037
-235.405085,239,1287.44169
-182.980591,105,1294.023122
-154.59894,48,1297.342784
-219.169493,150,1306.661354
-523.462644,1220,1397.88128
-384.257004,349,1420.35401
-225.360237,158,1431.037198
-436.917425,922,1498.941636
-241.670653,300,1519.883975
-164.988775,349,1547.163234
-281.706896,638,1594.92432
-121.03056,33,1597.23184
-126.966018,38,1599.814516
-121.003018,33,1602.065515
-260.796803,196,1614.1432
-142.667733,47,1617.089448
-402.742365,243,1631.722998
-315.321297,291,1650.755064
-123.577496,37,1653.367423
-124.228973,33,1655.70793
-123.824163,32,1657.925405
-755.728997,911,1718.538739
-275.952903,230,1733.751876
-288.582317,324,1756.138958
-211.986211,111,1763.227205
-126.974962,41,1766.140727
-494.2669,450,1794.420516
-123.582984,32,1796.655462
-125.596019,35,1799.204886
-307.17697,216,1813.082853
-130.226159,44,1816.325332
-601.777752,3571,2093.122742
-122.415876,34,2095.535384
-195.097563,134,2104.257075
-122.223409,35,2106.952962
-121.05108,32,2109.254799
-120.958771,34,2111.557976
-119.50039,30,2113.688741
-120.565375,34,2116.185902
-120.368008,29,2118.116261
-120.400205,32,2120.292185
-123.007134,35,2122.959232
-122.968715,34,2125.364057
-120.033179,29,2127.395239
-127.697834,41,2130.408278
-123.675885,35,2132.981035
-126.094154,37,2135.705056
-123.445198,37,2138.322423
-570.92379,3571,2417.665206
-123.687201,33,2419.918203
-123.216794,38,2422.561025
-123.546852,34,2425.113063
-123.37485,39,2427.839033
-119.367937,30,2429.975827
-120.329556,32,2432.2904
-119.919289,35,2434.993118
-119.48652,28,2436.905289
-125.716018,38,2439.706787
-387.895883,1493,2555.887336
-122.650919,36,2558.533911
-120.868221,32,2560.973524
-123.627132,41,2564.091508
-396.674748,1618,2690.931063
-121.638182,30,2692.9495
-119.693785,27,2694.731723
-121.757258,32,2696.971542
-124.943583,35,2699.551965
-124.028422,34,2702.060851
-499.552241,3571,2986.501636
-407.303519,1643,3115.871212
-292.836527,867,3181.633217
-237.82471,307,3202.837895
-355.130988,440,3233.666672
-162.324149,159,3244.702945
-303.713793,382,3270.885505
-542.292991,731,3320.329595
-291.334238,330,3342.633152
-239.864855,362,3368.888007
-264.061191,462,3401.862905
-290.53829,814,3462.855645
-395.295507,1523,3579.579867
-122.770126,32,3581.862322
-147.162844,271,3602.68167
-118.728312,28,3604.561306
-125.062304,39,3607.501149
-309.247387,1017,3686.054434
-145.161918,129,3695.513263
-118.50583,31,3697.79331
-270.323264,421,3727.643839
-145.113661,61,3731.663399
-568.438599,1566,3847.53747
-240.595599,136,3856.066762
-342.162732,283,3874.450867
-118.765632,30,3876.536066
-118.193452,31,3878.704471
-120.222351,31,3880.912165
-122.620693,35,3883.565566
-120.247583,34,3886.073601
-119.048978,29,3888.050516
-203.38816,143,3897.29075
-213.325697,553,3940.177887
-305.006156,342,3963.055432
-174.557902,383,3993.278748
-154.414043,137,4003.326332
-167.583318,159,4014.403829
-119.320971,32,4016.77449
-180.434824,149,4026.54679
-324.282912,241,4041.795485
-153.253344,56,4045.105429
-148.305977,57,4048.659889
-167.351186,78,4053.438062
-247.799141,261,4070.947446
-305.750548,344,4093.714543
-161.466789,79,4099.050152
-175.970602,134,4107.772691
-152.878605,179,4120.667104
-175.991224,252,4138.970528
-117.948671,30,4141.069497
-116.368505,33,4143.586002
-117.36807,28,4145.643203
-116.923009,27,4147.50451
-114.569552,29,4149.537036
-163.36827,78,4154.560521
-179.662943,254,4172.288868
-308.836468,488,4205.780087
-407.679876,395,4229.932643
-161.955328,155,4240.799102
-172.840725,286,4262.193299
-515.414191,1353,4360.762915
-115.12122,28,4362.907557
-116.910705,27,4364.797706
-117.183911,28,4366.732591
-117.899215,26,4368.532909
-157.498645,256,4388.375375
-121.959816,33,4390.646837
-245.571103,495,4428.449535
-173.469121,126,4436.628364
-300.828079,499,4472.768759
-172.382451,128,4481.370954
-148.853214,66,4485.578745
-147.048219,71,4490.531181
-121.68989,31,4492.7451
-128.166542,47,4495.886762
-200.007576,133,4504.562025
-166.787457,112,4512.099124
-147.393633,120,4520.394217
-117.495726,24,4521.984783
-184.945392,179,4534.237605
-153.374058,80,4539.405445
-117.141844,28,4541.327401
-165.086369,83,4546.828509
-128.35536,49,4549.967961
-234.331599,150,4559.377112
-161.272832,91,4565.216881
-221.781624,155,4574.769818
-197.785947,308,4597.987301
-127.14396,57,4601.798216
-148.654783,82,4607.087568
-203.246353,136,4616.08313
-201.137334,634,4665.307683
-172.710882,92,4670.809888
-444.079402,419,4697.349132
-300.906249,264,4714.260266
-250.896726,414,4745.045461
-166.719655,77,4750.210437
-208.644818,165,4760.84299
-197.256515,180,4773.334055
-260.716673,632,4821.731315
-306.789941,299,4841.132946
-419.310203,565,4878.361772
-183.04884,96,4884.599537
-263.326127,231,4899.092413
-232.487022,167,4909.415633
-117.090433,25,4911.084233
-296.465091,235,4925.187711
-162.460777,81,4930.557158
-235.560265,268,4949.232792
-239.400996,152,4958.095413
-151.707674,55,4961.273618
-275.614975,231,4975.372369
-282.213934,302,4994.957227
-385.99114,375,5018.899466
-205.900608,123,5026.223542
-168.244082,190,5039.759758
-241.503237,197,5052.108317
-190.684683,107,5058.774249
-252.86131,215,5072.527168
-185.774559,128,5080.759829
-253.697086,186,5092.699373
-200.959322,336,5117.358156
-170.742364,124,5125.741848
-214.957495,150,5135.53259
-204.063903,259,5154.066376
-235.952915,189,5165.773907
-166.994958,82,5170.850798
-333.367123,282,5188.88118
-154.977797,45,5191.470994
-213.188398,230,5206.415348
-487.351137,658,5250.225004
-298.398612,279,5269.00927
-273.355616,267,5286.817378
-155.845692,94,5293.100201
-229.454895,243,5308.946649
-323.118447,453,5339.155691
-241.33992,236,5355.169453
-492.607065,2248,5536.471553
-147.775464,82,5541.807818
-131.351048,70,5546.879769
-218.446421,152,5556.809498
-136.258059,63,5560.919757
-350.571777,488,5593.799387
-141.040891,74,5598.573385
-362.583827,558,5637.461942
-259.391784,321,5659.936025
-180.325202,89,5665.460702
-342.184751,495,5698.290938
-231.347734,185,5710.617907
-276.687755,367,5735.479799
-233.335654,247,5752.565034
-186.330149,84,5757.969813
-174.683647,73,5762.241815
-331.731488,638,5806.531652
-436.092649,789,5862.085588
-215.981625,186,5874.80785
-190.773142,217,5890.649373
-238.787465,315,5911.916142
-145.089901,59,5915.681274
-134.657866,57,5919.348151
-142.630369,58,5922.935571
-193.823335,156,5933.258736
-148.774817,80,5938.460006
-132.556085,50,5941.676134
-231.98197,699,5992.262908
-213.605479,205,6005.579209
-159.955755,93,6011.891421
-215.373399,689,6061.246518
-212.342037,211,6075.302637
-208.473022,712,6126.601026
-199.962847,187,6138.505544
-165.558562,127,6147.284785
-187.648929,196,6161.01305
-159.082568,96,6167.678465
-177.699919,98,6174.221625
-163.28598,354,6198.84945
-167.944732,73,6203.402779
-201.631948,253,6221.651171
-206.65356,590,6263.420473
-198.308491,509,6299.26571
-148.074035,267,6317.59788
-143.699698,287,6337.077306
-175.714651,352,6361.780719
-194.97752,113,6368.939381
-171.608519,168,6380.539526
-136.532086,40,6383.174641
-171.506849,104,6390.139069
-390.624105,1019,6463.11565
-154.812522,119,6470.973188
-150.649358,53,6474.558033
-201.555247,783,6530.89274
-145.951243,109,6538.289631
-275.250125,918,6603.968701
-178.737956,86,6609.026874
-155.780201,66,6613.275168
-213.521878,99,6619.17521
-151.637101,92,6625.401083
-128.75972,48,6628.472929
-290.99429,714,6679.779667
-189.848906,110,6686.577708
-302.616214,982,6758.74935
-225.049852,232,6774.499009
-234.741345,225,6789.424855
-136.062802,110,6797.808161
-136.204891,53,6801.684125
-190.901633,128,6809.461224
-200.506944,160,6820.040501
-167.351071,93,6825.916712
-203.049002,350,6851.141328
-120.408374,34,6853.647629
-120.532556,29,6855.673448
-214.694995,191,6869.395504
-231.945099,639,6916.563027
-117.243598,27,6918.420688
-117.443272,25,6920.237945
-126.914032,42,6923.036805
-204.032097,221,6938.690915
-305.416382,487,6973.328914
-219.664766,520,7011.572935
-117.712709,26,7013.359224
-118.554761,26,7015.085342
-150.528645,156,7026.223753
-145.363632,170,7038.460935
-134.044292,127,7047.945064
-126.854925,43,7050.684304
-223.523912,623,7096.328877
-351.056744,1194,7184.425982
-117.039765,24,7186.047956
-292.998658,314,7205.646153
-117.471506,26,7207.383679
-118.758388,30,7209.482336
-117.375849,29,7211.518907
-130.796723,79,7217.126917
-117.800724,29,7219.287032
-266.531239,741,7273.849972
-117.35769,25,7275.465396
-116.945215,30,7277.730061
-117.005218,26,7279.429252
-242.415912,339,7302.766463
-377.784096,487,7333.52518
-117.639809,27,7335.271856
-159.433462,440,7367.114255
7.152226,495,7403.849703
-120.040907,28,7405.960557
-117.866613,34,7408.284875
-117.783586,29,7410.212093
-174.948853,153,7420.343916
-117.691776,30,7422.34004
-261.614797,907,7489.04121
-160.766052,417,7519.333151
-174.679434,173,7530.936759
-456.696204,845,7589.316476
-117.565477,27,7591.058623
-117.251823,25,7592.780215
-117.62819,28,7594.808353
-117.466996,27,7596.65936
-118.194177,28,7598.594461
-117.566555,30,7600.56512
-126.118284,127,7609.908553
-148.582517,236,7626.916668
-188.872162,200,7640.251172
-156.704773,1247,7730.481331
-136.271383,66,7734.705711
-117.450721,30,7736.811713
-117.123363,28,7738.845112
-249.931957,770,7794.600747
-231.941621,1330,7893.451725
-204.545545,1021,7968.132557
-128.613697,47,7971.214031
-117.367437,25,7973.036498
-201.252864,775,8029.400424
-117.443037,28,8031.331308
-117.213909,27,8033.193813
-116.486646,25,8034.758181
-264.192824,1123,8116.44105
-115.533811,27,8118.264466
-116.291039,26,8119.938568
-117.1952,28,8121.884515
-116.348745,27,8123.496813
-267.587672,1402,8225.040693
-116.915159,25,8226.618964
-116.912048,28,8228.756106
77.893389,1213,8319.593188
-132.747139,56,8323.155578
-187.947006,209,8336.704518
-117.684175,30,8338.642372
-116.281198,2628,8528.26869
-116.349925,25,8529.891041
-119.786469,33,8532.00846
-116.939513,30,8534.006493
-117.478674,28,8535.927315
