#{"t_start": 1595745204.2850392, "env_id": null}
r,l,t
-6234.723275,3571,58.434783
-6051.312601,3571,110.671947
-6156.466698,3571,165.605679
-5499.249714,3571,221.372838
-6349.687066,3571,277.588411
-5869.323434,3571,332.0734
-6819.936951,3571,386.771072
-6753.726167,3571,442.556755
-5421.157237,3571,498.798537
-6355.341391,3571,554.290404
-6319.882496,3571,609.987019
-6949.409516,3571,666.990668
-6352.124458,3571,723.117816
-5792.894219,3571,779.90721
-387.647597,331,787.076554
-411.334934,458,795.403732
-406.590883,391,802.976599
-322.112478,195,806.469866
-320.162799,191,810.092053
-323.651492,194,814.253769
-326.069108,267,819.618314
-326.636848,222,824.10994
-331.400015,258,828.872128
-321.972128,195,832.572872
-317.88714,196,836.104238
-318.415882,196,839.747087
-319.895454,191,843.256125
-315.879376,192,846.624366
-308.740033,238,851.358296
-377.222981,244,855.589938
-237.653297,121,857.540071
-236.077945,118,859.552068
-239.908298,122,861.998517
-231.875225,116,863.827532
-239.866326,121,865.732043
-237.588876,120,867.797266
-242.833603,122,869.870975
-232.302763,117,872.332591
-234.482315,115,874.3232
-232.952017,116,876.402718
-238.597668,120,878.291217
-234.860111,117,880.524685
-242.866123,123,882.475239
-246.359695,118,884.894794
-238.481696,120,886.984126
-232.449291,114,888.990226
-234.143541,117,890.875793
-238.017,118,892.860287
-241.539951,121,895.473541
-238.542222,121,897.592164
-234.586443,118,899.628122
-240.011312,120,901.59447
-240.257364,118,903.499671
-289.740315,123,906.100259
-249.876756,126,908.286625
-251.666092,125,910.215558
-259.016708,132,912.269168
-253.022395,127,914.894453
-252.662238,125,917.039944
-256.971933,127,919.139032
-256.366536,129,921.320949
-254.079308,127,923.864833
-252.931078,124,925.805463
-266.849171,135,927.935761
-253.913685,124,930.567398
-255.273014,126,932.548417
-250.638685,122,934.508007
-254.254623,125,936.63953
-255.093524,125,939.064665
-253.562345,124,940.999896
-275.552087,127,942.974163
-253.925498,125,944.999572
-262.288313,130,947.417966
-261.864213,130,949.601593
-263.853177,130,951.658385
-255.733572,126,953.627617
-257.961836,128,956.332186
-266.555356,131,958.452338
-259.728513,129,960.480005
-260.177696,127,963.048962
-264.603996,131,965.107213
-263.034391,131,967.132245
-262.11013,131,969.955801
-262.388198,129,972.025691
-260.907075,130,974.092913
-261.58963,130,976.056468
-267.945989,134,978.874763
-264.732007,129,980.991106
-263.340584,130,983.061569
-254.210543,124,985.62281
-264.328583,130,987.791618
-262.509728,129,989.81482
-262.815193,158,992.891112
-297.014926,153,995.179839
-269.517209,133,997.803605
-289.554592,145,1000.189343
-266.352021,132,1002.194236
-261.980594,128,1004.74474
-299.857877,155,1007.070976
-263.780076,128,1009.692375
-261.917256,164,1012.232372
-263.315233,129,1014.226436
-297.1026,153,1017.030195
-262.630174,130,1019.032833
-263.380402,130,1021.641467
-267.688989,128,1023.63952
-320.308941,156,1025.924679
-289.081801,143,1028.609947
-299.264137,154,1031.048478
-266.198895,168,1034.051556
-263.049495,130,1036.200285
-287.724505,142,1038.928689
-319.551235,151,1041.258193
-261.529734,127,1043.798091
-257.680616,127,1045.925744
-251.726293,122,1047.902536
-258.517697,127,1049.917477
-263.744636,131,1052.650126
-297.595184,153,1055.074196
-259.750894,127,1057.212852
-265.369614,131,1059.932223
-257.779802,127,1062.037699
-263.09412,129,1064.249136
-293.90971,150,1067.058903
-265.455089,133,1069.268117
-254.737925,125,1071.343055
-264.009344,130,1074.029068
-255.172327,128,1076.241039
-261.846885,130,1078.388323
-257.180414,125,1081.082891
-257.084234,126,1083.052168
-267.945442,131,1085.129036
-257.488063,128,1087.189771
-255.342952,125,1089.708204
-262.243789,130,1091.845586
-258.510583,126,1094.124815
-289.886274,144,1096.92089
-265.623676,131,1099.062041
-261.592189,129,1100.998262
-251.478046,124,1103.028726
-260.920689,130,1105.623808
-251.885155,125,1107.753435
-255.328689,127,1109.859056
-261.160705,130,1112.280056
-256.057559,126,1114.230587
-258.677669,128,1116.345938
-256.211711,127,1118.322295
-256.620658,128,1120.88034
-254.868517,125,1123.073519
-252.594449,124,1125.133476
-257.185358,126,1127.166592
-251.717438,123,1129.677781
-251.833111,124,1131.645635
-254.732958,125,1133.685727
-256.284822,127,1135.74018
-261.643473,129,1138.294284
-254.756779,126,1140.218886
-259.742483,129,1142.250653
-268.465238,135,1144.912459
-254.950781,127,1146.84508
-267.160682,135,1148.979814
-257.523376,127,1151.572777
-256.208135,127,1153.55678
-258.651502,127,1155.583363
-259.503815,129,1157.64743
-258.885876,128,1160.194128
-249.308982,121,1162.213976
-259.984912,128,1164.257595
-254.3801,127,1166.142951
-252.541266,124,1168.63685
-256.627447,128,1170.731876
-256.145763,128,1172.834451
-262.507676,131,1174.937206
-248.347277,124,1177.553987
-251.301375,125,1179.58517
-237.28927,118,1181.499866
-223.518251,153,1184.533233
-188.64091,137,1186.977284
-189.225697,124,1189.141912
-189.941247,145,1192.208227
-188.021821,134,1194.454515
-192.693776,134,1196.748729
-191.755724,145,1199.794415
-187.478802,134,1201.955501
-187.883021,133,1204.614673
-188.320063,132,1206.883426
-188.987391,142,1209.248035
-188.772969,141,1212.204012
-187.43283,113,1214.108781
-189.054049,139,1216.256696
-188.958265,140,1219.089254
-188.661081,139,1221.33996
-187.997692,132,1223.559866
-189.167644,141,1226.399289
-190.786805,147,1228.925848
-188.526239,135,1231.692171
-187.873436,134,1233.890939
-186.937925,130,1236.038977
-192.874154,149,1238.986858
-195.918693,128,1241.070311
-193.768839,152,1243.598625
-190.295164,133,1246.502872
-186.203842,129,1248.669053
-193.258685,134,1250.913815
-195.81988,116,1253.667484
-258.435335,438,1263.695618
-241.78735,328,1270.92394
-300.883586,633,1285.848255
-224.899122,241,1291.03232
-194.999879,139,1293.833584
-233.979149,265,1299.743381
-194.533601,139,1302.440878
-196.656344,139,1305.648658
-197.1047,162,1308.531791
-220.824982,276,1314.681493
-259.925812,411,1323.666012
-200.208017,139,1326.919797
-273.849885,479,1337.738237
-257.445672,443,1347.898751
-206.275506,167,1351.654128
-277.729385,496,1362.591799
-210.716968,170,1365.783281
-394.665414,915,1386.267564
-320.359231,414,1396.149462
-354.022517,625,1410.033876
-286.558776,432,1419.866196
-253.721134,309,1426.734329
-233.392915,244,1432.540367
-359.197963,765,1450.083932
-243.857551,301,1456.881732
-296.196941,506,1468.269228
-251.831157,303,1475.130592
-246.735756,311,1482.89492
-245.297009,333,1490.230881
-245.995758,283,1496.574542
-252.268003,282,1502.19155
-258.100064,319,1510.018644
-249.375648,256,1515.470074
-248.979004,287,1521.670338
-254.364821,250,1527.161324
-247.948671,252,1532.382064
-248.235145,234,1537.201105
-245.533152,254,1542.886451
-245.175265,224,1547.360544
-336.616266,467,1557.404927
-244.217699,265,1563.304487
-244.981564,259,1568.75779
-269.263027,242,1574.161596
-287.548969,320,1580.997575
-309.261501,491,1592.039677
-293.849214,264,1597.370552
-253.833722,382,1606.27766
-291.40851,567,1619.708886
-265.383892,339,1627.025529
-265.056379,325,1634.125804
-264.194052,463,1645.1451
-233.345171,282,1651.658349
-324.680858,758,1668.730105
-256.090864,394,1677.661154
-218.918067,240,1683.243352
-215.736488,202,1687.692618
-256.194375,304,1694.429421
-272.111607,508,1706.338977
-214.618868,219,1711.118954
-297.720293,292,1717.549568
-208.179781,184,1721.851166
-304.08593,251,1726.637104
-218.313189,222,1731.87143
-226.405973,284,1737.640771
-277.077948,575,1750.519946
-216.089303,205,1754.778801
-218.31936,192,1758.957424
-259.100752,414,1768.233906
-195.105074,123,1770.960377
-210.148742,201,1775.217586
-189.912035,98,1777.113441
-196.891578,133,1779.80449
-262.469059,627,1794.560151
-200.012679,123,1796.985307
-195.810779,109,1799.168094
-191.822148,100,1801.154419
-229.792625,99,1803.196396
-197.159643,156,1806.608176
-191.641619,98,1808.700731
-195.894406,101,1810.873375
-252.427304,407,1820.038
-198.71918,104,1822.183671
-196.001546,117,1824.578812
-193.32225,120,1827.458305
-278.889143,690,1842.747728
-195.409942,99,1844.755568
-254.914557,418,1854.822555
-208.69729,158,1857.753283
-193.553148,103,1859.81086
-200.746798,108,1861.914028
-199.153774,126,1865.050548
-259.379878,480,1875.857084
-300.360905,602,1889.572741
-191.859879,96,1891.613215
-199.614681,113,1893.846915
-198.318811,111,1896.661569
-230.961051,257,1902.123487
-191.437844,99,1904.249482
-285.973577,468,1915.149463
-255.364775,267,1920.793663
-187.690447,97,1922.721018
-196.990002,100,1924.703698
