#{"t_start": 1595479395.4965365, "env_id": null}
r,l,t
-5112.527065,3571,32.142959
-5344.828428,3571,59.825999
-5665.394881,3571,87.657591
-5080.712499,3571,115.951264
-4804.222901,3571,146.743671
-4259.820146,3571,175.653146
-4869.942043,3571,204.211332
-4166.218327,3571,233.112722
-3800.587435,3571,263.394241
-3560.092851,3571,292.630034
-3517.552007,3571,322.599843
-3551.073757,3571,352.094212
-4011.525525,3571,381.005896
-3363.291871,3571,413.436403
-3174.090322,3571,444.752065
-3332.097568,3571,474.791773
-3159.707854,3571,505.33993
-3193.53835,3571,537.86763
-3027.970525,3571,569.488252
-3017.405068,3571,600.645636
-3039.203758,3571,632.751252
-3053.122821,3571,665.091593
-3065.165497,3571,698.348439
-3012.920811,3571,730.38984
-2995.728395,3571,762.47034
-3094.384033,3571,793.817359
-3070.444431,3571,826.888771
-2935.097942,3571,858.346843
-2910.493318,3571,890.169982
-2923.310755,3571,921.112824
-2887.291813,3571,952.782435
-2725.718445,3571,985.669489
-2661.58827,3571,1016.961776
-2597.16838,3571,1050.474967
-2691.584152,3571,1081.676514
-2670.396343,3571,1114.585432
-1557.975144,3571,1145.400461
-1104.537145,3571,1176.958281
-933.472734,3571,1208.436992
-856.765865,3571,1240.432394
-1061.793628,3571,1273.311872
-826.741153,3571,1305.601637
-828.51544,3571,1337.104125
-918.395573,3571,1367.920221
-929.35318,3571,1400.063331
-784.740149,3571,1431.447518
-816.136175,3571,1463.800162
-795.37192,3571,1496.213595
-797.046729,3571,1527.602563
-786.04751,3571,1560.927185
-786.606143,3571,1592.93372
-793.960039,3571,1625.016506
-772.913274,3571,1655.966943
-759.985467,3571,1689.009737
-824.606716,3571,1720.593897
-813.884444,3571,1752.111874
-786.829639,3571,1783.23615
-841.902997,3571,1814.649753
-847.742511,3571,1847.775824
-715.645465,3571,1879.754376
-739.541837,3571,1911.543534
-753.519845,3571,1942.863978
-758.263993,3571,1975.897755
-1510.094292,3571,2007.761492
-777.397887,3571,2040.213222
-850.822662,3571,2071.630603
-769.013529,3571,2103.12748
-798.147347,3571,2135.829126
-763.146456,3571,2167.404757
-753.562403,3571,2199.463371
-743.766104,3571,2230.705414
-760.903409,3571,2263.583185
-763.359653,3571,2294.861544
-747.723828,3571,2326.39589
-761.805009,3571,2358.558127
-1523.511608,3571,2390.549178
-779.728298,3571,2422.822467
-754.475522,3571,2454.379192
-1882.162103,3571,2486.314018
-768.897262,3571,2517.483312
-749.001004,3571,2550.001317
-752.198216,3571,2582.407895
-812.450203,3571,2614.286915
-750.662184,3571,2645.747482
-754.627856,3571,2677.147798
-837.04839,3571,2710.763662
-747.839014,3571,2742.241175
-752.905939,3571,2773.422434
-762.546997,3571,2804.708768
-743.302413,3571,2837.548114
-1005.406054,3571,2868.679899
-776.373559,3571,2900.35636
-943.308817,3571,2931.890031
-1194.179098,3571,2963.200438
-1088.736541,3571,2995.834985
-776.030563,3571,3027.268803
-872.297938,3571,3058.117323
-844.434915,3571,3089.665624
-760.502069,3571,3122.887471
-762.802236,3571,3153.812711
-759.979127,3571,3185.431694
-757.185148,3571,3216.277431
-779.035466,3571,3247.305645
-764.566484,3571,3280.602358
-758.17803,3571,3312.471048
-764.096144,3571,3343.719839
-758.39425,3571,3375.31378
-676.130635,3571,3407.548862
-787.217672,3571,3438.374418
-814.494375,3571,3469.883765
-779.427866,3571,3501.354904
-766.660707,3571,3532.555065
-891.888729,3571,3564.514164
-804.09965,3571,3596.216551
-797.18027,3571,3627.823172
-862.706594,3571,3659.561876
-786.635152,3571,3692.301924
-782.223712,3571,3724.312753
-764.121955,3571,3755.899674
-779.858058,3571,3787.135675
-770.694697,3571,3819.783606
-746.968893,3571,3851.692491
-734.910106,3571,3883.082572
-692.661043,3571,3914.174988
-756.364332,3571,3945.746669
-788.364184,3571,3979.13871
-755.187747,3571,4010.882196
-744.903122,3571,4042.121854
-771.632685,3571,4073.056384
-658.931275,3571,4105.639011
-741.035862,3571,4137.017108
-684.342337,3571,4168.348367
-560.0481,3571,4199.659668
-1872.298922,3571,4228.72877
-2098.545808,3571,4260.124809
-739.470675,3571,4291.851301
-745.340171,3571,4322.239228
-749.259007,3571,4353.301707
-678.842608,3571,4385.774195
-743.872675,3571,4417.542081
-701.945338,3571,4449.477962
-744.058877,3571,4479.887072
-733.004054,3571,4510.531371
-748.136409,3571,4542.663986
-695.340266,3571,4573.276957
-732.99114,3571,4604.499207
-754.032003,3571,4635.840217
-467.611778,3571,4668.647541
-578.958886,3571,4699.895998
-663.298938,3571,4731.117859
-496.052563,3571,4761.583067
-433.052246,3571,4792.851671
-411.30594,3571,4825.603877
-408.19645,3571,4856.73294
-597.278377,3571,4887.400458
-490.976287,3571,4917.97771
-433.42395,3571,4950.185868
-937.215247,3571,4979.530448
-440.927907,3571,5008.967432
-423.648888,3571,5038.927002
-470.412077,3571,5067.992498
-479.624507,3571,5099.008887
-1458.243993,3571,5127.324212
-1668.77673,3571,5155.356107
-690.276943,3571,5184.51976
-696.646164,3571,5215.632893
-566.025402,3571,5245.000856
-419.838515,3571,5275.191738
-759.39143,3571,5304.497328
-744.248393,3571,5334.329498
-1891.771897,3571,5364.439095
-597.736719,3571,5394.47289
-530.324105,3571,5423.824827
-615.615221,3571,5453.251159
-594.065218,3571,5484.268213
-467.319517,3571,5514.658892
-425.524723,3571,5545.028035
-507.585304,3571,5575.061395
-489.638992,3571,5604.817608
-507.048589,3571,5635.719377
-519.92164,3571,5665.545932
-431.05433,3571,5695.553199
-361.363687,3571,5725.301713
-525.188734,3571,5755.715426
-426.037005,3571,5784.85242
-393.134073,3571,5814.052387
-409.559313,3571,5843.392689
-414.903695,3571,5872.646373
-258.124337,3571,5903.579686
-400.396534,3571,5932.551646
-236.367508,3571,5961.998661
-1882.248693,3571,5991.394051
-295.158482,3571,6022.568816
-396.953757,3571,6051.687991
-419.686688,3571,6081.130218
-340.118311,3571,6110.685592
-264.904257,3571,6140.412949
-403.900126,3571,6170.837924
-218.587361,3571,6200.597882
-304.525123,3571,6230.089674
-236.996202,3571,6260.268163
-319.096902,3571,6291.477494
-396.83367,3571,6320.964897
-206.616966,3571,6351.313361
-1882.065234,3571,6380.500443
-221.848126,3571,6410.434456
-391.07703,3571,6441.163027
-202.649443,3571,6470.979559
-399.989246,3571,6500.259379
-196.797511,3571,6530.327146
-297.443321,3571,6561.429612
-165.274893,3571,6591.505182
-163.761791,3571,6621.389075
-286.785748,3571,6651.247887
-319.92216,3571,6681.193627
-206.212185,3571,6712.630125
-2775.805794,3571,6741.655619
-285.036211,3571,6771.623872
-192.31492,3571,6801.147252
-1882.746295,3571,6832.074342
-330.770676,3571,6861.651943
-257.830946,3571,6891.604477
-270.275138,3571,6921.160493
-194.908009,3571,6951.031843
-1661.580139,3571,6981.756393
-1884.825166,3571,7011.137521
-1882.365532,3571,7040.150696
-219.131394,3571,7069.869756
-1882.959495,3571,7100.837835
-261.935249,3571,7130.509671
-122.12191,3571,7160.518095
-54.259894,3571,7190.750813
-1878.169314,3571,7221.414299
-124.07155,3571,7251.468372
-28.116605,3571,7280.947175
-389.399026,3571,7310.113889
-81.372497,3571,7340.19907
-200.222864,3571,7371.618522
-260.538261,3571,7401.712135
-24.765429,3571,7431.695282
-340.227163,3571,7461.035623
