#{"t_start": 1596029923.5848334, "env_id": null}
r,l,t
-4910.89322,3571,41.608212
-4145.611715,3571,83.299025
-4595.714836,3571,125.379369
-4325.331628,3571,168.423462
-2141.085508,3571,214.02163
-1158.965088,3571,257.558327
-1056.291336,3571,301.50325
-1008.471369,3571,345.221689
-1735.438129,3571,390.320232
-779.99978,3571,434.205622
-1117.973884,3571,476.848873
-1199.811624,3571,518.373292
-1253.062898,3571,560.213912
-807.111084,3571,603.562728
-701.972924,3571,645.813241
-796.236935,3571,687.380104
-638.981387,3571,729.426497
-531.242762,3571,773.020966
-206.9291,3571,814.826298
-488.655576,3571,856.614309
-370.031473,3571,963.013297
-296.300552,3571,1001.472108
-478.842327,3571,1043.340631
-50.644587,3571,1083.975508
-231.518055,3571,1125.536224
-152.128541,3571,1167.668531
170.532452,3571,1210.296201
81.357094,3571,1251.832744
327.400725,3571,1293.926005
447.699673,3571,1335.443163
614.107206,3571,1376.541477
81.201797,3571,1419.131902
508.746416,3571,1461.135343
509.980373,3571,1503.143177
748.746391,3571,1544.674537
322.859465,3571,1588.24566
1008.743751,3571,1629.922165
863.767988,3571,1671.795621
957.948915,3571,1713.746496
1124.052869,3571,1754.912918
1085.675663,3571,1798.080399
1045.610344,3571,1839.730558
1417.655219,3571,1881.087254
1364.560072,3571,1922.856498
1239.453232,3571,1965.980487
2116.267553,3571,2007.665426
1291.737449,3571,2049.252823
1841.161874,3571,2090.773443
1471.394074,3571,2132.144316
1787.717168,3571,2174.66702
2037.387581,3571,2216.151806
2172.275974,3571,2257.575249
2410.220499,3571,2298.856925
1933.278659,3571,2341.247524
2305.454428,3571,2383.209283
3009.331837,3571,2424.073186
2146.68843,3571,2465.490143
2321.661534,3571,2507.249654
2851.848779,3571,2549.423077
3274.850669,3571,2590.674993
2887.88756,3571,2632.129994
3353.053877,3571,2673.475658
3373.997835,3571,2715.935758
3408.628739,3571,2757.661331
3540.646723,3571,2798.651037
3423.921897,3571,2840.085573
3110.412092,3571,2881.882108
3213.694687,3571,2925.0882
3770.718403,3571,2966.447252
3480.499229,3571,3007.760432
3550.338827,3571,3048.741964
3652.055784,3571,3091.629529
3696.866922,3571,3133.285169
4150.399121,3571,3174.712295
4040.862032,3571,3215.903769
3787.720543,3571,3257.737619
4486.740989,3571,3300.260615
4043.268299,3571,3341.968818
4159.619433,3571,3383.217075
4584.873158,3571,3424.792542
4448.272097,3571,3467.769173
4521.044044,3571,3509.181374
4433.505314,3571,3550.951208
4614.723011,3571,3592.916
4745.851641,3571,3634.773258
5293.896071,3571,3677.320303
4820.15582,3571,3718.788017
4976.785735,3571,3760.886722
4992.601791,3571,3802.539338
4828.885981,3571,3845.287331
5319.65307,3571,3886.495607
5400.493009,3571,3927.702363
5070.792077,3571,3969.726981
5167.49382,3571,4011.80652
5110.961171,3571,4054.610154
4876.087575,3571,4095.660475
4721.919246,3571,4137.076035
5160.74065,3571,4178.782965
5374.084596,3571,4221.824393
5764.282001,3571,4263.407661
5294.627194,3571,4305.655558
5826.004247,3571,4347.049467
5107.99336,3571,4388.304964
5706.517441,3571,4431.811895
5564.468504,3571,4473.530506
5551.291918,3571,4515.147893
5670.197729,3571,4557.092508
5694.298574,3571,4600.736911
6158.400381,3571,4642.878648
5998.376792,3571,4684.56629
5808.411819,3571,4726.321203
6056.347764,3571,4767.677824
6084.762375,3571,4809.942405
6173.864597,3571,4851.760054
5914.759604,3571,4893.378574
6254.333519,3571,4934.843825
5994.933995,3571,4978.009867
6335.105233,3571,5019.372356
6282.501621,3571,5060.916009
6112.79347,3571,5102.536678
6309.746371,3571,5145.408127
6408.894839,3571,5187.422043
6396.282609,3571,5229.482377
6303.704974,3571,5271.412693
6259.511031,3571,5313.650533
6374.140889,3571,5356.30031
6294.330945,3571,5398.431425
6226.77858,3571,5440.133239
6189.943313,3571,5481.992095
6259.358562,3571,5524.553057
6472.217112,3571,5566.14791
6438.50931,3571,5607.709244
6425.746878,3571,5649.607517
6479.379126,3571,5691.13233
6318.38479,3571,5733.78985
6304.527019,3571,5775.314821
6335.413472,3571,5817.194663
6444.309634,3571,5858.975698
6471.345271,3571,5902.414864
6129.377095,3571,5943.778039
6258.304814,3571,5984.280541
6408.930447,3571,6021.718196
6377.212622,3571,6057.971964
