#{"t_start": 1596040462.4352226, "env_id": null}
r,l,t
-5688.501815,3571,35.832298
-5332.973648,3571,72.755982
-5865.66327,3571,111.095361
-5490.042329,3571,149.491731
-4931.227281,3571,192.010266
-5760.878746,3571,232.093236
-4690.945516,3571,271.357021
-4988.511479,3571,312.314906
-4052.104373,3571,355.709677
-4673.766648,3571,395.614972
-3445.402443,3571,435.512239
-3937.814504,3571,475.488212
-3909.778773,3571,515.130285
-2550.733724,2735,549.722393
-2946.437141,3571,590.311332
-2906.013762,3571,630.327866
-2868.815473,3571,670.800612
-3134.753945,3571,711.210445
-2672.703284,3571,756.006623
-2540.307653,3571,796.678952
-2443.61735,3571,837.445784
-2970.285542,3571,877.816872
-2586.382639,3571,921.853637
-2011.388518,3571,962.690606
-2273.924058,3571,1003.388013
-2440.361079,3571,1043.47111
-2417.860271,3571,1084.893755
-2312.830981,3571,1129.594171
-2383.607822,3571,1169.575262
-2222.436162,3571,1209.914957
-2282.28285,3571,1250.326898
-2214.780083,3571,1294.902302
-1888.943528,3571,1335.310279
-1981.199608,3571,1375.564079
-2041.250678,3571,1415.597334
-2031.43278,3571,1456.08924
-1898.454676,3571,1499.024006
-1785.653652,3571,1539.537411
-1777.069508,3571,1580.522622
-1789.675477,3571,1620.943839
-1810.72792,3571,1664.046913
-1723.381493,3571,1704.403564
-1690.850194,3571,1744.744413
-1821.090082,3571,1785.01352
-1782.033971,3571,1825.438219
-1706.070535,3571,1868.891485
-1706.56649,3571,1909.222345
-1775.555022,3571,1949.549662
-1652.155684,3571,1990.212143
-1687.46131,3571,2034.884503
-1703.780547,3571,2075.428919
-1707.676089,3571,2115.816616
-1689.294158,3571,2156.968682
-1626.869506,3571,2196.800499
-1630.498062,3571,2239.967421
-1638.675534,3571,2280.94517
-1637.268788,3571,2321.091345
-1606.905175,3571,2360.756767
-1632.067534,3571,2404.603439
-1610.260676,3571,2445.160888
-1614.970926,3571,2485.282374
-1630.741947,3571,2526.041421
-1604.713996,3571,2570.261722
-1534.636675,3571,2611.265363
-1494.66917,3571,2651.587831
-1547.75782,3571,2693.106434
-1521.76441,3571,2733.608859
-1509.673749,3571,2778.543245
-1537.465365,3571,2819.509838
-1541.31016,3571,2859.831414
-1508.071746,3571,2900.886994
-1531.615046,3571,2945.351053
-1533.872817,3571,2986.099476
-1513.347566,3571,3026.857575
-1533.789417,3571,3067.43947
-1525.605649,3571,3107.750905
-1537.735436,3571,3151.864418
-1519.948394,3571,3192.105584
-1549.918984,3571,3232.776171
-1478.526182,3571,3273.028347
-1601.079853,3571,3316.677288
-1471.015601,3571,3357.035065
-1412.556633,3571,3398.044595
-1464.283619,3571,3438.776958
-1452.078026,3571,3479.250406
-1387.922525,3571,3524.094209
-1483.951382,3571,3564.414045
-1453.812887,3571,3605.353716
-1488.719676,3571,3646.726813
-1454.897775,3571,3691.120339
-1471.526104,3571,3732.307447
-1457.81339,3571,3773.240372
-1417.698108,3571,3813.898392
-1423.27891,3571,3854.543633
-1467.172813,3571,3897.851789
-1450.813041,3571,3938.510269
-1498.365999,3571,3978.522526
-1490.490195,3571,4019.505958
-1508.707742,3571,4063.772717
-1407.38689,3571,4104.304424
-1434.199326,3571,4144.648726
-1444.491018,3571,4184.826145
-1435.860982,3571,4225.987758
-1426.121893,3571,4270.237692
-1428.587993,3571,4310.630392
-1405.268494,3571,4350.888764
-1445.849165,3571,4390.997736
-1418.370219,3571,4434.131593
-1443.894026,3571,4473.951798
-1410.840752,3571,4514.74959
-1414.656381,3571,4555.785573
-1400.086051,3571,4596.919639
-1398.898085,3571,4639.661145
-1416.041344,3571,4680.571273
-1435.046475,3571,4721.402148
-1395.482131,3571,4762.259546
-1391.79963,3571,4806.133173
-1355.961134,3571,4847.327577
-1388.298826,3571,4888.266302
-1437.116669,3571,4929.185108
-1438.715243,3571,4969.163815
-1395.241586,3571,5013.172531
-1362.939761,3571,5053.808982
-1413.575772,3571,5094.844163
-1357.060589,3571,5135.99197
-1422.06729,3571,5180.444282
-1388.436701,3571,5220.505461
-1386.459147,3571,5260.854165
-1382.306599,3571,5301.133993
-1397.987288,3571,5341.862138
-1382.906659,3571,5385.683182
-1404.823898,3571,5427.130386
-1401.51447,3571,5467.499676
-1383.727267,3571,5507.956577
-1370.182427,3571,5551.428286
-1362.884584,3571,5592.174472
-1403.949522,3571,5633.233589
-1402.743036,3571,5673.734067
-1389.258844,3571,5714.142604
-1381.351315,3571,5758.064503
-1383.850423,3571,5798.244961
-1365.399872,3571,5838.409572
-1381.817992,3571,5877.410216
