#{"t_start": 1596029923.5194173, "env_id": null}
r,l,t
-3315.656738,3571,64.553541
-2264.504254,3571,127.166822
-1311.22228,2521,171.846322
-648.647805,836,186.928932
-284.826377,751,200.422575
-301.196977,376,207.171011
-188.269341,318,212.872636
-207.482208,332,218.81672
-252.600714,486,227.465811
-468.107373,1298,250.632139
-1117.896955,3571,314.59007
-993.171663,3014,368.461326
-637.263502,1426,394.216708
-418.215962,962,411.403831
-907.199263,3571,474.709113
-1839.833143,3455,533.696467
-1180.121655,1843,565.22511
-715.458998,3065,618.576351
-214.394464,589,628.910205
-167.54822,460,636.68677
-235.531575,233,640.758052
-260.982565,242,644.853196
-939.909513,3345,702.395059
-987.082376,2210,740.80894
-350.169793,582,750.934921
-310.299066,498,759.47497
-230.253435,281,764.281765
-271.675212,293,769.334022
-241.587081,237,773.398444
-442.978729,1531,800.628229
-305.786515,888,816.245714
-173.436914,188,819.407507
-188.089859,199,822.635899
-1092.63546,3571,885.017853
-398.009501,786,963.078363
-670.649985,3571,1023.480705
-1196.086104,3571,1085.794944
-367.040189,2009,1120.970412
-262.376113,3571,1182.296243
-149.733447,3571,1244.842157
-141.030417,3571,1307.243791
-136.701442,3571,1369.812009
-347.21596,2705,1417.104075
-521.246865,3571,1479.603267
-419.453122,3571,1542.143203
-1001.631413,3337,1600.869066
-289.638878,3571,1663.25763
-90.483135,3571,1725.367882
332.037613,3571,1787.243514
247.606366,3571,1849.148619
582.073282,3571,1911.492281
317.540251,3571,1973.512915
292.436359,3571,2036.25644
496.39228,3571,2098.650883
548.639755,3571,2160.323527
625.149523,3571,2221.660998
528.421269,3571,2283.055613
838.765236,3571,2345.28897
605.429451,3571,2406.672441
635.623096,3571,2469.173249
924.086659,3571,2532.219745
1016.990556,3571,2594.237841
986.071932,3571,2656.971883
1136.267739,3571,2719.135489
1295.661828,3571,2781.073929
1183.079306,3571,2843.426891
1118.010485,3571,2904.852217
923.097485,3571,2966.523017
689.498559,3571,3029.444945
312.890404,3571,3092.453999
565.11121,3571,3154.740978
499.197132,3571,3217.101418
848.542538,3571,3280.072495
755.955638,3571,3342.809451
493.712954,3571,3405.414453
288.442315,3571,3468.514802
447.331372,3571,3529.955563
268.619056,3571,3591.436373
533.877411,3571,3654.072795
794.916023,3571,3716.255599
876.083282,3571,3779.578295
848.787693,3571,3841.699306
1118.870141,3571,3904.413251
692.886318,3571,3967.150878
771.371805,3571,4029.498755
584.067877,3571,4092.20053
446.083103,3571,4154.159642
392.193922,3571,4215.657656
534.603939,3571,4278.353251
504.476945,3571,4340.469946
703.645498,3571,4402.086622
1004.605809,3571,4464.468864
663.122429,3571,4526.725239
1030.508718,3571,4588.856366
788.668447,3571,4650.717387
1033.197586,3571,4713.543419
861.998936,3571,4776.285017
1067.979892,3571,4838.869205
798.787534,3571,4901.547306
926.34308,3571,4964.71825
1318.223532,3571,5027.37951
872.406126,3571,5090.515277
1111.417663,3571,5152.988514
1252.756301,3571,5216.053453
1515.335059,3571,5279.048361
2090.521703,3571,5342.28497
2173.546836,3571,5404.78271
2921.59735,3571,5467.364458
3194.559511,3571,5530.049273
3124.455007,3571,5592.327559
3587.805492,3571,5655.206131
3464.329581,3571,5717.587773
4123.227893,3571,5779.871646
4328.577096,3571,5843.094323
4282.261388,3571,5905.669963
4149.878869,3571,5968.377403
4461.369203,3571,6026.746824
4236.002201,3571,6082.730292
3972.547846,3571,6136.562806
4374.300472,3571,6190.484951
4147.8591,3571,6244.301918
4469.130502,3571,6297.997731
4060.783094,3571,6351.413636
4148.381098,3571,6405.084738
3931.389469,3571,6458.412763
4247.795889,3571,6511.90192
3985.740115,3571,6565.041957
2958.148407,3571,6618.563442
3463.220493,3571,6671.915751
4288.819288,3571,6724.903848
4270.819395,3571,6778.003106
4017.638657,3571,6831.75881
3671.220478,3571,6884.912175
3197.919432,3571,6938.51835
3557.384569,3571,6992.003347
2759.720871,3571,7045.106884
3141.706769,3571,7098.365767
2783.057757,3571,7151.570029
3354.669474,3571,7205.268648
3672.854403,3571,7258.700507
3634.144565,3571,7312.19885
3819.89446,3571,7365.443242
4283.373149,3571,7418.483939
3907.879693,3571,7471.75835
3384.067698,3571,7525.387542
3103.651077,3571,7578.785561
4239.677868,3571,7632.234674
3718.022038,3571,7685.863701
3049.930466,3571,7739.329671
3182.469128,3571,7792.558182
4023.639358,3571,7845.847409
2921.573972,3571,7899.345731
2912.809954,3571,7952.321676
2710.216906,3571,8005.825875
2810.334909,3571,8059.215265
2696.236855,3571,8112.736305
2493.029991,3571,8166.326875
2894.809422,3571,8219.912927
2392.960533,3571,8273.550787
2409.917902,3571,8326.740279
2047.197554,3571,8380.036557
