#{"t_start": 1596040485.370558, "env_id": null}
r,l,t
-18026.211926,3571,40.308793
-17527.062916,3571,78.953564
-21539.828663,3571,117.26793
-16899.26469,3571,156.826918
-15174.728734,3571,198.714242
-10994.766476,3571,237.857815
-8907.428414,3571,278.37835
-11992.523894,3571,318.680313
-8002.021641,3571,360.366765
-9161.47023,3571,400.311902
-8469.661756,3571,440.266017
-9901.811482,3571,480.717817
-7647.03122,3571,521.58762
-8724.045675,3571,563.37154
-7711.301312,3571,603.396754
-8050.54802,3571,643.725486
-8150.777204,3571,683.908245
-7241.605695,3571,726.744526
-10573.010796,3571,767.270031
-8628.813391,3571,807.962302
-8654.122439,3571,848.095511
-9305.301719,3571,888.547346
-9089.113659,3571,930.712113
-7762.440933,3571,971.175172
-7787.722684,3571,1011.15237
-8478.55505,3571,1052.421579
-10166.183705,3571,1094.472646
-7724.391911,3571,1134.465088
-11296.233887,3571,1174.829677
-7851.906943,3571,1214.862855
-10325.775861,3571,1256.785066
-6843.875418,3571,1299.06358
-7338.194464,3571,1340.072715
-7318.572975,3571,1380.67047
-7632.862389,3571,1421.549946
-6742.207848,3571,1463.566289
-8088.462893,3571,1503.446737
-6923.814042,3571,1543.72368
-7025.30382,3571,1584.233232
-6673.351955,3571,1624.492516
-5253.749228,3571,1666.072697
-5109.342005,3571,1706.544622
-4739.311765,3571,1746.695162
-5172.704016,3571,1787.153368
-5108.570732,3571,1829.082072
-4666.644191,3571,1869.46096
-4850.166582,3571,1909.596913
-1448.216742,975,1920.514628
-4796.478661,3571,1960.914922
-5739.19741,3571,2001.276608
-5490.484213,3571,2042.564349
-4905.663797,3571,2082.640717
-4567.731013,3571,2123.682284
-5067.640797,3571,2163.763677
-4402.228902,3571,2204.943151
-4779.947991,3571,2245.462347
-4338.919532,3571,2285.636675
-4976.756611,3571,2325.659974
-3957.613702,3571,2367.289393
-3951.019506,3571,2408.492415
-4380.657613,3571,2448.897648
-4540.642012,3571,2489.124999
-5696.521974,3571,2529.983386
-3889.18721,3571,2571.575635
-3757.462027,3571,2611.67561
-4551.289334,3571,2652.087481
-1865.806326,365,2656.364272
-4610.218005,3571,2696.445134
-1064.01564,306,2699.869451
-1266.59972,280,2703.235293
-4003.842842,3571,2745.842158
-6085.538134,3571,2786.587458
-4697.096285,3571,2827.831548
-3816.012753,3571,2868.172672
-4319.031025,3571,2908.849528
-4631.231658,3571,2951.100854
-4340.482646,3571,2991.964411
-3651.381536,3571,3032.975984
-3759.477756,3571,3073.358382
-4256.552603,3571,3115.355013
-3580.590107,3571,3155.906769
-3428.766069,3571,3196.46868
-3463.989131,3571,3237.198972
-3917.856502,3571,3277.622571
-3403.235543,3571,3319.483653
-3316.505263,3571,3359.314702
-5380.948245,3571,3399.990439
-3509.037847,3571,3440.800591
-3246.780227,3571,3482.940856
-3738.156343,3571,3523.317524
-3711.963454,3571,3563.117992
-9426.288016,3571,3604.391792
-3816.857704,3571,3645.211481
-7130.681319,3571,3687.776833
-3640.026568,3571,3728.299075
-3808.761669,3571,3769.586423
-4418.372432,3571,3810.440999
-5861.817454,3571,3851.887092
-3463.922428,3571,3892.295477
-3661.209511,3571,3933.196138
-3545.579618,3571,3974.373275
-4633.866948,3571,4014.493206
-3540.452536,3571,4055.785952
-3778.063207,3571,4096.246547
-3626.665632,3571,4137.084371
-3509.024686,3571,4177.302693
-3315.028304,3571,4219.316877
-3420.554218,3571,4259.898944
-3103.670609,3571,4300.183114
-3457.774021,3571,4340.318284
-3385.673596,3571,4381.580788
-2895.65568,3571,4422.761489
-2891.466072,3571,4463.487345
-3731.609386,3571,4504.511679
-2939.695328,3571,4544.925095
-3226.824094,3571,4586.967046
-2875.511142,3571,4627.455361
-2912.484777,3571,4667.636215
-3341.340343,3571,4707.73668
-2770.999199,3571,4748.70048
-2827.489204,3571,4789.480121
-3119.213893,3571,4830.428815
-2957.823679,3571,4870.573557
-3201.917999,3571,4910.788345
-2837.792451,3571,4952.470711
-2685.862732,3571,4993.047303
-3620.825565,3571,5033.599438
-3095.244223,3571,5074.120971
-2779.791121,3571,5115.321329
-2997.932896,3571,5155.930059
-2980.999665,3571,5195.557486
-3260.504778,3571,5236.589671
-3105.656442,3571,5277.511318
-2839.992475,3571,5319.442488
-2659.13696,3571,5360.167596
-2794.166962,3571,5401.234899
-2746.303599,3571,5441.533859
-2833.998018,3571,5483.7425
-2718.169089,3571,5523.9316
-2632.464732,3571,5564.119365
-2670.283681,3571,5604.182168
-2744.653406,3571,5643.998283
-2694.724107,3571,5685.666715
-2771.956084,3571,5726.408548
-2882.528982,3571,5766.89009
-2771.706525,3571,5807.748036
