#{"t_start": 1595611361.8107355, "env_id": null}
r,l,t
-925.778187,969,29.631282
-914.536864,800,50.548698
-733.847157,854,76.16291
-1965.341667,2122,139.952195
-557.219651,682,162.285213
-528.4292,345,171.658319
-1514.462297,1224,206.555903
-575.049736,373,217.328066
-271.504596,152,221.724544
-185.120313,105,224.987313
-215.092952,116,228.43388
-771.378982,633,247.002543
-666.095226,454,260.306462
-1828.542414,1247,294.844495
-116.393036,24,295.472877
-2622.903326,1538,333.21386
-585.098117,299,340.848923
-589.403117,299,348.194999
-595.15836,297,355.486655
-575.904149,300,362.827984
-578.049257,300,370.442153
-885.986767,488,382.295336
-598.259541,300,389.44726
-605.987554,302,396.677103
-609.426663,302,403.921716
-1024.212338,567,417.652646
-849.64288,463,428.98021
-1014.484824,556,442.548347
-1064.523518,571,456.215128
-1707.384779,1061,482.28324
-544.530386,279,489.284709
-622.368104,334,497.409466
-543.920051,277,504.356842
-1052.515434,564,517.648272
-1229.667717,771,536.896137
-603.647499,301,544.086738
-590.252925,299,551.118659
-578.097891,298,558.197252
-547.302443,280,564.91216
-950.786134,573,579.420947
-607.531985,300,586.51723
-1544.96257,973,610.616399
-2520.310624,3571,724.468722
-544.300348,362,734.4307
-222.540951,108,737.454875
-247.300501,114,740.604043
-366.068457,192,745.907759
-325.493182,171,750.633431
-242.933252,113,753.624673
-348.679425,171,757.638357
-719.935107,530,773.877615
-586.138502,361,782.875046
-738.446337,517,797.245931
-328.792515,180,801.952392
-223.988644,107,805.004924
-222.900595,108,808.006666
-223.16568,108,811.342573
-221.770923,108,814.412865
-222.608252,107,817.370191
-407.884714,282,825.427801
-638.671737,432,837.806931
-221.098256,107,841.067354
-529.565145,320,849.636244
-503.600734,367,860.219283
-872.131081,815,883.750177
-434.071702,263,891.215804
-550.209528,366,901.555949
-330.355611,167,905.783667
-745.19013,426,916.350995
-930.654797,627,932.609077
-118.03925,32,933.873698
-827.930105,620,950.402021
-333.272503,191,955.932938
-467.390278,384,967.019547
-121.630334,37,968.1303
-121.630334,37,969.183383
-121.720323,37,970.480844
-122.834807,38,971.585734
-122.82904,38,973.140141
-122.658223,38,974.204105
-122.658223,38,975.360251
-122.58321,38,977.010388
-122.378999,38,978.203411
-122.378999,38,979.329414
-114.892219,24,980.396009
-114.437095,23,981.077153
-114.437095,23,981.859314
-114.437095,23,982.569449
-403.286219,278,990.137544
-644.841298,447,1003.19173
-115.189299,25,1004.032738
-115.189299,25,1004.993211
-115.189299,25,1005.80278
-354.381275,180,1010.611941
-344.949811,198,1016.121029
-115.373352,25,1016.898607
-343.511393,204,1022.414387
-346.828021,162,1026.927188
-355.701404,181,1031.842626
-486.720447,345,1041.122447
-348.385016,167,1045.481935
-527.001073,301,1053.417087
-350.972096,180,1058.238478
-352.440467,163,1062.306862
-351.351454,175,1067.001053
-419.521345,219,1072.700401
-663.688564,357,1082.134272
-714.062666,497,1095.675411
-419.45975,232,1101.936848
-529.419152,310,1110.070171
-345.279875,161,1114.082641
-345.908621,165,1118.432304
-540.853789,299,1126.366762
-831.349375,610,1144.973953
-244.040174,103,1147.836709
-358.026688,167,1151.995111
-1408.39114,1447,1198.052131
-3884.923324,3571,1308.867804
-1867.253304,1505,1355.212438
