#{"t_start": 1595830257.3423762, "env_id": null}
r,l,t
-1980.141331,1450,31.135472
-117.289598,30,31.721354
-117.28393,30,32.686146
-117.455014,30,33.236089
-117.455014,30,33.739209
-117.455014,30,34.249273
-622.35801,434,42.940232
-210.663536,71,44.429224
-210.664222,71,45.925538
-210.809134,71,47.475292
-210.833081,71,49.128245
-208.641931,75,50.375978
-177.501669,71,51.805205
-662.876946,424,60.548798
-590.327767,303,65.78947
-580.32403,312,71.8706
-356.199861,168,74.874191
-354.046591,167,78.214261
-357.814308,169,81.591588
-374.828465,181,85.20184
-344.811879,175,89.126112
-353.244841,169,92.704282
-373.876103,173,96.201295
-512.901288,321,102.485696
-340.469923,233,107.006263
-596.140693,377,114.026327
-475.227986,263,119.360361
-515.217095,410,127.658904
-432.910557,410,135.935244
-218.895808,100,138.405561
-118.285197,26,138.87781
-118.285197,26,139.40924
-118.285197,26,139.950901
-626.385096,451,149.261603
-1555.579686,1339,176.266702
-500.909093,285,182.036098
-180.721,99,184.190183
-666.058768,421,192.342392
-619.813392,564,204.351411
-178.914733,91,206.326461
-181.714165,86,208.213486
-180.705663,95,210.31152
-171.580033,86,212.264523
-378.924965,237,217.107509
-172.080385,106,219.488169
-626.295469,506,229.996936
-444.380063,310,236.181391
-445.14855,274,241.598612
-2245.451532,1873,279.888724
-320.314088,330,287.607051
-199.363659,160,291.779039
-494.371725,675,307.747633
-689.143262,469,317.574503
-670.113476,459,327.596103
-418.274373,336,334.899595
-1072.345457,1168,362.181837
-869.008989,669,375.67585
-942.037733,1025,399.73447
-2301.52339,2062,443.742671
-661.252605,585,457.019395
-436.454596,368,465.930519
-2952.638097,2468,519.623708
-658.302622,717,537.900259
-886.874916,1845,586.814133
-199.013388,226,592.799106
-4195.009956,3571,669.556104
-1388.961689,1100,693.327849
-3958.599909,3571,770.818569
-1187.408103,1048,794.144743
-4193.634426,3571,872.467659
-4083.943401,3571,952.20277
-1102.794467,889,973.529162
-2928.532248,3571,1059.839274
-1437.045128,1441,1098.363364
-1811.020931,1606,1143.677545
-3029.925984,3571,1248.091044
-791.483452,702,1267.278888
-2301.327938,2368,1334.018671
-3463.7322,3571,1428.763572
-274.816045,149,1432.574806
-879.369678,738,1451.937839
-1539.911732,3571,1570.991111
-1971.837962,1874,1620.603246
-1070.984261,1041,1650.082897
-3258.683101,3571,1752.627097
-1278.519448,1123,1781.916214
-116.915198,26,1782.898314
-116.915198,26,1783.48833
-116.915198,26,1784.081444
-117.399949,27,1785.211788
-165.009576,146,1789.382436
-481.245801,1193,1829.251976
-131.928617,58,1831.542346
-559.871865,532,1846.331203
-35.491171,3571,1970.854681
-127.959446,43,1971.97439
-127.959446,43,1973.238364
-1102.064951,1398,2015.498504
-126.522618,41,2017.179747
-126.543819,41,2018.22429
-126.618391,41,2019.690949
-126.600386,41,2020.758358
-126.600386,41,2021.738141
-126.148815,40,2023.113087
-127.166601,41,2024.266732
-126.90278,41,2025.853156
-292.152861,330,2035.731532
-1728.830938,2614,2120.242555
-140.194802,47,2121.84371
-686.504753,723,2142.86822
-1647.616359,3571,2254.572334
-1713.774824,3571,2367.030539
-1420.21703,3571,2481.897524
-117.357924,27,2482.626412
-117.357924,27,2483.36124
-134.296792,62,2485.302081
-739.750075,3571,2603.66455
-1943.677592,3571,2714.085421
-1562.577142,2696,2801.913513
-858.627614,3571,2923.959254
-199.981996,115,2927.059671
-1381.874731,2561,3005.939165
-1235.26839,2768,3099.912587
-962.682817,1357,3140.86314
-544.316485,438,3153.676188
-483.629619,637,3173.288748
-2335.771408,3571,3283.2483
-2617.332737,3571,3389.197388
-1050.543559,1832,3445.890924
-737.923744,916,3471.943549
-125.501103,41,3472.874143
-125.579782,41,3474.239569
-125.32333,41,3475.356006
-125.32333,41,3476.323475
-125.801554,40,3477.783474
-125.801554,40,3478.69255
-126.461083,41,3480.143859
-127.613331,42,3481.084656
-126.870106,41,3482.355979
-531.103049,361,3492.019815
-296.420428,281,3500.417609
-816.365628,3571,3626.048462
-126.159507,41,3627.053827
-126.159507,41,3628.116568
-391.259531,396,3640.394744
-578.13544,1072,3674.270478
-125.313962,40,3675.647918
-690.721346,3571,3796.849901
-123.806351,40,3798.432226
-124.129881,41,3799.48976
-124.129881,41,3800.705924
-124.715355,40,3802.205598
-124.715355,40,3803.176301
-125.299342,41,3804.74074
-125.242258,42,3805.769272
-125.248206,42,3807.212955
-125.595357,41,3808.19078
-125.595357,41,3809.172205
-357.129398,316,3819.288602
-561.859691,743,3843.083775
-125.582802,41,3844.205391
-124.838594,40,3845.77864
-124.844962,40,3846.836256
-125.421672,41,3848.223717
-124.603936,41,3849.61633
-124.603936,41,3850.654442
-973.141523,1894,3912.535779
-124.002319,40,3914.294066
-125.106298,42,3915.41421
-125.138335,42,3916.78132
-124.345228,41,3917.768543
-124.345228,41,3918.961749
-124.562798,40,3920.216537
-124.563325,40,3921.430322
-124.536679,40,3922.692262
-124.281588,40,3923.753155
-124.281588,40,3924.982494
-123.932225,40,3926.318874
-123.922085,40,3927.518818
-123.333486,39,3928.848977
-123.461541,39,3930.009194
-123.461541,39,3930.899397
-124.386355,40,3932.255557
-124.383184,40,3933.344654
-124.369415,40,3934.697685
-123.768298,40,3935.718934
-123.768298,40,3936.768052
-125.015009,40,3938.288635
-125.012116,40,3939.300911
-124.950555,40,3940.706116
-1167.189551,1165,3973.649537
-1426.929935,2727,4062.30777
-434.876794,763,4088.618689
-893.144488,1157,4124.238204
-762.468599,1125,4161.123996
-410.875774,749,4186.743555
-327.59074,297,4195.309439
-904.41361,1550,4251.096883
-750.325189,607,4267.532013
-961.011853,1167,4301.077778
-499.041909,785,4324.999094
-741.051249,1951,4396.688448
-621.283878,466,4409.494869
-533.468049,436,4421.310755
-599.796229,690,4442.621184
-644.285415,824,4468.873118
-521.936261,423,4480.690336
-642.303868,804,4505.12318
-345.107071,360,4515.616451
-696.737671,553,4531.58113
-858.666502,826,4554.987362
-128.108601,42,4555.985855
-128.120856,42,4557.39496
-281.627689,220,4563.313293
-686.433263,744,4583.775668
-263.302455,265,4591.741843
-587.552216,542,4606.130183
-724.85268,783,4628.937258
-778.326975,811,4652.572509
-245.650057,262,4660.921863
-349.860488,397,4673.132642
-196.307575,139,4677.281049
-657.091485,530,4691.452086
-752.611022,979,4721.196956
-199.119592,137,4725.431788
-667.255986,799,4748.220384
-190.553939,132,4752.229357
-750.440476,1278,4791.406087
-153.835548,91,4794.4083
-1391.013082,1974,4854.738057
-558.025357,425,4866.594413
-728.333304,1289,4907.582461
-437.194657,484,4921.961582
-158.561355,99,4924.585085
-194.089981,122,4928.507482
-446.635616,362,4938.269339
-714.346351,1127,4974.162979
-167.341606,131,4978.125553
-443.202266,463,4992.032605
-150.239811,93,4994.923388
-1166.409144,1476,5040.218615
-324.231792,423,5053.89953
-827.810383,2315,5132.90958
-208.802447,222,5139.940607
-258.060035,229,5146.541971
-465.032861,1484,5202.626138
-336.339447,344,5213.10722
-957.468444,2420,5296.00386
-256.265102,218,5302.318651
-316.736152,336,5312.246282
-247.28895,284,5321.588246
-229.776465,159,5326.830323
-314.535421,437,5340.751217
-946.092729,1972,5408.321682
-238.20022,170,5412.995477
-322.443109,291,5421.33099
-710.459847,905,5449.083108
-325.275038,307,5457.677842
-1033.326926,3571,5585.375077
-437.929285,413,5596.904406
-1192.953089,3571,5724.419874
-347.765269,257,5731.032144
-528.128165,1753,5790.330637
-134.989961,65,5792.395917
-226.029795,171,5797.295896
-482.480169,443,5810.910941
-851.246656,676,5829.779279
-421.835844,320,5838.92697
-316.423884,288,5846.859927
-139.447895,69,5848.588398
-473.158698,411,5860.628898
-204.659724,740,5887.300618
-278.052004,526,5904.680097
-797.418887,952,5932.885877
-721.88446,809,5957.609478
-281.982484,201,5963.281335
-364.360119,345,5973.408612
-188.700266,334,5984.788974
-697.415971,624,6002.485022
-259.236667,186,6008.571158
-271.265438,256,6015.90407
-590.447246,1831,6079.519639
-186.174196,298,6089.915048
-131.410461,70,6092.141786
-217.616019,421,6106.750681
-1597.330832,1701,6156.226086
-141.829454,140,6160.86339
-874.089545,3328,6281.625848
-474.232532,399,6292.348277
-126.716119,36,6293.381039
-124.356509,33,6294.605676
-214.092963,209,6301.063391
-151.961614,129,6305.056316
-303.185179,234,6311.729379
-550.272366,1009,6346.565065
-283.206635,650,6369.053743
-144.317038,120,6372.799164
-267.278734,435,6387.582364
-1496.242922,1959,6447.026203
-140.344325,63,6448.983563
-162.616796,154,6453.904484
-694.553246,1002,6486.619123
-392.739758,385,6498.276877
-292.457775,300,6507.269215
-141.090335,65,6509.663083
-216.079538,207,6516.038295
-140.158956,63,6517.921546
-417.575845,3571,6647.889068
-126.129452,43,6649.43662
-126.925722,43,6650.626094
-126.960129,43,6652.236083
-125.784377,42,6653.466736
-125.784377,42,6654.579002
-126.295172,42,6656.169855
-126.170695,41,6657.275272
-126.752981,42,6658.711417
-125.616713,41,6659.793133
-125.616713,41,6661.032112
-537.56013,720,6682.732484
-132.237717,56,6684.171236
-170.894345,114,6687.753474
-902.88378,1624,6740.907413
-1248.029938,1959,6801.825885
-146.105929,129,6806.324076
-470.618232,532,6822.798919
-165.069062,125,6826.522291
-463.555024,357,6836.411368
-393.212274,412,6849.167561
-255.037484,217,6855.848327
-279.607037,286,6865.023504
-131.7894,36,6865.865975
-131.7894,36,6866.72277
-357.322096,321,6877.212791
-814.268087,800,6899.560155
-823.039671,713,6918.878497
-148.435639,76,6921.272167
-132.630087,37,6922.303216
-132.630087,37,6923.271471
-132.128393,36,6924.60255
-148.521434,71,6926.387637
-771.20834,869,6952.897572
-128.834082,33,6953.764942
-128.157556,32,6954.955019
-129.163682,32,6955.68791
-129.163682,32,6956.39509
-129.189099,32,6957.575215
-225.64949,270,6966.659815
-133.592992,41,6968.086262
-127.493511,31,6969.034558
-127.493511,31,6969.968149
-128.62644,33,6971.372946
-128.572659,32,6972.157856
-128.572659,32,6972.940643
-128.473208,32,6974.173222
-504.329967,712,6996.869169
-197.884866,190,7002.795968
-168.356983,132,7006.962543
-168.491487,132,7011.010256
-459.486787,806,7038.528731
-173.064515,131,7042.67958
-373.534404,635,7064.931885
-175.603483,151,7069.642506
-894.602378,1090,7102.75939
-310.74306,281,7111.017344
-154.842264,74,7113.296523
-1316.239972,1078,7145.349575
-166.626807,105,7148.438734
-172.705851,136,7152.920618
-686.184117,1229,7193.877791
-180.803293,158,7198.671476
-141.989614,64,7200.626192
-348.66165,998,7234.17345
-157.263479,83,7236.84581
-156.955676,107,7240.275961
-770.932411,3571,7360.501929
-142.068667,59,7362.450498
-143.313388,61,7364.406147
-160.751895,407,7377.831838
-141.476808,63,7379.455152
-140.638475,62,7381.387693
-156.171878,99,7384.421531
-179.668589,456,7399.700005
-155.771563,86,7402.394201
-160.171646,91,7405.511504
-156.46619,111,7408.823307
-157.402431,85,7411.283468
-170.880045,107,7414.207264
-399.601083,352,7424.624745
-1213.549156,1143,7457.294161
-132.501352,40,7458.693908
-811.49351,710,7478.429789
-324.490967,330,7487.76943
-179.772395,152,7492.58478
-637.122938,760,7515.621657
-168.355738,135,7519.653197
-422.362791,298,7527.573418
-161.468051,119,7531.699175
-153.823511,65,7533.55969
-151.258375,64,7535.580038
-172.2743,142,7539.77639
-283.766281,198,7545.581784
-929.319379,864,7569.98901
-197.140213,118,7573.18082
-787.935583,522,7586.570704
-142.066709,61,7588.502624
