#{"t_start": 1595682785.498376, "env_id": null}
r,l,t
-5199.379621,3571,96.045276
-4407.34565,3571,194.463827
-3809.188702,3571,292.84151
-4565.166791,3571,388.480459
-3669.100472,3571,494.316929
-3591.109447,3571,597.706045
-3668.024764,3571,699.812941
-3447.44566,3571,802.658332
-3772.42551,3571,905.291942
-3011.095001,3571,1010.972192
-3021.947607,3571,1115.402005
-3512.223036,3571,1218.965075
-3208.294377,3571,1321.996327
-3133.686646,3571,1431.258722
-2244.428545,3571,1543.469568
-3006.81937,3571,1649.739968
-2524.499392,3571,1757.974283
-2785.833266,3571,1867.098222
-2643.584025,3571,1974.045015
-2178.093476,3571,2086.970969
-2137.243214,3571,2197.302349
-2623.739803,3571,2304.199514
-1331.175395,3571,2428.778901
-2786.465096,3571,2535.660139
-1710.978356,3571,2651.66413
-1607.974696,3571,2765.048519
-1600.673695,3571,2881.931678
-1512.237847,3571,2996.612521
-1053.129448,3571,3115.392833
-1831.157635,3571,3225.082297
-1004.2202,3571,3340.081286
-2495.623257,3571,3451.211847
-2201.346074,3571,3558.668121
-2120.999743,3571,3671.657369
-1730.98438,3571,3786.97055
-1742.359516,3571,3902.803657
-1489.659565,3571,4018.847657
-575.227374,3571,4140.589958
-943.117161,3571,4260.213936
-1730.17777,3571,4372.38491
-1130.654974,3571,4493.24387
-853.627076,3571,4617.311073
