#{"t_start": 1595767125.5852098, "env_id": null}
r,l,t
-3548.500554,3571,83.83045
-4333.144734,3571,161.814981
-4560.936076,3571,242.721732
-4605.025625,3571,319.710915
-3077.763545,3571,409.057385
-2745.307152,3571,494.615069
-2590.784611,3571,583.572004
-3231.098917,3571,667.129387
-3179.088338,3571,756.920935
-2392.358466,3571,846.931815
-2370.410562,3571,934.843185
-2205.072841,3571,1023.20733
-2635.83787,3571,1110.192425
-3046.687943,3571,1199.070072
-2491.429254,3571,1287.312709
-2647.687986,3571,1372.226072
-2515.040821,3571,1459.282603
-2747.075686,3571,1548.289873
-1836.071407,3571,1638.226428
-2103.536504,3571,1725.323878
-2504.664725,3571,1811.219443
-2411.519038,3571,1900.25735
-2862.356433,3571,1992.13112
-1193.831907,3571,2086.947888
-2017.672594,3571,2176.507797
-2108.52685,3571,2267.192885
-1469.518842,3571,2364.417222
-2001.027645,3571,2455.540547
-2009.487177,3571,2547.933211
-1107.675954,3571,2642.605912
-123.397981,34,2643.464315
-2324.745243,3571,2735.186697
-941.410172,3571,2836.238193
-807.363464,3571,2935.53137
-1882.561524,3571,3027.365226
-933.216043,3571,3124.008635
-1122.320017,3571,3225.518533
-1579.472018,3571,3317.023612
-683.428521,3571,3414.128483
-1375.59552,3571,3509.309982
-1763.475876,3571,3601.1074
-1299.994861,3571,3699.059927
-1085.091505,3571,3795.97355
-1658.115727,3571,3887.315152
-661.027161,3571,3986.484584
-1322.008505,3571,4081.368915
-1397.344929,3571,4173.779647
-852.915309,3571,4271.06263
-1592.921607,3571,4365.485782
-1525.911624,3571,4455.2238
-1435.932535,3571,4552.417319
-424.474093,3571,4653.237889
-995.673613,3571,4749.811303
-555.971911,3571,4852.461638
13.72083,3571,4961.067063
-651.649371,3571,5059.866663
-545.245632,3571,5158.035599
-518.531553,3571,5256.621203
-294.142922,3571,5357.314622
-278.016888,3571,5457.382333
-622.514046,3571,5552.960481
-740.363317,3571,5651.565182
-634.198719,3571,5748.687928
-301.342428,3571,5853.222475
-500.985093,3571,5952.740823
-466.279022,3571,6050.339471
-378.91073,3571,6149.900298
-626.143451,3571,6245.127081
-329.617218,3571,6346.496403
-344.806018,3571,6444.68099
-279.882546,3571,6546.285769
-693.628385,3571,6641.276802
-224.114087,3571,6746.368708
-367.375184,3571,6846.963948
-274.702231,3571,6948.405574
-679.402761,3571,7047.890957
-846.692105,3571,7145.260613
-191.579313,3571,7249.408118
-209.532862,3571,7349.077922
-545.365154,3571,7450.196731
-220.84907,3571,7550.317622
-60.11024,3571,7657.34745
-512.578208,3571,7758.122617
-120.139561,30,7758.870347
-257.339426,3571,7857.715083
-538.427302,3571,7956.971028
-448.199146,3571,8058.723014
-356.393459,3571,8165.593851
-120.278819,31,8166.355555
152.245047,3571,8267.221198
-134.648708,3571,8368.915641
-350.432599,3571,8471.400592
-385.416334,3571,8577.912295
-266.502491,3571,8679.984311
108.829379,3571,8780.42699
-354.605279,3571,8882.378662
-124.742418,36,8883.248699
-72.339414,3571,8983.989922
411.3441,3571,9089.730553
-173.069975,3571,9192.787313
356.380918,3571,9294.599407
624.68746,3571,9396.923751
-61.299034,3571,9503.807546
-667.86453,3571,9601.22156
-432.922126,3571,9702.484484
-380.050325,3571,9806.03212
-388.551772,3571,9905.920233
82.732234,3571,10009.534818
256.773577,3571,10109.063745
614.551216,3571,10209.464455
170.024586,3571,10310.045016
474.839754,3571,10414.36674
-512.046117,3571,10510.067542
889.727899,3571,10610.490139
402.628483,3571,10710.374883
-414.238119,3571,10811.434648
-403.166842,3571,10912.867093
139.98359,3571,11011.655624
912.125809,3571,11110.536568
-183.38129,3571,11212.985139
396.313803,3571,11318.467167
1103.414625,3571,11418.975619
-400.158588,3571,11515.692405
-159.494206,3571,11612.65042
-483.771466,3571,11715.483014
949.887754,3571,11815.281531
-291.247152,3571,11917.482536
1066.657782,3571,12017.890358
-441.619106,3571,12118.259609
469.425411,3571,12223.906515
1078.72583,3571,12323.793754
538.366481,3571,12424.243298
1148.379168,3571,12525.6694
1214.365095,3571,12630.925079
953.885964,3571,12731.802279
1195.885759,3571,12835.514864
770.122821,3571,12936.480708
1185.998187,3571,13036.982827
1490.297979,3571,13142.713158
-93.061166,3571,13247.035526
1086.348923,3571,13347.674662
1109.718322,3571,13448.686056
2521.511725,3571,13554.710518
-345.008567,3571,13655.166513
1884.572785,3571,13757.95828
1818.560687,3571,13861.515939
1576.067943,3571,13961.021246
1000.31066,3571,14063.839469
1081.282424,3571,14165.475955
2724.283146,3571,14267.388503
-297.083239,3571,14368.770111
1706.949658,3571,14472.797749
1529.885646,3571,14571.816004
1370.280796,3571,14670.713084
49.314156,3571,14772.038576
-311.529845,3571,14874.494878
1762.826669,3571,14978.914236
1460.287143,3571,15077.379998
