#{"t_start": 1595655332.263453, "env_id": null}
r,l,t
-4116.622079,3571,135.351807
-2947.471876,3571,273.807831
-2334.381056,3571,413.354645
-1804.824642,1694,475.93766
-4488.998293,3571,600.721081
-3562.980293,3571,730.559856
-4082.685504,3571,853.741482
-719.672161,640,876.64792
-2772.726784,2450,962.167789
-4144.367018,3571,1087.011798
-1372.686176,1128,1126.3856
-667.72536,452,1141.87142
-4098.296988,3571,1270.346549
-4066.843369,3571,1399.673866
-987.891514,663,1422.5059
-349.324432,174,1428.497088
-4024.860596,3571,1556.155862
-476.882706,431,1571.723378
-4065.085614,3571,1697.24031
-3378.849814,3571,1829.801094
-1599.312688,1242,1873.476181
-439.307258,275,1883.109529
-2328.934942,2374,1968.316367
-122.422511,38,1969.649189
-3646.343413,3571,2097.012502
-808.160069,686,2121.33955
-3364.771895,3571,2247.0842
-1240.561719,1191,2289.729392
-2995.156885,2764,2387.598903
-604.641833,543,2407.308192
-1653.125167,2323,2494.198869
-3141.290957,3446,2618.49329
-2807.61476,3571,2750.86459
-192.270322,182,2757.955165
-1145.788003,1259,2805.027476
-3418.594929,3545,2929.036004
-2521.222701,3029,3042.080863
-1570.584442,1461,3093.154997
-2697.005404,3571,3225.56781
-589.302033,597,3247.110114
-756.551986,607,3267.662084
-2280.828858,2724,3370.331731
-2010.555224,2742,3475.144185
-1337.444013,2267,3563.558996
-2695.197884,3571,3696.409715
-3257.480608,3571,3824.830236
-1591.116236,3571,3969.635046
-2361.519449,3571,4105.215285
-115.047018,24,4106.044921
-116.120817,26,4106.9753
-2315.429769,3571,4244.638073
-114.917605,24,4245.497487
-115.306277,25,4246.390351
-1095.595204,1605,4309.442903
-115.536956,25,4310.364637
-844.907434,778,4338.370802
-2131.27767,2578,4432.395511
-472.920455,523,4451.306227
-826.130389,755,4476.588284
-115.935878,26,4477.518307
-3160.675526,3571,4608.187418
-115.456687,24,4609.009424
-115.943263,24,4609.87699
-115.724137,24,4610.725853
-118.164346,29,4611.825636
-116.564918,26,4612.745697
-349.989573,369,4626.229742
-116.431248,26,4627.146029
-117.888082,28,4628.160468
-2157.986018,2056,4701.354185
-2415.654556,3571,4834.807764
-307.202116,453,4852.212665
-2779.069479,3571,4984.742119
-2669.272964,3571,5118.723348
-1495.001259,3571,5263.347051
-1119.757703,990,5298.805065
-1561.47428,3571,5442.42294
-526.474371,3571,5596.609585
-2341.102031,3571,5732.388895
-1520.614554,3571,5881.186323
-1939.24393,3571,6021.207101
-673.780939,3571,6177.527109
-2057.925421,3571,6322.293553
-1599.645261,3571,6466.865
-2840.690243,3571,6598.395705
-2141.101292,3571,6745.192225
-2645.465525,3571,6880.125047
-1968.691185,3571,7020.222288
-1233.972461,1346,7068.111829
-381.560207,288,7078.455581
-2802.249817,3571,7208.681525
-2040.720147,3571,7353.792224
-2946.565074,3571,7482.628112
-2085.079999,3571,7624.103248
-2371.344665,3571,7759.878335
-925.885661,3571,7909.110502
-394.716406,1317,7964.857248
-1110.73592,1271,8010.179114
-2156.076386,3571,8147.529343
-1248.749613,1750,8214.956194
-2125.908468,3571,8352.352089
-1503.373419,3571,8502.147649
-509.702191,621,8525.89538
-1246.676173,3571,8676.898435
-1372.631138,3571,8823.690713
-1004.939291,3571,8980.834969
-1506.830132,3571,9127.679958
-2274.001152,3090,9245.831177
-1357.745433,2486,9347.045281
-1405.421402,1864,9417.063438
-753.857481,876,9449.230591
-1209.905468,3571,9598.255686
-2158.268159,2586,9694.802166
-421.293394,1001,9737.980945
-1244.107079,3571,9889.233426
-498.632851,438,9904.648437
-1286.092852,3571,10056.313151
-282.213784,3571,10217.344342
-1670.663033,3571,10364.964595
-980.82821,3571,10516.211874
-496.322622,1003,10557.95407
-1537.63542,3571,10701.459981
-609.34871,573,10722.187285
-1604.82448,2494,10819.844145
-2039.37598,1929,10885.787869
-553.289928,3571,11043.222326
-1553.712521,3523,11188.801795
-1101.888464,1151,11229.932869
-471.368366,1103,11277.341482
-1198.561337,1931,11353.546938
-742.220784,2630,11465.665282
-581.892093,3571,11627.53031
-1143.215086,3571,11772.688571
-1759.842141,3571,11915.574434
-1145.390595,3571,12061.957772
-180.45714,3571,12220.892529
-222.83282,3571,12374.196022
-793.1348,3571,12522.386452
-308.324355,3571,12683.552594
307.990319,3571,12846.514575
-1495.507471,3571,12996.586676
-657.463388,3571,13150.177525
-780.023182,3571,13310.843433
-72.322679,3571,13461.088744
-663.308531,606,13481.852746
-957.873496,3571,13624.750739
-2088.797435,3571,13761.373666
-2348.210796,3571,13898.747984
-320.484896,510,13918.375841
-958.402883,2457,14023.239227
-1295.327216,1427,14074.501657
-864.609408,704,14098.320315
-409.109011,853,14133.920336
-1620.666211,2115,14213.150701
-115.499271,24,14214.052178
-684.812087,3571,14375.232866
-872.157859,1011,14412.909675
-116.432491,25,14413.813137
-472.596097,1249,14468.829815
-664.259984,3571,14618.660367
-115.936624,24,14619.470547
-390.334893,262,14627.852818
-1314.934459,3571,14771.7141
-824.898903,3571,14914.977295
-115.871157,24,14915.739935
-115.391358,25,14916.586826
-116.800214,26,14917.491632
-173.131244,163,14923.594529
-467.44175,3571,15069.616413
-328.020574,3571,15221.461639
-623.44877,766,15247.963528
-441.357678,547,15267.761583
-115.888069,24,15268.59245
-252.090637,3571,15414.011065
-912.895481,3571,15556.320155
-122.031701,31,15557.386811
-1183.440529,3240,15689.508947
-668.201754,3571,15830.289994
-869.780087,1167,15873.04264
-707.585116,3571,16015.168978
-115.716692,24,16015.916352
-666.181591,747,16040.51035
-278.901609,226,16047.9298
-115.201578,23,16048.674085
-251.810737,3571,16198.214854
-651.605206,1782,16266.714396
-422.993116,349,16277.595791
-115.659417,24,16278.366203
-695.659588,3571,16419.788829
-265.520666,3571,16567.131672
-12.719971,3571,16715.813258
-653.035496,3571,16857.625703
445.379305,3571,17009.709566
347.275612,3571,17155.180409
-638.382335,3571,17298.920127
-1212.208901,1193,17336.217982
-827.620832,3571,17470.407048
-934.283624,700,17492.016577
-210.496841,210,17499.458769
-798.554332,1438,17551.614902
-351.13989,538,17569.786912
-263.319136,223,17577.600826
-1288.223859,3571,17708.678447
-146.005877,3571,17851.277847
-115.272542,24,17852.028828
-1161.865111,3571,17988.061879
-1873.54076,3571,18113.596053
-607.939018,656,18135.831319
-1075.739559,1847,18201.198514
-1962.619544,2697,18294.07196
-1515.8526,3571,18427.072785
106.819271,3571,18573.436046
-468.529238,3571,18712.293532
-637.896151,1491,18769.251698
-1162.879612,1214,18808.559967
-3253.070794,3571,18924.418006
-551.810164,341,18934.73035
-2204.219481,3571,19057.490371
-2468.657968,3571,19177.853931
-3556.030643,3571,19294.788808
-114.641542,25,19295.651819
-3013.492919,3571,19415.567105
-295.277759,335,19427.22392
-3415.829848,3571,19544.143292
-1847.084371,3571,19674.495935
-980.787166,1158,19713.69442
-942.265924,713,19735.99717
-468.814009,290,19744.662613
-1187.079525,945,19774.259392
-494.927844,3571,19923.891151
-408.814412,370,19935.582169
-566.962014,480,19950.978765
-1256.046713,1856,20018.832222
-2546.202233,3177,20126.981818
-632.158818,591,20146.145015
-192.155799,125,20150.136879
-472.150458,347,20160.621102
-346.254936,214,20167.245471
-1448.73009,1272,20206.880874
-1534.724528,1225,20244.162665
-4020.336491,3571,20356.559292
-3747.340414,3571,20470.522804
-758.57273,671,20491.895379
-922.692418,1224,20535.709485
-1622.384426,1261,20574.552533
-3011.820567,3571,20692.727036
-2044.695463,3571,20824.475042
-1473.316824,3571,20961.378556
-1574.702397,1363,21003.610003
-3596.024938,3571,21115.343908
-1035.409223,861,21142.14813
-3662.43445,3571,21256.406042
-3412.135092,3571,21371.218644
-117.352299,32,21372.297744
-123.107336,50,21374.112981
-3763.4828,3571,21486.998263
-3550.17087,3370,21594.786912
-1771.796829,2569,21684.584519
-117.444082,32,21685.656988
-692.867231,1174,21731.939109
-379.768635,274,21741.41574
-3000.292604,3571,21865.213454
-733.577677,3571,22006.919825
-3688.147099,3571,22124.391976
-3944.558862,3571,22237.166425
-2727.806495,3571,22361.818634
-3854.897853,3571,22476.111517
-4460.474808,3503,22582.650779
-118.145045,29,22583.575898
-3375.215175,3571,22699.479091
