#{"t_start": 1595797206.0173624, "env_id": null}
r,l,t
-4229.281612,3571,125.082057
-2656.3377,3571,252.456561
-2334.096236,2354,333.130176
-1444.014359,1354,379.521552
-1193.592934,1018,414.241037
-2029.268473,1744,472.434821
-519.348912,430,486.722049
-588.91415,445,501.622655
-1412.045022,1133,538.028195
-239.557756,116,541.73672
-459.482179,345,552.896103
-117.944483,29,554.005599
-117.786084,27,555.004721
-1321.63988,1049,590.147003
-745.701379,605,610.87479
-2615.154559,2078,678.638982
-2073.224536,1777,736.522197
-210.020388,119,740.319016
-289.836721,173,745.869642
-716.296709,648,767.578233
-321.010623,187,773.680036
-848.35621,596,792.83917
-3472.468811,2890,886.043503
-118.325575,29,887.089072
-2871.530303,2560,971.818174
-1662.705468,1324,1014.484297
-2835.300553,2623,1102.574648
-871.85865,935,1134.52063
-159.250881,153,1140.451365
-171.425839,155,1146.253683
-1449.166859,1371,1193.769276
-342.255589,626,1219.422402
-522.553414,414,1233.577452
-199.343966,211,1242.201094
-120.507697,31,1243.393569
-1115.386627,1056,1279.815757
-201.292123,231,1289.189316
-975.400099,1435,1340.890443
-131.978274,53,1342.808781
-1425.915972,1308,1387.024782
-752.72745,613,1407.213843
-1703.613215,1563,1457.036505
-1027.512971,881,1485.495161
-1214.157991,1198,1523.412637
-2324.848736,2941,1623.522681
-262.665337,320,1634.784542
-455.615369,358,1646.211337
-118.882723,30,1647.208986
-309.239894,259,1655.777057
-1158.493405,1370,1702.842028
-1636.782101,2529,1785.07381
-203.075857,140,1789.561875
-294.209733,233,1797.217557
-1220.472544,1265,1836.62564
-3253.30111,3571,1949.768458
-396.760218,238,1956.938979
-610.246602,368,1968.048101
-923.43383,763,1990.942524
-3694.467657,3438,2096.974527
-444.035394,299,2106.146403
-3372.48367,3302,2208.159318
-776.903907,897,2236.791399
-3741.507086,3523,2342.067085
-321.154246,320,2352.261179
-2701.625224,3501,2461.31882
-2189.43488,3571,2568.002422
-634.575772,785,2591.864273
-779.64061,1299,2631.530636
-2490.536898,3571,2733.699094
-180.094668,115,2736.956568
-503.837442,918,2764.25947
-1810.09511,2613,2838.424235
-1033.954775,1386,2877.734764
-966.641211,1184,2910.813749
-2700.628072,3571,3008.550506
-1944.321936,3278,3099.632196
-1776.247358,2042,3154.698391
-332.579919,496,3169.019006
-733.696002,604,3184.910387
-1879.945715,3571,3291.404971
-322.693952,328,3301.445528
-2315.542943,3395,3411.004092
-2463.164875,3571,3522.791053
-426.92434,868,3551.918791
-537.468752,957,3584.282948
-2332.714654,2567,3663.007369
-778.946765,885,3689.661267
-1261.967573,3571,3810.341815
-284.180979,469,3826.777141
-864.95538,1787,3886.239976
-239.338312,621,3907.812011
-1901.475026,2036,3969.598116
-1115.568381,3571,4096.00054
-1131.475571,902,4122.390779
-262.514222,442,4138.01943
-342.577224,385,4150.082328
-1269.270404,1172,4184.633429
-386.914716,782,4210.357675
-225.49942,803,4239.250515
-1374.022547,2217,4310.98485
-777.086753,1792,4372.29616
-129.690538,43,4373.579896
-1684.347825,3571,4495.796986
-1293.436096,2384,4578.250399
-915.01967,3571,4702.407624
-1882.007217,3571,4823.865917
-1482.513097,3571,4943.980641
-127.190139,50,4945.614741
-656.523822,565,4962.827521
-124.929922,42,4964.267241
-1293.360117,3285,5078.34152
-2244.034978,3571,5193.264968
-699.216604,3571,5318.804183
-1147.02946,3438,5442.323481
-528.762895,720,5465.472775
-126.354575,41,5466.746158
-588.712294,3571,5601.620167
-125.545645,41,5603.011324
-126.23994,41,5604.232317
-1458.960842,1561,5651.41507
-124.915305,41,5652.706574
-232.827803,234,5660.37278
-124.943411,41,5661.573048
-126.115758,42,5662.857299
-124.526031,41,5664.226502
-125.036879,41,5665.38392
-126.022291,40,5666.539124
-125.332339,40,5667.709693
-126.631976,41,5668.951124
-126.695976,41,5670.206677
-127.233538,41,5671.432512
-126.937577,42,5672.850197
-1918.055852,3571,5794.273336
-123.020306,41,5795.553308
-487.073398,3571,5931.265195
-597.205977,628,5950.045764
