#{"t_start": 1595569623.0516844, "env_id": null}
r,l,t
-4423.867693,3571,60.457922
-4136.141727,3571,119.493763
-4388.944801,3571,185.047083
-4833.846619,3571,255.050337
-4000.868528,3571,325.97216
-4959.619347,3571,394.894064
-4723.903647,3571,465.623541
-4976.208829,3571,533.990428
-5761.671615,3571,603.51074
-4518.67829,3571,676.13003
-3336.479164,3571,755.278505
-4673.424513,3571,828.770898
-3716.985581,3571,904.781285
-5087.262117,3571,976.234866
-123.047742,31,978.363278
-117.7901,25,978.774039
-117.7901,25,979.228674
-117.7901,25,979.639579
-117.61415,25,980.79618
-117.61415,25,981.239748
-117.61415,25,981.688571
-117.61415,25,982.15486
-117.02271,24,983.285457
-117.02271,24,983.767286
-117.02271,24,984.219738
-117.02271,24,984.635134
-117.022401,24,985.685576
-117.022401,24,986.092329
-117.022401,24,986.525604
-117.022401,24,986.931746
-117.929762,26,988.137936
-116.867716,26,988.616586
-116.867716,26,989.167132
-116.867716,26,989.625798
-264.305445,157,993.544703
-474.651412,310,1000.645835
-439.313648,300,1007.227377
-686.221709,386,1015.342257
-302.294315,165,1019.54337
-198.910646,72,1020.647917
-198.708982,72,1022.497644
-218.188667,114,1025.365789
-223.38785,164,1029.997592
-205.950324,71,1031.876393
-204.394191,92,1033.474284
-392.649261,261,1040.052791
-203.37894,112,1042.937953
-292.452437,171,1047.972529
-919.638914,591,1061.452887
-478.14598,423,1073.922805
-240.049035,157,1079.143862
-222.094602,105,1081.964803
-375.845763,212,1087.912652
-389.145246,206,1092.848102
-655.52795,374,1102.137666
-637.978798,333,1109.986599
-312.604783,332,1120.00567
-151.278257,77,1122.48944
-542.114719,405,1133.629414
-754.876573,475,1145.584966
-1592.847767,1589,1193.264909
-653.673677,403,1205.100198
-236.048744,275,1213.868851
-414.5195,533,1230.767066
-426.299635,427,1243.827586
-2806.852702,2755,1324.438101
-1055.523185,753,1345.037758
-1066.50037,812,1369.166428
-2611.44524,2754,1452.147789
-674.348957,489,1466.543858
-895.422598,720,1486.720882
-281.746028,211,1493.339061
-1054.49348,984,1522.663399
-385.751888,305,1531.492843
-244.677023,280,1540.440312
-831.996507,875,1565.540004
-1706.000568,1684,1615.806075
-459.702933,431,1630.265197
-634.908666,518,1646.10255
-1568.401721,1476,1691.504869
-337.481549,290,1699.546806
-837.798956,918,1728.297416
-428.911867,357,1738.448481
-825.607068,721,1759.683334
-2770.444159,3571,1877.044634
-748.767565,627,1896.756876
-470.037546,465,1912.285396
-234.54816,172,1918.780457
-323.138784,301,1928.497436
-1455.566153,1426,1971.213795
-643.6827,637,1990.984359
-1989.776744,2022,2054.762728
-351.227932,277,2063.236122
-1787.617652,1672,2115.479341
-505.293907,500,2130.244078
-2158.026271,2455,2209.161443
-1932.526319,2649,2295.8548
-3031.538092,3571,2408.880528
-446.37957,789,2437.619825
-441.457576,1071,2477.330185
-2193.194518,2560,2560.642292
