#{"t_start": 1595569801.886212, "env_id": null}
r,l,t
-4157.153115,3571,136.583694
-4446.446303,3571,270.630937
-4381.656338,3571,403.522329
-5327.546883,3571,540.297961
-3928.862141,3571,683.812472
-4665.214613,3571,824.362074
-4705.537498,3571,963.537626
-5113.519311,3571,1107.521136
-5634.147599,3571,1248.150261
-5316.471399,3571,1388.667436
-4230.626079,3571,1535.854695
-4594.925912,3571,1679.010296
-4138.384886,3571,1824.165447
-4548.42104,3571,1971.946593
-428.303759,231,1979.462346
-115.743298,23,1980.11261
-115.743298,23,1980.703879
-115.743298,23,1981.341976
-116.360002,24,1982.5646
-115.742412,23,1983.262016
-115.742412,23,1983.906646
-115.742412,23,1984.494654
-115.742537,23,1985.659196
-116.333149,24,1986.431045
-116.333149,24,1987.206104
-116.333149,24,1987.855316
-116.99767,25,1989.115508
-134.449244,70,1991.647458
-138.519784,80,1994.92488
-115.742564,29,1995.911424
-115.742539,29,1997.354401
-127.866673,58,1999.196768
-137.652499,78,2002.226108
-134.967055,72,2005.026846
-136.407817,75,2007.540681
-132.545208,46,2009.409511
-133.076024,45,2010.935031
-133.072634,45,2012.860146
-133.071055,45,2014.36464
-133.087957,45,2016.223948
-134.859544,47,2017.750663
-134.034056,46,2019.795372
-269.164525,146,2024.211377
-884.447177,549,2040.410171
-704.355311,383,2050.98029
-272.413405,149,2056.476601
-206.711228,104,2060.206516
-869.054687,476,2074.953943
-200.957129,75,2076.984965
-211.464698,82,2080.071526
-430.608212,228,2087.951856
-240.323596,97,2091.821045
-215.946993,91,2094.725583
-892.639596,806,2130.442908
-798.522976,679,2158.632502
-376.540012,284,2170.204929
-386.631031,239,2178.8044
-401.858052,226,2187.143508
-195.852549,74,2190.282006
-529.401454,364,2203.447348
-787.795709,622,2227.50732
-360.207835,208,2236.121578
-2122.875071,1782,2305.374784
-1189.475531,1330,2366.115445
-313.321738,231,2375.112593
-1281.863441,1185,2424.620305
-639.416,432,2440.856892
-338.544249,422,2460.191224
-2930.989433,3571,2618.730673
-1918.298855,1773,2691.887571
-280.989676,192,2699.56864
-3935.090906,3571,2840.94525
-3657.54892,3571,2984.23684
-2037.107012,1959,3062.498652
-2695.364127,3571,3228.385776
-123.10924,44,3230.841641
-121.678469,40,3232.685947
-121.680496,40,3235.045458
-122.327336,42,3236.959514
-122.327336,42,3238.707674
-221.040426,226,3248.917997
-3907.109069,3571,3397.727098
-642.023719,604,3423.394004
-256.820584,252,3435.350841
-556.050291,379,3450.690923
-789.440093,827,3486.29706
-1117.410516,1715,3562.539266
-1524.115672,1258,3613.14321
-3970.160504,3571,3755.053197
-313.135287,257,3766.60036
-2154.058869,1875,3844.261188
-1403.445892,1344,3901.838752
-1418.769669,1344,3958.66453
-3606.302294,3571,4106.865657
-1500.646663,1234,4157.175863
-3253.304242,3571,4306.36743
-3295.133362,3571,4454.865388
-742.70227,587,4477.830853
-3213.434083,3111,4609.580248
-841.838548,667,4636.689253
-2944.577096,3571,4793.993241
-254.162938,165,4800.504416
-874.921438,686,4827.799662
-2805.095611,3372,4974.339754
-830.807987,804,5007.620265
-2720.999975,3074,5137.921417
-2884.654529,3571,5297.172012
-1062.82034,1794,5380.965521
-2323.203491,3413,5539.191893
-365.780561,898,5584.912744
-770.629696,1495,5659.77832
-1238.330305,1893,5748.522161
-1207.359697,3571,5936.679213
-1919.243732,3571,6116.756938
-1841.219802,2497,6232.704923
-515.334057,544,6256.932594
-2115.07264,2263,6354.614873
-341.412322,638,6390.019177
-2672.54465,3195,6524.827422
-375.635961,315,6537.437429
-1751.072452,2044,6624.488424
-1813.978033,2578,6744.884504
-571.764204,639,6772.510024
-1181.116594,1855,6863.576202
-119.029813,25,6864.994733
-120.701814,28,6866.130306
-120.701814,28,6867.26687
-120.701814,28,6868.386445
-119.915598,26,6869.898596
-119.104801,25,6870.917645
-119.104801,25,6871.823733
-119.104801,25,6872.76099
-119.511243,26,6874.312113
-120.058683,27,6875.400673
-120.058683,27,6876.41922
-120.058683,27,6877.400436
-119.856217,27,6878.996053
-120.362418,29,6880.101479
-120.362418,29,6881.381277
-120.939543,30,6883.06447
-118.319118,25,6883.963826
-118.319118,25,6884.897275
-118.319118,25,6885.937852
-118.711727,26,6887.489764
-361.838707,482,6908.575623
-119.870391,30,6910.244291
-2459.86613,3571,7071.99922
-773.549339,856,7108.75419
-2553.817446,3571,7270.185772
-223.333801,239,7281.031983
-302.601017,367,7298.397094
-645.525886,671,7326.099463
-159.95754,104,7331.339406
-336.956018,228,7340.271256
-1362.304632,1231,7390.33588
-1828.008852,3571,7563.633739
-2722.478753,2896,7685.773257
-997.883111,1175,7736.697788
-203.537576,90,7739.56152
-1287.994415,1604,7811.961735
-732.380244,724,7844.2923
-414.308266,493,7866.996001
-925.118029,1010,7910.255366
-340.270899,456,7931.304155
-691.447861,1408,8002.440068
-341.695594,492,8026.242105
-513.240151,577,8051.91206
-467.65065,543,8075.990312
-2475.947438,3571,8238.839452
-641.93972,974,8284.611029
1035.00813,3571,8467.573321
-121.142929,31,8468.855448
-121.142929,31,8470.107768
-899.797933,995,8512.483687
-122.248609,34,8514.291674
-227.637254,255,8525.745121
-123.241845,32,8527.103828
-122.275674,33,8528.986365
-122.937627,34,8530.345678
-122.937627,34,8531.643839
-124.001812,34,8533.441961
-600.158908,826,8571.820334
-122.379335,33,8573.216709
-271.077171,269,8585.702377
-124.208931,33,8586.995336
-1239.998728,3571,8749.645064
-337.124683,418,8768.866511
-700.840515,3571,8930.557168
-2339.246742,3269,9084.876018
-1307.43919,2419,9205.461789
-219.988269,255,9217.892517
-2092.425561,3571,9390.893023
-1817.076899,1968,9474.040096
-1013.519057,762,9504.077104
-638.814944,706,9535.182152
-454.414094,996,9587.812167
-602.301773,1678,9669.069601
-1354.970685,1228,9718.555572
-120.333937,32,9719.87076
-120.333937,32,9721.182091
-120.333937,32,9722.383985
-2926.841452,3571,9871.757947
-127.811701,35,9873.647493
-1122.038722,1070,9918.624255
