#{"t_start": 1595830257.6056504, "env_id": null}
r,l,t
-4247.913437,3571,89.05499
-3716.205204,3571,163.298105
-4360.660372,3571,237.499435
-4616.296717,3571,313.56907
-2503.781652,3571,396.293673
-4764.098906,3571,469.65906
-5379.683022,3571,542.067936
-4063.233129,3571,621.112935
-5154.37784,3571,694.319172
-3763.134661,3571,775.093919
-3453.283561,3571,854.730298
-4387.091847,3571,929.881597
-3345.972296,3571,1013.327609
-5224.022708,3571,1088.625558
-494.828807,320,1097.218928
-422.175675,242,1102.646704
-1169.600675,1056,1133.43644
-357.995503,218,1140.055917
-349.446863,172,1144.954284
-208.639734,89,1147.235077
-285.259279,151,1152.003485
-523.121881,389,1162.683557
-472.086186,283,1169.726774
-611.583656,379,1178.561828
-2912.932836,2261,1234.270951
-2672.856629,2612,1309.515452
-750.552366,656,1328.995649
-597.756471,383,1339.411841
-1306.550246,925,1363.770077
-1694.601484,1422,1402.190748
-967.067753,930,1429.297715
-1160.542536,1025,1458.323068
-728.873853,732,1479.852576
-434.343849,330,1488.746382
-231.066786,129,1492.67873
-223.748963,117,1496.258179
-424.867934,296,1504.236362
-219.974857,131,1508.011684
-410.154284,457,1522.555414
-375.16376,279,1530.5118
-309.88518,475,1546.25975
-504.80482,469,1560.0543
-414.62621,298,1568.442321
-1348.438594,1039,1597.871918
-183.878437,176,1603.533875
-462.606509,315,1612.180866
-593.305732,471,1626.002528
-146.629252,153,1631.003788
-258.364089,152,1635.363878
-211.502767,97,1638.02403
-267.830357,166,1641.977887
-144.098232,117,1646.300476
-715.105184,556,1661.29118
-394.848575,251,1668.446134
-457.466102,291,1676.753542
-556.742344,399,1688.475732
-351.330495,245,1695.221583
-511.04464,393,1706.159816
-2079.777012,2240,1770.242154
-2099.10921,1404,1807.719971
-895.090917,742,1829.17821
-593.794565,354,1838.199442
-510.255797,381,1849.689006
-137.604274,56,1851.628833
-135.466874,53,1853.042565
-134.797833,53,1855.173349
-438.866384,494,1870.655253
-634.615104,512,1885.689784
-255.185253,195,1891.548232
-1410.433235,1224,1927.106569
-292.557917,430,1941.895801
-855.267455,796,1965.35843
-1243.468314,1059,1996.948441
-455.061988,347,2007.295798
-905.817956,836,2032.27549
-1361.100495,1460,2075.083187
-1050.854488,831,2100.544086
-372.147856,424,2113.969547
-645.786777,464,2126.387553
-476.499984,504,2142.660398
-1780.814953,1809,2197.668453
-894.113596,860,2224.193722
-300.414069,236,2231.100946
-1368.662715,1356,2273.501363
-908.795221,868,2299.674901
-598.859427,657,2320.591939
-1277.933891,1158,2354.992416
-251.118531,205,2361.246411
-1654.673055,1551,2408.004021
-468.344339,549,2425.74351
-840.3007,667,2445.009987
-1773.627538,1733,2497.355957
-1802.54874,1740,2548.586015
-2217.621208,2197,2612.122248
-2815.402928,3123,2708.528833
-464.442978,334,2718.150746
-116.954985,28,2718.835861
-116.954985,28,2719.550281
-212.491615,190,2725.757889
-859.288865,839,2751.590887
-353.683581,226,2757.87907
-607.028559,666,2777.960284
-283.128833,212,2784.717185
-378.449274,250,2791.989046
-116.103764,26,2793.322495
-115.720758,24,2794.043793
-115.720758,24,2794.723548
-115.720758,24,2795.280136
-115.720924,24,2796.43055
-116.937219,28,2797.117891
-116.937219,28,2798.044605
-116.937219,28,2798.915229
-1136.455934,966,2826.712779
-425.185303,424,2839.601031
-115.834477,25,2840.735636
-1167.409258,1150,2875.365069
-115.921574,25,2875.970069
-115.923249,25,2877.176956
-257.093225,145,2881.190243
-115.823815,24,2881.821557
-115.823815,24,2882.422022
-469.579215,425,2895.447796
-704.703763,610,2914.190449
-735.13586,604,2932.366884
-266.875769,241,2939.071021
-2442.732085,2276,3005.122231
-1672.771114,1700,3054.574512
-202.916274,256,3063.875849
-116.653751,26,3064.573519
-116.653751,26,3065.354693
-116.653751,26,3066.041003
-116.67418,26,3067.307582
-529.196366,468,3080.768838
-608.738695,487,3094.337922
-380.219031,248,3101.711029
-116.665136,26,3102.518279
-116.665136,26,3103.338564
-116.665136,26,3104.134132
-331.512025,213,3110.793343
-853.181208,715,3131.008393
-228.339347,189,3136.67412
-813.010868,568,3152.502249
-117.043859,28,3153.775671
-138.791014,89,3156.351924
-746.790623,494,3170.413159
-938.239488,718,3191.547227
-117.849088,28,3192.207685
-117.849088,28,3192.942334
-117.849088,28,3193.801848
-433.055209,284,3202.616343
-748.008119,623,3221.499268
-194.261183,141,3226.206445
-462.719306,368,3236.791524
-134.892308,74,3238.79627
-788.346187,801,3264.123376
-417.644233,290,3273.031217
-248.980208,196,3279.101273
-820.956778,551,3294.927322
-298.749504,170,3299.795283
-1680.265876,1393,3340.057963
-147.434899,87,3343.196917
-290.462023,227,3350.194933
-259.375977,160,3355.423609
-149.634416,79,3358.331063
-210.614052,126,3361.85302
-809.071165,525,3377.178897
-146.011472,83,3380.225665
-122.640159,38,3381.869436
-1470.228175,1235,3416.034518
-2809.254803,2785,3500.380904
-658.812354,601,3519.765178
-296.038969,354,3532.145931
-288.496438,291,3541.085179
-434.989562,259,3549.079888
-315.83556,410,3562.189339
-170.665467,100,3565.27308
-241.39105,176,3570.85887
-650.277029,511,3586.177796
-465.739292,328,3595.596564
-373.271008,327,3605.391181
-523.22055,395,3616.640136
-281.287583,195,3622.420538
-794.073149,1057,3657.634087
-953.241936,879,3684.174267
-483.950558,498,3700.316801
-1040.37247,1226,3738.27953
-132.279871,49,3739.602048
-133.868242,52,3741.470337
-306.61438,186,3746.844283
-133.520583,53,3748.289393
-172.96945,140,3753.475015
-467.779331,326,3762.473351
-1304.585693,1229,3798.674906
-537.637,528,3816.104527
-972.970219,1013,3847.588292
-276.577779,198,3854.868012
-284.250631,247,3862.230987
-1408.210905,2117,3929.492702
-162.323466,142,3934.506821
-318.35628,202,3940.605167
-705.407018,703,3962.157952
-1578.841023,1359,4000.730621
-1070.282073,1167,4037.657892
-302.176521,421,4051.329315
-116.267275,26,4052.034271
-116.250554,26,4053.442476
-116.276268,26,4054.144342
-116.276268,26,4054.802675
-116.276268,26,4055.560135
-842.537123,811,4080.24587
-117.064372,27,4080.957611
-117.064372,27,4081.615821
-117.064372,27,4082.282513
-1031.166429,1150,4118.940375
-570.236496,844,4147.817646
-586.763019,768,4172.821692
-116.613892,26,4173.547282
-116.613892,26,4174.676968
-923.969724,1572,4225.843839
-795.937523,886,4254.5755
-389.749133,389,4267.204806
-139.274497,78,4269.692252
-216.417365,259,4277.762714
-599.323183,521,4294.315012
-745.238404,955,4323.638574
-884.968645,811,4348.325731
-673.212771,660,4368.019641
-244.806211,382,4381.711359
-1172.763868,1110,4415.395188
-366.91115,455,4429.685745
-949.192298,1488,4480.339657
-467.201136,485,4495.534176
-995.752954,1147,4530.951221
-115.952601,26,4532.168649
-115.952601,26,4532.831202
-115.952601,26,4533.632468
-115.954573,26,4534.941808
-681.749251,725,4557.817862
-173.324361,111,4561.07811
-1338.265774,1315,4600.226483
-116.855338,29,4600.876027
-749.828004,584,4618.475684
-116.352548,28,4619.168869
-115.876182,26,4620.516178
-115.876182,26,4621.151408
-115.876182,26,4621.797247
-115.876182,26,4622.32424
-314.932823,391,4635.415787
-628.015309,734,4657.988068
-622.273535,635,4677.39999
-299.015975,301,4686.668638
-196.957888,136,4690.840418
-123.948307,41,4692.525283
-1456.859284,1300,4730.579096
-584.785302,507,4746.03377
-301.807864,180,4751.656543
-451.399194,529,4769.11665
-309.814163,488,4785.644019
-140.796917,97,4789.024933
-569.264382,654,4809.293931
-826.140094,1008,4838.541048
-357.747248,219,4845.085568
-185.66335,135,4848.921058
-442.8535,349,4859.76371
-465.383392,441,4873.057754
-319.259451,287,4882.077814
-964.023916,1029,4913.136488
-885.616205,720,4933.90679
-282.93551,188,4939.429895
-776.629492,769,4963.608147
-463.835397,419,4976.011785
-279.570537,152,4980.619364
-266.270183,143,4984.724439
-524.931157,425,4997.876637
-305.277653,1206,5042.136878
-437.719718,412,5055.248789
-2082.840323,2082,5118.67389
-1207.937696,1566,5168.136915
-442.616179,493,5183.911291
-278.846795,206,5190.028681
-399.579444,333,5200.094867
-729.121588,1857,5265.329393
-147.128664,78,5267.878371
-1206.29412,1715,5321.23802
-421.416752,236,5327.549349
-194.831144,976,5363.582917
-757.530023,647,5382.74278
-368.596394,464,5397.697479
-829.442897,711,5418.43779
-245.469288,272,5427.430906
-385.010754,453,5442.090409
-755.696223,823,5467.451866
-1734.278175,1773,5520.247477
-118.735179,29,5521.545896
-717.548371,715,5543.134012
-1138.402658,1753,5601.587552
-780.448184,818,5627.039395
-925.667355,764,5649.244872
-1180.044798,1204,5685.436373
-544.374808,529,5702.368623
-280.949977,209,5709.762016
-380.522647,936,5743.210335
-631.449151,751,5767.691824
-327.43787,264,5776.140991
-222.700065,115,5779.210392
-421.114127,393,5791.397595
-1583.292621,1832,5847.193938
-217.301665,170,5853.027403
-208.092611,152,5858.219845
-366.711712,230,5864.524007
-567.847634,449,5877.762293
-1136.756409,1039,5908.451408
-373.821185,713,5933.069085
-272.048983,229,5939.989071
-683.340827,550,5955.784788
-411.957466,331,5965.093759
-524.406173,486,5979.88128
-367.34196,427,5992.388664
-139.115576,45,5994.111856
-128.87441,57,5995.602754
-256.063939,287,6005.02996
-693.862782,707,6025.996909
-144.136969,81,6028.468363
-394.797074,319,6037.824093
-538.397404,542,6055.083087
-218.744503,224,6061.608688
-146.320521,75,6063.909569
-154.950866,107,6067.205113
-144.96882,74,6069.298027
-148.729837,86,6072.065482
-267.95495,387,6085.302953
-404.208086,451,6099.689396
-278.081185,412,6113.944255
-115.959445,25,6114.513966
-115.959445,25,6114.998102
-115.959445,25,6115.638336
-423.445102,757,6143.068006
-391.745174,298,6151.754054
-137.031653,66,6154.066987
-1921.07797,2546,6233.912725
-171.918296,96,6236.835748
-230.647979,200,6243.008856
-802.915294,835,6268.244108
-1222.333494,2102,6337.27906
-231.440979,171,6342.635677
-751.0212,661,6362.319317
-132.235994,163,6367.641892
-656.800143,3571,6477.242227
-325.547429,344,6488.660601
-1283.742225,2976,6589.743638
-1402.139344,1377,6630.307515
-394.135727,499,6647.87787
-808.863193,746,6670.449858
-679.33221,3571,6799.92047
-307.860352,348,6811.792984
-136.490793,73,6813.836116
-299.829902,280,6823.102812
-132.208852,68,6825.642057
-545.811768,1533,6878.810906
-126.700626,59,6881.000593
-117.587583,27,6881.548434
-117.587583,27,6882.314188
-384.39517,349,6892.669959
-121.644369,30,6893.428016
-121.644369,30,6894.195629
-837.704427,1240,6934.374312
-465.930802,514,6949.884063
-515.32766,483,6964.716408
-119.175568,29,6965.557325
-119.175568,29,6966.380147
-154.924101,83,6968.965655
-1162.841052,949,6997.458854
-115.867884,25,6998.044153
-115.867884,25,6998.755534
-115.867884,25,7000.100247
-118.993186,28,7000.805857
-118.993186,28,7001.552418
-118.993186,28,7002.253223
-262.247368,697,7027.397397
-125.896843,41,7029.095412
-129.854104,42,7030.122414
-129.875332,42,7031.793242
-115.870058,25,7032.486841
-115.870058,25,7033.163418
-115.870058,25,7033.709134
-116.310531,26,7034.970403
-1218.473496,2465,7115.796121
-1126.265884,1055,7148.791654
-165.35795,168,7154.149977
-116.030771,25,7155.427334
-116.064204,26,7156.044171
-116.064204,26,7156.771331
-116.064204,26,7157.442909
-115.927233,25,7158.475716
-115.927233,25,7159.059171
-115.927233,25,7159.765984
-115.927233,25,7160.460345
-547.974416,417,7173.004322
-704.678368,681,7192.96466
-248.415864,203,7199.413946
-115.858066,25,7200.557536
-115.858066,25,7201.189482
-115.858066,25,7201.799845
-115.858066,25,7202.456255
-194.798376,142,7206.874221
-116.218061,26,7207.61327
-116.218061,26,7208.250023
-116.016368,25,7209.533174
-116.562994,26,7210.210364
-116.562994,26,7210.952532
-116.562994,26,7211.746562
-516.395158,476,7226.172253
-258.746664,127,7229.803276
-116.792003,27,7231.09562
-116.792003,27,7231.801436
-116.792003,27,7232.570204
-117.222811,28,7233.741989
-116.473639,26,7234.356048
-116.473639,26,7235.064568
-116.473639,26,7235.770825
-116.391361,26,7236.805707
-210.140385,152,7240.778204
-115.868655,25,7241.394772
-116.958253,27,7242.560039
-116.958253,27,7243.110696
