#{"t_start": 1595569184.4240696, "env_id": null}
r,l,t
-3548.500554,3571,58.926822
-4333.144734,3571,111.779996
-4560.936076,3571,165.489156
-4605.025625,3571,215.122987
-4129.3783,3571,267.691239
-3363.55361,3571,321.264817
-4562.425101,3571,370.953683
-4109.48136,3571,421.578142
-4729.75208,3571,476.500468
-4662.367756,3571,530.715958
-4234.59076,3571,592.915692
-4677.163299,3571,661.693388
-3957.395213,3571,732.861673
-4816.563955,3571,801.731843
-4963.357722,3571,870.088797
-5137.215229,3571,936.899829
-3571.606243,3571,1010.553829
-4498.433765,3571,1090.341665
-2823.635902,3571,1172.002331
-2583.681568,3571,1253.34172
-3008.811905,3571,1332.681948
-3085.074566,3571,1412.742531
-3337.418897,3571,1492.501051
-2865.466922,3571,1570.759113
-3650.098034,3571,1649.639885
-2293.288024,3571,1736.892968
-2987.00287,3571,1817.752122
-2453.098157,3571,1900.844697
-2186.309472,3571,1986.813862
-3160.100487,3571,2066.772646
-3017.741678,3571,2146.62191
-2916.91067,3571,2228.577516
-2907.767947,3571,2310.655689
-2208.694678,3571,2393.992731
-2711.224371,3571,2476.732865
-2852.021031,3571,2569.900813
-2887.05712,3571,2651.27496
-2202.703957,3571,2738.699288
-2635.019323,3571,2823.789788
-3011.160059,3571,2905.963783
-1954.714986,3571,2993.155112
-3030.459337,3571,3074.834954
-2351.246944,3571,3159.563208
-2427.173069,3571,3244.76749
-2783.205352,3571,3328.114077
-3048.659637,3571,3408.633469
-2839.917221,3571,3489.140225
-2817.403324,3571,3570.92278
-3010.210197,3571,3652.268831
-2557.811647,3571,3736.911462
-2691.71609,3571,3819.701985
-2430.66246,3571,3902.726536
-2677.156105,3571,3984.732888
-2275.651936,3571,4082.089881
-1467.27512,3571,4169.989196
-2883.490074,3571,4250.477304
-1969.139165,3571,4335.707221
-2477.392953,3571,4419.117312
-2491.59964,3571,4500.71144
-1997.72561,3571,4587.243957
-1840.028903,3571,4673.504177
-1828.344975,3571,4763.08904
-2042.128556,3571,4848.045337
-2196.335393,3571,4933.67115
-2031.376608,3571,5018.055041
-2140.551906,3571,5102.569887
-2317.466293,3571,5183.525121
-2369.189399,3571,5267.399493
-1472.993897,3571,5356.670343
-2579.382963,3571,5440.807855
-1708.551551,3571,5526.946713
-1981.881591,3571,5623.075352
-1515.196196,3571,5711.949206
-1719.682526,3571,5799.931541
-1771.634646,3571,5890.332374
-1599.231485,3571,5979.332012
-2953.869479,3571,6056.630686
-1823.586282,3571,6143.634362
-2107.7484,3571,6227.161674
-1941.605519,3571,6311.593964
-2599.155124,3571,6392.150716
-2424.319322,3571,6473.459825
-2126.710919,3571,6559.442702
-2215.125778,3571,6644.134976
-1898.818655,3571,6730.10955
-1151.035943,3571,6819.050772
-2226.561799,3571,6903.787594
-1725.668589,3571,6988.272026
-1570.61165,3571,7077.359508
-2091.891971,3571,7173.646428
-1325.064515,3571,7263.304698
-572.675795,3571,7358.057829
-855.365596,3571,7449.731407
-1429.890904,3571,7541.562968
-733.438582,3571,7635.866805
-1248.597664,3571,7726.089672
-1644.592636,3571,7814.498129
-1408.625219,3571,7903.516156
-1406.22924,3571,7995.287868
-1530.276021,3571,8084.045094
-1551.799401,3571,8173.40596
-1543.774362,3571,8263.282322
-1095.654092,3571,8354.805704
-1254.551597,3571,8447.132211
-1810.594942,3571,8535.441851
-1317.600234,3571,8627.228578
-1396.286645,3571,8714.901217
-1198.437995,3571,8815.78645
-696.63136,3571,8912.289494
-208.836867,3571,9010.095208
-900.367046,3571,9105.070506
-869.816305,3571,9196.995492
-943.219476,3571,9293.893702
-728.508538,3571,9390.124889
-418.555261,3571,9487.901357
-1341.152528,3571,9581.511928
-854.879674,3571,9677.704813
-1073.141899,3571,9770.164319
-1242.320905,3571,9862.970061
-1015.27365,3571,9958.379634
-782.729232,3571,10051.437301
-854.811716,3571,10148.0744
-760.411812,3571,10245.529573
-1251.917059,3571,10339.666718
-680.00119,3571,10434.020468
-670.40601,3571,10538.451744
-364.65109,3571,10637.444969
-1219.689035,3571,10732.08038
-889.300467,3571,10826.598662
-623.372489,3571,10921.284325
-891.694278,3571,11016.243973
-881.341788,3571,11112.457862
-770.8258,3571,11209.704054
-552.586474,3571,11307.526676
-675.502326,3571,11401.351523
-1063.351367,3571,11492.471803
-872.312349,3571,11584.314642
-771.654052,3571,11675.892373
-659.173772,3571,11775.607717
-152.653943,3571,11868.37613
-447.258739,3571,11966.537595
-382.947906,3571,12058.138145
-529.334258,3571,12146.915752
608.760401,3571,12247.734599
-524.110042,3571,12340.093583
140.184663,3571,12434.067918
-168.252784,3571,12523.559768
541.030886,3571,12611.125654
-277.790855,3571,12699.153472
-832.114575,3571,12785.357024
140.623196,3571,12878.192221
-494.89259,3571,12968.604311
-483.524784,3571,13058.365432
-264.515638,3571,13151.391214
-434.030454,3571,13246.097741
-331.65281,3571,13342.450613
-152.557794,3571,13439.45994
-488.766601,3571,13529.568281
-286.250143,3571,13620.15443
258.606397,3571,13710.668228
-782.373864,3571,13798.22671
-553.537225,3571,13896.691571
-26.963801,3571,13985.160025
-304.014927,3571,14077.393021
1143.17688,3571,14164.81514
-214.216473,3571,14254.041046
-330.438874,3571,14350.487825
-550.731236,3571,14442.52931
-434.403012,3571,14530.71687
500.875998,3571,14619.837239
-394.864782,3571,14707.432811
-47.558829,3571,14797.417881
1524.171155,3571,14883.997682
-193.700174,3571,14970.089241
-41.386625,3571,15054.936349
-191.630966,3571,15141.07282
-381.796647,3571,15225.599485
228.627538,3571,15314.108582
877.911249,3571,15402.212926
-454.849496,3571,15498.656373
-370.064565,3571,15578.12422
1780.441689,3571,15667.309839
-61.00869,3571,15753.882566
-770.214349,3571,15838.304014
1649.830036,3571,15927.281441
-180.27565,3571,16019.645507
128.257232,3571,16107.375638
-309.418154,3571,16197.115734
383.018997,3571,16287.317739
200.987122,3571,16375.520175
511.076466,3571,16462.733987
-344.743427,3571,16552.929689
3.441806,3571,16643.19667
191.91001,3571,16728.834678
46.068492,3571,16818.435497
1636.134256,3571,16909.703822
-61.019918,3571,17000.609535
2249.127697,3571,17118.169545
-276.76304,3571,17202.520301
1091.527632,3571,17290.38631
-321.433662,3571,17375.50711
1958.429631,3571,17464.575855
179.361609,3571,17551.889222
1655.132875,3571,17641.590707
18.753763,3571,17732.251127
-263.495321,3571,17816.198643
466.012965,3571,17909.209252
-234.117365,3571,17999.201921
1153.749857,3571,18087.911593
1572.098637,3571,18178.062224
1567.780712,3571,18266.029977
-231.376568,3571,18352.19463
1738.536144,3571,18440.279292
1477.647585,3571,18530.029442
826.746249,3571,18619.293307
-403.115839,3571,18724.843789
1192.782847,3571,18814.727475
-314.420202,3571,18901.22928
-129.847334,3571,18993.920283
1583.376851,3571,19081.535404
16.078416,3571,19166.710067
2171.869253,3571,19252.526814
-109.25988,3571,19337.807855
-191.52939,3571,19422.690681
-165.660018,3571,19509.053355
-562.043515,3571,19595.706829
-523.473342,3571,19683.039985
-179.211509,3571,19771.210402
27.343696,3571,19858.304054
2633.576592,3571,19945.676117
-215.653781,3571,20024.184681
538.422124,3571,20107.479363
2456.413273,3571,20205.772634
29.449524,3571,20289.647367
1801.848869,3571,20373.825707
192.536201,3571,20454.742039
387.141135,3571,20538.615844
2179.494443,3571,20620.982363
-348.635559,3571,20700.438226
-237.273608,3571,20780.437997
1966.544604,3571,20868.378854
-490.683562,3571,20949.620894
-269.698176,3571,21033.373042
2294.191408,3571,21119.943609
141.176517,3571,21209.166831
-375.225101,3571,21293.762426
204.674082,3571,21380.977502
1917.472913,3571,21466.053224
1359.055422,3571,21548.985546
-429.307824,3571,21629.048328
2478.378664,3571,21918.554415
650.208777,3571,22005.190361
1055.335163,3571,22093.495663
2524.008624,3571,22180.056486
-554.75148,3571,22257.903465
-416.101483,3571,22336.115506
-536.966378,3571,22414.224451
375.638538,3571,22498.363817
2487.744456,3571,22586.733476
-555.990877,3571,22673.791578
3262.684993,3571,22760.300446
2399.941491,3571,22847.948061
2963.875744,3571,22936.072627
2542.084587,3571,23021.030764
2443.138701,3571,23107.828025
-106.036095,3571,23189.179276
3054.218334,3571,23273.53161
-138.721393,3571,23354.093756
611.384414,3571,23444.475837
2719.702335,3571,23530.742978
779.370911,3571,23615.510414
603.953276,3571,23702.230645
2360.726058,3571,23789.026983
-382.618214,3571,23866.484196
-311.817403,3571,23950.97941
836.789942,3571,24034.851671
-349.820993,3571,24117.764802
3250.507394,3571,24204.257671
776.816957,3571,24288.866848
3090.765596,3571,24378.497339
2547.80973,3571,24468.436918
266.515492,3571,24553.771822
2685.876331,3571,24639.628506
-450.108643,3571,24720.191335
-396.311282,3571,24799.62428
2967.398838,3571,24884.171138
2954.665777,3571,24977.168469
-322.299847,3571,25055.579269
3072.579246,3571,25140.77896
743.711197,3571,25223.326365
2794.917002,3571,25310.572316
-431.247266,3571,25389.994868
1060.517154,3571,25472.106038
2827.096501,3571,25559.69866
3594.596515,3571,25647.454827
-425.206878,3571,25726.188572
-268.177322,3571,25811.028982
-372.425478,3571,25893.557612
1103.80504,3571,25980.380968
-409.03487,3571,26058.936143
-371.236014,3571,26140.931081
3.08463,3571,26223.083471
-309.453162,3571,26301.943365
1920.066523,3571,26389.603304
1037.21512,3571,26479.285712
-415.290135,3571,26554.777192
1149.143155,3571,26639.319285
-452.46887,3571,26716.22533
-405.400266,3571,26792.898699
-509.24283,3571,26870.806083
-124.645584,3571,26950.589428
1333.12526,3571,27033.307141
-402.367427,3571,27111.783104
1233.016681,3571,27197.096135
-209.369006,3571,27278.155334
-413.790359,3571,27354.35668
1158.750544,3571,27439.98808
-367.140639,3571,27518.963276
1219.861009,3571,27603.035568
3750.194819,3571,27690.219702
631.670536,3571,27773.694908
1101.250601,3571,27853.431809
-508.976463,3571,27950.120472
1415.89948,3571,28036.579899
3525.916368,3571,28123.541812
2444.512135,3571,28210.849086
3393.49546,3571,28295.249644
-462.099046,3571,28373.810886
3371.417629,3571,28460.027672
1458.065678,3571,28544.475428
1258.545986,3571,28627.81467
3949.539674,3571,28715.716505
3286.663749,3571,28801.627565
367.677202,3571,28888.518654
683.467713,3571,28976.039063
3799.683409,3571,29064.06839
11.673431,3571,29143.810397
