#{"t_start": 1595682785.5558498, "env_id": null}
r,l,t
-5199.379621,3571,103.316176
-4407.34565,3571,206.886135
-3809.188702,3571,310.378299
-4565.166791,3571,411.797931
-3618.806238,3571,521.890357
-3153.508162,3571,632.626844
-3376.092747,3571,741.088308
-3492.564766,3571,848.685576
-3236.856123,3571,954.023826
-2825.918626,3571,1066.97558
-3116.549913,3571,1173.804442
-3422.599455,3571,1279.579469
-3194.512207,3571,1388.197079
-3629.215193,3571,1496.383502
-2984.799934,3571,1602.806751
-3164.202735,3571,1710.395921
-3548.591296,3571,1817.137217
-2808.071648,3571,1926.04492
-3235.186612,3571,2033.292612
-2647.05362,3571,2143.503425
-2248.831238,3571,2257.983327
-2532.117678,3571,2369.301836
-2051.366871,3571,2484.944692
-2148.049828,3571,2600.027932
-2378.847113,3571,2711.595217
-2650.998699,3571,2820.516947
-2772.375591,3571,2928.59415
-2131.003432,3571,3045.048244
-2691.170117,3571,3157.774418
-2452.571725,3571,3268.965068
-1581.5729,3571,3389.153938
-2511.725556,3571,3504.097032
-2538.825539,3571,3616.551752
-2557.207726,3571,3723.935723
-1802.157506,3571,3843.429296
-2889.071133,3571,3952.703711
-2606.691175,3571,4059.571515
-2102.854609,3571,4174.00744
-2215.457131,3571,4287.138607
-2465.58668,3571,4397.812557
-2105.636065,3571,4516.795791
-2565.226334,3571,4627.299827
