#{"t_start": 1595767125.696618, "env_id": null}
r,l,t
-3548.500554,3571,83.001813
-4333.144734,3571,159.990443
-4560.936076,3571,238.519168
-4605.025625,3571,314.166518
-3109.507001,3571,399.5964
-1683.014297,3571,492.395023
-3280.872685,3571,574.794416
-3396.925412,3571,656.38469
-3261.717061,3571,741.199779
-2780.390211,3571,826.91842
-2946.277299,3571,910.918653
-2740.137845,3571,994.832718
-3128.074551,3571,1077.115596
-2228.633762,3571,1165.126029
-2570.286311,3571,1252.839027
-2651.91009,3571,1337.921523
-2576.634433,3571,1424.652997
-2507.436867,3571,1515.199374
-3204.672169,3571,1600.544553
-2299.043112,3571,1691.208274
-2227.827638,3571,1779.050258
-2385.868407,3571,1867.569525
-2155.396429,3571,1962.140785
-1500.691832,3571,2058.146689
-2384.169562,3571,2146.700121
-2597.132376,3571,2233.586458
-2057.258159,3571,2325.366879
-2646.451492,3571,2412.710271
-1784.572099,3571,2507.684509
-1196.662398,3571,2607.261671
-2483.53326,3571,2697.969868
-1786.607759,3571,2794.68573
-1609.98397,3571,2890.3873
-2467.85809,3571,2980.025104
-2278.498461,3571,3070.826819
-1497.675646,3571,3168.824874
-2229.860946,3571,3260.637456
-2226.468219,3571,3349.11943
-2817.624758,3571,3437.113715
-1690.291677,3571,3531.0533
-2545.127526,3571,3621.101365
-2023.0637,3571,3711.817175
-2727.016001,3571,3797.777025
-2202.263085,3571,3886.602344
-2202.384305,3571,3978.766514
-2138.951971,3571,4068.256041
-1432.651878,3571,4163.707314
-1262.688953,1302,4194.89461
-2701.483984,3571,4280.035322
-1014.571866,3571,4378.384885
-1367.887969,3571,4473.677497
-1920.797182,3571,4564.312508
-315.001746,3571,4666.806378
-1478.836874,3571,4759.70903
-2134.339658,3571,4850.853579
-2567.177692,3571,4939.336635
-1120.889067,3571,5032.953992
-1635.886554,3571,5124.146538
-1990.313762,3571,5217.888992
-265.821097,3571,5321.150832
-892.772555,3571,5418.153715
-1047.19453,3571,5511.297525
-2193.150311,3571,5603.174803
-1333.607136,3571,5701.884148
-1133.905377,3571,5796.932343
-1627.018091,3571,5892.315611
-1094.916597,3571,5990.61055
-1390.75015,3571,6087.998837
-1350.172872,3571,6183.860426
-1815.662513,3571,6277.029566
-178.450407,3571,6381.373384
-208.730954,3571,6488.683401
-1218.003769,3571,6587.40337
-618.622051,3571,6689.100573
-1518.291409,3571,6784.879437
-1005.641046,3571,6882.976826
-1227.926242,3571,6981.720243
-1575.135096,3571,7078.572886
-68.384908,3571,7183.60718
-1188.747267,3571,7282.221674
-918.411161,3571,7381.862472
-820.003984,3571,7484.646274
-462.870562,3571,7585.354109
-830.054364,3571,7682.140372
-715.288371,3571,7783.782243
-416.43229,3571,7887.400853
129.801994,3571,7989.339403
-484.665862,3571,8090.478197
-145.293649,3571,8196.795293
386.512547,3571,8302.332842
919.201026,3571,8409.309215
-654.167089,3571,8507.57454
-692.250684,3571,8611.8427
768.653521,3571,8714.15183
-19.993114,3571,8813.189697
-426.294989,3571,8915.604112
-408.908976,3571,9013.064452
