#{"t_start": 1595599114.9938524, "env_id": null}
r,l,t
-6809.269415,7142,43.783602
-6657.194711,7142,84.260835
-5023.298184,7142,124.994193
-4131.828604,7142,166.393567
-5708.333609,7142,210.359133
-1505.172167,7142,250.454648
-3977.196026,7142,289.706238
-5154.130624,7142,331.971353
-3090.426478,7142,374.596501
-1810.169389,7142,414.177102
-5302.785,7142,456.465427
-3280.143439,7142,497.657293
-3447.633348,7142,551.182529
-749.59944,7142,592.671852
-1168.958421,7142,645.616267
-694.438504,7142,705.191071
-998.293787,7142,756.084834
-1329.66132,7142,797.224724
-1190.275774,7142,1009.467987
-2892.284449,7142,1180.774579
-2001.208554,7142,1220.444874
-1469.750583,7142,1293.875423
-792.522238,7142,1345.336452
-1753.530218,7142,1387.569019
-1018.096802,7142,1428.349882
-496.538046,7142,1478.476706
-824.915874,7142,1522.475736
-626.821588,7142,1563.630354
-917.512923,7142,1674.686277
-569.420836,7142,1754.673855
-609.696246,7142,1810.812979
-275.509663,7142,1849.839188
-315.042247,7142,1902.076991
-22.28812,7142,1972.946887
-2169.82118,7142,2012.883268
-1032.378829,7142,2058.514993
-85.443216,7142,2139.821061
-504.761756,7142,2209.958692
-384.96446,7142,2253.061705
-1052.791344,7142,2338.643788
-337.299645,7142,2387.611902
-445.019364,7142,2430.749619
-20.748257,7142,2542.718482
-49.933945,7142,2599.170601
-2291.735086,7142,2645.241443
-452.179178,7142,2687.155972
-631.369107,7142,2738.196316
-613.39454,7142,2809.134056
-182.355136,7142,2851.144476
-249.042763,7142,2898.646075
-248.357725,7142,3020.376144
-338.067148,7142,3063.74027
-184.62229,7142,3106.716749
220.471096,7142,3170.749291
617.066855,7142,3216.428294
-2.645196,7142,3259.257301
-91.579136,7142,3372.600109
246.988975,7142,3418.159986
485.233958,7142,3462.536368
1511.472714,7142,3507.179933
208.394736,7142,3550.761034
-403.266795,7142,3595.681984
708.785915,7142,3639.406554
-531.512995,7142,3684.27364
599.296308,7142,3728.367728
707.638406,7142,3771.349757
-254.844568,7142,3813.483871
663.037289,7142,3856.881198
961.30936,7142,3898.597645
-50.250034,7142,3941.610528
-1957.585582,7142,3985.123761
1070.60257,7142,4027.094916
585.480856,7142,4069.036155
2523.846541,7142,4111.106688
-1154.50214,7142,4155.788735
2045.345275,7142,4197.845866
568.018465,7142,4241.005099
829.090453,7142,4283.392416
2193.673884,7142,4325.76101
-985.333354,7142,4370.198963
-44.759358,7142,4412.680035
-330.533758,7142,4456.986058
1216.472559,7142,4499.06026
-525.371305,7142,4542.403831
1688.77881,7142,4585.217834
422.361436,7142,4628.255374
17.286897,7142,4671.23374
2008.933443,7142,4711.959262
-254.06532,7142,4757.153246
480.9549,7142,4801.697348
2909.483044,7142,4842.880767
-621.685878,7142,4886.452776
-727.940581,7142,4930.817916
65.256093,7142,4974.038421
1996.422527,7142,5015.742634
16.415399,7142,5059.104864
1139.206339,7142,5102.432443
1852.857638,7142,5144.076468
701.896063,7142,5187.245154
543.679781,7142,5231.813765
-579.979226,7142,5277.787764
853.626629,7142,5319.235774
105.126297,7142,5362.862135
292.000405,7142,5408.776682
643.749741,7142,5451.860805
-120.346342,7142,5496.566706
591.901911,7142,5542.283364
686.145022,7142,5585.579004
441.51394,7142,5626.96389
350.268754,7142,5671.925313
1099.053987,7142,5714.796997
-222.293201,7142,5758.121412
1627.949349,7142,5802.300039
1106.78009,7142,5845.679786
1771.194414,7142,5889.577304
26.58572,7142,5932.817674
1764.264603,7142,5977.603487
2897.854853,7142,6020.758654
3206.170924,7142,6063.164108
1213.905142,7142,6108.235619
337.647201,7142,6154.558228
1858.806032,7142,6198.448105
2325.512079,7142,6241.249551
85.031479,7142,6290.556256
2480.588899,7142,6336.60951
4997.864735,7142,6378.708323
2690.767525,7142,6424.067067
3957.997876,7142,6468.514286
5598.006003,7142,6513.406578
5392.584556,7142,6555.14716
3201.452621,7142,6599.25828
3321.83574,7142,6642.764815
1236.180873,7142,6685.730703
4347.600736,7142,6730.250731
1405.231784,7142,6774.3385
908.287085,7142,6819.55811
639.238279,7142,6862.962962
2696.53919,7142,6907.051188
3309.736692,7142,6951.401677
406.227438,7142,6993.776634
1464.269753,7142,7037.535499
5823.063457,7142,7082.256058
5315.664922,7142,7127.738107
1225.800378,7142,7170.181618
3295.725933,7142,7213.433726
300.586926,7142,7259.346465
2484.240068,7142,7301.813019
816.580093,7142,7347.741273
5570.483551,7142,7391.527882
3163.875606,7142,7437.019114
2723.219187,7142,7481.03201
3897.550539,7142,7526.891498
5768.040947,7142,7571.420794
2493.786839,7142,7613.682332
2824.817099,7142,7658.866436
7028.524515,7142,7703.497851
278.875397,7142,7749.877903
61.831216,7142,7793.487598
5817.576268,7142,7838.460875
4922.234606,7142,7883.946375
5137.54799,7142,7926.934658
5654.039639,7142,7971.521317
7081.941513,7142,8016.802905
7569.936273,7142,8063.15141
6021.206142,7142,8105.531539
608.256568,7142,8151.593647
5952.933334,7142,8197.487929
6623.028452,7142,8238.806542
3099.251862,7142,8284.818227
-4459.996882,7142,8331.874309
5566.430187,7142,8377.550476
4275.849765,7142,8419.319572
7861.971627,7142,8465.891743
6796.524889,7142,8511.81627
5895.544163,7142,8553.953061
7252.135447,7142,8599.997593
8130.90803,7142,8645.238123
9038.590084,7142,8689.222432
3338.597087,7142,8733.426834
4824.80941,7142,8778.81118
2280.695718,7142,8824.625921
4659.985646,7142,8867.826642
3312.560703,7142,8915.230211
2462.124257,7142,8961.707439
7076.550608,7142,9007.156116
7114.792003,7142,9049.997873
1984.996172,7142,9098.399012
8029.334032,7142,9142.698972
6278.960192,7142,9185.815365
384.997468,7142,9231.95225
5591.994037,7142,9279.417283
8495.712222,7142,9325.484218
9289.68874,7142,9368.974401
-1594.311253,7142,9417.154802
5036.98098,7142,9462.961303
6960.421196,7142,9505.917592
5905.935674,7142,9551.895816
