#{"t_start": 1596047019.9907117, "env_id": null}
r,l,t
-6809.269415,7142,39.709027
-6657.194711,7142,78.618094
-5023.298184,7142,119.145607
-4131.828604,7142,163.957429
-5708.333609,7142,211.795283
-1505.172167,7142,258.362414
-3977.196026,7142,304.571131
-5154.130624,7142,352.777025
-3090.426478,7142,399.751793
-1810.169389,7142,446.90286
-5302.785,7142,495.042585
-3280.143439,7142,542.645283
-3447.633348,7142,589.86566
-749.59944,7142,636.619178
-1403.786583,7142,684.775668
-784.820683,7142,732.069966
-1016.584842,7142,780.078213
-957.49401,7142,826.793516
-1054.449136,7142,874.044816
-971.940967,7142,922.256677
-584.787896,7142,969.441022
-1117.48447,7142,1017.153361
-1228.628223,7142,1064.954383
-1558.96627,7142,1113.482204
-1569.034231,7142,1160.571055
-725.98522,7142,1208.416908
68.870166,7142,1256.489185
-838.232746,7142,1303.952869
-709.386739,7142,1352.213936
-498.648159,7142,1400.150683
-303.810587,7142,1448.206208
-854.189383,7142,1495.77834
-472.705688,7142,1543.992281
-1031.095572,7142,1591.952176
-2202.644891,7142,1640.385946
-1080.019207,7142,1689.977918
-735.850703,7142,1738.001547
-579.695675,7142,1785.714924
-23.70106,7142,1833.387634
-698.332425,7142,1882.805707
-416.138392,7142,1931.119696
-445.955478,7142,1979.384659
216.911557,7142,2027.747447
-122.993891,7142,2076.075921
-1273.509074,7142,2125.770653
-649.415245,7142,2173.215577
-1394.316616,7142,2223.143318
-344.611097,7142,2271.851718
-2696.852986,7142,2319.24792
-10682.844613,7142,2367.540404
65.254182,7142,2415.983461
-4800.584384,7142,2464.777281
-1641.373263,7142,2512.7911
-811.301607,7142,2561.829947
-2386.676895,7142,2610.677034
-931.167026,7142,2658.317339
-857.816394,7142,2708.643305
-48.310873,7142,2757.927324
-449.199434,7142,2806.899304
109.644308,7142,2855.108683
-516.944695,7142,2903.968149
-1014.617493,7142,2953.991292
-1092.394388,7142,3001.870054
-708.383221,7142,3052.518707
120.04505,7142,3101.85471
-879.086172,7142,3151.111641
-261.924806,7142,3199.210636
-1633.963258,7142,3248.651235
205.884406,7142,3297.944857
-1021.927067,7142,3347.587349
-6080.698418,7142,3398.947222
-233.439445,7142,3448.323608
478.218762,7142,3497.361044
3.772067,7142,3545.743043
-2039.969935,7142,3596.079555
137.053946,7142,3645.674656
-831.666292,7142,3695.080482
208.678742,7142,3744.239956
380.084639,7142,3793.78093
-1280.427802,7142,3845.223985
-448.948676,7142,3895.004982
153.389472,7142,3946.050794
-252.313114,7142,3995.812981
-1634.25448,7142,4044.547526
-402.677032,7142,4094.383722
-336.14401,7142,4145.416431
-802.371302,7142,4196.342341
-174.95638,7142,4244.477536
-469.183161,7142,4295.57337
-1469.544707,7142,4346.397563
120.170263,7142,4394.454114
-2070.20023,7142,4445.527316
-1480.709344,7142,4497.553525
-543.733289,7142,4547.284298
-236.201387,7142,4595.138094
148.771568,7142,4645.000659
-32.014588,7142,4694.282663
-523.943902,7142,4742.270337
-866.287387,7142,4791.877194
-993.874863,7142,4843.085111
-1153.97499,7142,4895.323593
-210.251489,7142,4942.513042
-1036.239458,7142,4993.861363
-3215.06594,7142,5045.770419
-1272.096287,7142,5095.82258
-443.223033,7142,5147.209677
-2812.719837,7142,5199.435759
-1536.076934,7142,5249.853117
-1745.570436,7142,5297.664754
-1469.233806,7142,5349.561415
-1013.616772,7142,5399.567275
-1462.474849,7142,5449.640394
-322.048904,7142,5499.933338
-204.860844,7142,5551.182612
-825.30085,7142,5603.489569
-2064.892184,7142,5654.282413
-560.146376,7142,5705.645564
-451.418477,7142,5756.49109
-650.801822,7142,5805.646922
-1297.388351,7142,5856.663524
-2687.837855,7142,5909.456427
-1164.840313,7142,5961.332889
-1149.384053,7142,6010.322545
-5020.156541,7142,6063.02278
-1463.015669,7142,6114.715297
-902.416695,7142,6164.637356
-1257.570973,7142,6217.114868
-2037.647422,7142,6268.442118
-661.973174,7142,6320.730233
-675.308121,7142,6369.573757
-1089.879735,7142,6421.173787
-809.848123,7142,6473.329819
-1869.298046,7142,6523.063511
-929.810884,7142,6575.336357
-1365.293903,7142,6626.664829
-1733.094134,7142,6679.547306
-553.607418,7142,6729.410165
-1346.258916,7142,6780.578986
-609.74075,7142,6833.403147
-732.59538,7142,6883.408345
-1512.85722,7142,6935.140296
-29.683616,7142,6987.736728
57.020123,7142,7039.465118
-980.383643,7142,7089.259914
-2253.37775,7142,7141.058671
-1540.032536,7142,7195.015727
-1500.421229,7142,7245.507844
-366.803338,7142,7299.976476
-745.891573,7142,7353.098634
-1105.863102,7142,7406.293655
-2655.222158,7142,7457.459961
-1948.677224,7142,7509.996582
-2421.42928,7142,7563.949347
-2322.624022,7142,7613.755259
-2120.232019,7142,7668.900761
-533.846414,7142,7721.828709
-3373.773152,7142,7775.943475
-2300.951192,7142,7826.899221
-700.384135,7142,7880.793555
-2881.752719,7142,7934.573135
-437.689316,7142,7984.324824
-733.733968,7142,8038.073869
-620.06822,7142,8091.608815
-739.464039,7142,8144.647454
-959.59681,7142,8195.610406
-2157.660092,7142,8249.649856
-1051.060354,7142,8302.67811
-1189.265674,7142,8352.095938
-1400.763511,7142,8406.88
-1983.295571,7142,8463.224429
-953.253183,7142,8517.320369
-1574.057363,7142,8567.349124
358.101436,7142,8621.142531
-840.504512,7142,8675.624329
-878.07025,7142,8725.370727
-839.55447,7142,8778.876872
-718.112186,7142,8832.445009
-434.361802,7142,8885.640724
-1956.29179,7142,8936.045892
-1901.489483,7142,8989.172387
