#{"t_start": 1593945368.2254436, "env_id": null}
r,l,t
-2385.80406,7142,26.092578
-2748.349934,7142,49.558139
-2583.861399,7142,73.109402
-2797.820831,7142,96.463319
-2199.148048,7142,119.62056
-2149.673053,7142,143.238829
-4662.426587,7142,167.36513
-4837.151288,7142,191.560491
-2789.740239,7142,215.743959
-2346.859903,7142,238.950387
-2491.179204,7142,262.803177
-2793.189439,7142,288.014044
-2297.962941,7142,312.49645
-2346.845548,7142,335.315614
-1171.723606,7142,358.168889
-847.639199,7142,382.54362
-2646.611088,7142,407.09371
-2498.541536,7142,430.831327
-1204.440476,7142,454.005731
-541.181578,7142,477.182973
-1421.351641,7142,499.88055
-2811.965155,7142,523.870094
-1623.913264,7142,549.189885
-3010.59999,7142,573.422745
-1667.758991,7142,597.09162
-2450.099944,7142,619.915622
-1602.942263,7142,643.416105
-2053.763174,7142,667.552564
-1848.036627,7142,690.854032
-1614.128632,7142,714.108266
-870.307611,7142,737.340564
-2652.370427,7142,760.949571
-1817.090861,7142,784.122289
-1397.162267,7142,808.374372
-1276.211432,7142,831.259783
-694.326995,7142,853.723838
-2103.327182,7142,876.17417
-2789.814747,7142,899.85942
-423.96128,7142,922.958337
-1274.493499,7142,946.305948
-2056.192791,7142,970.800927
-1253.2315,7142,994.117803
-2203.960567,7142,1017.54991
-629.567237,7142,1042.050686
-138.895969,7142,1064.90981
-1283.980233,7142,1088.583078
-846.792985,7142,1113.176412
-839.251567,7142,1136.158581
-1700.442995,7142,1161.338061
-1310.462181,7142,1184.496114
-2285.534969,7142,1209.442434
-672.747499,7142,1232.571457
-1013.381494,7142,1256.615908
-1307.858812,7142,1280.294019
-1241.244819,7142,1303.079551
-2478.019309,7142,1328.299162
-1010.195188,7142,1352.631178
-1016.580206,7142,1374.730613
-1386.071078,7142,1397.568897
162.360879,7142,1421.570016
-1105.604302,7142,1444.106462
-1074.450614,7142,1466.190351
-794.16618,7142,1489.274124
688.430715,7142,1513.808061
225.19418,7142,1538.161888
-1467.782145,7142,1560.811502
-865.602783,7142,1584.760781
-872.765332,7142,1607.075261
-57.692409,7142,1631.402457
-1241.761451,7142,1654.309211
-759.882424,7142,1678.290966
-680.188695,7142,1700.731667
-1516.102822,7142,1722.964758
-708.684269,7142,1745.831195
-59.203855,7142,1767.678587
-893.67604,7142,1791.268388
-1023.992541,7142,1814.681408
-1027.40413,7142,1839.990144
-971.518625,7142,1862.062425
-990.841358,7142,1884.688149
-46.808621,7142,1907.50206
-726.839591,7142,1931.283211
457.154411,7142,1953.817194
-1204.015785,7142,1975.84098
-320.742164,7142,2000.025119
-894.21628,7142,2022.936913
-675.427012,7142,2046.139283
-583.789269,7142,2068.900218
-1107.028378,7142,2092.694204
-323.588966,7142,2115.571646
-1910.980143,7142,2139.467117
-751.419222,7142,2163.223643
-650.84649,7142,2186.664792
-1027.241245,7142,2210.012346
-971.935061,7142,2232.450863
-314.933146,7142,2254.815361
-880.931614,7142,2277.872052
-525.055194,7142,2301.103518
-872.825615,7142,2325.898479
758.7224,7142,2348.339748
-2028.292679,7142,2371.678829
-1665.796603,7142,2394.179538
-634.380282,7142,2416.070084
-457.780052,7142,2439.055471
-767.133719,7142,2461.975181
-1933.043545,7142,2486.037231
-838.694232,7142,2509.68001
-594.130527,7142,2532.200879
-1019.391419,7142,2555.135051
246.059865,7142,2577.193936
-383.095018,7142,2599.21852
-729.159437,7142,2621.852948
142.948492,7142,2644.646647
-1332.42244,7142,2668.033776
-1080.178384,7142,2690.381636
-932.65847,7142,2713.628397
-1500.923344,7142,2738.774431
-1139.483192,7142,2761.538656
-602.453378,7142,2784.189121
-625.62418,7142,2808.754668
-711.298279,7142,2832.043024
-893.900396,7142,2854.434456
-427.934658,7142,2877.396317
-290.27301,7142,2900.341555
-711.107416,7142,2923.820305
-478.778142,7142,2947.225944
-606.761838,7142,2970.044402
-350.387512,7142,2992.32591
-525.180419,7142,3014.599596
-751.50992,7142,3038.742357
-217.804557,7142,3061.412598
-575.009329,7142,3084.52417
-745.189619,7142,3106.893332
-642.080806,7142,3129.883627
-293.111804,7142,3152.93328
-738.616367,7142,3177.007925
-591.503171,7142,3200.04116
-880.40908,7142,3223.240535
-810.088191,7142,3248.019602
-609.612429,7142,3270.420513
-76.952667,7142,3293.609349
-607.405448,7142,3315.966248
-18.027703,7142,3339.026946
-1668.605407,7142,3363.12605
1125.573186,7142,3386.600713
-356.41847,7142,3408.776736
14.71004,7142,3431.005305
-1499.518752,7142,3453.984968
-1926.168935,7142,3477.590252
-1327.70557,7142,3500.089397
-11.891412,7142,3522.506752
-523.21151,7142,3544.870658
-360.36075,7142,3567.982022
-727.839545,7142,3590.667841
-67.142346,7142,3614.782714
805.02205,7142,3637.567754
113.054792,7142,3660.226709
-1170.056227,7142,3683.647521
-467.386616,7142,3706.778634
-408.279265,7142,3731.806132
-1120.158258,7142,3754.339036
-508.869195,7142,3776.524958
-220.484912,7142,3798.942595
-1496.836715,7142,3822.122153
-37.669288,7142,3844.802356
-728.57397,7142,3867.436562
-270.270292,7142,3889.64789
-680.852536,7142,3912.274663
-322.428237,7142,3934.496153
-222.122174,7142,3957.859624
-881.470735,7142,3980.419892
-685.345086,7142,4003.694495
-72.805053,7142,4026.05544
-108.454304,7142,4050.175772
-810.952862,7142,4072.955224
-656.383416,7142,4096.393212
-940.502118,7142,4119.347319
-490.112911,7142,4140.725852
-547.567777,7142,4162.94397
-490.070252,7142,4185.606125
-424.567749,7142,4208.188955
-771.801564,7142,4230.447678
-718.295977,7142,4252.761696
1039.996984,7142,4274.00601
-214.248112,7142,4296.3171
-829.977244,7142,4320.140431
-605.24108,7142,4343.180659
111.322164,7142,4366.743446
-247.346535,7142,4388.860321
-1537.100862,7142,4411.048385
-302.029057,7142,4434.907027
-145.933138,7142,4457.462241
-457.400757,7142,4480.990797
-813.579491,7142,4503.881466
-424.85317,7142,4526.995084
-16.452366,7142,4549.814655
180.575548,7142,4573.823546
-542.226889,7142,4595.850687
108.404116,7142,4618.462652
-741.135846,7142,4641.31663
-1381.323869,7142,4665.170275
418.954153,7142,4688.31854
-1375.551825,7142,4711.157339
-1769.91281,7142,4734.576015
-691.483703,7142,4757.934951
-552.254807,7142,4780.611928
-997.068852,7142,4804.010357
-494.724946,7142,4826.17222
-692.366125,7142,4848.923502
-1042.326929,7142,4871.612482
-857.892595,7142,4893.916727
-1385.617993,7142,4917.333721
172.060331,7142,4939.575186
-86.372411,7142,4962.736809
-504.187431,7142,4984.987682
-133.514517,7142,5007.7464
-722.406873,7142,5030.838319
-547.672358,7142,5055.201198
-1511.44678,7142,5079.424046
-982.233177,7142,5102.796278
-151.368471,7142,5125.104661
-1573.824723,7142,5148.327025
-789.023599,7142,5171.426221
-993.50331,7142,5193.68328
-144.090778,7142,5216.178903
-695.670982,7142,5238.692457
-156.599197,7142,5260.158765
-457.090022,7142,5283.501626
-679.519165,7142,5306.10421
-843.783604,7142,5330.935741
-1738.859289,7142,5354.944944
-398.62393,7142,5377.998101
-1005.935083,7142,5402.192991
650.272312,7142,5424.240951
-131.820202,7142,5448.609678
-654.039151,7142,5471.39635
-1012.13232,7142,5494.382991
111.474093,7142,5516.456026
54.421048,7142,5539.737521
733.143287,7142,5562.59576
-821.161939,7142,5586.140113
-775.450373,7142,5609.606711
80.300919,7142,5632.199206
-1127.710589,7142,5656.114416
-737.493087,7142,5680.248798
-1159.099363,7142,5703.679186
-243.154591,7142,5726.894922
-1957.461183,7142,5749.335007
-1174.463673,7142,5773.554255
732.352976,7142,5795.947817
-1560.35729,7142,5819.255234
-559.583044,7142,5841.526061
-333.453972,7142,5864.09185
-2297.829958,7142,5888.228431
-493.295581,7142,5910.586527
-503.57866,7142,5933.76039
-1348.122976,7142,5956.599872
433.867817,7142,5978.578508
-186.154458,7142,6000.006332
-1167.476432,7142,6023.222191
-276.945812,7142,6045.84636
-856.989514,7142,6068.027047
-758.751133,7142,6091.177805
-512.417381,7142,6113.462634
-1859.307837,7142,6137.12555
-1360.406914,7142,6159.131828
-521.312969,7142,6181.961803
