#{"t_start": 1595341757.635926, "env_id": null}
r,l,t
-2802.327401,7142,89.794104
-4226.128347,7142,174.729068
-7091.96834,7142,259.710172
-5688.982775,7142,351.057162
-2873.358448,7142,440.105033
-1025.613182,7142,527.81388
-816.255174,7142,619.816897
-1255.777952,7142,711.270828
-2012.09336,7142,803.259035
-1616.457298,7142,895.039882
-725.011857,7142,985.134375
-1244.997277,7142,1075.65671
-2127.174857,7142,1172.511033
-1153.121699,7142,1264.733007
-1790.776363,7142,1352.626862
-1352.100034,7142,1441.601313
-1232.409626,7142,1537.091514
-632.885457,7142,1625.246652
-766.798491,7142,1714.204118
-523.544827,7142,1802.570594
-509.079238,7142,1887.256131
-986.975601,7142,1972.176011
-346.874933,7142,2058.092473
-208.759526,7142,2150.669129
-1354.749912,7142,2244.237951
-714.498025,7142,2330.474474
-69.587324,7142,2416.414081
-730.988389,7142,2502.433822
-618.311529,7142,2588.361237
-754.649022,7142,2675.442719
-657.498621,7142,2760.290994
135.156057,7142,2843.731992
-431.597821,7142,2929.571046
-467.637639,7142,3016.261646
-1041.265767,7142,3111.235439
-393.651464,7142,3197.76868
53.835109,7142,3281.192211
930.175665,7142,3369.616294
-168.465927,7142,3459.268742
2239.684349,7142,3546.541331
8.63797,7142,3630.908734
139.538331,7142,3718.685931
544.794866,7142,3803.896765
1134.436144,7142,3896.462328
1726.654696,7142,3986.135881
1221.765975,7142,4073.184254
-663.510208,7142,4163.329135
786.393994,7142,4249.053429
-990.476361,7142,4336.752099
1262.935705,7142,4421.193933
1420.171126,7142,4506.65729
52.188773,7142,4594.091982
3440.751363,7142,4680.457116
1528.597881,7142,4765.432062
3791.128888,7142,4848.998932
714.994612,7142,4935.635824
-321.037796,7142,5024.580506
2930.341735,7142,5108.954877
5759.327616,7142,5193.620652
-523.246871,7142,5286.151571
1424.568401,7142,5377.539896
248.279427,7142,5464.964208
3745.192276,7142,5556.121337
5637.56371,7142,5644.208094
3682.359672,7142,5730.481076
-109.971728,7142,5818.897222
5308.51598,7142,5906.598804
6157.883237,7142,5991.572557
2673.586219,7142,6076.807292
1522.638486,7142,6162.292107
2423.216437,7142,6248.457092
4177.61204,7142,6332.542502
5023.583128,7142,6417.778512
5208.742473,7142,6507.214144
2826.965395,7142,6592.120716
648.427589,7142,6678.307468
3881.263318,7142,6761.271837
1230.765732,7142,6842.717811
4266.993558,7142,6924.379136
-571.213676,7142,7006.992349
4799.280447,7142,7119.781417
4481.117405,7142,7245.783429
2744.412334,7142,7374.917284
3389.179841,7142,7503.159193
2082.089902,7142,7630.005899
3895.221427,7142,7751.769622
4010.063308,7142,7873.709248
5095.376924,7142,7997.964464
3060.076401,7142,8125.257488
-732.942972,7142,8257.147604
1416.274036,7142,8382.098788
4929.935344,7142,8502.121884
5529.042466,7142,8623.422153
3517.509309,7142,8744.834335
-2654.14225,7142,8870.935906
4979.638073,7142,8992.762987
6782.818631,7142,9114.954254
6689.56737,7142,9234.778777
407.142208,7142,9354.942089
6397.604928,7142,9473.513934
6561.260039,7142,9596.757982
3992.416062,7142,9723.159559
1396.945031,7142,9823.634156
6289.15619,7142,9911.541851
8441.987648,7142,9999.272745
1934.166531,7142,10086.364539
6023.751546,7142,10172.87129
5898.579633,7142,10259.220631
8354.3864,7142,10351.13084
6674.586538,7142,10474.245852
-109.370288,7142,10604.209917
7498.492175,7142,10736.069552
5856.807598,7142,10856.175418
6523.517192,7142,10974.72606
-450.183302,7142,11098.612539
3575.436581,7142,11221.766844
3144.486118,7142,11346.271007
9440.752285,7142,11471.738806
5713.93404,7142,11601.94435
155.088859,7142,11727.89452
7686.439872,7142,11840.883948
4408.613265,7142,11924.304453
6513.456797,7142,12008.2873
3311.144937,7142,12095.565525
1916.097084,7142,12181.612381
5337.865024,7142,12265.580561
6940.847628,7142,12351.073658
1397.054166,7142,12439.384142
8670.379513,7142,12528.978757
5614.056639,7142,12613.490861
8934.304312,7142,12698.335237
6592.416125,7142,12785.606976
5734.718538,7142,12874.979354
7576.562612,7142,12960.08207
8879.714259,7142,13046.116359
5254.328444,7142,13131.801082
4225.681928,7142,13216.87536
9076.766503,7142,13303.143144
9141.414925,7142,13391.162094
5252.517747,7142,13480.827365
6616.635358,7142,13564.56048
2886.169081,7142,13651.744154
5511.162958,7142,13740.82828
3312.619355,7142,13833.48553
8507.586635,7142,13921.442417
5229.97646,7142,14010.916151
3567.5073,7142,14101.431417
4507.86155,7142,14192.292733
8451.010691,7142,14284.141508
5026.89937,7142,14373.898891
2778.475819,7142,14464.956253
4523.086976,7142,14557.081607
7260.154977,7142,14646.798009
3941.613407,7142,14736.511768
6595.408067,7142,14824.782473
