#{"t_start": 1596047020.2065606, "env_id": null}
r,l,t
-2898.203711,7142,58.709536
-3791.21733,7142,116.637411
-5199.874281,7142,178.439996
-4748.813425,7142,240.297807
-3130.909174,7142,303.106084
-2283.884528,7142,365.250077
-2839.672234,7142,427.21677
-2024.595894,7142,489.23267
-1492.424884,7142,551.985559
-1609.996714,7142,614.401219
-2406.07935,7142,677.914251
-1373.36097,7142,740.401921
-2608.262724,7142,803.97121
-1166.5742,7142,866.188053
-1257.811171,7142,928.604771
-879.713449,7142,991.077712
-1406.259524,7142,1053.422691
-920.236151,7142,1115.599044
-1763.980162,7142,1179.25841
-1556.184053,7142,1242.020337
-1406.480786,7142,1304.727201
14.941635,7142,1367.297667
-846.313459,7142,1430.063977
-1042.473683,7142,1492.661446
-565.273002,7142,1555.50826
-567.02662,7142,1618.839813
-671.426628,7142,1681.69941
-342.85017,7142,1744.101538
-1495.830999,7142,1806.646389
-487.442872,7142,1869.259316
-1003.195959,7142,1933.017874
-959.497931,7142,1995.591672
-1898.602476,7142,2059.180907
-289.252404,7142,2122.233615
-2984.816816,7142,2186.812884
-149.135797,7142,2249.456129
-214.675643,7142,2311.845532
15.860094,7142,2375.6908
1311.869031,7142,2440.0657
-145.703283,7142,2502.725155
-507.338406,7142,2565.445052
-2193.705965,7142,2629.237409
825.177755,7142,2691.976869
-142.880876,7142,2755.697862
526.166115,7142,2818.738402
-124.984544,7142,2881.286573
-896.796226,7142,2946.716285
986.902681,7142,3009.670774
-638.175676,7142,3073.982583
-962.69329,7142,3136.594362
1579.727456,7142,3199.660409
286.022434,7142,3264.895431
2883.23243,7142,3327.895567
1192.513777,7142,3390.851126
2236.124231,7142,3453.67714
-85.297779,7142,3518.001817
1250.818,7142,3581.882034
2754.039494,7142,3644.694927
3001.346817,7142,3707.627262
-66.00389,7142,3771.541127
2226.385547,7142,3834.770172
-296.520137,7142,3897.68419
1986.711012,7142,3960.848804
3973.028757,7142,4024.227487
-65.131235,7142,4086.905143
-983.26345,7142,4151.853531
1123.700221,7142,4214.729041
2845.44448,7142,4277.566658
3006.468913,7142,4340.391821
1128.519076,7142,4403.398103
1933.683144,7142,4466.453713
2811.191707,7142,4529.090293
4555.758697,7142,4592.310714
3862.402517,7142,4655.140398
1250.05244,7142,4718.226432
-1269.146972,7142,4782.768392
2696.864699,7142,4846.1833
2512.202947,7142,4911.128764
5094.543968,7142,4974.419962
-467.92566,7142,5039.131254
3603.540452,7142,5102.182378
3693.20729,7142,5165.287385
1159.628135,7142,5228.798174
3900.378899,7142,5292.313123
215.906399,7142,5357.204707
4324.935378,7142,5420.733302
4833.88228,7142,5485.58489
2072.588729,7142,5550.161733
2040.701885,7142,5614.543138
-938.8543,7142,5680.255005
830.699752,7142,5744.155996
6289.284717,7142,5808.612235
4621.887867,7142,5872.579835
3084.707915,7142,5937.108964
-430.85993,7142,6003.509867
4295.881114,7142,6068.415004
4099.712877,7142,6134.396678
6805.550793,7142,6201.073198
-918.648094,7142,6267.989672
790.293355,7142,6332.372375
5703.784897,7142,6398.125316
1895.413431,7142,6462.597805
-945.795518,7142,6528.127223
6075.722815,7142,6592.756361
2941.027828,7142,6657.359037
2115.782737,7142,6722.966331
3584.861574,7142,6787.040651
1248.786618,7142,6851.276252
4752.700239,7142,6915.680328
5074.745344,7142,6979.901695
-1778.46196,7142,7046.286223
6887.634614,7142,7111.153395
599.540078,7142,7176.652298
8244.988562,7142,7241.961447
-1396.165447,7142,7308.554049
2092.407995,7142,7374.970347
2838.543013,7142,7440.696206
6381.748716,7142,7506.334561
7256.127395,7142,7572.032758
509.889662,7142,7638.82006
3059.011776,7142,7704.932558
4596.698069,7142,7770.178673
7315.325633,7142,7835.452759
3986.819782,7142,7901.315435
2813.758824,7142,7968.748008
5420.760991,7142,8034.871886
3010.756421,7142,8100.579807
917.590825,7142,8168.097665
2836.302192,7142,8233.615128
4148.580471,7142,8299.046392
8877.772022,7142,8364.829186
3433.71528,7142,8430.278722
5038.245951,7142,8496.905724
7370.131278,7142,8562.927914
-1247.17516,7142,8628.741717
3646.164465,7142,8694.787227
2140.376314,7142,8760.458174
5890.706616,7142,8826.036365
5441.236193,7142,8891.272126
2803.218598,7142,8957.413202
9147.437072,7142,9022.621003
3925.651887,7142,9087.138499
2075.35806,7142,9152.923165
2898.2225,7142,9220.220685
7776.907389,7142,9285.296149
6067.74359,7142,9351.375406
4720.39168,7142,9416.424016
7732.346679,7142,9481.830115
10652.317333,7142,9547.955919
7730.08377,7142,9613.006871
1495.188334,7142,9678.843888
5208.53011,7142,9744.018055
9825.377287,7142,9808.623129
1839.843203,7142,9874.293865
7884.293473,7142,9939.252992
-1153.351457,7142,10005.576329
838.107034,7142,10071.450596
2754.458747,7142,10137.570711
5328.904838,7142,10203.756314
4384.134214,7142,10268.816256
7374.382547,7142,10333.782083
9051.291752,7142,10398.869645
-439.392186,7142,10466.040375
10069.981949,7142,10530.584139
5344.277248,7142,10596.487434
6800.637232,7142,10661.050366
4693.973547,7142,10726.719022
5379.769781,7142,10792.19007
7480.876536,7142,10858.147992
10402.954021,7142,10922.824472
2775.078508,7142,10989.435243
3921.924958,7142,11054.093328
3850.446973,7142,11118.376737
6834.075115,7142,11183.45089
6949.263659,7142,11248.1761
5846.362459,7142,11313.766124
7518.731355,7142,11378.352955
8785.647087,7142,11443.063979
619.167852,7142,11509.933683
7621.163957,7142,11574.98792
7748.110721,7142,11639.464409
8320.933975,7142,11705.463586
10265.077127,7142,11770.80781
-775.615029,7142,11836.903138
4160.207799,7142,11901.423604
7555.558099,7142,11966.427392
-143.10301,7142,12033.550864
6486.329006,7142,12098.840025
7355.602048,7142,12165.345769
7615.021026,7142,12230.377614
8041.755691,7142,12296.446198
8233.077933,7142,12361.517528
7722.904005,7142,12426.8029
9135.494594,7142,12491.725159
8590.528677,7142,12556.720156
5859.708061,7142,12621.437864
908.9742,7142,12687.292217
6013.463969,7142,12752.265948
8739.97388,7142,12817.37779
7683.775742,7142,12883.869012
-576.109021,7142,12950.259063
-844.863548,7142,13016.583468
10193.882363,7142,13082.435071
7383.519461,7142,13152.056013
10399.993414,7142,13217.151176
5726.459366,7142,13285.969463
5269.112881,7142,13355.523748
1294.037209,7142,13423.270964
9155.269994,7142,13489.769997
11127.142838,7142,13554.970894
7795.441855,7142,13633.116076
4172.645361,7142,13709.226328
5599.864921,7142,13789.470231
5850.615348,7142,13867.706273
6901.091793,7142,13945.956342
5565.109063,7142,14023.437989
7081.100422,7142,14104.024668
10447.217279,7142,14182.557602
8901.275762,7142,14260.559314
4230.138557,7142,14339.067922
6221.827482,7142,14419.01377
5861.280453,7142,14488.445874
11692.813671,7142,14553.899721
9059.659444,7142,14620.841357
11186.955759,7142,14686.50632
9973.652124,7142,14752.722368
8863.259713,7142,14818.333728
8327.657361,7142,14884.739489
-305.934287,7142,14951.528219
9185.576555,7142,15016.804299
8298.125887,7142,15082.338293
8049.956506,7142,15148.583831
9731.557634,7142,15213.360695
8298.532714,7142,15278.552212
8969.234789,7142,15344.007615
3219.67564,7142,15410.381042
8301.997713,7142,15475.437429
2352.042419,7142,15542.346809
10681.331002,7142,15607.512625
8035.943888,7142,15672.345163
11417.667945,7142,15737.39801
608.062751,7142,15804.548989
11255.610545,7142,15870.835732
9003.259929,7142,15936.168454
11188.601867,7142,16001.592113
9755.176153,7142,16066.890275
11795.963947,7142,16132.177977
11939.887607,7142,16197.09588
4621.637969,7142,16263.297205
9174.958946,7142,16328.855794
10687.316882,7142,16394.433845
10056.150628,7142,16459.992949
8863.99366,7142,16525.85036
7963.212439,7142,16590.900062
2607.473911,7142,16657.871727
8706.488072,7142,16723.535267
9614.709437,7142,16789.144531
5042.990175,7142,16855.840005
9908.659516,7142,16921.482981
6025.580416,7142,16986.947163
5824.627058,7142,17053.757447
4663.578322,7142,17120.369372
8373.942425,7142,17185.918944
10778.722117,7142,17251.422138
6693.680597,7142,17318.19937
7891.288115,7142,17383.838465
3013.200397,7142,17450.377423
10131.102303,7142,17515.77432
8451.224973,7142,17581.171034
11289.559032,7142,17646.550631
8793.271796,7142,17711.699299
7883.652202,7142,17776.623351
8610.981853,7142,17842.52374
8968.542005,7142,17908.01908
11115.321214,7142,17973.221239
4345.35479,7142,18039.542918
10452.033115,7142,18104.551302
7057.482592,7142,18170.829844
9459.752567,7142,18236.23429
5994.216648,7142,18302.850349
11129.483188,7142,18368.447404
11549.37322,7142,18433.841573
7231.902856,7142,18500.223694
7100.442283,7142,18566.70421
10727.304965,7142,18633.15501
10449.268599,7142,18698.128879
11001.112215,7142,18763.241617
10395.56809,7142,18828.701448
9362.813215,7142,18893.690869
-98.668539,7142,18960.930804
6307.56113,7142,19027.827322
10215.718208,7142,19093.278841
12342.653039,7142,19158.854168
11061.580957,7142,19223.765846
9798.627421,7142,19289.966262
7073.601908,7142,19356.204952
12853.937308,7142,19421.333191
9305.017254,7142,19486.472408
10334.32656,7142,19551.394159
5784.332123,7142,19618.662207
11365.990806,7142,19683.131483
9158.129196,7142,19747.825243
9248.871954,7142,19812.82793
11809.038287,7142,19877.598538
5703.271572,7142,19943.487589
4347.791234,7142,20009.523548
13562.215421,7142,20076.381261
8512.866247,7142,20142.165525
12808.198663,7142,20206.746568
11159.256716,7142,20271.201432
10362.744149,7142,20335.938841
5158.019906,7142,20400.83931
11139.541041,7142,20465.424126
9578.041372,7142,20531.473985
10697.708253,7142,20596.201308
9168.284204,7142,20662.221882
10317.137112,7142,20727.00562
8330.06279,7142,20791.445039
9881.117145,7142,20856.045659
9594.509464,7142,20920.79373
9861.604688,7142,20985.595275
12510.143365,7142,21049.856299
9468.598353,7142,21113.946341
9206.354186,7142,21178.44565
13121.796287,7142,21242.181696
13088.847616,7142,21306.05278
11567.293237,7142,21370.152901
12339.833996,7142,21434.768253
8045.075856,7142,21500.256906
9987.017217,7142,21565.766192
8951.771273,7142,21630.398587
6717.154357,7142,21696.042139
9822.073791,7142,21760.583674
10206.996946,7142,21824.755454
13558.960534,7142,21890.113532
12458.548559,7142,21954.51366
1609.781213,7142,22020.761622
12789.920816,7142,22084.979624
2711.572845,7142,22151.327918
10719.445638,7142,22215.862669
11442.981059,7142,22280.308637
10169.001376,7142,22346.146088
8678.598432,7142,22410.51192
2127.591665,7142,22475.570922
11102.271895,7142,22540.394723
10422.060159,7142,22605.333829
10326.619173,7142,22669.313889
10335.814416,7142,22733.906452
12080.11676,7142,22797.966404
9606.381858,7142,22862.378117
4118.276473,7142,22928.284315
4757.658284,7142,22994.128596
11139.408908,7142,23057.988863
4228.799374,7142,23123.584173
9858.516192,7142,23187.524818
9979.085555,7142,23251.172557
8943.948561,7142,23317.24891
12462.509966,7142,23381.3052
11367.184748,7142,23445.397869
8905.133668,7142,23509.326596
5627.379756,7142,23574.14566
9614.513196,7142,23638.405876
11625.996557,7142,23703.220237
9952.869202,7142,23768.191202
8961.415634,7142,23832.703665
9619.090446,7142,23898.659797
11155.971283,7142,23963.376493
10771.699889,7142,24028.288963
10119.644095,7142,24093.301837
8057.300841,7142,24158.089678
6285.801192,7142,24223.843902
11591.332181,7142,24288.477855
11962.056247,7142,24355.195023
11071.018268,7142,24421.899895
7272.004482,7142,24486.49138
11477.875915,7142,24551.122492
12756.2423,7142,24615.727928
12091.360693,7142,24680.363562
9101.144734,7142,24746.37701
9949.452642,7142,24811.448958
6612.231463,7142,24877.272085
10393.852128,7142,24941.830583
12289.523286,7142,25006.86933
6790.379788,7142,25073.001527
10188.820757,7142,25138.017985
6526.992381,7142,25203.085054
13150.917604,7142,25268.123055
10941.889302,7142,25333.165733
10052.313656,7142,25397.859084
11959.859406,7142,25462.450776
11398.95506,7142,25527.165812
10817.941153,7142,25591.923607
8836.409395,7142,25656.533015
10877.791246,7142,25720.949965
10573.204092,7142,25786.750648
6587.360211,7142,25852.707699
9834.753924,7142,25918.560893
6392.191395,7142,25984.111059
11838.797236,7142,26048.696364
13099.090563,7142,26113.50418
7704.499952,7142,26177.857606
11569.582407,7142,26242.581918
10280.744463,7142,26307.345096
10305.484098,7142,26371.795205
11930.05123,7142,26437.581672
11136.941304,7142,26502.469493
10550.147412,7142,26567.334284
10443.816049,7142,26632.056269
