#{"t_start": 1595343279.4428172, "env_id": null}
r,l,t
-2056.323481,7142,21.351053
-3175.721567,7142,38.160261
-3569.801626,7142,54.645251
-3051.018804,7142,71.596392
-1974.846765,7142,89.957805
-4230.03479,7142,106.831873
-2806.283569,7142,122.667063
-5710.061485,7142,186.352168
-2392.757874,7142,249.309619
-4176.842986,7142,312.016498
-2827.62739,7142,374.468551
-1573.081593,7142,437.37451
-1503.6164,7142,500.267688
-2305.161392,7142,564.488938
-351.034165,7142,633.691648
-1391.940735,7142,702.682458
-1113.692233,7142,768.0003
-4018.257233,7142,831.342162
-1213.316469,7142,895.098207
-1173.164769,7142,958.925191
-1004.925166,7142,1021.419663
-743.106963,7142,1086.477638
-817.927759,7142,1150.024586
-729.390508,7142,1213.164934
-634.056925,7142,1276.523646
-734.752977,7142,1338.881477
-254.857069,7142,1401.452865
-99.178178,7142,1463.648124
-414.486129,7142,1533.222607
-272.618435,7142,1601.358794
-852.950796,7142,1665.014464
107.456771,7142,1727.506863
-311.677149,7142,1789.651752
275.886825,7142,1853.989181
366.50243,7142,1918.36481
-1358.969154,7142,1983.520174
-939.42388,7142,2047.019326
-91.493785,7142,2109.560964
1336.024289,7142,2173.518887
302.151307,7142,2238.732171
71.591714,7142,2302.677501
573.330505,7142,2368.910065
1294.890733,7142,2436.789184
-1012.281042,7142,2501.140725
665.696717,7142,2563.762682
436.11241,7142,2627.928745
149.668272,7142,2690.811251
-1375.822782,7142,2755.884158
1943.596201,7142,2819.033121
790.044155,7142,2882.487164
1023.134322,7142,2946.076377
1560.463914,7142,3011.602882
1509.808072,7142,3075.962142
464.775505,7142,3140.807971
1370.939731,7142,3206.60844
942.048516,7142,3269.974415
1507.617702,7142,3332.41995
-27.289546,7142,3396.67629
-1013.918514,7142,3462.762567
-421.747633,7142,3528.960805
760.221489,7142,3591.500773
2274.995313,7142,3654.724766
3711.631312,7142,3720.829348
1374.241637,7142,3789.654794
2416.080253,7142,3857.560536
1610.004382,7142,3923.952866
2033.299041,7142,3990.513318
414.191434,7142,4057.348308
2166.372146,7142,4121.816982
604.41348,7142,4185.908921
1105.779619,7142,4251.779543
796.8226,7142,4317.448389
2237.555539,7142,4383.573396
2882.956039,7142,4449.659305
1670.317647,7142,4514.973891
1377.313523,7142,4578.975699
756.204077,7142,4644.022161
2432.139175,7142,4708.266988
997.541154,7142,4772.288948
