#{"t_start": 1596047020.2106252, "env_id": null}
r,l,t
-5410.628114,7142,20.30306
-4486.784863,7142,38.925419
-4036.462428,7142,57.670221
-3428.232257,7142,76.020264
-3391.472991,7142,94.68042
-2730.391938,7142,113.327375
-3549.207871,7142,132.403415
-5732.351692,7142,186.213953
-1079.037708,7142,238.415842
-1785.140168,7142,293.519975
-1269.731419,7142,347.177854
-1870.340203,7142,403.030556
-1262.859267,7142,457.866905
-1592.342748,7142,511.702112
-2359.371878,7142,565.794566
-1754.572553,7142,620.827011
-721.483314,7142,675.091972
-1025.961222,7142,728.772974
-716.590115,7142,782.393677
-2224.609391,7142,837.532011
-1049.449994,7142,891.259837
-272.684629,7142,945.269193
-928.427979,7142,999.441095
-598.138598,7142,1054.397887
-1683.658078,7142,1109.444805
-249.560965,7142,1162.944625
-148.427783,7142,1216.527338
-413.703252,7142,1271.383296
92.790282,7142,1325.130918
-925.594195,7142,1379.843743
130.885364,7142,1433.817631
-510.214556,7142,1487.357691
-1178.260623,7142,1540.923541
-1110.140425,7142,1596.498884
-1109.93688,7142,1651.226194
-59.013398,7142,1704.529964
-581.567032,7142,1759.228716
-318.268578,7142,1812.918265
-668.723367,7142,1867.095171
-59.303076,7142,1922.582244
921.289848,7142,1977.70837
-128.688253,7142,2031.422927
-1819.443848,7142,2085.576408
-7.136207,7142,2139.10728
-1071.779075,7142,2194.441718
682.099919,7142,2248.135305
322.768376,7142,2302.841149
-821.869448,7142,2358.317699
111.985184,7142,2412.527184
-137.252966,7142,2466.486634
884.226202,7142,2520.44852
504.474802,7142,2574.390394
-355.260766,7142,2629.479627
1197.402127,7142,2682.92963
-217.778587,7142,2738.012751
49.621521,7142,2791.35739
-95.304724,7142,2845.913422
-3327.633439,7142,2901.312642
3190.222603,7142,2956.143086
1361.793108,7142,3009.955179
1621.077398,7142,3063.530255
229.934027,7142,3118.706188
-19.1308,7142,3172.489136
667.684607,7142,3228.175782
920.91884,7142,3282.198073
908.980843,7142,3335.891167
1003.509495,7142,3390.221406
1914.742142,7142,3444.180004
-120.154626,7142,3499.349868
2792.478892,7142,3554.453493
2543.564105,7142,3607.816045
1094.110937,7142,3661.939544
1363.400808,7142,3715.700104
2548.300009,7142,3770.405031
