#{"t_start": 1594909618.8770623, "env_id": null}
r,l,t
-2991.174125,7142,31.545603
-3472.367036,7142,60.565541
-2210.247128,7142,88.645033
-3312.539659,7142,118.702276
-3186.292634,7142,146.599228
-3356.319937,7142,174.274559
-4097.229215,7142,202.15522
-2472.827491,7142,228.595147
-3052.710945,7142,255.774804
-3363.585643,7142,282.926219
-1276.66124,7142,311.537378
-3038.763927,7142,338.412121
-2293.357651,7142,365.677062
-2317.945804,7142,392.732714
-2440.957156,7142,421.146932
-5154.50161,7142,449.606706
-3732.796648,7142,477.026339
-2973.380521,7142,514.798542
-3899.789585,7142,543.085518
-1470.997122,7142,569.612765
-1783.702579,7142,596.701783
-2087.742562,7142,623.970685
-990.921479,7142,651.677565
-2229.002435,7142,678.846871
-2063.209107,7142,705.978148
-1834.666046,7142,733.112078
-2263.404393,7142,760.69353
-1595.262678,7142,787.483573
-1679.92567,7142,814.358726
-2027.10637,7142,841.57488
-1582.298542,7142,868.487227
-3849.147547,7142,896.435875
-738.870049,7142,924.412483
-2695.34924,7142,950.902119
-1983.813105,7142,977.778473
-1556.938904,7142,1014.20272
-581.306098,7142,1040.574394
-857.063401,7142,1066.32818
-1286.166215,7142,1091.83017
-847.967608,7142,1118.8839
-1238.709012,7142,1144.156529
-1369.794421,7142,1169.725131
-1225.762044,7142,1194.342638
-1729.908011,7142,1218.966145
-511.556588,7142,1244.134135
-729.820147,7142,1269.292542
-1372.063445,7142,1294.347568
-1223.449977,7142,1320.555916
-1835.938752,7142,1345.816983
-1674.041352,7142,1377.364494
-1109.544375,7142,1412.049202
-1400.667269,7142,1445.697747
-1354.948419,7142,1475.367953
-2400.44617,7142,1512.046185
-633.873646,7142,1537.430391
-305.815741,7142,1562.63029
-419.889474,7142,1587.93018
-413.777531,7142,1612.453743
-380.629102,7142,1636.065863
-939.092252,7142,1660.054102
-332.556218,7142,1684.269257
-472.388774,7142,1707.721447
-305.240437,7142,1731.868163
-767.044005,7142,1755.908598
-612.094859,7142,1779.005555
-616.656386,7142,1803.346776
-171.397792,7142,1827.818121
-590.811119,7142,1851.706672
-787.057713,7142,1875.479937
