#{"t_start": 1595478567.7099626, "env_id": null}
r,l,t
-4332.506464,7142,67.117426
-3067.892603,7142,125.651621
-2089.529715,7142,186.147832
-4886.602872,7142,246.665345
-4227.41854,7142,306.964031
-2865.382274,7142,366.9081
-4616.32867,7142,425.283991
-6866.120918,7142,485.499629
-3583.387517,7142,545.711074
-3055.415898,7142,606.074151
-1569.877467,7142,666.483907
-1388.634505,7142,729.660016
-1804.54374,7142,794.697381
-5500.249794,7142,860.242882
-671.899314,7142,930.327171
-2931.580352,7142,998.696826
-742.509662,7142,1067.497355
-774.697455,7142,1135.105123
-2815.615836,7142,1204.188811
-1436.498725,7142,1274.871826
-2311.227714,7142,1342.256696
-963.507092,7142,1411.581826
-1634.873552,7142,1479.767992
-746.132256,7142,1549.343133
-5086.922281,7142,1619.780965
-1175.750692,7142,1688.271078
-2135.040989,7142,1758.286974
34.744519,7142,1827.517525
-3326.047616,7142,1902.092911
-718.509102,7142,1970.625755
389.871891,7142,2039.25244
-406.126823,7142,2107.494161
105.579655,7142,2175.51058
-1613.281441,7142,2243.792844
-647.90195,7142,2311.868597
-520.82592,7142,2380.84338
59.941229,7142,2450.065266
-63.770329,7142,2518.781701
-735.338359,7142,2588.590042
-467.359383,7142,2657.198773
-157.377723,7142,2726.45521
-442.14443,7142,2794.256338
-1215.302354,7142,2864.11608
-368.484711,7142,2933.251112
-1333.233129,7142,3003.187492
-75.866635,7142,3071.658178
-1412.954096,7142,3142.338691
-1034.259092,7142,3212.190637
-690.432729,7142,3281.057057
-1371.553712,7142,3351.441859
-369.026262,7142,3420.928658
-446.118553,7142,3490.452746
-819.023574,7142,3560.941854
-625.298589,7142,3631.627136
-367.570569,7142,3701.645557
201.056781,7142,3770.705935
-2691.288497,7142,3841.070805
117.525391,7142,3910.825513
-62.426653,7142,3980.717691
-780.874139,7142,4050.8739
-963.980767,7142,4122.292315
-162.369531,7142,4193.414434
-878.888642,7142,4263.331713
-183.805688,7142,4334.28409
-395.598035,7142,4404.817846
-211.425184,7142,4474.109597
-212.947459,7142,4543.0285
-341.617155,7142,4613.224122
177.734294,7142,4683.884494
636.336331,7142,4754.126854
-185.140963,7142,4823.627043
72.324126,7142,4894.650832
-599.046486,7142,4966.408887
-241.42889,7142,5036.661896
-709.253539,7142,5108.246939
-437.128605,7142,5178.560254
228.999093,7142,5248.001179
451.435583,7142,5317.989176
802.107571,7142,5388.882408
144.963527,7142,5461.523637
261.447794,7142,5532.559853
484.038378,7142,5604.131471
-619.319034,7142,5676.211059
88.480884,7142,5744.085365
181.630522,7142,5810.686054
-342.972502,7142,5879.843358
569.61579,7142,5949.428999
-216.4898,7142,6016.654228
252.338985,7142,6087.148895
715.54864,7142,6156.213813
654.737886,7142,6224.313253
699.192272,7142,6292.137554
509.935189,7142,6360.608617
-533.177049,7142,6429.855359
93.41982,7142,6496.961429
11.355434,7142,6564.604872
399.643493,7142,6633.111796
465.049019,7142,6700.62457
70.751485,7142,6769.731307
121.640577,7142,6837.771327
265.195006,7142,6906.456089
-454.18706,7142,6974.441909
444.964871,7142,7043.283834
-702.633643,7142,7112.02343
811.331297,7142,7178.677749
194.030585,7142,7247.027165
1424.323897,7142,7315.78726
1065.21585,7142,7384.510863
848.335772,7142,7451.327927
432.779993,7142,7521.445438
582.287069,7142,7590.72295
551.055167,7142,7659.452487
-3043.970202,7142,7730.816529
546.591412,7142,7799.563426
1196.708678,7142,7868.687727
821.240027,7142,7935.285329
2242.098487,7142,8005.422059
383.635432,7142,8075.882518
951.801127,7142,8143.762008
987.696225,7142,8214.096526
861.277681,7142,8284.082786
989.970103,7142,8353.816369
1928.410042,7142,8420.853619
632.006131,7142,8491.365894
1410.676385,7142,8560.372479
265.917385,7142,8627.570586
1683.017087,7142,8698.293167
-210.934265,7142,8768.353199
1258.170714,7142,8837.997826
894.105785,7142,8905.465129
2404.944649,7142,8974.538286
1469.801272,7142,9044.286433
-448.373167,7142,9112.406878
1929.889669,7142,9183.41548
403.636517,7142,9253.76839
1874.022273,7142,9323.372653
1709.062793,7142,9390.633293
-683.193344,7142,9461.462502
2878.322904,7142,9530.662798
157.048974,7142,9598.206226
1878.740557,7142,9669.326583
2680.629312,7142,9739.478253
2731.962623,7142,9810.497256
1311.36796,7142,9879.953768
3207.389871,7142,9950.15146
2466.094363,7142,10019.669418
-231.445687,7142,10088.747281
877.770366,7142,10160.262297
2875.964628,7142,10230.617047
2951.651572,7142,10301.123105
2655.102539,7142,10370.259419
1901.381151,7142,10440.420797
4360.665052,7142,10511.699669
3523.924766,7142,10579.39464
3628.981377,7142,10649.67474
2435.178624,7142,10720.415388
4181.455018,7142,10791.137493
149.175485,7142,10860.149752
3664.508193,7142,10930.142854
200.620053,7142,11002.911189
3197.11962,7142,11071.888491
5094.67315,7142,11142.3095
5340.009162,7142,11212.830542
2167.124853,7142,11283.467196
4319.427417,7142,11351.046635
831.291015,7142,11424.176859
4544.70238,7142,11495.752408
4007.558609,7142,11564.066947
4336.337184,7142,11636.957932
3154.431529,7142,11708.809883
32.506829,7142,11781.789369
4246.842899,7142,11849.412789
3547.336378,7142,11921.244668
5690.763747,7142,11993.96072
3153.368249,7142,12063.381701
1845.030939,7142,12135.930845
6984.986561,7142,12208.43673
-50.259124,7142,12281.478699
1569.249728,7142,12351.135639
3905.561214,7142,12425.518999
4175.294727,7142,12498.426317
1619.025132,7142,12567.977822
20.180102,7142,12640.638146
731.900528,7142,12714.205281
4050.814166,7142,12786.018254
7198.325682,7142,12854.357846
3115.711343,7142,12924.990826
4648.287943,7142,12995.61646
4806.640664,7142,13063.220561
-105.633623,7142,13135.337539
4856.304518,7142,13209.258868
7616.833252,7142,13280.46507
4049.264091,7142,13347.987522
7227.353122,7142,13419.607092
5480.288272,7142,13491.715784
6300.419577,7142,13560.290227
5528.540116,7142,13632.046128
5412.694867,7142,13703.427187
2786.803259,7142,13780.788572
6634.748029,7142,13848.929384
7217.094909,7142,13920.851597
-5643.929302,7142,13999.138063
3000.421681,7142,14073.743547
4366.838746,7142,14146.151566
2929.853139,7142,14223.242978
1742.421035,7142,14299.440472
6198.055545,7142,14371.131351
4943.731452,7142,14445.962379
5838.393479,7142,14524.460182
6837.678001,7142,14605.950376
-316.926702,7142,14691.537778
4754.830877,7142,14773.097649
7881.401835,7142,14859.236001
4150.822468,7142,14936.09956
6133.518925,7142,15017.849129
5297.569512,7142,15104.103813
6586.799955,7142,15193.659627
305.139923,7142,15286.209451
4055.856553,7142,15395.642529
10611.32174,7142,15491.940407
2680.069839,7142,15576.962565
8419.726464,7142,15668.970665
7635.60569,7142,15756.884861
7706.87848,7142,15832.659029
7543.753921,7142,15917.160167
5488.225361,7142,15998.339055
5265.906077,7142,16082.565632
5269.244021,7142,16165.781766
5370.48729,7142,16253.114041
3558.904995,7142,16338.14998
212.684399,7142,16416.856638
5443.680383,7142,16503.257373
67.624754,7142,16592.469529
5151.529433,7142,16673.795969
6425.582041,7142,16750.364424
8783.183312,7142,16832.514379
1968.213946,7142,16926.010647
6276.973231,7142,17000.480731
3778.371557,7142,17086.259101
6799.265929,7142,17169.266955
4813.105847,7142,17247.499591
6367.250681,7142,17320.782414
6770.929984,7142,17398.888995
2994.933354,7142,17474.392275
3996.233003,7142,17545.333652
4290.21708,7142,17624.001629
6686.113804,7142,17705.386347
8228.083801,7142,17785.082695
6701.435058,7142,17861.923883
-83.068217,7142,17939.047686
5027.54851,7142,18016.054601
4789.59871,7142,18080.248328
1855.705252,7142,18148.897463
9911.580769,7142,18214.621383
2460.124504,7142,18279.533581
7115.136194,7142,18338.118672
1012.546416,7142,18403.145453
6573.975953,7142,18466.722446
3146.40525,7142,18525.560092
3292.29444,7142,18589.260447
6010.41667,7142,18653.144224
6834.736534,7142,18717.204405
3106.63731,7142,18775.721126
6759.423104,7142,18839.412849
3300.017981,7142,18904.151923
-6825.135892,7142,18962.464523
8604.885358,7142,19027.351423
7533.751605,7142,19091.83037
3056.465109,7142,19155.99283
8284.89701,7142,19215.426103
4914.163314,7142,19279.032743
8694.545956,7142,19343.325022
3971.25198,7142,19401.891604
3452.945551,7142,19466.615433
6170.609024,7142,19530.603124
496.841161,7142,19595.386555
10039.154496,7142,19655.220701
-7241.049131,7142,19722.897883
6979.645838,7142,19790.025053
5527.261627,7142,19849.210869
6066.937446,7142,19915.761403
3899.509253,7142,19979.125537
-1063.857909,7142,20044.893365
-512.044663,7142,20107.245014
8565.867162,7142,20172.265854
1750.821489,7142,20238.60843
8775.46401,7142,20298.172621
8338.642535,7142,20362.430949
3946.753154,7142,20427.758887
4678.756052,7142,20492.125726
3128.46586,7142,20551.218985
-962.668012,7142,20617.632485
5193.732918,7142,20682.052964
7528.942162,7142,20743.895751
5795.270139,7142,20807.682559
4497.141576,7142,20884.439792
5966.555002,7142,20953.009474
6919.732486,7142,21013.404028
6584.606153,7142,21084.08128
257.220934,7142,21149.116078
7317.61279,7142,21212.008409
3747.061837,7142,21282.260627
516.054269,7142,21352.224793
5502.700338,7142,21417.982776
2428.085602,7142,21479.778527
3869.356054,7142,21544.397161
2404.70307,7142,21613.415496
6347.101327,7142,21672.755195
6518.464186,7142,21738.503941
8704.422081,7142,21804.64086
