#{"t_start": 1596047020.223221, "env_id": null}
r,l,t
-6809.269415,7142,40.444843
-6657.194711,7142,79.111761
-5023.298184,7142,120.18954
-4131.828604,7142,165.264304
-5708.333609,7142,214.017984
-1505.172167,7142,260.698263
-3977.196026,7142,307.540195
-5154.130624,7142,356.699671
-3090.426478,7142,404.112213
-1810.169389,7142,452.221746
-5302.785,7142,501.400026
-3280.143439,7142,550.09223
-3447.633348,7142,598.546387
-749.59944,7142,645.887932
-1168.958421,7142,694.558883
-694.438504,7142,743.080928
-998.293787,7142,791.452739
-1329.66132,7142,839.659538
-1190.275774,7142,888.860629
-2892.284449,7142,938.606418
-2001.208554,7142,987.371317
-1469.750583,7142,1036.115985
-792.522238,7142,1085.20611
-1753.530218,7142,1135.421987
-1018.096802,7142,1183.685796
-496.538046,7142,1232.39386
-824.915874,7142,1281.467584
-626.821588,7142,1329.855563
-917.512923,7142,1379.573474
-569.420836,7142,1428.996088
-609.696246,7142,1478.101705
-275.509663,7142,1527.290931
-315.042247,7142,1576.300687
-22.28812,7142,1625.493662
-2169.82118,7142,1674.624189
-1032.378829,7142,1725.344915
-85.443216,7142,1774.379489
-504.761756,7142,1823.513947
-384.96446,7142,1872.094123
-1052.791344,7142,1922.127128
-337.299645,7142,1971.440695
-445.019364,7142,2021.264122
-20.748257,7142,2071.453823
-49.933945,7142,2122.281403
-2291.735086,7142,2173.529225
-452.179178,7142,2222.912927
-631.369107,7142,2274.376321
-613.39454,7142,2324.74593
-182.355136,7142,2374.363381
-249.042763,7142,2424.410396
-248.357725,7142,2474.969261
-338.067148,7142,2525.431597
-184.62229,7142,2574.82694
220.471096,7142,2624.380034
617.066855,7142,2675.596659
-2.645196,7142,2725.103896
-91.579136,7142,2777.196437
246.988975,7142,2827.856041
485.233958,7142,2878.122412
1511.472714,7142,2927.871071
208.394736,7142,2978.862681
-403.266795,7142,3031.341296
708.785915,7142,3081.481001
-531.512995,7142,3133.799473
599.296308,7142,3185.485897
707.638406,7142,3236.950318
-254.844568,7142,3287.465515
663.037289,7142,3338.562729
961.30936,7142,3390.026526
-50.250034,7142,3441.347437
-1531.520462,7142,3495.03471
487.271527,7142,3546.346378
585.733067,7142,3598.178073
2037.88045,7142,3648.94591
-1444.638286,7142,3702.187977
1864.453212,7142,3753.556646
-108.08715,7142,3805.314021
1385.387971,7142,3857.191942
2476.854059,7142,3909.072049
-1158.241989,7142,3963.052153
-311.057871,7142,4014.56115
-1288.679837,7142,4067.507486
38.091056,7142,4118.793425
163.398688,7142,4170.087315
1834.933517,7142,4221.892541
999.431494,7142,4273.959256
624.270479,7142,4326.270233
1224.475641,7142,4375.781722
-637.466406,7142,4428.317173
1721.345184,7142,4481.158211
2190.621037,7142,4531.184954
-514.40695,7142,4584.766428
-635.612077,7142,4639.0303
984.281377,7142,4690.793812
2879.704948,7142,4740.772336
1159.393146,7142,4793.281031
756.807653,7142,4845.250811
1603.714905,7142,4895.193337
385.45539,7142,4946.386512
-2.658402,7142,4999.93475
-440.155784,7142,5054.43304
2852.984617,7142,5103.946845
188.52708,7142,5157.875628
-804.123105,7142,5212.666686
2330.362931,7142,5263.748123
324.405578,7142,5317.527467
337.113914,7142,5372.08947
1416.50112,7142,5424.807124
2953.979082,7142,5475.482846
2226.776246,7142,5530.794669
1811.239866,7142,5586.028201
1012.029694,7142,5639.426449
2196.869179,7142,5692.850713
3052.280878,7142,5745.410564
4561.954876,7142,5799.975775
779.37874,7142,5852.58138
5057.07755,7142,5906.421049
3174.593138,7142,5959.853217
3480.453137,7142,6011.107742
1329.88337,7142,6064.723454
1137.291485,7142,6120.070573
2919.502834,7142,6175.664916
3648.922357,7142,6228.037324
908.485113,7142,6283.112012
3264.073359,7142,6337.11463
6274.350787,7142,6387.755952
3471.057326,7142,6443.307056
5280.812237,7142,6497.126071
6457.460572,7142,6552.364919
5482.515933,7142,6603.834004
3083.196852,7142,6659.058461
4218.355473,7142,6713.116127
1127.216389,7142,6765.891481
5034.473136,7142,6819.749165
1628.440629,7142,6873.847871
2647.557121,7142,6929.996326
1280.16397,7142,6981.823454
2391.907826,7142,7036.426546
3810.857635,7142,7091.961308
696.600599,7142,7144.880277
2127.238107,7142,7201.033069
4468.402654,7142,7258.256596
5364.375886,7142,7313.23318
2143.437135,7142,7366.714662
3372.16402,7142,7422.400203
1654.479013,7142,7480.514687
5767.322121,7142,7533.144051
1728.68976,7142,7591.27367
4823.960472,7142,7646.173285
4446.563896,7142,7702.100705
2095.183218,7142,7756.170784
5673.840667,7142,7811.834582
5424.214153,7142,7869.309895
3490.553615,7142,7921.992318
1019.264613,7142,7980.980322
6718.723969,7142,8037.723162
-312.727595,7142,8095.282204
-720.734711,7142,8148.541866
7001.767474,7142,8204.937284
6658.212274,7142,8261.019394
4008.895878,7142,8313.115279
3942.88517,7142,8369.821065
5372.326211,7142,8425.44631
7045.449311,7142,8482.491691
2853.572719,7142,8536.247919
1989.498354,7142,8593.105846
5989.852619,7142,8649.764442
4689.355666,7142,8702.737118
2171.905695,7142,8759.678515
-1510.975937,7142,8818.362234
4384.650043,7142,8874.273622
5502.693874,7142,8925.516865
9257.510456,7142,8980.982083
5828.219275,7142,9036.481515
5476.76834,7142,9087.678606
5416.558931,7142,9143.141742
8682.914506,7142,9198.693628
5540.410859,7142,9254.173899
3863.505824,7142,9307.088297
3805.449147,7142,9362.691879
2424.50135,7142,9418.143265
4774.538314,7142,9470.417814
2421.439579,7142,9526.566845
530.15141,7142,9583.264936
4033.789184,7142,9638.803903
5261.825456,7142,9689.917081
636.53839,7142,9746.226856
8730.177785,7142,9800.587245
3687.78494,7142,9852.115507
-134.8435,7142,9908.416496
2649.304881,7142,9964.980339
6827.857113,7142,10020.070814
9449.863316,7142,10071.349532
-1562.481147,7142,10130.076971
7173.238478,7142,10184.795888
6890.770441,7142,10235.143661
5554.290508,7142,10290.823028
2154.720758,7142,10345.807235
7981.728629,7142,10400.524809
7464.967228,7142,10450.90967
1805.347095,7142,10506.406375
8362.165253,7142,10561.295283
7257.280621,7142,10612.155525
6636.647581,7142,10667.460697
6481.580586,7142,10722.816179
2427.541961,7142,10778.838006
7426.555762,7142,10829.086894
5234.440775,7142,10884.723929
2792.374262,7142,10942.10104
6422.862666,7142,10993.638886
6415.255402,7142,11049.945841
5840.042982,7142,11104.839332
4205.492222,7142,11160.757998
6793.257646,7142,11211.687921
3371.026039,7142,11267.06663
2187.668883,7142,11323.180186
4004.367766,7142,11374.572283
7016.436458,7142,11429.512398
4002.778587,7142,11485.85776
3249.178489,7142,11542.117839
3721.405274,7142,11593.449255
6749.112297,7142,11647.960356
6554.741551,7142,11703.013428
3727.38622,7142,11753.6746
5012.548035,7142,11808.318874
5606.417978,7142,11863.328749
4542.356485,7142,11920.616517
-622.738766,7142,11972.106903
7783.57913,7142,12027.43715
4335.537323,7142,12083.183844
9247.355142,7142,12133.567877
5049.878439,7142,12189.29272
3486.732032,7142,12246.567616
2185.287537,7142,12302.179006
7261.237085,7142,12352.751256
6723.73917,7142,12409.316253
3119.776401,7142,12466.708081
3458.636451,7142,12519.004826
1973.491536,7142,12574.215828
3134.070512,7142,12629.297243
3815.227879,7142,12685.030762
2259.492259,7142,12736.073594
-2711.182631,7142,12792.875419
163.85816,7142,12849.156739
6385.866285,7142,12899.775367
395.28529,7142,12957.899541
4893.771809,7142,13013.62345
5021.484508,7142,13069.614614
-2729.87179,7142,13126.278008
3548.042458,7142,13183.294599
1.026776,7142,13244.08122
472.256793,7142,13299.196554
3421.829122,7142,13358.811047
3763.783966,7142,13416.864638
4421.845714,7142,13473.691447
2948.399359,7142,13525.885808
6018.45648,7142,13589.389472
3102.99627,7142,13657.489958
4159.266814,7142,13719.659704
6157.957215,7142,13789.788222
2837.419748,7142,13860.535619
1956.323586,7142,13929.18482
5457.233233,7142,13991.922223
7021.504768,7142,14062.398313
6509.82558,7142,14133.662473
1683.95616,7142,14198.50599
7617.172212,7142,14269.083843
5804.280347,7142,14338.881482
5347.369111,7142,14408.639487
652.007147,7142,14465.247081
1428.826069,7142,14523.195145
5065.431909,7142,14580.784552
3273.099033,7142,14631.706519
1321.414738,7142,14690.114973
2209.801121,7142,14747.914618
4000.737216,7142,14804.8029
5338.492654,7142,14855.467412
5490.623697,7142,14911.971945
3004.591589,7142,14968.727989
2528.748303,7142,15019.855909
-1017.508504,7142,15077.177166
5327.700373,7142,15134.572564
2028.703367,7142,15190.287157
4184.448009,7142,15241.468174
3575.059731,7142,15298.481327
3589.384064,7142,15355.368674
