#{"t_start": 1594152284.995368, "env_id": null}
r,l,t
-2800.904858,7142,37.397625
-5313.889666,7142,76.551919
-2781.77048,7142,124.45058
-7407.093229,7142,172.650508
-4804.558973,7142,221.321137
-7398.33873,7142,272.675679
-3134.45193,7142,321.040199
-7036.284867,7142,373.956378
-4307.448023,7142,423.834508
-3314.477323,7142,472.116382
-2898.902353,7142,521.461688
-6089.614585,7142,571.875499
-4388.215206,7142,622.168294
-4657.26184,7142,671.519533
-7206.36274,7142,723.304192
-5591.946926,7142,773.733228
-4594.363854,7142,823.252613
-3986.3604,7142,873.73764
-3739.894418,7142,923.49728
-4738.805488,7142,973.884689
-4980.504583,7142,1024.129294
-4063.605306,7142,1075.323099
-2402.014638,7142,1124.963183
-2490.54178,7142,1174.986832
-3423.330114,7142,1224.272337
-4728.301393,7142,1276.265036
-3919.18664,7142,1325.480338
-4397.999123,7142,1377.478155
-2010.046317,7142,1429.594767
-2455.524228,7142,1479.626009
-1507.493707,7142,1529.557013
-3047.079462,7142,1580.343894
-4294.182929,7142,1630.016292
-3778.076668,7142,1678.874018
-3535.272536,7142,1728.969483
-5633.929626,7142,1781.646831
-1723.036171,7142,1832.178379
-2210.252344,7142,1883.433059
-2739.938051,7142,1932.848888
-1704.912557,7142,1983.516506
-2452.322238,7142,2033.867458
-1981.220647,7142,2083.513818
-2595.499206,7142,2136.125123
-3160.471236,7142,2187.269003
-2878.721341,7142,2235.808899
-1335.998885,7142,2285.924105
-2146.442018,7142,2337.63138
-2789.200437,7142,2387.353664
-1244.998559,7142,2438.65412
-2255.198266,7142,2490.901835
-915.340289,7142,2541.98113
-1790.315156,7142,2593.163117
-802.36867,7142,2643.697758
-2869.644125,7142,2694.025606
-1748.385388,7142,2743.653944
-1876.525409,7142,2793.799257
-1431.346599,7142,2847.196223
-952.332166,7142,2897.200411
-789.215092,7142,2947.32723
-698.036105,7142,2996.726156
-663.067909,7142,3046.905623
-1555.007576,7142,3098.17599
-2341.929741,7142,3151.03851
-1708.048318,7142,3203.16823
-1344.471366,7142,3253.954658
-1108.072826,7142,3306.26447
-248.183068,7142,3357.188574
-1838.783866,7142,3407.151337
-425.006888,7142,3458.299169
1737.703916,7142,3510.685714
221.732361,7142,3565.482132
-497.804316,7142,3615.762689
-1518.221019,7142,3667.006677
-849.353847,7142,3717.745707
-431.592753,7142,3768.632379
-128.109794,7142,3819.30085
-2353.694432,7142,3871.103471
-1287.394539,7142,3925.40275
-1568.76878,7142,3975.45099
-416.167445,7142,4026.821806
-684.486935,7142,4077.566995
-636.412315,7142,4127.056091
-206.035389,7142,4180.368417
-1789.813265,7142,4232.497597
-511.374528,7142,4287.000505
-289.618575,7142,4339.951661
-1327.808214,7142,4390.927404
-276.984927,7142,4440.964772
-684.453478,7142,4491.075355
-477.414459,7142,4541.654393
378.461117,7142,4592.359494
-395.24165,7142,4645.801719
-150.673034,7142,4697.619848
-1046.765966,7142,4749.7058
2149.227139,7142,4800.591954
-158.552538,7142,4852.736305
-420.518424,7142,4901.9424
-3600.721963,7142,4955.632876
5.166271,7142,5011.05706
-776.857578,7142,5063.220416
-1044.210992,7142,5114.197354
-178.468387,7142,5167.280475
-503.470419,7142,5218.240717
-891.530456,7142,5268.399683
-474.969273,7142,5322.19184
-344.007576,7142,5374.79008
286.625795,7142,5424.367247
1061.667125,7142,5475.866208
1322.76185,7142,5526.201093
1076.609196,7142,5578.410061
1295.901654,7142,5629.043261
567.573623,7142,5679.551226
624.743135,7142,5736.591116
187.513011,7142,5787.516834
494.125947,7142,5838.773443
1145.957828,7142,5890.02474
710.544659,7142,5940.169808
1728.211064,7142,5989.836769
1571.829879,7142,6039.737623
-290.626741,7142,6094.749227
968.00819,7142,6147.499404
671.999433,7142,6197.947124
944.941959,7142,6251.117986
47.801114,7142,6301.61257
552.158366,7142,6353.081287
1153.748976,7142,6404.003602
-601.186864,7142,6461.523303
1366.490829,7142,6512.006775
1003.189062,7142,6565.064346
1722.309509,7142,6617.408249
1444.841745,7142,6668.552191
99.133921,7142,6719.504324
