#{"t_start": 1593898957.5206459, "env_id": null}
r,l,t
-2845.452597,7142,63.617132
-2000.755239,7142,115.605399
-2987.568909,7142,168.216063
-2032.348092,7142,221.24947
-1671.149736,7142,271.914754
-4245.719057,7142,319.506175
-2945.142647,7142,366.722509
-3373.065457,7142,417.291283
-2599.773543,7142,467.854507
-1620.145598,7142,522.282689
-2075.969026,7142,573.82224
-3699.01982,7142,626.438368
-2020.200397,7142,671.272343
-1441.455884,7142,716.353953
-3268.874499,7142,767.666576
-4794.805331,7142,821.51333
-1467.165315,7142,872.814572
-2680.975062,7142,927.131414
-3964.345869,7142,979.154747
-2878.439054,7142,1027.847052
-2059.010263,7142,1074.316388
-1847.389156,7142,1125.779457
-614.217,7142,1177.090383
-2166.541481,7142,1229.102604
-1971.281357,7142,1278.510127
-1737.326493,7142,1332.982328
-1837.66014,7142,1382.511274
-1576.794836,7142,1426.93572
-789.497728,7142,1479.964829
-1190.450988,7142,1529.996663
-978.366909,7142,1579.584471
-1949.363713,7142,1630.355923
-1654.648398,7142,1680.926856
-1021.030168,7142,1730.6262
-1458.812733,7142,1775.592637
-947.699333,7142,1827.057597
-1569.558552,7142,1877.033215
-1390.226313,7142,1929.293431
-2921.786639,7142,1983.845172
-1238.206582,7142,2034.676782
-1718.682203,7142,2084.105771
-1612.149683,7142,2127.639901
-224.576897,7142,2175.819998
-940.343834,7142,2226.213
-1141.372,7142,2277.309816
-717.346889,7142,2330.115042
-420.918662,7142,2380.963903
-1057.420784,7142,2431.276958
-820.756067,7142,2476.256069
-1076.995287,7142,2523.938846
-1486.862579,7142,2577.535383
-982.968973,7142,2626.036076
-849.870372,7142,2677.04713
-1503.240908,7142,2730.240975
149.655254,7142,2783.915303
-757.459977,7142,2829.71936
-822.778918,7142,2877.60626
-1172.11031,7142,2931.476779
-938.803564,7142,2982.354017
-663.331061,7142,3033.226422
-1565.875108,7142,3084.505864
-1165.678483,7142,3135.496994
-669.796507,7142,3181.854329
-692.43205,7142,3228.983029
-502.262596,7142,3279.506174
-1140.698928,7142,3328.355316
-516.660855,7142,3378.743679
-756.04098,7142,3432.605884
-51.405057,7142,3484.332822
-262.879137,7142,3528.411364
69.292143,7142,3577.252249
-672.174821,7142,3628.805171
-651.891896,7142,3683.070601
-422.290819,7142,3735.531866
-796.766866,7142,3787.692524
13.064466,7142,3840.085115
-592.234529,7142,3887.826661
-587.527937,7142,3935.121859
-496.644704,7142,3989.553123
-728.382669,7142,4039.362518
-566.016065,7142,4095.212801
-1031.416315,7142,4148.075692
191.457236,7142,4198.953695
-820.795719,7142,4244.530535
-545.726232,7142,4291.061024
-1339.943729,7142,4341.390047
-997.974134,7142,4393.391191
247.756509,7142,4444.523808
-219.38229,7142,4495.163562
-535.133168,7142,4546.990981
-763.957399,7142,4594.42829
-326.781282,7142,4640.336111
-1040.214185,7142,4691.794051
-1142.210167,7142,4741.511384
-2206.485348,7142,4792.873009
-679.641821,7142,4843.965429
-805.537153,7142,4897.136538
-880.294385,7142,4944.860461
-152.665052,7142,4990.956735
-1061.323613,7142,5043.315951
-828.889938,7142,5090.917916
-42.156831,7142,5131.989298
-1243.914096,7142,5172.200036
-329.238706,7142,5214.59341
-1443.849672,7142,5255.716317
202.082681,7142,5295.974034
-9.672505,7142,5337.14368
-551.299628,7142,5376.500634
2.326116,7142,5415.385406
-527.209958,7142,5454.193156
549.697225,7142,5494.311114
-661.913249,7142,5531.0915
-2265.053495,7142,5571.286383
-383.120283,7142,5609.7537
-395.527682,7142,5648.908117
294.679097,7142,5688.080889
337.601336,7142,5726.710613
309.422972,7142,5765.225946
-598.746254,7142,5803.45683
755.954565,7142,5841.449842
290.718901,7142,5879.53971
565.782968,7142,5915.941183
-1111.054356,7142,5953.758121
-860.396551,7142,5992.233325
-1131.356831,7142,6031.058402
-459.348413,7142,6067.477046
-1050.29033,7142,6105.010714
278.069219,7142,6144.232424
-1122.611801,7142,6182.196088
14.18524,7142,6221.471347
-1430.25054,7142,6258.407555
-455.169191,7142,6296.855835
-547.528023,7142,6335.509997
-570.763597,7142,6373.807767
-1093.995918,7142,6411.658473
-27.032863,7142,6448.48668
-470.253592,7142,6486.35583
-752.887259,7142,6526.11194
940.531932,7142,6563.49743
-636.022047,7142,6600.343807
651.481156,7142,6638.10131
37.028797,7142,6676.133498
-363.485333,7142,6714.326109
52.81594,7142,6752.8914
103.964562,7142,6789.390018
-214.429079,7142,6828.8592
-278.140724,7142,6866.048546
-2.486188,7142,6903.748255
-578.297322,7142,6941.49396
-629.445465,7142,6979.457156
39.71525,7142,7019.405336
-127.599158,7142,7057.292892
-1604.644193,7142,7096.329967
250.701186,7142,7133.376958
-376.438022,7142,7171.794366
-326.455164,7142,7210.295744
-839.295826,7142,7247.821233
334.114196,7142,7285.758906
-493.195381,7142,7322.130832
-706.71229,7142,7361.968775
-233.603092,7142,7401.076252
-686.128928,7142,7439.539429
45.424481,7142,7479.61058
-495.740487,7142,7516.715914
-532.659588,7142,7554.396586
-659.247762,7142,7592.461768
23.051377,7142,7630.106866
410.656353,7142,7667.626045
285.469896,7142,7707.55367
-1158.121463,7142,7746.712516
-535.281501,7142,7784.574384
520.195196,7142,7822.981671
256.887374,7142,7859.863875
-636.407241,7142,7897.427911
86.795458,7142,7936.035353
-62.926831,7142,7973.838964
168.584808,7142,8013.830803
-79.229215,7142,8050.42419
469.151995,7142,8088.613712
-207.367266,7142,8125.912892
290.302548,7142,8165.7602
-1017.97164,7142,8202.165636
-476.15873,7142,8241.012427
-1456.310871,7142,8280.624587
123.236012,7142,8318.13996
1214.467427,7142,8358.192245
-221.808298,7142,8397.618711
-464.0988,7142,8436.102701
-10.609885,7142,8475.513212
-772.898507,7142,8513.823036
-127.034641,7142,8551.971983
-505.244581,7142,8589.355027
-946.105557,7142,8627.158891
165.342578,7142,8665.121791
1.970374,7142,8702.946505
622.343393,7142,8741.357803
-125.875801,7142,8779.045985
-43.022401,7142,8817.232311
-1806.964666,7142,8857.529605
-550.344149,7142,8895.255969
-878.997443,7142,8932.079853
-590.637766,7142,8970.320731
-799.360271,7142,9009.176144
92.924661,7142,9046.575521
-143.353888,7142,9086.261825
-880.384681,7142,9122.095788
-305.727592,7142,9159.557708
789.913793,7142,9197.093218
-1031.095458,7142,9236.053758
-1849.985406,7142,9274.432563
-802.075563,7142,9311.823563
-445.038998,7142,9350.09918
-204.09528,7142,9388.477105
530.021382,7142,9428.154552
-25.46828,7142,9464.896327
-1647.013798,7142,9504.532421
407.856508,7142,9544.306761
396.738354,7142,9582.056988
4.931031,7142,9620.059477
-139.349253,7142,9656.422304
4.154518,7142,9694.802274
-230.343416,7142,9732.913988
458.649257,7142,9771.960814
198.435511,7142,9808.80262
-722.113993,7142,9847.388014
-198.521218,7142,9885.369416
-566.367784,7142,9922.968214
-382.457681,7142,9960.46932
-600.033367,7142,9997.65772
-563.084943,7142,10036.348751
-223.523692,7142,10075.439437
-84.203275,7142,10114.677407
-694.704975,7142,10153.018303
-239.224082,7142,10191.024552
-798.9608,7142,10229.286001
301.580316,7142,10267.53743
71.28716,7142,10305.146187
-1623.834755,7142,10343.596778
107.649214,7142,10381.656518
-742.041466,7142,10419.635751
340.655457,7142,10457.922834
-420.817129,7142,10495.829152
-41.709021,7142,10533.275213
-642.884405,7142,10572.240177
52.038532,7142,10610.005725
323.878215,7142,10648.139399
-772.160211,7142,10685.962358
-491.533485,7142,10722.84955
348.788198,7142,10762.133222
-2094.696222,7142,10801.579049
600.3654,7142,10839.136656
-194.741994,7142,10876.473223
-2590.067795,7142,10915.911358
-1857.453081,7142,10955.22455
305.129069,7142,10992.915512
-220.263968,7142,11031.283425
-629.510089,7142,11068.20922
400.813543,7142,11106.128666
-108.64574,7142,11143.969268
-1343.46429,7142,11183.129763
-104.561387,7142,11220.668276
-1821.234361,7142,11259.130638
-1176.072161,7142,11297.023133
-572.472778,7142,11334.555041
-758.842168,7142,11373.042126
-418.775163,7142,11408.441531
35.067347,7142,11445.840008
148.75784,7142,11483.697031
-73.470755,7142,11520.305946
-448.827936,7142,11556.593166
152.160582,7142,11592.01844
210.448154,7142,11628.225786
-477.08938,7142,11665.010811
644.291285,7142,11702.587151
163.399871,7142,11739.571137
469.636318,7142,11776.287608
-32.400609,7142,11813.234604
-792.407792,7142,11849.816002
-228.721882,7142,11887.035119
-640.651852,7142,11925.114696
307.579041,7142,11961.413472
1493.257095,7142,11999.654413
513.642723,7142,12036.717819
-260.888557,7142,12073.224782
72.581104,7142,12109.70261
-165.797178,7142,12148.167636
-568.990118,7142,12186.892486
-344.839112,7142,12223.815398
251.315332,7142,12259.508043
-205.05856,7142,12296.925844
-461.977087,7142,12333.808321
-139.766182,7142,12370.745336
-617.250154,7142,12407.522796
982.298089,7142,12443.583804
-312.226235,7142,12482.032208
160.889136,7142,12518.592065
144.50493,7142,12555.142002
-374.562685,7142,12592.259895
1054.445004,7142,12627.307308
-390.744844,7142,12666.228913
-665.659799,7142,12703.333696
297.465667,7142,12739.764002
-149.08831,7142,12775.650188
-1168.940094,7142,12812.700608
-642.974679,7142,12849.655648
549.184143,7142,12886.209037
-78.973625,7142,12921.786454
-758.499496,7142,12959.207031
86.28846,7142,12995.716825
-469.448751,7142,13033.629714
156.855855,7142,13071.026497
631.392332,7142,13109.166709
61.031468,7142,13146.059415
-259.664388,7142,13183.031939
694.139325,7142,13221.374464
1330.863004,7142,13258.27115
43.436945,7142,13295.240253
-805.259261,7142,13330.693974
164.684919,7142,13367.721454
-612.577012,7142,13404.826174
351.288098,7142,13441.321292
-441.676722,7142,13476.740808
-458.158004,7142,13515.255718
-328.076406,7142,13552.019943
1210.915873,7142,13589.85792
-1480.090489,7142,13627.786852
839.570654,7142,13662.751641
-654.228262,7142,13702.045937
313.210306,7142,13738.350157
-65.893135,7142,13776.202288
-892.116045,7142,13813.851493
-1259.920785,7142,13850.002739
-547.773178,7142,13886.29709
-576.903272,7142,13922.878474
608.863794,7142,13959.965276
-951.648258,7142,13996.922467
40.646152,7142,14033.043512
-262.612702,7142,14069.822092
379.436173,7142,14106.86247
-214.040506,7142,14143.104199
-1373.835427,7142,14179.638217
-459.801156,7142,14216.98216
533.991522,7142,14253.718831
516.873808,7142,14291.091689
473.263799,7142,14327.733553
-613.715334,7142,14365.949242
104.653051,7142,14403.046028
485.248443,7142,14440.131938
-82.789236,7142,14476.890186
-653.340805,7142,14513.161851
-757.549193,7142,14549.780701
294.98179,7142,14586.533715
-537.046022,7142,14624.470222
447.290109,7142,14661.311161
