#{"t_start": 1595200590.201558, "env_id": null}
r,l,t
-3019.06121,7142,108.547175
-4817.7207,7142,218.740843
-3227.369967,7142,324.137439
-3145.509295,7142,429.097032
-2117.748897,7142,534.333029
-1412.193684,7142,640.840889
-2752.724144,7142,747.519025
-430.482426,7142,852.01442
-1335.937543,7142,980.132048
-2600.596941,7142,1521.341417
-1508.557264,7142,1627.335613
-1094.742444,7142,1740.074202
-930.585953,7142,1859.43168
-553.727437,7142,1971.262341
-491.43321,7142,2077.555447
-315.535076,7142,2184.754002
-497.913563,7142,2290.904068
-158.204176,7142,2398.472411
-1202.050137,7142,2506.228422
-117.981761,7142,2612.872573
-1553.914499,7142,2721.004181
-1071.991915,7142,2829.145512
-635.772661,7142,2935.958483
251.256868,7142,3042.801251
215.364891,7142,3150.463233
786.817712,7142,3257.219769
969.317297,7142,3364.291178
1240.020201,7142,3471.804249
-664.272928,7142,3578.774408
-180.122131,7142,3690.851115
-666.360587,7142,3805.975348
-177.82573,7142,3917.977464
1304.865142,7142,4028.640891
-375.555662,7142,4140.756773
-241.820454,7142,4265.219486
-177.734024,7142,4408.456481
-241.050441,7142,4522.568683
-483.095869,7142,4634.191494
278.749422,7142,4746.815012
-752.777834,7142,4858.096044
11.368216,7142,4969.231665
1106.217473,7142,5080.095757
3194.430778,7142,5191.454423
935.015664,7142,5302.114437
3663.348375,7142,5412.739042
1033.748809,7142,5523.617639
-5.534353,7142,5635.222572
3282.769534,7142,5744.525014
1210.67093,7142,5856.743305
692.637351,7142,5968.359517
1806.749098,7142,6079.314321
1534.134608,7142,6191.951504
1762.448468,7142,6302.7239
2530.834918,7142,6414.052109
3777.289506,7142,6524.839901
495.389191,7142,6637.194329
5832.339512,7142,6746.532033
1073.791146,7142,6857.056154
1008.065957,7142,6967.097048
8098.152977,7142,7077.629305
2493.96221,7142,7188.464215
754.087857,7142,7300.141261
-966.521937,7142,7412.444458
2770.663355,7142,7522.567613
3197.373709,7142,7632.628775
4345.743617,7142,7743.157985
4656.009733,7142,7853.742795
1440.792135,7142,7963.17892
3035.982192,7142,8074.910606
234.937705,7142,8186.113633
28.204595,7142,8298.447379
1751.584029,7142,8409.213608
3340.306267,7142,8518.815054
2612.525393,7142,8630.306136
5798.155333,7142,8740.877472
4811.636456,7142,8850.517212
2019.00844,7142,8961.207651
1675.136961,7142,9070.048138
-20.997109,7142,9181.11674
3356.517473,7142,9290.610397
5534.44052,7142,9402.274468
5169.89166,7142,9511.168971
148.439835,7142,9621.736685
-3732.442591,7142,9732.698646
1262.166704,7142,9842.952168
2573.972151,7142,9954.08621
2923.258819,7142,10065.188225
5813.18222,7142,10176.528046
-1496.433237,7142,10288.944802
6360.185067,7142,10398.719092
4276.142081,7142,10509.371579
2605.141126,7142,10619.555761
4815.733572,7142,10730.155765
2551.07898,7142,10842.379794
939.228764,7142,10955.499474
6355.798098,7142,11066.248794
5137.760205,7142,11177.692063
6195.639431,7142,11287.92449
3726.757856,7142,11399.497291
-1856.735975,7142,11511.401321
6523.599964,7142,11623.917096
-440.960401,7142,11736.369181
-1624.693159,7142,11848.812946
6412.111696,7142,11959.911875
1611.285728,7142,12071.687585
2492.127904,7142,12183.368829
-524.239969,7142,12296.560218
2293.030977,7142,12407.721458
4997.88031,7142,12520.890186
7249.817162,7142,12633.227758
-661.226759,7142,12747.068555
-1072.897716,7142,12862.518061
-721.906734,7142,12976.591511
1469.942509,7142,13089.596298
3368.404763,7142,13202.627348
5262.399839,7142,13315.286677
-294.767455,7142,13428.493956
6066.79912,7142,13539.205139
1651.417075,7142,13650.136861
4536.41455,7142,13759.852534
1504.993911,7142,13871.878701
1931.507577,7142,13983.495355
6422.36428,7142,14095.812541
4616.315558,7142,14207.633974
5447.604609,7142,14319.992349
6707.791524,7142,14431.095193
5314.727935,7142,14542.168521
973.451951,7142,14654.979084
6440.188552,7142,14766.444097
6353.137441,7142,14877.918972
1584.245085,7142,14990.228068
937.256777,7142,15101.882058
1876.825614,7142,15213.42009
3084.734378,7142,15326.404913
2889.330398,7142,15439.310755
2611.759204,7142,15552.062126
7028.294253,7142,15665.810678
7613.08433,7142,15777.72902
2134.503058,7142,15889.453576
3085.175441,7142,16001.96728
4423.509604,7142,16112.988436
4119.072958,7142,16224.902166
7954.474002,7142,16336.544676
-994.567671,7142,16450.1987
-293.136862,7142,16563.683061
5816.895867,7142,16677.468065
6300.225842,7142,16790.155204
4718.497302,7142,16903.036938
3932.663312,7142,17015.785561
5430.082425,7142,17127.720329
7246.876196,7142,17239.788221
5077.448078,7142,17351.500622
5371.918076,7142,17464.924812
7274.648646,7142,17578.20119
2222.176074,7142,17691.222627
7801.526846,7142,17803.728075
-840.214984,7142,17917.654548
3607.452639,7142,18030.374312
8127.251883,7142,18143.183962
10405.174266,7142,18256.376535
10877.789396,7142,18368.813257
5249.60149,7142,18482.515007
8107.672989,7142,18594.543671
5115.741421,7142,18707.705377
3445.600082,7142,18821.612255
7278.308116,7142,18933.991883
5143.154121,7142,19046.867439
8381.842722,7142,19160.439284
10205.541987,7142,19273.669848
6230.28412,7142,19387.499598
6486.199291,7142,19500.714546
10429.593175,7142,19614.611858
1653.897102,7142,19729.908411
5655.451993,7142,19841.963443
6987.27603,7142,19951.147847
9634.430986,7142,20060.017406
6548.087542,7142,20170.275864
7148.060337,7142,20279.296959
7897.202609,7142,20388.831744
8629.44584,7142,20498.181514
6255.710411,7142,20607.316772
8324.324374,7142,20717.21799
7076.205795,7142,20826.05162
10996.645484,7142,20934.407923
4595.237573,7142,21042.713086
7931.403719,7142,21151.417166
8569.604006,7142,21259.107598
6807.400968,7142,21368.133884
9210.74579,7142,21476.58097
8313.821799,7142,21585.371037
8701.67254,7142,21692.761775
6704.864632,7142,21800.241144
8479.177588,7142,21907.385404
10440.246272,7142,22016.105593
9990.081278,7142,22123.91272
7193.066076,7142,22233.451397
9162.952104,7142,22342.287337
7225.582539,7142,22451.29982
5715.891597,7142,22560.302164
8522.739013,7142,22670.078376
7110.087721,7142,22780.726973
9727.347938,7142,22891.461109
10205.337794,7142,23001.805754
8347.899142,7142,23113.542851
7030.006907,7142,23223.176703
6682.669201,7142,23331.932159
-1364.581315,7142,23441.585937
9307.487717,7142,23550.911661
6027.352745,7142,23659.856401
9662.154909,7142,23767.540297
-10.276521,7142,23876.150938
8054.376107,7142,23984.974362
8518.535186,7142,24093.141891
8255.096718,7142,24201.01186
8090.886992,7142,24308.464868
6459.411605,7142,24417.289086
8054.288499,7142,24526.243357
10684.070789,7142,24636.087289
11799.521202,7142,24745.173234
10351.821495,7142,24855.678572
8855.904083,7142,24963.634334
2553.21843,7142,25073.611211
8654.4886,7142,25182.737698
7081.428266,7142,25292.395991
10270.797975,7142,25399.16835
5757.168717,7142,25506.639864
4964.948893,7142,25612.873651
6490.275654,7142,25717.348068
9297.579646,7142,25823.189688
6790.113828,7142,25927.631909
7542.554571,7142,26031.636889
9397.586482,7142,26136.282987
7365.22655,7142,26241.106563
10185.20453,7142,26343.094436
8118.533894,7142,26445.553499
6556.395926,7142,26548.163908
8954.026545,7142,26652.331849
4464.302594,7142,26758.132835
7285.070005,7142,26860.744148
4623.141269,7142,26970.330728
9075.402342,7142,27073.579037
5520.401103,7142,27177.749027
6995.501054,7142,27287.00752
12476.048358,7142,27392.336388
1406.82984,7142,27497.651618
8335.272746,7142,27604.958192
5900.379229,7142,27707.355459
10962.960032,7142,27809.551436
4601.028634,7142,27913.132195
9127.078599,7142,28017.603554
8564.09674,7142,28121.141038
8707.74226,7142,28223.127186
4910.387431,7142,28325.839794
9110.458052,7142,28429.551603
4762.56741,7142,28533.02986
8179.776077,7142,28634.657981
9868.328768,7142,28736.218158
11522.900862,7142,28835.041616
2390.539841,7142,28936.316896
7834.961465,7142,29036.166051
6573.714856,7142,29137.844215
10821.298969,7142,29240.484071
5295.065648,7142,29345.129947
7560.710887,7142,29447.4216
9047.538133,7142,29550.098475
9867.792674,7142,29654.036466
-322.913518,7142,29758.560848
8658.353475,7142,29860.530282
