#{"t_start": 1594917914.5887883, "env_id": null}
r,l,t
-4397.093721,7142,120.580961
-3425.3703,7142,231.363714
-6325.185304,7142,340.582488
-4391.439375,7142,451.060614
-5680.829779,7142,562.475615
-2826.95351,7142,679.538189
-1045.947832,7142,793.560271
-1402.442392,7142,908.23028
-2669.571938,7142,1023.565125
-1646.127743,7142,1139.373934
-1244.010984,7142,1255.121677
-1443.251177,7142,1369.80856
-2722.995099,7142,1487.42269
-859.658698,7142,1602.361746
-1599.206638,7142,1716.761584
-793.368301,7142,1831.089245
-390.655697,7142,1945.74531
-672.16372,7142,2061.239258
-729.240906,7142,2176.466939
-1960.824838,7142,2292.637444
-445.154779,7142,2408.227023
-127.668961,7142,2523.183498
-947.235935,7142,2637.528343
-708.18645,7142,2751.350954
824.764332,7142,2865.383364
-368.917766,7142,2979.863383
1353.817084,7142,3095.847342
-369.354953,7142,3209.816212
819.808029,7142,3323.845872
-45.189994,7142,3438.028684
552.501479,7142,3553.391979
241.003342,7142,3667.632674
-854.912669,7142,3784.099232
478.3269,7142,3898.155986
-6.018275,7142,4012.521665
263.104396,7142,4127.024602
2034.637819,7142,4242.424418
1190.080174,7142,4358.201169
2883.197009,7142,4472.745994
1472.701638,7142,4586.544973
210.019082,7142,4700.626464
4124.411408,7142,4814.626465
1080.559784,7142,4928.15641
2013.628986,7142,5042.76181
2546.268181,7142,5157.942838
1582.573773,7142,5274.087643
6090.140762,7142,5389.592313
2014.947133,7142,5504.063174
2108.63279,7142,5619.081422
2983.490414,7142,5732.978521
2185.593731,7142,5847.117542
7682.499406,7142,5962.798872
4578.522417,7142,6076.896728
2630.73828,7142,6190.527043
4499.165927,7142,6304.851765
197.402943,7142,6419.705471
3774.110121,7142,6532.580923
2176.73145,7142,6645.376823
2664.079573,7142,6758.655237
629.680278,7142,6872.198477
1742.888193,7142,6986.599772
2837.663908,7142,7099.694854
3432.586501,7142,7213.37131
1539.188204,7142,7327.328317
-881.515241,7142,7443.033443
1849.445339,7142,7556.316754
1613.883681,7142,7668.266646
5899.172542,7142,7781.294969
2053.125585,7142,7895.72443
5089.247078,7142,8010.188269
3479.777142,7142,8124.218184
780.054513,7142,8237.789507
3490.80964,7142,8351.340984
-1294.890839,7142,8465.736922
2006.092092,7142,8580.82757
4227.9975,7142,8694.577196
1627.112308,7142,8807.381162
4690.578829,7142,8921.373536
5056.822937,7142,9034.233415
2372.788322,7142,9149.497967
2626.061142,7142,9265.082045
2786.790381,7142,9380.094415
6673.220355,7142,9494.740991
3793.77679,7142,9610.57744
4647.110763,7142,9723.904694
6082.326175,7142,9837.210357
1069.76169,7142,9953.814543
5150.737258,7142,10068.21805
5932.585055,7142,10182.314354
1328.02567,7142,10297.778132
6617.410679,7142,10413.682811
7636.133795,7142,10527.828262
4968.706464,7142,10641.775537
6582.213571,7142,10756.278449
5598.357552,7142,10869.088083
4857.016308,7142,10984.831706
6210.061605,7142,11099.940099
1371.609824,7142,11214.467535
7733.946306,7142,11328.304354
1267.283921,7142,11442.297815
4958.13564,7142,11556.594264
4887.611477,7142,11670.705581
3535.026793,7142,11783.897479
2752.756341,7142,11898.732145
7257.367836,7142,12012.136358
5973.879021,7142,12126.024198
6470.103518,7142,12240.346111
4332.37259,7142,12356.050522
5637.519883,7142,12469.851028
4925.463721,7142,12583.249272
5524.949073,7142,12698.866722
5846.012826,7142,12813.389453
2373.043005,7142,12929.644957
3762.377246,7142,13044.82315
7314.303659,7142,13158.871461
705.691765,7142,13274.14101
3434.312181,7142,13389.041253
2732.845866,7142,13503.045989
2927.059488,7142,13618.750666
-797.993876,7142,13735.467123
3992.553407,7142,13848.037386
5553.271809,7142,13960.860781
6606.608957,7142,14068.105068
4917.767631,7142,14181.284701
781.2499,7142,14293.048955
7484.815971,7142,14402.287271
6265.243203,7142,14510.513031
4156.542801,7142,14622.464583
-53.932855,7142,14730.141994
6808.958557,7142,14839.913801
4756.69625,7142,14948.684214
-78.22945,7142,15059.070363
5921.757447,7142,15169.211246
2679.215221,7142,15276.294189
2934.505019,7142,15388.12379
7617.428432,7142,15495.316336
6070.258368,7142,15602.166295
8008.303446,7142,15754.504376
5349.226381,7142,15920.871022
5439.351971,7142,16063.105046
5375.621273,7142,16179.215793
3892.696101,7142,16287.893165
4831.617809,7142,16401.560999
8392.790731,7142,16517.872669
5301.204746,7142,16709.506592
5902.614234,7142,16920.470795
7190.126355,7142,17083.199641
11355.917756,7142,17247.465927
8596.624749,7142,17408.137899
8348.884706,7142,17533.022995
5827.535154,7142,17651.961812
3244.048389,7142,17770.653365
7752.739783,7142,17888.136849
7300.240174,7142,18005.273832
8719.734561,7142,18120.42381
6068.91444,7142,18237.300247
3024.350898,7142,18353.23185
4088.102794,7142,18469.053633
2984.266578,7142,18586.48452
4667.936967,7142,18704.120111
9020.61426,7142,18821.229436
2835.906005,7142,18937.021478
6075.239073,7142,19056.312219
8726.999014,7142,19172.175791
7247.278338,7142,19290.668086
7055.080462,7142,19408.143565
1378.508063,7142,19525.508754
-401.67849,7142,19641.971207
8728.73818,7142,19756.533782
9053.349794,7142,19874.752342
5791.363469,7142,19993.298138
11632.838609,7142,20107.072285
4362.160851,7142,20222.958404
8881.175191,7142,20337.775268
8553.58442,7142,20453.752571
7430.770363,7142,20565.634952
6739.214489,7142,20682.261869
5367.210398,7142,20795.959752
4107.451815,7142,20911.357019
3749.315175,7142,21027.369165
9301.509172,7142,21141.329232
262.637433,7142,21259.741974
4114.518552,7142,21376.199192
-620.336956,7142,21491.59069
9624.601383,7142,21604.047554
6296.854856,7142,21719.897999
7731.589929,7142,21832.562597
7324.067303,7142,21948.442513
8259.38633,7142,22057.340284
9346.274865,7142,22170.800484
3836.500074,7142,22284.905882
4994.045415,7142,22394.696432
4644.142512,7142,22509.987584
5706.111664,7142,22622.428161
7558.740625,7142,22735.898925
4200.734364,7142,22849.809756
379.260535,7142,22963.701775
6216.74244,7142,23079.105302
8211.135993,7142,23190.869836
10312.252207,7142,23301.552097
7532.394065,7142,23412.177105
6664.639572,7142,23524.497838
7286.714812,7142,23637.619774
9004.501777,7142,23749.791632
9692.808424,7142,23863.407466
3515.011518,7142,23977.315071
8155.958389,7142,24087.987294
11092.481848,7142,24202.170666
8572.86298,7142,24311.355267
10720.33124,7142,24427.412523
1057.655166,7142,24539.47828
1168.211276,7142,24652.427402
3952.668455,7142,24767.478059
1453.064544,7142,24879.140945
1433.037502,7142,24994.404065
3784.51725,7142,25103.582784
1941.929549,7142,25219.762041
3733.641292,7142,25333.261688
1918.384103,7142,25445.005396
5753.949425,7142,25557.584139
1554.784402,7142,25673.384697
5498.187126,7142,25784.849021
7551.387068,7142,25899.70742
3984.102734,7142,26010.933881
3160.669456,7142,26126.136416
7319.473719,7142,26240.244192
6543.483858,7142,26352.321421
9133.4915,7142,26466.936234
7875.316963,7142,26574.703065
3908.238655,7142,26691.382284
2557.601814,7142,26806.912429
5786.568777,7142,26918.736648
8803.381011,7142,27034.807491
9086.110412,7142,27145.840642
6572.99942,7142,27256.830888
6116.984452,7142,27369.967105
6365.360461,7142,27479.976097
7978.676798,7142,27592.045582
1163.952443,7142,27705.013219
9897.950265,7142,27814.30664
9678.666818,7142,27927.77429
5314.658176,7142,28040.341305
3879.436203,7142,28152.076851
8278.736045,7142,28265.219315
-3198.36948,7142,28379.246635
8384.670704,7142,28491.758595
8995.292981,7142,28604.020435
9667.001357,7142,28717.443854
5235.153593,7142,28828.298317
-4383.363977,7142,28942.16061
3378.272875,7142,29057.262838
493.29007,7142,29170.47625
1825.95396,7142,29280.580236
7549.762041,7142,29390.39524
6531.554533,7142,29502.345617
6311.429231,7142,29614.414898
844.796927,7142,29725.629618
4192.258535,7142,29835.38474
3556.643114,7142,29947.797598
3440.675255,7142,30061.208685
6805.801256,7142,30171.904926
4237.214724,7142,30282.098008
8353.52706,7142,30395.144135
8330.423403,7142,30504.983432
2977.803928,7142,30614.247938
7003.496521,7142,30725.781037
2665.027897,7142,30838.89002
934.71767,7142,30952.04115
10981.357775,7142,31063.677144
4939.331278,7142,31173.084649
4270.850403,7142,31285.664639
5509.84049,7142,31399.133903
5760.356965,7142,31510.447144
9526.438832,7142,31621.267665
7977.425076,7142,31731.381711
10100.168233,7142,31843.20619
6387.552281,7142,31954.876375
-221.335799,7142,32063.409028
8817.229073,7142,32172.318669
-4712.666743,7142,32286.793185
7323.100868,7142,32396.268652
5448.796005,7142,32507.223604
4904.786461,7142,32617.444155
9257.659405,7142,32726.682421
185.932341,7142,32837.483983
6416.986986,7142,32951.095025
5799.544596,7142,33060.634195
9993.420893,7142,33169.910991
7523.523474,7142,33280.238611
10396.783912,7142,33393.636409
5976.835607,7142,33504.344057
5894.218917,7142,33613.128328
7238.981911,7142,33724.598745
3873.276464,7142,33838.271519
5928.113972,7142,33949.501282
3475.140952,7142,34056.285282
2561.154226,7142,34166.35182
6526.843991,7142,34279.177269
7370.546421,7142,34392.835523
6945.833673,7142,34501.207632
2597.165413,7142,34612.119538
7567.156906,7142,34722.429533
7328.230713,7142,34831.120286
9587.776001,7142,34938.989202
4404.624399,7142,35048.555646
10352.760872,7142,35157.209335
10231.205235,7142,35265.181544
6817.846527,7142,35372.835657
10070.025631,7142,35482.046425
9963.733264,7142,35587.396633
7082.617559,7142,35690.333507
9294.611939,7142,35793.869344
5042.61518,7142,35903.07309
6098.841264,7142,36010.200736
9278.18051,7142,36114.953413
-557.089426,7142,36228.139755
4939.270589,7142,36336.301605
6766.51153,7142,36441.791557
42.111275,7142,36550.976156
7937.267099,7142,36655.24052
2964.564916,7142,36760.34108
8549.391656,7142,36864.57032
9044.087152,7142,36971.823614
7414.914462,7142,37079.470644
9084.501471,7142,37183.227582
5494.862513,7142,37288.524846
4455.233314,7142,37399.025094
4698.814063,7142,37506.478589
4930.863545,7142,37611.509641
4136.59355,7142,37718.587543
4437.026792,7142,37829.00241
7142.57683,7142,37935.815504
7666.087373,7142,38040.890274
5617.291643,7142,38145.574709
9179.97635,7142,38251.195815
4387.54642,7142,38358.146781
10200.758632,7142,38462.455885
10547.91763,7142,38565.689945
-753.263283,7142,38673.432966
7317.82858,7142,38780.553472
8431.353133,7142,38885.995273
28.455709,7142,38993.796861
6769.757064,7142,39099.780195
7075.553266,7142,39207.790043
6188.278546,7142,39313.244343
732.587587,7142,39418.326068
5691.013121,7142,39521.511529
6583.730565,7142,39628.953496
-254.374571,7142,39740.000304
12123.026627,7142,39843.108865
254.635736,7142,39948.081441
9175.836652,7142,40058.597524
4118.715369,7142,40167.024516
6245.303436,7142,40271.243516
8183.920412,7142,40375.78983
7503.804055,7142,40479.98022
656.219931,7142,40587.578355
-604.411425,7142,40698.96048
5104.026015,7142,40803.346762
9919.338389,7142,40911.160223
10561.386516,7142,41015.280234
8437.969322,7142,41121.278597
10061.599375,7142,41227.433032
10198.713427,7142,41332.999078
6259.217241,7142,41438.225244
7126.802563,7142,41543.65117
10097.603757,7142,41647.99227
6242.275281,7142,41756.46481
4414.277623,7142,41861.729795
6483.181263,7142,41966.209992
8506.083927,7142,42075.168091
8020.021364,7142,42180.428317
6549.36147,7142,42284.506194
4308.530228,7142,42391.501082
6043.776291,7142,42496.506268
5758.045334,7142,42601.078192
6069.524716,7142,42707.522578
8021.607156,7142,42814.367838
2857.679849,7142,42921.866143
6079.152928,7142,43027.754175
10690.716185,7142,43131.048078
9341.72727,7142,43237.676674
10433.803667,7142,43344.94716
5209.914319,7142,43450.141295
9837.625928,7142,43553.411333
6715.56926,7142,43657.970819
5302.33657,7142,43761.588595
-3692.658044,7142,43871.083315
9194.726288,7142,43975.986581
3159.176557,7142,44079.203687
7623.117036,7142,44186.570257
7331.60486,7142,44293.70331
10781.274935,7142,44400.284886
3221.419405,7142,44508.169154
10212.05663,7142,44616.068113
4716.936464,7142,44728.16935
5639.522228,7142,44839.327751
5686.827404,7142,44951.271663
7219.167741,7142,45062.191501
8205.60751,7142,45173.574497
1671.286275,7142,45285.663089
3500.38786,7142,45396.386334
6049.862308,7142,45509.1526
8318.574513,7142,45618.771786
4561.884623,7142,45731.617627
3552.454213,7142,45842.016875
6979.395242,7142,45951.425776
7584.184096,7142,46059.935063
5183.058487,7142,46167.485994
3961.837147,7142,46278.79944
7233.685563,7142,46386.210527
7369.92838,7142,46496.942461
7386.407967,7142,46605.854302
3651.266616,7142,46718.059733
2596.357276,7142,46827.486669
1245.778769,7142,46935.694797
4415.729463,7142,47044.315244
-617.102425,7142,47152.454566
3658.269877,7142,47263.242306
4745.282925,7142,47370.792954
8095.331242,7142,47479.257877
6471.547209,7142,47586.223277
3361.392929,7142,47696.892544
7247.821755,7142,47802.162956
6135.977017,7142,47909.559416
7176.367884,7142,48015.706847
8213.553294,7142,48125.856661
10391.351337,7142,48231.805794
5854.215978,7142,48339.246093
9362.993269,7142,48446.461675
7639.428794,7142,48553.072378
6352.794273,7142,48660.327558
10775.96458,7142,48767.237309
2116.620437,7142,48874.939058
525.8921,7142,48986.348357
8561.041349,7142,49092.505952
5142.903693,7142,49198.097577
8615.656687,7142,49307.408061
9561.345071,7142,49413.612165
6522.591424,7142,49522.501198
9193.913343,7142,49630.551682
5901.761318,7142,49737.260533
9902.545657,7142,49844.496303
8888.344818,7142,49953.317458
8599.807878,7142,50057.070181
6098.570546,7142,50163.475714
4564.41981,7142,50272.873782
6270.852176,7142,50377.768548
9353.400542,7142,50484.254782
8949.316921,7142,50591.161412
5835.483149,7142,50698.63796
669.571082,7142,50806.808866
4851.347792,7142,50913.990824
7780.221654,7142,51020.207625
1871.148749,7142,51128.501734
8053.343481,7142,51236.571741
8643.266965,7142,51343.424194
5669.42423,7142,51448.876304
1957.298281,7142,51558.942064
3495.689049,7142,51667.562665
7375.810977,7142,51771.538589
7604.713349,7142,51878.630724
4409.406643,7142,51986.814591
8189.998166,7142,52093.086635
4368.575082,7142,52201.595218
9653.095178,7142,52309.060183
8023.248371,7142,52413.448128
4871.823739,7142,52524.857403
1429.929965,7142,52631.820065
1636.490979,7142,52739.490712
8791.009928,7142,52847.186087
9293.231353,7142,52957.651692
8748.398981,7142,53061.474583
8171.960737,7142,53171.32928
9447.864145,7142,53280.112091
4162.575041,7142,53386.909385
10213.168806,7142,53495.602506
5859.208432,7142,53601.61768
6212.681951,7142,53710.389692
10075.48521,7142,53817.616076
3617.972118,7142,53924.700293
8923.650795,7142,54035.068725
9363.335448,7142,54140.409028
896.862209,7142,54248.176695
6752.523153,7142,54357.603186
324.793898,7142,54463.757184
8441.341372,7142,54573.302937
6618.062774,7142,54678.332624
5242.113819,7142,54784.143646
6198.123826,7142,54891.357855
6443.389102,7142,55000.245998
9258.517612,7142,55110.712307
1664.415839,7142,55217.868274
-2157.011565,7142,55326.019424
3389.053212,7142,55436.708819
6906.426291,7142,55543.072998
7251.721308,7142,55650.799813
7415.8528,7142,55760.178473
7277.262217,7142,55866.023514
5799.603613,7142,55974.281359
3689.322573,7142,56082.449772
2927.916046,7142,56191.287818
5244.43861,7142,56300.703847
7113.590903,7142,56407.882857
8980.869178,7142,56517.743652
6836.508756,7142,56625.673056
6701.990678,7142,56731.035562
263.798677,7142,56841.398412
11463.340212,7142,56948.343812
6084.891554,7142,57055.264647
8011.375471,7142,57163.650529
3067.012077,7142,57270.76206
-2611.164336,7142,57380.098937
8577.360344,7142,57489.189962
3295.265894,7142,57596.28758
1337.575409,7142,57705.267893
5951.544728,7142,57812.876486
3425.853008,7142,57922.751838
9998.461022,7142,58032.476689
10364.324961,7142,58138.49359
2746.77675,7142,58247.974152
7778.463637,7142,58355.381541
-3372.871494,7142,58464.657972
8617.861453,7142,58574.324637
6892.236341,7142,58683.248594
8661.720015,7142,58792.344579
-2151.884897,7142,58902.630445
-1671.964306,7142,59011.803858
6299.163232,7142,59121.92122
4985.629633,7142,59227.473551
3125.841324,7142,59332.770856
579.395506,7142,59437.993935
3398.921434,7142,59541.183045
6968.212971,7142,59645.225989
3185.424929,7142,59748.839728
10672.915401,7142,59853.378192
7089.310963,7142,59956.28074
10400.220694,7142,60061.007696
3926.086881,7142,60165.322398
9459.795059,7142,60269.840516
6770.509643,7142,60373.519094
4613.495473,7142,60478.896596
-1577.175391,7142,60582.838601
4702.331034,7142,60686.954242
1799.738593,7142,60792.605783
1444.998067,7142,60896.947524
8082.077516,7142,61001.242058
3502.57882,7142,61105.98533
3518.518692,7142,61208.542878
8446.478234,7142,61312.895065
3431.835709,7142,61417.051766
8113.111197,7142,61519.249544
8307.813546,7142,61623.79764
8967.76541,7142,61724.932779
10783.257726,7142,61829.0504
6743.80019,7142,61931.840403
2448.798724,7142,62037.429726
7827.351051,7142,62141.987489
