#{"t_start": 1594217081.3748183, "env_id": null}
r,l,t
-1938.800842,7142,88.421667
-3875.540644,7142,173.063023
-2871.881429,7142,258.013923
-2269.751502,7142,342.208799
-1707.482876,7142,428.714245
-953.102018,7142,512.676848
-1372.166447,7142,598.148398
-1317.624252,7142,681.716132
-1371.802858,7142,765.055162
-851.83281,7142,848.091363
-1521.005566,7142,930.935409
-2005.743943,7142,1013.688289
998.931443,7142,1097.727179
-2591.303376,7142,1180.766213
-1615.234877,7142,1263.805289
-723.697075,7142,1346.359242
-1737.494384,7142,1429.521907
-515.400834,7142,1512.826704
-511.329483,7142,1596.420232
-885.007045,7142,1680.082777
-965.769117,7142,1763.626892
-513.198514,7142,1846.831369
-162.863794,7142,1930.652566
-1107.528626,7142,2014.170125
92.34409,7142,2098.293901
-228.921957,7142,2182.465009
-897.556897,7142,2265.941846
-1381.013479,7142,2349.054339
-636.655807,7142,2431.841023
-525.468813,7142,2518.02135
-4824.405755,7142,2601.247164
-822.919765,7142,2684.189573
850.918953,7142,2767.146952
-1726.815248,7142,2850.864227
-1414.952224,7142,2935.481639
-54.343564,7142,3018.631433
-530.225418,7142,3102.337856
-2584.675744,7142,3187.044113
-1300.322016,7142,3270.255051
-773.130964,7142,3353.211746
-173.567397,7142,3435.779671
-1629.914533,7142,3520.974634
68.988097,7142,3604.743602
-260.255512,7142,3688.376181
320.601928,7142,3771.923142
-942.859243,7142,3855.31219
-310.031288,7142,3938.274215
618.417999,7142,4021.193103
-503.63395,7142,4106.842244
-106.906331,7142,4190.212389
-329.196486,7142,4274.744338
-481.047337,7142,4358.489864
-672.408823,7142,4442.356489
-1743.647575,7142,4518.298239
-154.602601,7142,4565.163783
-108.218308,7142,4611.753108
-868.166517,7142,4659.256044
-526.953333,7142,4707.79951
-1046.215742,7142,4754.863975
-1346.650365,7142,4802.707538
-1611.445222,7142,4850.626712
-11.651891,7142,4897.799073
-2968.112291,7142,4945.325874
885.601356,7142,4993.424955
-150.796682,7142,5040.161148
-394.376152,7142,5088.587632
-264.991864,7142,5139.827237
-571.212212,7142,5191.150534
-788.699446,7142,5243.571001
-1819.060525,7142,5294.608432
-955.569148,7142,5345.859673
-981.328586,7142,5398.387694
-340.399744,7142,5449.944474
673.586967,7142,5502.051508
-1228.003992,7142,5553.402574
-723.074426,7142,5604.636959
-736.258356,7142,5656.260624
-2215.029895,7142,5709.058297
-414.163246,7142,5760.182188
-2680.122084,7142,5812.94758
-790.121471,7142,5864.54187
-1805.842694,7142,5917.112497
-837.328983,7142,5968.749805
-1302.778508,7142,6020.384379
-557.344168,7142,6071.693406
-1048.622298,7142,6123.239286
-863.967822,7142,6175.091147
-883.237742,7142,6227.566752
-695.88248,7142,6278.770161
-475.841908,7142,6330.191254
-1201.499262,7142,6381.66802
-1045.982873,7142,6433.571641
403.239344,7142,6485.361722
284.948826,7142,6538.41787
-313.34645,7142,6590.568757
-2001.273165,7142,6643.310533
-2396.597197,7142,6695.013371
-1541.887889,7142,6746.770276
-1683.507397,7142,6798.481589
-1361.708488,7142,6850.175211
-824.400719,7142,6901.843067
58.813793,7142,6953.283973
-496.462166,7142,7006.013543
-725.85839,7142,7057.567396
-775.955561,7142,7109.265028
-41.89865,7142,7161.095946
-380.442279,7142,7212.77328
-893.126749,7142,7264.543862
-690.279678,7142,7316.096883
-949.173017,7142,7368.159033
67.12577,7142,7420.568272
-441.493541,7142,7472.575246
-954.806443,7142,7524.516715
-2246.613204,7142,7576.528093
-1559.948452,7142,7630.323524
-390.313722,7142,7682.322062
-499.085845,7142,7734.401985
275.639425,7142,7786.313722
-422.521936,7142,7837.796342
-1636.16234,7142,7889.522945
-88.4821,7142,7941.550497
-2046.195194,7142,7994.418351
-1200.066557,7142,8046.036572
-99.750539,7142,8097.875287
-1067.979662,7142,8149.7806
-727.044973,7142,8201.590451
-407.088769,7142,8253.09341
-2207.587724,7142,8305.164546
-1135.877524,7142,8357.08771
-770.428604,7142,8408.891042
-611.786451,7142,8461.535416
-2039.149721,7142,8514.373532
675.674505,7142,8567.044743
-2536.616493,7142,8620.477032
-45.261554,7142,8672.154546
-1152.311691,7142,8723.827198
-1639.056829,7142,8775.336395
-1051.600082,7142,8828.06008
151.044097,7142,8879.58643
-1454.003683,7142,8930.883636
-220.248198,7142,8982.311851
-1179.965446,7142,9034.896624
-877.298948,7142,9087.221434
-1171.698501,7142,9139.869392
-945.1098,7142,9192.492998
-1183.330332,7142,9244.102026
457.367821,7142,9296.785101
-2295.73099,7142,9348.500382
-353.110589,7142,9400.114062
-239.820671,7142,9451.565841
127.802249,7142,9504.390611
-662.782349,7142,9556.08769
-1023.152013,7142,9608.755148
-819.781509,7142,9660.579398
-2228.06822,7142,9713.637697
-1646.435648,7142,9766.901231
174.149861,7142,9818.483689
289.502107,7142,9870.110483
-297.070714,7142,9921.797133
-650.108895,7142,9973.479364
296.430981,7142,10024.919851
1366.604312,7142,10077.642715
-835.874397,7142,10130.271857
-736.723808,7142,10181.794925
94.971022,7142,10233.724117
-408.397929,7142,10285.43689
27.004127,7142,10337.007867
-1488.986225,7142,10388.904454
-1543.803664,7142,10440.263584
-2382.066908,7142,10493.068179
-36.974791,7142,10545.598101
-267.356104,7142,10597.351578
-1998.175035,7142,10649.115256
60.482887,7142,10700.742586
-145.080008,7142,10754.337843
-494.164007,7142,10806.163482
714.597052,7142,10857.839267
-727.995603,7142,10910.700266
-534.667591,7142,10964.221714
-2254.143944,7142,11016.964455
-985.659814,7142,11068.552051
-441.205575,7142,11119.859102
-836.997437,7142,11171.484185
114.566345,7142,11223.039725
-686.529945,7142,11274.404553
-1307.178743,7142,11325.846218
-857.127779,7142,11377.78449
225.056731,7142,11429.422206
-2555.406747,7142,11481.160825
-540.222612,7142,11532.832731
-382.377364,7142,11584.612037
20.149825,7142,11636.248614
-1776.50154,7142,11687.94664
-467.597597,7142,11740.547608
-20.36956,7142,11792.187506
241.183863,7142,11844.954022
-898.194383,7142,11896.947357
-62.238653,7142,11948.747629
-314.331725,7142,12000.524504
-3912.978613,7142,12052.063126
-440.657284,7142,12104.803331
472.565174,7142,12156.637595
-172.298546,7142,12208.111571
-1741.953492,7142,12260.888551
393.341036,7142,12312.381255
241.236622,7142,12364.32573
-416.226661,7142,12415.840364
1402.489109,7142,12467.536048
-3007.366993,7142,12519.245651
-365.448499,7142,12571.053579
2442.631187,7142,12622.884972
224.051039,7142,12674.020885
-686.176064,7142,12725.578868
-1623.591145,7142,12778.381547
-999.69206,7142,12830.014654
-1482.338657,7142,12881.601242
-1368.391233,7142,12933.280854
-1262.544114,7142,12985.632283
-2037.274226,7142,13037.134215
-727.43373,7142,13088.362029
-299.872902,7142,13139.934206
-890.48066,7142,13192.633944
-1404.369459,7142,13244.476839
-919.875026,7142,13295.908327
-108.986583,7142,13347.487169
-471.831246,7142,13398.953812
-3414.71233,7142,13451.28558
-1493.995904,7142,13502.574464
-3382.804109,7142,13554.956672
-2301.014301,7142,13607.883157
-1151.300885,7142,13659.168818
-1659.221118,7142,13710.643938
-458.138041,7142,13761.876233
-1843.460273,7142,13813.402238
-531.688706,7142,13865.07913
-644.670372,7142,13916.716994
-414.54758,7142,13968.378512
-2433.823288,7142,14019.99204
-928.218577,7142,14071.486879
-3618.621648,7142,14124.336643
-1242.217666,7142,14175.994234
-1266.11663,7142,14227.426036
-917.498187,7142,14279.146253
66.568433,7142,14330.96115
-2687.433624,7142,14383.442874
-762.894163,7142,14434.926662
-2425.318369,7142,14487.722046
-1631.877761,7142,14540.213498
-2262.144736,7142,14592.804426
-848.287332,7142,14644.549526
-2861.359481,7142,14697.020932
-499.364144,7142,14749.036113
-1089.094862,7142,14800.584673
-744.37469,7142,14852.182301
-2449.914057,7142,14904.942742
-2861.150746,7142,14956.660874
-1148.137208,7142,15008.409799
-687.126331,7142,15061.334487
-570.014791,7142,15113.105594
-2291.793848,7142,15164.890118
-1631.119482,7142,15216.397756
-4655.715355,7142,15268.803965
-1956.878496,7142,15320.863947
-1036.766181,7142,15373.544834
-876.076022,7142,15425.082946
-1378.796636,7142,15478.138979
-1640.498769,7142,15529.953922
-3156.179537,7142,15582.141041
-2062.567323,7142,15633.824082
-496.562129,7142,15685.66176
-3190.456819,7142,15738.43402
-572.5006,7142,15790.139914
-667.416488,7142,15841.965164
-870.476711,7142,15893.763132
-3890.219161,7142,15946.334079
-768.127769,7142,15997.952228
-357.061933,7142,16049.547783
-4544.882881,7142,16102.294047
-2264.773194,7142,16154.924507
-565.554642,7142,16206.216829
-3371.957007,7142,16258.146964
-2379.830049,7142,16310.947977
-1189.880633,7142,16362.884018
-875.599544,7142,16414.321598
-343.601791,7142,16465.899508
-3453.453108,7142,16518.727937
-1991.497541,7142,16571.448493
-898.544449,7142,16623.087096
-1493.695478,7142,16674.998347
-160.987492,7142,16726.787134
-13.291488,7142,16779.237944
-1264.050075,7142,16831.225843
-289.909417,7142,16883.181633
-3387.676,7142,16936.264969
-1162.521158,7142,16989.012504
-1859.200649,7142,17042.318431
-2214.018039,7142,17094.92329
-1320.346958,7142,17146.497172
-702.685861,7142,17197.887651
-1558.220968,7142,17250.6312
-680.935638,7142,17302.365885
-4480.36848,7142,17355.050595
-1589.899691,7142,17407.077995
-705.614969,7142,17459.053601
-33.513026,7142,17510.594414
-1432.299839,7142,17562.489056
-1304.709617,7142,17615.396986
-649.546141,7142,17667.089115
369.595641,7142,17718.627688
-782.562104,7142,17770.232466
-1430.49253,7142,17823.218303
852.574545,7142,17875.022349
-1835.944409,7142,17926.747202
428.7592,7142,17979.465812
-882.989952,7142,18031.373791
-1233.964177,7142,18084.355853
-2379.195455,7142,18137.507973
-174.677161,7142,18189.177276
-2749.455275,7142,18240.959837
712.449109,7142,18292.870886
-1030.249331,7142,18344.583001
150.414259,7142,18397.644404
1590.035373,7142,18449.388423
-2352.267329,7142,18502.098076
-1932.343137,7142,18554.632571
-773.143939,7142,18606.229082
-858.722254,7142,18657.789855
-1384.353214,7142,18710.826362
-1361.448279,7142,18762.292707
-2442.720052,7142,18813.983048
-2172.292165,7142,18865.495738
-963.323506,7142,18917.98421
-1012.654538,7142,18970.74845
-1093.010499,7142,19022.276783
-450.905867,7142,19074.04839
-753.792086,7142,19125.564407
-613.664832,7142,19177.018661
83.120171,7142,19228.694891
-2432.425971,7142,19280.14543
-710.040639,7142,19331.960788
-932.043064,7142,19384.394313
-776.237107,7142,19436.261809
-759.400826,7142,19488.069169
153.255183,7142,19539.759319
-191.880693,7142,19591.663233
-525.426362,7142,19644.403613
-1056.700622,7142,19697.65636
-537.926169,7142,19749.468415
-20.219182,7142,19801.246531
-1135.233314,7142,19854.075431
467.67256,7142,19905.612378
-804.372655,7142,19958.334803
44.515247,7142,20010.148399
-1795.006619,7142,20062.730836
-1065.439422,7142,20114.326073
122.709055,7142,20167.146779
-319.807902,7142,20218.883298
-1837.134904,7142,20271.419668
-1167.308135,7142,20324.125355
-1334.750704,7142,20376.032825
-568.719996,7142,20427.976678
-3930.704464,7142,20480.651281
-13.625695,7142,20532.503175
1179.451277,7142,20583.997236
207.759411,7142,20636.731415
-847.431314,7142,20689.211047
-3476.037076,7142,20741.95379
912.45277,7142,20793.359243
-4169.151972,7142,20845.920184
-26.355715,7142,20898.17331
-487.468696,7142,20949.66758
501.848055,7142,21001.173254
1354.706205,7142,21052.951148
16.370755,7142,21104.90982
-51.167681,7142,21156.819937
71.164855,7142,21208.318667
-1789.946638,7142,21261.417744
1526.1586,7142,21314.168292
-746.61246,7142,21367.200808
-1147.334475,7142,21420.057329
-938.401165,7142,21472.720556
245.639891,7142,21524.43312
1062.214719,7142,21575.95781
233.191252,7142,21627.804862
1074.187156,7142,21679.226174
2008.341372,7142,21731.196122
-20.588503,7142,21783.755596
2139.310172,7142,21835.833116
-80.810094,7142,21887.46833
357.431149,7142,21939.372476
2552.848526,7142,21991.354125
-1292.081969,7142,22044.133683
435.183842,7142,22095.80254
1490.634266,7142,22148.1746
693.797732,7142,22199.837909
264.89915,7142,22251.4196
-1671.27352,7142,22304.29738
-2107.539622,7142,22357.318486
-362.030639,7142,22409.225137
590.967252,7142,22460.894767
-1535.726855,7142,22513.77789
1070.467022,7142,22567.484189
1511.844411,7142,22619.408741
-454.752522,7142,22672.243934
-601.250007,7142,22725.031121
158.493664,7142,22776.897967
2462.127724,7142,22828.816513
430.092219,7142,22880.671701
479.281921,7142,22932.59479
-23.647842,7142,22984.16313
1902.718032,7142,23035.791536
2562.064616,7142,23087.136949
1337.231244,7142,23139.028805
1948.905558,7142,23190.6073
2999.001303,7142,23242.241653
1267.97803,7142,23294.167407
1809.179418,7142,23345.946739
1574.644622,7142,23397.935762
-4113.74671,7142,23451.3724
58.178219,7142,23503.547868
211.273321,7142,23555.197062
-995.540367,7142,23608.173241
-63.545936,7142,23659.858252
2655.817701,7142,23711.131565
-3080.895048,7142,23763.019471
-647.052761,7142,23815.123958
874.07394,7142,23866.849726
-695.76474,7142,23918.514114
589.533099,7142,23970.372
-337.417587,7142,24022.694547
-2040.3586,7142,24076.161694
64.487346,7142,24128.119472
33.949043,7142,24180.426364
212.62672,7142,24232.569991
-2169.121507,7142,24284.436959
3064.401928,7142,24336.546708
522.454151,7142,24388.64165
-2603.357351,7142,24440.833384
-1281.331472,7142,24493.727691
958.891069,7142,24545.626222
-366.873728,7142,24597.700599
-917.562256,7142,24649.372686
-1135.551589,7142,24701.76536
-728.713643,7142,24753.686957
-534.580916,7142,24806.268428
423.799548,7142,24857.701382
-349.256353,7142,24909.481401
-738.578997,7142,24961.558909
-1173.116167,7142,25013.473495
-2328.714648,7142,25065.462785
-29.946619,7142,25117.315712
1898.118717,7142,25169.199594
4624.037892,7142,25221.271267
2386.41084,7142,25273.163288
291.486937,7142,25324.94039
1368.087318,7142,25376.855695
-298.849865,7142,25429.74771
-561.032998,7142,25481.496318
1237.61869,7142,25534.639997
122.908831,7142,25586.464843
2600.240984,7142,25638.23478
206.467201,7142,25690.116847
-1599.899388,7142,25742.999359
-327.887404,7142,25795.014134
-2338.088123,7142,25848.180751
759.166048,7142,25899.871371
-2645.074339,7142,25952.659748
-189.747938,7142,26004.34219
-1090.311034,7142,26057.090152
-773.503082,7142,26108.634454
-1928.502767,7142,26160.516157
-80.055813,7142,26212.240056
-1254.094793,7142,26264.177788
-3544.723154,7142,26316.889009
677.170024,7142,26369.533574
-1462.210907,7142,26421.305447
-146.669231,7142,26474.112707
-933.632735,7142,26525.987652
-356.632037,7142,26577.595
-1726.839929,7142,26630.464251
-1379.50835,7142,26682.175451
-3143.532202,7142,26734.002076
-2082.601493,7142,26785.495653
-2347.398035,7142,26838.3518
-2506.21065,7142,26890.852216
-752.755453,7142,26942.505227
-1919.398133,7142,26995.76961
-1022.304565,7142,27047.468181
-1983.704925,7142,27099.198241
-1953.456453,7142,27150.962586
-487.992702,7142,27202.736199
-1257.478261,7142,27254.213037
-1429.70664,7142,27306.492656
-983.955272,7142,27358.616539
-2842.429036,7142,27411.096771
-5062.945563,7142,27462.754775
-1873.612108,7142,27514.696277
-1165.595182,7142,27567.37279
-2762.336228,7142,27620.312668
-1315.275664,7142,27672.047496
-1102.299947,7142,27723.515078
-1172.46528,7142,27775.79038
-2146.622533,7142,27827.558891
-1255.586079,7142,27879.521486
-812.74748,7142,27931.404061
-1160.040722,7142,27983.362757
-1552.118899,7142,28035.101673
-1378.998344,7142,28087.728414
-2039.765005,7142,28139.613091
-544.260715,7142,28191.250091
-569.150879,7142,28243.858156
-407.725087,7142,28295.903527
-1075.363435,7142,28347.594641
-5718.439711,7142,28400.477157
-1997.712184,7142,28452.262931
-811.675664,7142,28504.820107
169.120564,7142,28556.194092
-314.775613,7142,28607.905197
-2198.333116,7142,28660.338834
-1105.667387,7142,28712.326474
-452.836331,7142,28763.829619
-334.494848,7142,28815.512111
729.165783,7142,28866.821563
