#{"t_start": 1595200590.2122114, "env_id": null}
r,l,t
-2798.636677,7142,28.21126
-3163.909361,7142,48.608649
-3069.274317,7142,68.851101
-3029.309553,7142,89.362007
-3206.262268,7142,110.06973
-2489.252196,7142,130.743805
-2470.29771,7142,151.387807
-6123.135886,7142,240.169313
-3514.44727,7142,317.177539
-3441.685181,7142,395.190428
-3544.064453,7142,471.919805
-4001.483374,7142,551.108424
-1662.336111,7142,628.620163
-2075.284121,7142,707.301452
-1816.170137,7142,785.891381
-1127.964853,7142,864.335837
-741.348911,7142,963.844454
-457.751796,7142,1480.219216
-464.610173,7142,1563.813429
-1211.815388,7142,1641.197122
-1089.334199,7142,1722.775061
-1091.294382,7142,1815.610283
-1697.094739,7142,1905.385781
-2463.964572,7142,1987.290879
-824.533306,7142,2065.261455
-2106.021015,7142,2144.394825
553.72428,7142,2222.748846
7.918397,7142,2301.876234
-1006.93966,7142,2380.388805
-1294.264602,7142,2458.490504
-762.188365,7142,2537.289064
-1507.272832,7142,2615.611043
-416.985425,7142,2694.600236
-541.563285,7142,2774.536896
-1164.764256,7142,2853.935569
-73.237836,7142,2933.550976
801.560046,7142,3012.104902
-945.688296,7142,3091.493252
-237.250027,7142,3170.775
-1027.081122,7142,3251.400558
-647.607942,7142,3331.709332
-407.057802,7142,3410.446307
118.954266,7142,3491.315957
-1782.15905,7142,3570.706099
-1637.502548,7142,3658.297531
-326.677826,7142,3743.925187
77.950789,7142,3828.220908
-1170.10553,7142,3914.51369
-383.615611,7142,3999.414679
94.638104,7142,4085.063344
-431.801822,7142,4170.207609
-151.169673,7142,4273.198445
-177.866195,7142,4387.14656
508.665507,7142,4476.931943
248.450616,7142,4562.286768
379.010513,7142,4647.502142
-600.429001,7142,4733.503016
-772.742459,7142,4820.48535
140.861168,7142,4904.832661
-498.486778,7142,4991.640648
825.014097,7142,5076.512523
632.824897,7142,5161.90567
445.995813,7142,5246.255843
170.977268,7142,5330.547283
246.133219,7142,5416.248883
972.860892,7142,5501.305658
1237.081434,7142,5588.500428
-221.844991,7142,5674.732982
1282.83977,7142,5758.946632
-253.867693,7142,5844.036332
48.900486,7142,5929.581679
773.061893,7142,6015.505675
1618.114744,7142,6099.42831
589.015659,7142,6184.504025
443.753139,7142,6268.789106
338.252413,7142,6353.058772
2244.073717,7142,6437.514655
5.649559,7142,6521.676048
1321.706568,7142,6606.367873
2527.828497,7142,6689.183832
561.191817,7142,6773.576846
1634.385016,7142,6857.398461
-528.164373,7142,6942.300695
1240.793326,7142,7025.551337
388.191503,7142,7109.920031
1443.222858,7142,7193.631031
2038.14207,7142,7276.332124
1744.103278,7142,7358.75532
2819.584952,7142,7441.590397
1677.775626,7142,7524.278323
1017.100752,7142,7608.74332
2171.524016,7142,7691.449935
1364.751764,7142,7775.030798
3146.147948,7142,7857.799911
2638.625371,7142,7941.291978
457.870587,7142,8026.941993
2225.651145,7142,8110.273149
1306.816143,7142,8193.617504
4266.46389,7142,8276.305015
2599.829045,7142,8360.089295
1062.200666,7142,8444.894259
3357.870237,7142,8527.976139
1437.556168,7142,8612.638865
99.931284,7142,8696.451057
3868.963137,7142,8779.758806
4624.532258,7142,8862.862776
5852.971154,7142,8945.913432
3090.00341,7142,9029.071135
4066.148925,7142,9112.125551
3136.757431,7142,9195.659006
4268.826333,7142,9278.296711
4671.856547,7142,9361.071823
4154.216004,7142,9444.429617
2421.717903,7142,9528.022863
5734.604276,7142,9611.708506
920.590051,7142,9695.785908
2492.822847,7142,9780.41132
5795.486544,7142,9862.781761
4010.938249,7142,9945.892266
3715.127369,7142,10030.433909
3396.939485,7142,10112.793003
5461.408957,7142,10196.560805
4278.668978,7142,10279.456813
9741.04257,7142,10362.845817
6343.946415,7142,10447.054917
7374.770526,7142,10530.654636
6591.302777,7142,10615.243458
5137.809785,7142,10698.920132
5526.397405,7142,10782.770908
1842.671778,7142,10866.922215
5033.855192,7142,10950.467807
2851.352063,7142,11034.835745
5521.983296,7142,11118.04394
5331.850192,7142,11202.740103
8356.89195,7142,11287.496908
10022.08391,7142,11370.079241
2838.907224,7142,11454.683746
4477.794035,7142,11537.750156
6149.243009,7142,11622.11873
6575.339237,7142,11705.604256
6073.463079,7142,11790.037842
5933.46967,7142,11873.26675
4713.38505,7142,11958.955738
6942.220085,7142,12042.066736
8061.468992,7142,12125.501235
7541.390445,7142,12209.247107
9631.750335,7142,12290.927611
7764.149933,7142,12374.218863
8817.450564,7142,12456.553519
6661.261681,7142,12539.329444
4091.554944,7142,12622.92391
7940.189848,7142,12706.288864
9430.08408,7142,12789.454877
7553.286882,7142,12872.434944
7614.812161,7142,12956.5827
4093.353633,7142,13041.098358
8180.130217,7142,13124.135387
8933.014025,7142,13207.749476
7832.746539,7142,13291.18231
8213.20503,7142,13374.069364
5978.084118,7142,13458.408766
9335.135996,7142,13542.369534
11540.515853,7142,13624.530402
7736.039736,7142,13707.524861
7454.56284,7142,13791.376547
6550.412979,7142,13875.775826
5834.658157,7142,13960.65451
3859.568108,7142,14044.305517
5047.742725,7142,14127.687774
3961.569782,7142,14212.839256
4902.194535,7142,14295.611098
8832.158799,7142,14378.560283
12257.893652,7142,14461.037621
8454.836803,7142,14545.872976
8196.888617,7142,14629.256715
6376.106913,7142,14713.821397
6697.148146,7142,14798.254773
2964.930114,7142,14881.971006
2652.357002,7142,14966.607721
9820.617821,7142,15049.339089
2641.036552,7142,15133.849031
9542.025658,7142,15217.156187
8800.170434,7142,15299.868964
10015.3987,7142,15382.963577
5525.879228,7142,15465.035993
8361.901317,7142,15548.779864
649.506652,7142,15633.614708
11010.483249,7142,15716.658325
9342.418352,7142,15800.243023
8387.745217,7142,15884.067066
8978.204887,7142,15967.441988
4243.891254,7142,16051.600163
-1429.835533,7142,16136.8973
8856.206696,7142,16219.129911
3119.237136,7142,16304.815818
6057.332458,7142,16390.15293
4065.107316,7142,16474.34626
9555.22707,7142,16557.53275
11438.933157,7142,16640.330395
5918.282124,7142,16723.872436
10293.637623,7142,16807.632435
11276.352009,7142,16890.498127
10381.245071,7142,16973.408161
3601.700213,7142,17057.107088
8546.991616,7142,17140.587711
11550.784891,7142,17223.124612
10569.821554,7142,17305.668133
9408.409094,7142,17388.63076
8045.158919,7142,17471.669311
5104.042322,7142,17556.171788
7478.055436,7142,17639.364498
9672.602638,7142,17723.011012
10968.562693,7142,17806.427447
8429.380747,7142,17889.93135
2504.298403,7142,17975.170754
11567.088504,7142,18058.838948
7495.226132,7142,18145.05702
8816.891589,7142,18228.688075
7292.767744,7142,18310.443587
5702.033357,7142,18395.254848
11547.794994,7142,18477.260433
8032.528777,7142,18561.315207
4475.572128,7142,18646.414668
3066.471477,7142,18730.677072
8356.773092,7142,18814.399215
1621.11519,7142,18898.300261
9590.484729,7142,18983.942119
10253.754401,7142,19067.007544
6738.832486,7142,19152.487728
12447.473098,7142,19236.737359
9791.213779,7142,19322.452654
8176.903933,7142,19405.66624
8996.574919,7142,19489.41603
11071.052414,7142,19573.508141
11517.371859,7142,19657.485026
10102.571645,7142,19741.336044
9090.451967,7142,19824.166401
5990.454543,7142,19906.743379
13603.486446,7142,19987.615732
11965.652411,7142,20066.416292
10393.294976,7142,20145.865353
8130.49317,7142,20224.367449
10052.144483,7142,20303.202529
9104.107078,7142,20381.825014
8326.441853,7142,20461.018239
11217.329123,7142,20540.926015
2047.687852,7142,20620.534596
12309.544396,7142,20701.2638
12940.066504,7142,20779.223426
4604.578007,7142,20859.511338
6619.913013,7142,20941.121223
10843.974807,7142,21020.640704
10686.056356,7142,21100.499596
3268.51795,7142,21180.807513
11280.13585,7142,21260.037371
8137.595797,7142,21339.075017
11402.27178,7142,21417.920607
10605.156629,7142,21495.458523
9404.646972,7142,21573.803456
12955.34696,7142,21652.737622
11926.991362,7142,21732.35563
10967.098759,7142,21813.425001
11605.379016,7142,21892.813105
9716.776331,7142,21970.602949
10780.104974,7142,22050.55918
10309.719029,7142,22131.151688
10292.356002,7142,22210.886285
5343.447311,7142,22291.606551
3553.519287,7142,22370.997482
7653.981602,7142,22449.968758
11053.935197,7142,22529.648968
9938.012415,7142,22609.679251
10031.510483,7142,22689.178105
-1298.636769,7142,22772.467343
6610.084696,7142,22853.617887
11572.782618,7142,22933.506539
7916.474038,7142,23015.24299
9978.578754,7142,23094.439883
9966.675112,7142,23173.979675
7362.897333,7142,23254.700598
12242.187747,7142,23335.425226
7051.346812,7142,23414.856856
9947.0402,7142,23494.739983
8523.499246,7142,23575.926213
8818.16883,7142,23657.008901
9849.069493,7142,23738.039093
12537.0541,7142,23820.61826
3137.612272,7142,23901.969762
11153.083018,7142,23985.025471
12723.092979,7142,24069.23471
8488.043089,7142,24154.410145
10679.16806,7142,24239.876505
11856.741451,7142,24323.859415
4599.785919,7142,24408.945649
11213.384596,7142,24491.491289
11392.971509,7142,24577.556507
5845.403557,7142,24662.78073
4105.688715,7142,24748.670688
8164.373277,7142,24832.212358
10228.324369,7142,24916.739312
11097.020511,7142,25001.20021
10207.278684,7142,25085.937267
797.96612,2591,25116.603678
11976.278687,7142,25201.46951
10042.220225,7142,25285.221991
6160.213326,7142,25368.609208
9040.219946,7142,25451.502331
7808.911168,7142,25533.364038
13402.689107,7142,25616.31923
12598.626948,7142,25696.6343
2754.553035,7142,25777.815303
4278.901976,7142,25855.321646
12070.974629,7142,25936.184226
11997.75833,7142,26019.379613
10170.935679,7142,26098.758648
11221.521216,7142,26181.542827
12422.337153,7142,26261.06417
11117.756346,7142,26339.951216
11343.384583,7142,26416.987518
2259.358503,7142,26495.381421
11840.161324,7142,26574.731618
11085.442256,7142,26654.723718
2182.894409,7142,26736.574412
-2958.803714,7142,26817.351305
9520.803957,7142,26898.877725
8078.472282,7142,26981.958592
3657.14309,7142,27062.324071
8304.99288,7142,27141.658004
11325.936901,7142,27219.482773
2056.959061,7142,27303.154599
10175.030151,7142,27382.582513
755.318252,7142,27462.671584
11352.294299,7142,27545.904581
12444.736433,7142,27627.709014
9519.967283,7142,27707.63504
11985.981823,7142,27785.058893
10217.804703,7142,27863.511398
3689.61612,7142,27943.500907
12156.644047,7142,28022.058284
8272.141766,7142,28103.809603
12459.45944,7142,28183.433587
7226.904962,7142,28262.240047
10018.52869,7142,28338.499521
10645.760618,7142,28415.186477
11369.431871,7142,28496.239058
8007.248089,7142,28572.525999
7515.457892,7142,28650.304751
8883.523944,7142,28725.60615
11708.599711,7142,28803.106418
7084.360725,7142,28878.925088
4753.4241,7142,28954.332705
9478.543737,7142,29028.996354
8031.376796,7142,29104.114301
9464.317367,7142,29180.449432
6577.490889,7142,29258.565591
11252.911695,7142,29333.442953
10269.119887,7142,29409.665531
7750.532045,7142,29485.865621
11833.356905,7142,29561.992016
6946.291009,7142,29638.404173
5467.463919,7142,29716.228255
8616.809496,7142,29791.886265
6942.61508,7142,29868.798754
9192.212869,7142,29947.721338
12206.622718,7142,30022.888793
3276.335414,7142,30102.486547
10108.139574,7142,30179.757811
9506.059866,7142,30258.055358
12698.269676,7142,30334.714914
6296.064836,7142,30411.967003
7916.461019,7142,30491.051879
2382.89418,7142,30569.764874
6178.418538,7142,30652.78113
1093.71149,7142,30731.328183
8045.762445,7142,30810.34455
12728.834021,7142,30891.141765
11166.372961,7142,30969.468227
6722.812469,7142,31047.904883
9096.898955,7142,31123.636745
7724.245377,7142,31201.670868
8228.1652,7142,31280.263852
6720.30796,7142,31363.772514
6372.689877,7142,31442.10729
12021.103707,7142,31518.07206
9345.350421,7142,31596.824549
8962.957271,7142,31674.245831
3910.862169,7142,31754.01105
5279.385246,7142,31833.966987
11669.053009,7142,31913.058045
10734.273754,7142,31991.765522
5710.837633,7142,32068.922289
6706.614466,7142,32146.551313
12101.824896,7142,32222.936759
12979.325789,7142,32298.957637
8018.491483,7142,32376.352235
6915.640369,7142,32457.406839
-4265.929027,7142,32536.312489
11578.414557,7142,32612.799605
10103.563691,7142,32692.614585
6063.904671,7142,32773.08247
11351.915273,7142,32850.58202
5519.885773,7142,32930.157485
9510.943697,7142,33007.00713
10611.336694,7142,33084.98218
11788.060007,7142,33161.723768
10859.299164,7142,33237.07019
3389.266149,7142,33314.369746
9244.903372,7142,33387.977055
9345.020794,7142,33463.684237
7099.301568,7142,33540.543589
8897.456206,7142,33616.564615
9434.708286,7142,33694.001086
12293.444008,7142,33768.200645
13652.472083,7142,33844.205777
12199.043078,7142,33919.166775
8332.850983,7142,33997.104517
12035.122319,7142,34074.382273
11376.337959,7142,34151.985995
7420.195299,7142,34228.391226
10150.234557,7142,34303.615873
10822.295329,7142,34379.064515
11768.177944,7142,34454.655813
11542.352827,7142,34532.37277
10966.026053,7142,34607.087258
9456.893169,7142,34682.697119
12199.060427,7142,34761.113479
7557.085914,7142,34840.546925
11051.359243,7142,34920.881548
9731.49926,7142,34998.346987
4964.325638,7142,35075.65509
7681.323339,7142,35151.429596
9319.453173,7142,35227.72054
8531.953977,7142,35305.294372
9338.930159,7142,35381.722149
11835.867061,7142,35458.609209
8667.317396,7142,35537.202238
5206.334896,7142,35616.424968
12617.449028,7142,35693.07782
11577.504645,7142,35768.821965
12491.743562,7142,35846.644838
9587.222224,7142,35928.330284
12834.874463,7142,36007.628638
11309.77279,7142,36083.228806
10875.832199,7142,36160.659629
3131.395496,7142,36238.14627
8562.066913,7142,36315.202152
8980.304576,7142,36394.444247
12582.06758,7142,36473.142067
13188.695014,7142,36551.249153
13319.317988,7142,36628.023424
11921.276274,7142,36703.603353
9142.108424,7142,36781.423563
7857.54437,7142,36859.19495
9768.719372,7142,36939.849969
