#{"t_start": 1596047020.3465464, "env_id": null}
r,l,t
-2056.323481,7142,19.253455
-3175.721567,7142,35.726873
-3569.801626,7142,52.425673
-3051.018804,7142,69.455856
-1974.846765,7142,88.13302
-4230.03479,7142,106.725967
-2806.283569,7142,124.117613
-6103.238082,7142,176.443318
-3866.496202,7142,228.812381
-1801.44211,7142,283.20688
-1684.534937,7142,335.805926
-1669.989029,7142,389.18336
-1825.573873,7142,442.021055
-2549.946573,7142,495.156331
-806.054214,7142,548.581783
-1528.485396,7142,602.366002
-1284.497299,7142,656.130065
-2275.424517,7142,709.945211
-3283.268259,7142,763.083495
-3221.592018,7142,816.86935
-1833.158486,7142,870.275085
-2428.000631,7142,925.118392
-1912.752053,7142,978.205101
-2111.958395,7142,1033.357972
-1273.37648,7142,1087.667507
-896.794204,7142,1140.886947
-80.846451,7142,1195.792294
-413.39771,7142,1250.502635
-462.002593,7142,1304.22806
-364.261762,7142,1358.768932
-994.714745,7142,1412.699152
-1738.96875,7142,1466.326187
-132.509672,7142,1519.598464
-776.726727,7142,1573.4673
-404.78058,7142,1626.736344
-3593.464259,7142,1682.374284
-1301.954702,7142,1736.940493
23.392107,7142,1790.578644
-179.501578,7142,1846.391147
-376.197808,7142,1900.394484
-261.561365,7142,1954.725926
-153.558482,7142,2013.675246
713.717048,7142,2067.390868
-89.070438,7142,2120.801953
-602.270117,7142,2174.262767
-283.702919,7142,2228.289169
103.97341,7142,2281.538594
-1107.608055,7142,2336.405341
647.774608,7142,2390.34581
-361.487992,7142,2445.264385
-184.788178,7142,2500.571709
28.347478,7142,2553.82691
-73.95971,7142,2607.746823
-321.345555,7142,2661.577454
128.189925,7142,2715.684295
-87.572645,7142,2769.528422
326.443098,7142,2823.128413
-893.479271,7142,2878.222752
-2462.351474,7142,2933.743399
-740.657143,7142,2989.612627
-2623.515079,7142,3043.202008
-1043.850734,7142,3097.158293
441.781261,7142,3152.16624
406.524935,7142,3205.744
326.233457,7142,3259.384714
287.26356,7142,3313.338645
1023.015994,7142,3367.492771
-25.996135,7142,3421.137657
1842.130044,7142,3474.584397
1335.778331,7142,3528.711904
2132.552148,7142,3583.402436
2037.269169,7142,3638.862625
2843.344605,7142,3693.934837
3567.873403,7142,3747.836958
-882.483985,7142,3802.617369
1030.887006,7142,3856.556735
1101.551115,7142,3911.042815
1800.055582,7142,3965.107607
627.719824,7142,4019.502526
436.430284,7142,4073.25013
-740.566954,7142,4129.33821
425.83761,7142,4184.030441
-784.124363,7142,4237.781137
-355.667228,7142,4292.06214
101.781322,7142,4345.855067
2302.646793,7142,4401.214168
2444.469909,7142,4455.32906
1464.856617,7142,4510.181343
-222.135876,7142,4565.834524
1274.914548,7142,4620.06672
1096.239448,7142,4675.512692
183.705084,7142,4729.418265
1672.987334,7142,4784.064606
2010.182135,7142,4838.043163
1167.475059,7142,4892.099234
2276.495122,7142,4946.571522
-727.30601,7142,5001.429671
2432.748151,7142,5056.137355
1699.713992,7142,5111.216705
2462.844301,7142,5165.431248
2186.131515,7142,5220.556929
1661.768929,7142,5274.680864
814.614471,7142,5329.028391
2788.979796,7142,5383.125129
757.125037,7142,5437.984232
1870.692392,7142,5492.440989
2820.597165,7142,5547.517135
2895.924452,7142,5602.953502
-910.616235,7142,5661.135426
