#{"t_start": 1593898957.4233298, "env_id": null}
r,l,t
-9257.476658,7142,64.407383
-3255.737219,7142,113.488415
-8997.972744,7142,162.007801
-5450.960501,7142,210.658939
-7572.220762,7142,258.633997
-8037.786451,7142,303.88293
-10031.335162,7142,346.458438
-5947.735025,7142,392.895531
-6373.60191,7142,439.433773
-7708.577614,7142,487.92787
-6743.74593,7142,538.559575
-5345.614768,7142,585.697654
-7386.124705,7142,636.499198
-5374.806567,7142,677.281343
-5957.433048,7142,719.106544
-7761.328775,7142,767.516026
-7028.311163,7142,814.964939
-7731.143399,7142,861.628269
-7871.008356,7142,910.777797
-10211.715954,7142,959.221729
-5728.475976,7142,1008.097251
-7006.022948,7142,1050.771153
-7696.445186,7142,1094.841942
-6373.494458,7142,1143.138135
-7523.781282,7142,1190.69081
-10736.665932,7142,1241.412823
-7542.822376,7142,1291.107054
-7101.246082,7142,1336.690229
-5091.370384,7142,1382.225443
-6188.510202,7142,1427.32729
-5907.878728,7142,1476.00231
-5641.871192,7142,1520.928504
-6881.005132,7142,1568.927872
-4830.335359,7142,1616.199346
-8158.627135,7142,1667.988034
-6178.968113,7142,1715.940104
-5527.424444,7142,1757.268909
-4634.75822,7142,1801.997137
-4853.387126,7142,1852.304869
-4921.400071,7142,1901.499355
-5991.605939,7142,1949.59941
-9096.933005,7142,1997.351675
-6980.642713,7142,2046.262023
-8577.39744,7142,2091.629979
-7546.495898,7142,2132.524681
-6542.447772,7142,2177.019553
-8179.132247,7142,2224.062512
-7607.579149,7142,2273.772521
-8967.631608,7142,2322.122299
-6364.264732,7142,2371.938785
-6405.162569,7142,2419.406793
-5918.662908,7142,2461.188064
-7697.029476,7142,2503.871634
-6408.736318,7142,2552.184869
-7025.460041,7142,2597.654435
-6233.525038,7142,2642.881417
-6646.000876,7142,2694.427301
-8407.913382,7142,2745.946711
-5224.125731,7142,2793.793049
-5874.637689,7142,2836.597155
-8561.068734,7142,2882.86594
-4847.515939,7142,2931.690668
