#{"t_start": 1593886551.9400136, "env_id": null}
r,l,t
-4253.346363,7142,22.858644
-5373.995461,7142,42.758275
-4517.464519,7142,63.228778
-2712.315496,7142,90.914749
-3110.423428,7142,110.682204
-3003.496936,7142,130.635305
-2095.044385,7142,151.37982
-2021.817989,7142,178.906337
-3911.267303,7142,199.862394
-4659.976618,7142,222.179902
-3487.396969,7142,244.748944
-3549.1469,7142,264.697111
-2648.754526,7142,283.745363
-1789.221612,7142,303.772696
-4138.766687,7142,325.2164
-4506.172817,7142,352.267015
-2744.714831,7142,372.673921
-5474.781171,7142,402.435905
-805.531502,7142,428.532504
-2595.079085,7142,449.82356
-2624.110324,7142,478.135002
-1925.055324,7142,497.779702
-1633.029348,7142,518.254341
-2431.342609,7142,537.323155
-2088.527283,7142,557.157969
-2728.800547,7142,577.008419
-1708.859437,7142,604.368984
-1803.199205,7142,625.415524
-3576.829576,7142,653.264503
-3926.757866,7142,676.929021
-4236.371711,7142,699.450362
-1692.615568,7142,730.084114
-2080.946652,7142,752.973313
-2279.065151,7142,778.827157
-1256.15134,7142,800.571768
-2670.151636,7142,832.140211
-1138.725908,7142,856.123031
-3356.310584,7142,879.596951
-3109.24424,7142,913.161412
-1036.004538,7142,935.476388
-369.318745,7142,959.622652
-696.650377,7142,983.281793
-3212.267844,7142,1008.748809
-1187.287155,7142,1033.441317
-1246.523677,7142,1057.585338
-1732.843111,7142,1079.368055
-1117.521305,7142,1103.547073
-1249.013836,7142,1129.186004
-1356.126178,7142,1151.22339
-1259.236011,7142,1179.837226
-3327.044364,7142,1204.528468
-2270.797116,7142,1227.947907
-1167.866415,7142,1256.131485
-619.959417,7142,1288.549237
-459.892978,7142,1312.037212
-1125.456821,7142,1333.373885
-554.168692,7142,1355.569969
-306.540462,7142,1379.006054
-253.728418,7142,1409.730384
-612.980149,7142,1436.759755
-1071.410489,7142,1459.351622
-153.271938,7142,1483.355138
-267.80384,7142,1507.134692
-1134.289191,7142,1541.373671
-556.253407,7142,1563.937457
-716.316289,7142,1588.504841
-1790.71644,7142,1611.439967
-384.404655,7142,1635.43324
-302.809637,7142,1664.991983
